,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_protein_distsv,lf_cell_line_distsv,lf_cell_distsv,lf_dna_distsv,lf_rna_distsv,label,orig_index,olabel
207,phosphorylation,40,41,257,272,"Phosphorylation of KAP1-Serine 824 (Ser824) by ataxia-telangiectasia-mutated (ATM) kinase is necessary for repair of DNA double-strand breaks (DSBs); now we show that MAGE-C2 knockdown reduces, whereas MAGE-C2 overexpression increases, ATM kinase-dependent phosphorylation of KAP1-Ser824.",23096706_4,0,-1,-1,-1,-1,0,207,0
216,phosphorylation,1,2,3,18,"As phosphorylation of KAP1-Ser824 facilitates relaxation of heterochromatin, which is necessary for DNA repair and cellular proliferation, our results suggest that MAGE-C2 can promote tumor growth by phosphorylation of KAP1-Ser824 and by enhancement of DNA damage repair.",23096706_7,0,-1,-1,-1,-1,0,216,0
223,phosphorylation,29,30,200,215,"As phosphorylation of KAP1-Ser824 facilitates relaxation of heterochromatin, which is necessary for DNA repair and cellular proliferation, our results suggest that MAGE-C2 can promote tumor growth by phosphorylation of KAP1-Ser824 and by enhancement of DNA damage repair.",23096706_7,0,-1,-1,-1,-1,0,223,0
250,c-erbB2,37,38,209,216,"The UHRF1 DNA in plasma of 229 breast cancer patients showed higher expression than healthy controls, which showed high specificity up to 76.2% at a sensitivity of 79.2%, and was significantly associated with c-erbB2 positive status, cancer stage and lymph node metastasis.",23107467_5,0,-1,-1,-1,-1,0,250,0
329,lipopolysaccharide,26,27,158,176,"Human hepatic UGT1A1 expression was analysed by RT (reverse transcription)-PCR, qRT-PCR (quantitative real-time PCR) and Western blotting in response to LPS (lipopolysaccharide) stimulation.",23130636_3,0,-1,-1,-1,-1,0,329,0
344,NF-κB,3,4,19,24,A newly identified NF-κB (nuclear factor κB)-binding site was located on the upstream promoter region (-725/-716) of the human UGT1A1 gene.,23130636_7,0,-1,-1,-1,-1,0,344,0
354,NF-κB,15,16,105,110,We demonstrated that LPS mediates the suppression of human UGT1A1 expression through specific binding of NF-κB to this newly identified NF-κB-binding site in the upstream promoter of the human UGT1A1 gene.,23130636_9,0,-1,-1,-1,-1,0,354,0
393,AMP-activated protein kinase,47,50,380,408,"Furthermore, acetylcholine stimulated the transcriptional activation and protein expression of peroxisome proliferator-activated receptor co-activator 1 alpha (PGC-1α, the central factor for mitochondrial biogenesis) and its downstream targets including nuclear respiration factors and mitochondrial transcription factor A. In addition, acetylcholine activated phosphorylation of AMP-activated protein kinase (AMPK), which was located upstream of PGC-1α.",23139024_7,0,-1,-1,-1,-1,0,393,0
415,glial fibrillary acidic protein,35,39,218,249,"In an effort to elucidate this effect, we investigated neuroglia in response to amphetamine exposure using antisense (AS) or sense (S) phosphorothioate-modified oligodeoxynucleotide (sODN) sequences that correspond to glial fibrillary acidic protein (GFAP) mRNA (AS-gfap or S-gfap, respectively) expression.",23150521_1,0,-1,-1,-1,-1,0,415,0
487,Argonaute,17,18,90,99,"The expression of four novel small RNAs was validated by qRT-PCR in human skin, and their Argonaute association was confirmed by co-immunoprecipitation of ectopic small RNAs in HEK293 cells.",23175445_5,0,-1,-1,-1,-1,0,487,0
595,caspase-9,15,16,102,111,"Our data show that mitochondria-dependent apoptosis triggered by MPP⁺, assessed by the measurement of caspase-9 activation and mitochondrial DNA damage, is prevented by mitochondrial PRDX5 overexpression.",23216451_5,0,-1,-1,-1,-1,0,595,0
641,MIP-2,7,8,50,55,The ELISA findings revealed that transcription of MIP-2 was significantly greater with miR-SSI1-221 and miR-SSI1-281.,23220108_6,0,-1,-1,-1,-1,0,641,0
719,BRAF,20,21,99,103,"In these 43 patients, discordance between primary and metastatic tumor was 23% for KRAS and 7% for BRAF mutations.",23233388_8,0,-1,-1,-1,-1,0,719,0
728,C1q,4,5,21,24,"Complements, such as C1q and C3, and macrophages in the splenic marginal zone (MZMs) play pivotal roles in the efficient uptake and processing of circulating apoptotic cells.",23238564_0,0,-1,-1,-1,-1,0,728,0
729,C3,6,7,29,31,"Complements, such as C1q and C3, and macrophages in the splenic marginal zone (MZMs) play pivotal roles in the efficient uptake and processing of circulating apoptotic cells.",23238564_0,0,-1,-1,-1,-1,0,729,0
734,C-type lectin,3,5,11,24,"SIGN-R1, a C-type lectin that is highly expressed in a subpopulation of MZMs, regulates the complement fixation pathway by interacting with C1q, to fight blood-borne Streptococcus pneumoniae.",23238564_1,0,-1,-1,-1,-1,0,734,0
737,C1q,23,24,140,143,"SIGN-R1, a C-type lectin that is highly expressed in a subpopulation of MZMs, regulates the complement fixation pathway by interacting with C1q, to fight blood-borne Streptococcus pneumoniae.",23238564_1,0,-1,-1,-1,-1,0,737,0
744,C1q,14,15,99,102,SIGN-R1 first-bound apoptotic cells and this binding was significantly enhanced in the presence of C1q.,23238564_3,0,-1,-1,-1,-1,0,744,0
746,C3,5,6,46,48,"SIGN-R1-C1q complex then immediately mediated C3 deposition on circulating apoptotic cells in the MZ, leading to the efficient clearance of them.",23238564_4,0,-1,-1,-1,-1,0,746,0
757,TNF-α,19,20,123,128,"In particular, SIGN-R1 deficiency caused delayed clearance of apoptotic cells and aberrant secretion of cytokines, such as TNF-α, IL-6, and TGF-β in the spleen as well as in the liver.",23238564_7,0,-1,-1,-1,-1,0,757,0
758,IL-6,21,22,130,134,"In particular, SIGN-R1 deficiency caused delayed clearance of apoptotic cells and aberrant secretion of cytokines, such as TNF-α, IL-6, and TGF-β in the spleen as well as in the liver.",23238564_7,0,-1,-1,-1,-1,0,758,0
759,TGF-β,24,25,140,145,"In particular, SIGN-R1 deficiency caused delayed clearance of apoptotic cells and aberrant secretion of cytokines, such as TNF-α, IL-6, and TGF-β in the spleen as well as in the liver.",23238564_7,0,-1,-1,-1,-1,0,759,0
799,resistin,5,6,35,43,We investigated the effect between resistin and adiponectin on the proliferation of vascular smooth muscle cells (VSMCs).,23267839_0,0,-1,-1,-1,-1,0,799,0
800,adiponectin,7,8,48,59,We investigated the effect between resistin and adiponectin on the proliferation of vascular smooth muscle cells (VSMCs).,23267839_0,0,-1,-1,-1,-1,0,800,0
803,resistin,3,4,18,26,"We confirmed that resistin significantly increases the number of rat VSMCs as well as thymidine incorporation with them, whereas adiponectin diminishes resistin-induced cell proliferation.",23267839_1,0,-1,-1,-1,-1,0,803,0
808,Resistin,0,1,0,8,"Resistin significantly increased p42/44 mitogen-activated protein kinase (MAPK) phosphorylation within rat VSMCs, whereas adiponectin inhibited resistin-induced MAPK phosphorylation.",23267839_2,0,-1,-1,-1,-1,0,808,0
809,mitogen-activated protein kinase (,4,8,40,74,"Resistin significantly increased p42/44 mitogen-activated protein kinase (MAPK) phosphorylation within rat VSMCs, whereas adiponectin inhibited resistin-induced MAPK phosphorylation.",23267839_2,0,-1,-1,-1,-1,0,809,0
810,phosphorylation,10,11,80,95,"Resistin significantly increased p42/44 mitogen-activated protein kinase (MAPK) phosphorylation within rat VSMCs, whereas adiponectin inhibited resistin-induced MAPK phosphorylation.",23267839_2,0,-1,-1,-1,-1,0,810,0
812,adiponectin,16,17,122,133,"Resistin significantly increased p42/44 mitogen-activated protein kinase (MAPK) phosphorylation within rat VSMCs, whereas adiponectin inhibited resistin-induced MAPK phosphorylation.",23267839_2,0,-1,-1,-1,-1,0,812,0
814,phosphorylation,20,21,166,181,"Resistin significantly increased p42/44 mitogen-activated protein kinase (MAPK) phosphorylation within rat VSMCs, whereas adiponectin inhibited resistin-induced MAPK phosphorylation.",23267839_2,0,-1,-1,-1,-1,0,814,0
815,resistin,2,3,10,18,"Moreover, resistin significantly increased c-fos expression, whereas adiponectin suppressed resistin-induced c-fos expression.",23267839_3,0,-1,-1,-1,-1,0,815,0
817,adiponectin,9,10,69,80,"Moreover, resistin significantly increased c-fos expression, whereas adiponectin suppressed resistin-induced c-fos expression.",23267839_3,0,-1,-1,-1,-1,0,817,0
824,p21,23,24,142,145,"Cell cycle progression is a tightly controlled event that is negatively regulated by cyclin-dependent kinases inhibitors (CDKIs) such as p53, p21, and p27.",23267839_4,0,-1,-1,-1,-1,0,824,0
825,p27,26,27,151,154,"Cell cycle progression is a tightly controlled event that is negatively regulated by cyclin-dependent kinases inhibitors (CDKIs) such as p53, p21, and p27.",23267839_4,0,-1,-1,-1,-1,0,825,0
826,Resistin,0,1,0,8,"Resistin significantly decreased the expression of these CDKIs, whereas adiponectin restored the resistin-induced decrease in CDKIs expression.",23267839_5,0,-1,-1,-1,-1,0,826,0
828,adiponectin,10,11,72,83,"Resistin significantly decreased the expression of these CDKIs, whereas adiponectin restored the resistin-induced decrease in CDKIs expression.",23267839_5,0,-1,-1,-1,-1,0,828,0
832,resistin,3,4,15,23,"In conclusion, resistin plays a role in the development of atherosclerosis, whereas adiponectin may be an important in its prevention in insulin-resistant patients.",23267839_7,0,-1,-1,-1,-1,0,832,0
833,adiponectin,14,15,84,95,"In conclusion, resistin plays a role in the development of atherosclerosis, whereas adiponectin may be an important in its prevention in insulin-resistant patients.",23267839_7,0,-1,-1,-1,-1,0,833,0
839,small nuclear ribonucleoproteins,21,24,115,147,"Coilin is widely known as the protein marker of the Cajal body, a subnuclear domain important to the biogenesis of small nuclear ribonucleoproteins and telomerase, complexes that are crucial to pre-messenger RNA splicing and telomere maintenance, respectively.",23274112_0,0,-1,-1,-1,-1,0,839,0
841,RNA splicing,33,35,208,220,"Coilin is widely known as the protein marker of the Cajal body, a subnuclear domain important to the biogenesis of small nuclear ribonucleoproteins and telomerase, complexes that are crucial to pre-messenger RNA splicing and telomere maintenance, respectively.",23274112_0,0,-1,-1,-1,-1,0,841,0
848,nucleic acid,32,34,214,226,"Extensive studies have characterized the interaction between coilin and the various other protein components of CBs and related subnuclear domains; however, only a few have examined interactions between coilin and nucleic acid.",23274112_1,0,-1,-1,-1,-1,0,848,0
851,nucleic acid,10,12,66,78,"We have recently published that coilin is tightly associated with nucleic acid, displays RNase activity in vitro, and is redistributed to the ribosomal RNA (rRNA)-rich nucleoli in cells treated with the DNA-damaging agents cisplatin and etoposide.",23274112_2,0,-1,-1,-1,-1,0,851,0
907,mitochondrial proteins,18,20,102,124,"Like PABPC5 and PIF1α, most of the candidates identified by the screen are not currently annotated as mitochondrial proteins, and so dATI expands the human mitochondrial proteome.",23275553_5,0,-1,-1,-1,-1,0,907,0
910,Heterochromatin protein 1,0,3,0,25,"Heterochromatin protein 1 paralogs (HP1α, β and γ in mammals) are not only central in heterochromatin organization, but have also been linked to transcriptional activation at euchromatic regions, maintenance of telomere stability and, most recently, to the DNA damage response (DDR).",23287531_0,0,-1,-1,-1,-1,0,910,0
918,DDR,48,49,278,281,"Heterochromatin protein 1 paralogs (HP1α, β and γ in mammals) are not only central in heterochromatin organization, but have also been linked to transcriptional activation at euchromatic regions, maintenance of telomere stability and, most recently, to the DNA damage response (DDR).",23287531_0,0,-1,-1,-1,-1,0,918,0
920,DDR,8,9,44,47,"However, how HP1 proteins contribute to the DDR at a molecular level, and whether HP1 paralogs within the same organism, as well as their respective orthologs, have overlapping or unique roles in the DDR, remain to be elucidated.",23287531_1,0,-1,-1,-1,-1,0,920,0
925,DDR,37,38,200,203,"However, how HP1 proteins contribute to the DDR at a molecular level, and whether HP1 paralogs within the same organism, as well as their respective orthologs, have overlapping or unique roles in the DDR, remain to be elucidated.",23287531_1,0,-1,-1,-1,-1,0,925,0
942,phosphorylation,33,34,164,179,"In addition, we show that the stimulatory role of HP1α and β in HDR is linked to the DNA-end resection step of DNA breaks, through the promotion of RPA loading and phosphorylation at damage sites.",23287531_4,0,-1,-1,-1,-1,0,942,0
972,green fluorescent protein,23,26,132,157,"To examine the ability of SPB cells to stably express foreign protein, expression vectors encoding GNNV B1 and B2 fused to enhanced green fluorescent protein (EGFP) and GSIV ORF35L fused to DsRed were constructed and introduced by transfection into SPB cells.",23305502_3,0,-1,-1,-1,-1,0,972,0
1031,heat shock,54,56,255,265,"To assess the consequences of inactivation of heat shock factor 1 (HSF1) during aging, we analyzed the effect of HSF1 K80Q, a mutant unable to bind DNA, and of dnHSF1, a mutant lacking the activation domain, on the transcriptome of cells 6 and 24 h after heat shock.",23321918_0,0,-1,-1,-1,-1,0,1031,0
1033,heat shock,4,6,24,34,"The primary response to heat shock (6 h recovery), of which 30 % was HSF1-dependent, had decayed 24 h after heat shock in control cells but was extended in HSF1 K80Q and dnHSF1 cells.",23321918_1,0,-1,-1,-1,-1,0,1033,0
1035,heat shock,27,29,108,118,"The primary response to heat shock (6 h recovery), of which 30 % was HSF1-dependent, had decayed 24 h after heat shock in control cells but was extended in HSF1 K80Q and dnHSF1 cells.",23321918_1,0,-1,-1,-1,-1,0,1035,0
1051,ATF4,7,8,30,34,"Knockdown of NRF2, but not of ATF4, c-Fos or FosB, inhibited this delayed stress response.",23321918_4,0,-1,-1,-1,-1,0,1051,0
1052,c-Fos,9,10,36,41,"Knockdown of NRF2, but not of ATF4, c-Fos or FosB, inhibited this delayed stress response.",23321918_4,0,-1,-1,-1,-1,0,1052,0
1062,heat shock,20,22,97,107,"In control cells an antioxidant response (ARE binding, HMOX1 mRNA levels) was detected 6 h after heat shock; in HSF1 K80Q cells this response was delayed to 24 h and the ARE complex had a different mobility.",23321918_6,0,-1,-1,-1,-1,0,1062,0
1183,cytochrome P450 1B1,9,12,47,66,"Polymorphisms in catalase (CAT, rs1001179) and cytochrome P450 1B1 (CYP1B1, rs1800440) were significantly associated with DNA adduct levels, especially when combined.",23325794_5,0,-1,-1,-1,-1,0,1183,0
1219,alpha-1,10,11,57,64,"The method was tested using three separate mRNA targets: alpha-1 antitrypsin (AAT) mRNA, interleukin-8 mRNA and secretory leucoprotease inhibitor mRNA.",23325846_5,0,-1,-1,-1,-1,0,1219,0
1236,Interleukin-8,0,1,0,13,Interleukin-8 and secretory leucoprotease inhibitor mRNAs and their cognate miRNAs were also successfully captured using this approach.,23325846_7,0,-1,-1,-1,-1,0,1236,0
1311,E2,9,10,58,60,"At sub-confluence cells were treated with: estradiol-17β (E2), the phytoestrogens daidzein (D) and biochainin A (BA), the carboxy-pytoestrogenic derivative carboxy-D (cD), the estrogen receptor α (ERα) agonist PPT, the estrogen receptor β (ERβ) agonist DPN, parathyroid hormone (PTH) and several vitamin D metabolites and analogs with/without R for 24h.",23333933_4,0,-1,-1,-1,-1,0,1311,0
1319,parathyroid hormone,53,55,258,277,"At sub-confluence cells were treated with: estradiol-17β (E2), the phytoestrogens daidzein (D) and biochainin A (BA), the carboxy-pytoestrogenic derivative carboxy-D (cD), the estrogen receptor α (ERα) agonist PPT, the estrogen receptor β (ERβ) agonist DPN, parathyroid hormone (PTH) and several vitamin D metabolites and analogs with/without R for 24h.",23333933_4,0,-1,-1,-1,-1,0,1319,0
1323,creatine kinase,11,13,66,81,"All hormones tested stimulated significantly DNA synthesis (DNA), creatine kinase (CK) and alkaline phosphatase (ALP) specific activities, but all these stimulations were totally inhibited when given together with R. R had no effect on mRNA expression of ERα, ERβ and 25 Hydroxy-vitamin D3-1α hydroxylase (1OHase), but inhibited hormonal modulations of mRNA expressions.",23333933_5,0,-1,-1,-1,-1,0,1323,0
1329,ERα,45,46,255,258,"All hormones tested stimulated significantly DNA synthesis (DNA), creatine kinase (CK) and alkaline phosphatase (ALP) specific activities, but all these stimulations were totally inhibited when given together with R. R had no effect on mRNA expression of ERα, ERβ and 25 Hydroxy-vitamin D3-1α hydroxylase (1OHase), but inhibited hormonal modulations of mRNA expressions.",23333933_5,0,-1,-1,-1,-1,0,1329,0
1330,ERβ,47,48,260,263,"All hormones tested stimulated significantly DNA synthesis (DNA), creatine kinase (CK) and alkaline phosphatase (ALP) specific activities, but all these stimulations were totally inhibited when given together with R. R had no effect on mRNA expression of ERα, ERβ and 25 Hydroxy-vitamin D3-1α hydroxylase (1OHase), but inhibited hormonal modulations of mRNA expressions.",23333933_5,0,-1,-1,-1,-1,0,1330,0
1332,hydroxylase,54,55,293,304,"All hormones tested stimulated significantly DNA synthesis (DNA), creatine kinase (CK) and alkaline phosphatase (ALP) specific activities, but all these stimulations were totally inhibited when given together with R. R had no effect on mRNA expression of ERα, ERβ and 25 Hydroxy-vitamin D3-1α hydroxylase (1OHase), but inhibited hormonal modulations of mRNA expressions.",23333933_5,0,-1,-1,-1,-1,0,1332,0
1385,TLR9,13,14,85,89,It is known that plasmacytoid dendritic cells sense herpesvirus DNA in endosomes via TLR9 and that nonimmune tissue cells can sense herpesvirus DNA in the nucleus.,23345332_2,0,-1,-1,-1,-1,0,1385,0
1442,RNA binding protein,10,13,65,84,"The screen was successfully employed to identify DSS1/SHFM1, the RNA binding protein hnRNP A2/B1 and a 3' UTR as enhancers of editing.",23353575_9,0,-1,-1,-1,-1,0,1442,0
1443,hnRNP,13,14,85,90,"The screen was successfully employed to identify DSS1/SHFM1, the RNA binding protein hnRNP A2/B1 and a 3' UTR as enhancers of editing.",23353575_9,0,-1,-1,-1,-1,0,1443,0
1449,hnRNP,8,9,62,67,Proteomic analysis indicates an interaction of DSS1/SHFM1 and hnRNP A2/B1 suggesting that both factors may act by altering the cellular RNP landscape.,23353575_11,0,-1,-1,-1,-1,0,1449,0
1450,RNP,20,21,136,139,Proteomic analysis indicates an interaction of DSS1/SHFM1 and hnRNP A2/B1 suggesting that both factors may act by altering the cellular RNP landscape.,23353575_11,0,-1,-1,-1,-1,0,1450,0
1453,IL-17,0,1,0,5,"IL-17 from pearl oyster Pinctada fucata, one of mollusk, was identified and characterized, and its genomic structure and promoter were analyzed.",23357025_0,0,-1,-1,-1,-1,0,1453,0
1460,amino acids,28,30,132,143,The full-length cDNA of P. fucata IL-17 (PfIL-17) is 907 bp with an open reading frame of 585 bp encoding a putative protein of 194 amino acids.,23357025_1,0,-1,-1,-1,-1,0,1460,0
1463,IL-17,13,14,76,81,The deduced PfIL-17 contains a 19 amino acid signal peptide and a conserved IL-17 domain.,23357025_2,0,-1,-1,-1,-1,0,1463,0
1467,IL-17,15,16,122,127,"Multiple sequence alignments and phylogenetic analysis revealed that PfIL-17 has lower similarity with other invertebrate IL-17 and was clustered with CgIL-17, but not clustered with other invertebrate IL-17.",23357025_3,0,-1,-1,-1,-1,0,1467,0
1469,IL-17,28,29,202,207,"Multiple sequence alignments and phylogenetic analysis revealed that PfIL-17 has lower similarity with other invertebrate IL-17 and was clustered with CgIL-17, but not clustered with other invertebrate IL-17.",23357025_3,0,-1,-1,-1,-1,0,1469,0
1486,type I interferons,21,24,142,160,"RIG-I/MDA5 plays a pivotal role in innate immunity by detecting intracellular double-stranded RNA (dsRNA) and activating the transcription of type I interferons and proinflammatory factors, but the exactly regulating mechanism of RIG-I/MDA5 signaling remains elusive.",23357418_0,0,-1,-1,-1,-1,0,1486,0
1500,TRAF2,16,17,110,115,"Moreover, we confirmed the interaction between RAD23A and tumor necrosis factor receptor-associated factor 2 (TRAF2), an essential mediator of RIG-I/MDA5 signaling, and found that RAD23A down-regulated TRAF2 protein level through ubiquitin-proteasome system.",23357418_3,0,-1,-1,-1,-1,0,1500,0
1545,E2,16,17,88,90,Replication of the human papillomavirus (HPV) DNA genome relies on viral factors E1 and E2 and the cellular replication machinery.,23365439_0,0,-1,-1,-1,-1,0,1545,0
1593,oncogenic,23,24,132,141,"Our study reveals a new role for Brd4 in HPV genome replication, providing novel insights into understanding the life cycle of this oncogenic DNA virus.",23365439_8,0,-1,-1,-1,-1,0,1593,0
1603,amino acids,10,12,67,78,"The entire cDNA of EtCDPK3 contained 1637 nucleotides encoding 433 amino acids and the deduced EtCDPK3 protein had canonical characteristic domains identified in other CDPKs, including a well-conserved amino-terminal kinase domain and a carboxy-terminal calmodulin-like structure with 4 EF-hand motifs for calcium binding.",23369433_2,0,-1,-1,-1,-1,0,1603,0
1610,calcium binding,42,44,306,321,"The entire cDNA of EtCDPK3 contained 1637 nucleotides encoding 433 amino acids and the deduced EtCDPK3 protein had canonical characteristic domains identified in other CDPKs, including a well-conserved amino-terminal kinase domain and a carboxy-terminal calmodulin-like structure with 4 EF-hand motifs for calcium binding.",23369433_2,0,-1,-1,-1,-1,0,1610,0
1689,nucleic acid,27,29,178,190,CONCLUSIONS: The results show that the described bioresponsive cationic lipids have high DNA and siARN delivery activity which is encouraging in view of delivering a therapeutic nucleic acid to pulmonary tissues in vivo.,23371513_3,0,-1,-1,-1,-1,0,1689,0
1721,amino acid,6,8,30,40,"As the selenocysteine (SeCys) amino acid, selenium is integrated in several Se-containing proteins (selenoproteins), many of which are fundamental for cell homeostasis.",23384997_1,0,-1,-1,-1,-1,0,1721,0
1723,selenoproteins,17,18,100,114,"As the selenocysteine (SeCys) amino acid, selenium is integrated in several Se-containing proteins (selenoproteins), many of which are fundamental for cell homeostasis.",23384997_1,0,-1,-1,-1,-1,0,1723,0
1729,Glutathione peroxidase,0,2,0,22,Glutathione peroxidase (GPxs) is the largest and the most studied selenoprotein family.,23384997_4,0,-1,-1,-1,-1,0,1729,0
1732,Cytosolic glutathione peroxidase,0,3,0,32,"Cytosolic glutathione peroxidase (cGPx, GPx1) and phospholipid hydroperoxide glutathione peroxidase (PHGPx, GPx4) are widely distributed throughout tissues, and play a pivotal role in regulating the oxidative status in the cell.",23384997_5,0,-1,-1,-1,-1,0,1732,0
1734,GPx1,6,7,40,44,"Cytosolic glutathione peroxidase (cGPx, GPx1) and phospholipid hydroperoxide glutathione peroxidase (PHGPx, GPx4) are widely distributed throughout tissues, and play a pivotal role in regulating the oxidative status in the cell.",23384997_5,0,-1,-1,-1,-1,0,1734,0
1735,phospholipid hydroperoxide glutathione peroxidase,9,13,50,99,"Cytosolic glutathione peroxidase (cGPx, GPx1) and phospholipid hydroperoxide glutathione peroxidase (PHGPx, GPx4) are widely distributed throughout tissues, and play a pivotal role in regulating the oxidative status in the cell.",23384997_5,0,-1,-1,-1,-1,0,1735,0
1739,GPx1,6,7,29,33,In this study we have cloned GPx1 and GPx4 genes in rainbow trout (Oncorhynchus mykiss).,23384997_6,0,-1,-1,-1,-1,0,1739,0
1761,GPx1,6,7,33,37,"Three isoforms of genes for both GPx1 (GPx1a, 1b1 and 1b2) and GPx4 (GPx4a1, a2 and b) have been identified.",23384997_12,0,-1,-1,-1,-1,0,1761,0
1765,a2,19,20,77,79,"Three isoforms of genes for both GPx1 (GPx1a, 1b1 and 1b2) and GPx4 (GPx4a1, a2 and b) have been identified.",23384997_12,0,-1,-1,-1,-1,0,1765,0
1766,GPx1,8,9,43,47,The discovery of a third gene encoding for GPx1 and GPx4 hints that salmonids may have the biggest selenoproteome amongst all vertebrates.,23384997_13,0,-1,-1,-1,-1,0,1766,0
1785,GPx1,8,9,43,47,"Our results lead us to conclude that trout GPx1 transcripts expression level may represent a sensitive biomarker for selenium intake, helping to evaluate if selenium concentration and chemical speciation impact on cell homeostasis.",23384997_17,0,-1,-1,-1,-1,0,1785,0
1795,RNA polymerase I,12,15,72,88,The generally accepted model is that Rrn3 functions as a bridge between RNA polymerase I and the transcription factors bound to the committed template.,23393135_1,0,-1,-1,-1,-1,0,1795,0
1796,transcription factors,17,19,97,118,The generally accepted model is that Rrn3 functions as a bridge between RNA polymerase I and the transcription factors bound to the committed template.,23393135_1,0,-1,-1,-1,-1,0,1796,0
1805,DNA-binding protein,20,22,92,111,"In the course of studying the role of Rrn3 in recruitment, we found that Rrn3 was in fact a DNA-binding protein.",23393135_3,0,-1,-1,-1,-1,0,1805,0
1810,amino acids,7,9,35,46,"Randomization, or deletion, of the amino acids in this region in Rrn3, amino acids 382-400, abrogated its ability to bind DNA, indicating that this domain was an important contributor to DNA binding by Rrn3.",23393135_5,0,-1,-1,-1,-1,0,1810,0
1812,amino acids,15,17,71,82,"Randomization, or deletion, of the amino acids in this region in Rrn3, amino acids 382-400, abrogated its ability to bind DNA, indicating that this domain was an important contributor to DNA binding by Rrn3.",23393135_5,0,-1,-1,-1,-1,0,1812,0
