,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_protein_distsv,lf_cell_line_distsv,lf_cell_distsv,lf_dna_distsv,lf_rna_distsv,label,orig_index,olabel
29128,Argonaute,2,3,26,35,Natronobacterium gregoryi Argonaute (NgAgo)-guide DNA (gDNA) system with powerful genome editing prompts us to explore its application in inhibiting HBV replication.,28709658_3,0,-1,-1,-1,-1,0,29128,0
30396,Argonaute protein,9,11,47,64,"The remaining strand (guide) together with the Argonaute protein forms a ribonucleoprotein effector complex (the RNA-induced silencing complex, RISC).",29030839_3,0,-1,-1,-1,-1,0,30396,0
30399,Argonaute protein,3,5,16,33,"Mutation on the Argonaute protein, if affecting either step of the RISC assembly, impacts the function of miRNAs.",29030839_4,0,-1,-1,-1,-1,0,30399,0
30404,Argonaute protein,27,29,162,179,"Therefore, any observation of decreased miRNA level of mutants will provide insights into the role of those amino acid residues in the mechanical function of the Argonaute protein.",29030839_5,0,-1,-1,-1,-1,0,30404,0
30564,protein's,20,22,113,122,"Identification of a complex Nol12 interactome, which includes NONO, Dhx9, DNA-PK and Stau1, further supports the protein's diverse functions in RNA metabolism and DNA maintenance, establishing Nol12 as a multifunctional RBP essential for genome integrity.",29069457_6,0,-1,-1,-1,-1,0,30564,0
30727,dynein,30,31,184,190,"In an effort to mimic viral infection capabilities during non-viral gene delivery, a modular recombinant protein named T-Rp3 was recently developed, containing a DNA binding domain, a dynein molecular motor interacting domain, and a TAT-derived transduction domain.",29113920_1,0,-1,-1,-1,-1,0,30727,0
35048,dynein,7,8,53,59,Dynein adaptor proteins are necessary for activating dynein movement and for linking specific cargoes to dynein.,30068656_2,0,-1,-1,-1,-1,0,35048,0
35049,dynein,15,16,105,111,Dynein adaptor proteins are necessary for activating dynein movement and for linking specific cargoes to dynein.,30068656_2,0,-1,-1,-1,-1,0,35049,0
35051,dynein,6,7,39,45,We hypothesized that HIV-1 engages the dynein motor complex via an adaptor for intracellular transport.,30068656_3,0,-1,-1,-1,-1,0,35051,0
35056,dynein,23,24,122,128,"Here, we show that small interfering RNA depletion of the dynein heavy chain, components of the dynactin complex, and the dynein adaptor BICD2 reduced cell permissiveness to HIV-1 infection.",30068656_4,0,-1,-1,-1,-1,0,35056,0
35066,dynein,4,5,34,40,Biochemical studies revealed that dynein components and BICD2 associate with capsid-like assemblies of the HIV-1 CA protein in cell extracts and that purified recombinant BICD2 binds to CA assemblies in vitro Association of dynein with CA assemblies was reduced upon immunodepletion of BICD2 from cell extracts.,30068656_6,0,-1,-1,-1,-1,0,35066,0
35074,dynein,33,34,224,230,Biochemical studies revealed that dynein components and BICD2 associate with capsid-like assemblies of the HIV-1 CA protein in cell extracts and that purified recombinant BICD2 binds to CA assemblies in vitro Association of dynein with CA assemblies was reduced upon immunodepletion of BICD2 from cell extracts.,30068656_6,0,-1,-1,-1,-1,0,35074,0
35087,dynein,19,20,113,119,"We show that expression of the dynein heavy chain, components of the dynein-associated dynactin complex, and the dynein adaptor BICD2 in target cells are important for HIV-1 infection and nuclear entry.",30068656_10,0,-1,-1,-1,-1,0,35087,0
36857,Argonaute,10,11,67,76,"Furthermore, we provide evidence that diRNAs are incorporated into Argonaute.",30418607_7,0,-1,-1,-1,-1,0,36857,0
43296,transthyretin,9,10,45,58,"Using the huntingtin (HTT) CAG expansion and transthyretin (TTR) exon 2 mutation as examples, we showed that the asPAM CRISPRs can specifically discriminate active and dead PAMs for all 23 loci tested.",31943080_5,0,-1,-1,-1,-1,0,43296,0
44163,argonaute,15,16,87,96,"The library was transfected into cells, and then, inhibitors that were associated with argonaute 2 were selected.",32178591_1,0,-1,-1,-1,-1,0,44163,0
46060,Argonaute,25,26,175,184,"Given the endosymbiotic hypothesis that mitochondria originated from prokaryotes, mitochondria have been generally assumed to lack active RNAi; however, certain bacteria have Argonaute homologs and various reports suggest the presence of specific microRNAs and nuclear genome (nDNA)-encoded Ago2 in the mitochondria.",32807841_2,0,-1,-1,-1,-1,0,46060,0
49982,bovine serum albumin,20,23,118,138,"For the same steric reasons, flexible open DAE-bis-pyrene form was bound to at least three different binding sites at bovine serum albumin (BSA), while rigid, self-stacked closed form interacted dominantly with only one BSA site.",34066402_4,0,-1,-1,-1,-1,0,49982,0
50685,bovine serum albumin,24,27,93,113,"The interaction with biomolecules viz., calf thymus DNA (ct DNA), yeast RNA (tRNA), and BSA (bovine serum albumin) was examined by both UV-visible and fluorescence spectroscopies.",34315119_3,0,-1,-1,-1,-1,0,50685,0
52120,β-amyloid,30,31,185,194,"Strikingly, oral exposure of Actinomyces meyeri, an oral pathobiont, but not the other two control bacteria, decreased global activity, increased macrophage infiltration, and increased β-amyloid 42 protein production in the mouse brains.",34826801_7,0,-1,-1,-1,-1,0,52120,0
14,cell lines,22,24,140,150,"Multicolour fluorescence in situ hybridization identified aberrant gains of MYC, KIT and FLT3 and deletions of PTEN and CDKN2 in individual cell lines, and also revealed examples of extensive structural chromosome reorganization.",22236332_3,-1,1,-1,-1,-1,1,14,1
20,cell line,17,19,139,148,"Gene expression profiling and RT-PCR analyses defined the relationship between genomic imbalance and transcriptional dysregulation in each cell line, clarifying their relevance as models of discrete functional pathways with biological and therapeutic significance.",22236332_4,-1,1,-1,-1,-1,1,20,1
117,cell lines,22,24,152,162,We assessed the effect of various DNA ligands on cellular invasion and on TLR9 and matrix metalloproteinase expression of three gastrointestinal cancer cell lines.,23082743_2,-1,1,-1,-1,-1,1,117,1
135,cell lines,23,25,124,134,"Interestingly, H. pylori DNA was shown to induce a more pronounced invasion in a gastric cancer cell line than in the other cell lines.",23082743_6,-1,1,-1,-1,-1,1,135,1
177,HEK 293 cells,26,29,147,160,"Upon silencing ATP5A1, the expression of mitogen-activated protein kinase 13 (MAPK13), a p38 MAPK responsive to stress stimuli, was upregulated in HEK 293 cells.",23088660_7,-1,1,-1,-1,-1,1,177,1
290,cell lines,28,30,146,156,"Furthermore, we find that FOXM1 is required for DNA repair by homologous recombination (HR) but not non-homologous end joining (NHEJ), using HeLa cell lines harbouring an integrated direct repeat green fluorescent protein reporter for DSB repair.",23108394_5,-1,1,-1,-1,-1,1,290,1
343,cell lines,9,11,64,74,LPS down-regulated the UGT1A1 mRNA expression in human hepatoma cell lines.,23130636_6,-1,1,-1,-1,-1,1,343,1
490,HEK293 cells,28,30,177,189,"The expression of four novel small RNAs was validated by qRT-PCR in human skin, and their Argonaute association was confirmed by co-immunoprecipitation of ectopic small RNAs in HEK293 cells.",23175445_5,-1,1,-1,-1,-1,1,490,1
788,cell lines,10,12,63,73,The expression analysis showed a wide variation in tissues and cell lines.,23245759_7,-1,1,-1,-1,-1,1,788,1
794,cell lines,19,21,114,124,The chicken melanoma differentiation associated gene-9 (mda-9) gene was found to be expressed in many tissues and cell lines in different levels.,23245759_10,-1,1,-1,-1,-1,1,794,1
796,cell lines,15,17,80,90,The stimulation time course was found to have a wide effect on both tissues and cell lines.,23245759_11,-1,1,-1,-1,-1,1,796,1
949,cell line,8,10,56,65,"This study investigates the susceptibilities of the SPB cell line to fish viruses including giant seaperch iridovirus (GSIV-K1), red sea bream iridovirus (RSIV-Ku), grouper nervous necrosis virus (GNNV-K1), chum salmon reovirus (CSV) and eel herpesvirus (HVA).",23305502_0,-1,1,-1,-1,-1,1,949,1
1226,cell lines,8,10,56,66,"AAT mRNA-specific and total miRNAs from three different cell lines (monocytic THP-1, bronchial epithelial 16HBE14o- and liver HepG2 cells) were profiled, and validation studies revealed that AAT mRNA-specific miRNAs functionally target the AAT mRNA in a cell-specific manner, providing the first evidence of innate miRNAs selectively targeting and modulating AAT mRNA expression.",23325846_6,-1,1,-1,-1,-1,1,1226,1
1479,HEK293 cells,44,46,278,290,"Gene expression analysis indicated that PfIL-17 took part in the immune response to LPS and poly(I:C) stimulation, and dual-luciferase reporter assays showed that PfIL-17 could active vertebrate target genes containing the NF-κB binding site and involve NF-κB signal pathway in HEK293 cells.",23357025_4,-1,1,-1,-1,-1,1,1479,1
1676,cell lines,11,13,75,85,"RESULTS: They demonstrated remarkable efficiency to deliver DNA in various cell lines (BHK-21, Calu-3, NCI-H292, and A549), with no significant cytotoxicity.",23371513_1,-1,1,-1,-1,-1,1,1676,1
1946,cell lines,16,18,122,132,RESULTS: Combined treatment of ad-shIGF-1R and vorinostat synergistically suppressed the IGF-1R expression in lung cancer cell lines and also increased the transduction efficiency of ad-shIGF-1R.,23413016_9,-1,1,-1,-1,-1,1,1946,1
2113,HEK293 cells,30,32,228,240,Immunofluorescence assay showed that the expressed PfIRF-2 was translocated into the nucleus and dual-luciferase reporter assays indicated that PfIRF-2 could involved and activate interferon signaling or NF-κB signal pathway in HEK293 cells.,23422814_5,-1,1,-1,-1,-1,1,2113,1
2147,cell lines,18,20,146,156,"DNA transfection with p(CBA-ABOL/2AMPBA) polyplexes gave transfection efficiencies that were approximately similar to commercial PEI in different cell lines (COS-7, HUH-6 and H1299-Fluc), but lower than those obtained with reference polyplexes from p(CBA-ABOL).",23428840_4,-1,1,-1,-1,-1,1,2147,1
2148,COS-7,21,22,158,163,"DNA transfection with p(CBA-ABOL/2AMPBA) polyplexes gave transfection efficiencies that were approximately similar to commercial PEI in different cell lines (COS-7, HUH-6 and H1299-Fluc), but lower than those obtained with reference polyplexes from p(CBA-ABOL).",23428840_4,-1,1,-1,-1,-1,1,2148,1
2316,HL60 cells,22,24,150,160,"Patient blood samples contained unique p44/msp2 for the pathogen, and antibodies bound to A. phagocytophilum antigens propagated in THP-1 rather than HL60 cells.",23460988_1,-1,1,-1,-1,-1,1,2316,1
2318,cell lines,2,4,12,22,"Unless both cell lines are used for serodiagnosis of rickettsiosis-like infections, cases of human granulocytic anaplasmosis could go undetected.",23460988_2,-1,1,-1,-1,-1,1,2318,1
2332,Sf9 cells,6,8,47,56,"Overexpression of SfDronc induced apoptosis in Sf9 cells, while partial silencing of SfDronc expression in Sf9 cells reduced apoptosis induced by baculovirus infection or by treatment with UV or actinomycin D. Recombinant SfDronc exhibited several expected biochemical characteristics of an apoptotic initiator caspase: 1) SfDronc efficiently cleaved synthetic initiator caspase substrates, but had very little activity against effector caspase substrates; 2) mutation of a predicted cleavage site at position D340 blocked autoprocessing of recombinant SfDronc and reduced enzyme activity by approximately 10-fold; 3) SfDronc cleaved the effector caspase Sf-caspase-1 at the expected cleavage site, resulting in Sf-caspase-1 activation; and 4) SfDronc was strongly inhibited by the baculovirus caspase inhibitor SpliP49, but not by the related protein AcP35.",23474489_3,-1,1,-1,-1,-1,1,2332,1
2334,Sf9 cells,16,18,107,116,"Overexpression of SfDronc induced apoptosis in Sf9 cells, while partial silencing of SfDronc expression in Sf9 cells reduced apoptosis induced by baculovirus infection or by treatment with UV or actinomycin D. Recombinant SfDronc exhibited several expected biochemical characteristics of an apoptotic initiator caspase: 1) SfDronc efficiently cleaved synthetic initiator caspase substrates, but had very little activity against effector caspase substrates; 2) mutation of a predicted cleavage site at position D340 blocked autoprocessing of recombinant SfDronc and reduced enzyme activity by approximately 10-fold; 3) SfDronc cleaved the effector caspase Sf-caspase-1 at the expected cleavage site, resulting in Sf-caspase-1 activation; and 4) SfDronc was strongly inhibited by the baculovirus caspase inhibitor SpliP49, but not by the related protein AcP35.",23474489_3,-1,1,-1,-1,-1,1,2334,1
2402,DU145,15,16,92,97,The androgen-independent human prostate cancer cell lines PC3 (lacking a functional AR) and DU145 (strongly limited expression due to methylations in the AR gene) were used.,23503510_2,-1,1,-1,-1,-1,1,2402,1
2419,cell lines,2,4,8,18,"In both cell lines without the AR expression, the combined treatment was followed with significant decrease of cell viability.",23503510_4,-1,1,-1,-1,-1,1,2419,1
2457,cell lines,11,13,78,88,"The whole-cell nucleic-acid/protein ratio was found to be a characteristic of cell lines that persists independent of cell cycle and, as a result, this ratio has some value for phenotyping.",23504822_5,-1,1,-1,-1,-1,1,2457,1
2538,HEK293 cells,14,16,105,117,"However, thyroid-stimulating antibodies from patients with Graves' disease stimulated cAMP production in HEK293 cells that expressed TSHR739.",23538203_4,-1,1,-1,-1,-1,1,2538,1
2692,cell line,45,47,316,325,"As in mammals, chicken MTP is localized to the endoplasmic reticulum as revealed by indirect immunofluorescence and by the fact that its N-linked oligosaccharide moiety remains sensitive to endoglycosidase H. Endogenous, enzymatically active MTP is also expressed in an estrogen receptor-expressing chicken hepatoma cell line that secretes apolipoprotein B-containing lipoproteins.",23542778_7,-1,1,-1,-1,-1,1,2692,1
2694,cell line,2,4,8,17,"In this cell line and in vivo, the expression and activity of MTP are not influenced by estrogen.",23542778_8,-1,1,-1,-1,-1,1,2694,1
2951,HEK293 cells,22,24,139,151,"To further investigate this issue, the coding sequence of the sbTLR5S was cloned and the corresponding recombinant protein was produced in HEK293 cells.",23571319_4,-1,1,-1,-1,-1,1,2951,1
3002,HeLa cells,12,14,86,96,The direct interaction with the DNA sequences identified as ERp57-targeted regions in HeLa cells has now been confirmed in a melanoma cell line.,23587917_3,-1,1,-1,-1,-1,1,3002,1
3160,cell line,8,10,49,58,We determined the TP53 mutational status of each cell line and investigated the expression levels of 11 potentially relevant genes by quantitative real-time PCR.,23613873_3,-1,1,-1,-1,-1,1,3160,1
3258,cell lines,15,17,74,84,"To test for atypical forms of the EBV genome, 98 lymphomas and 6 infected cell lines were studied using a battery of 6 quantitative polymerase chain reaction assays targeting disparate sections of EBV DNA.",23628820_2,-1,1,-1,-1,-1,1,3258,1
3297,cell line,26,28,190,199,Using nuclear-targeted gold nanoparticles (AuNPs) as intracellular probes we demonstrate the ability to distinguish between progenitor and differentiated cell types in a human neuroblastoma cell line using surface-enhanced Raman spectroscopy (SERS).,23638825_1,-1,1,-1,-1,-1,1,3297,1
3320,HepG2,11,12,71,76,The biological activity of the binary mixtures was investigated in the HepG2 and WB-F344 liver cell lines and the Chinese hamster V79 cell line that stably expresses the human cytochrome P4501A1 (hCYP1A1).,23639521_1,-1,1,-1,-1,-1,1,3320,1
3343,HepG2 cells,3,5,15,26,"In human liver HepG2 cells exposed to binary mixtures for 2h, a reduction in micronuclei frequency was also found.",23639521_5,-1,1,-1,-1,-1,1,3343,1
3352,HepG2 cells,10,12,68,79,"Accordingly, the up-regulation of CYP1A1 expression was detected in HepG2 cells exposed to B[a]P:DBC.",23639521_7,-1,1,-1,-1,-1,1,3352,1
3370,RAW264.7 cells,17,19,113,127,OBJECTIVE: To establish a quantitative real-time PCR method to detect the transcriptions of Th1/Th2 cytokines in RAW264.7 cells.,23643175_0,-1,1,-1,-1,-1,1,3370,1
3380,RAW264.7 cells,5,7,29,43,"Total RNA was extracted from RAW264.7 cells, and then was reverse-transcriped into cDNA, which was established as a positive standard template of the quantitative real-time PCR method.",23643175_2,-1,1,-1,-1,-1,1,3380,1
3383,RAW264.7 cells,11,13,73,87,The established method was used to detect the cytokine transcriptions in RAW264.7 cells infected with Brucella abortus S2308.RESULTS: Cytokine genes above had a good linear relationship (R(2);≥ 0.982) with the detection limit of 10(2); copies/μL standard samples.,23643175_3,-1,1,-1,-1,-1,1,3383,1
3394,RAW264.7 cells,19,21,127,141,CONCLUSION: The quantitative real-time PCR method for detecting the transcription levels of cytokine Th1 and Th2 of macrophage RAW264.7 cells was established successfully.,23643175_5,-1,1,-1,-1,-1,1,3394,1
3405,HeLa cells,10,12,59,69,"Dexamethasone (Dex) stimulated Luc activity of hTH-CRII in HeLa cells, while mifepristone, a glucocorticoid receptor (GR) antagonist, prevented Dex stimulation.",23647419_2,-1,1,-1,-1,-1,1,3405,1
3443,cell lines,22,24,105,115,"Here, we show, for the first time, that CK2α is a positive regulator of Notch1 signalling in lung cancer cell lines A549 and H1299.",23651443_2,-1,1,-1,-1,-1,1,3443,1
3629,cell lines,4,6,21,31,"In two analyzed host cell lines, a tDNA insulator composed of two functional copies of tRNA genes showed the highest barrier activity.",23677492_7,-1,1,-1,-1,-1,1,3629,1
3884,HEK293 cells,14,16,90,102,"The ability of this drug to facilitate read-through of nonsense mutations was examined in HEK293 cells transfected with human ABCC6 expression constructs harboring seven different PXE-associated nonsense mutations, and was evaluated by immunofluorescence and In-Cell ELISA.",23702584_2,-1,1,-1,-1,-1,1,3884,1
3936,cell line,20,22,111,120,"AIM: To investigate the effect and mechanism of hepatitis B virus (HBV) infection on the human choriocarcinoma cell line, JEG-3, in relation to apoptosis and intrauterine infection.",23718864_0,-1,1,-1,-1,-1,1,3936,1
3941,cell line,12,14,75,84,"MATERIAL AND METHODS: HBV-DNA serum was used to infect the choriocarcinoma cell line, JEG-3, in vitro.",23718864_1,-1,1,-1,-1,-1,1,3941,1
4252,Caco-2,36,37,240,246,"The present study is focussed on the development and evaluation of biomimetic lipid nanocapsules (LNCs) functionalized with a L1 papillomavirus type-16 capsid-derived lipopeptide on their surface, for transfection of U87MG glioma cells and Caco-2 colorectal adenocarcinoma cells with pDNA or siRNAs.",23769994_4,-1,1,-1,-1,-1,1,4252,1
4527,cell line,9,11,53,62,"As shown previously, the RAW 264.7 murine macrophage cell line can release MPs following stimulation with LPS or polyinosinic:polycytidylic acid [poly (I:C)], ligands of TLR4 and TLR3 respectively.",23839527_1,-1,1,-1,-1,-1,1,4527,1
4582,cell lines,10,12,72,82,RESULTS: Hsp27 LNA and Hsp27 shRNA radiosensitized head-and-neck cancer cell lines in an Hsp27-dependent manner.,23849696_3,-1,1,-1,-1,-1,1,4582,1
4771,cell line,9,11,60,69,The cellular response to genotoxic treatment depends on the cell line used.,23894430_0,-1,1,-1,-1,-1,1,4771,1
4772,tumor cell lines,1,4,9,25,"Although tumor cell lines are widely used for genotoxicity tests, the interpretation of the results may be potentially hampered by changes in cellular processes caused by malignant transformation.",23894430_1,-1,1,-1,-1,-1,1,4772,1
5085,MDCK cells,26,28,197,207,The Dz209 not only showed significant intracellular reduction of BM2 gene expression in transient-expression system but also provided considerable protection against influenza B virus challenge in MDCK cells.,23971908_4,-1,1,-1,-1,-1,1,5085,1
5165,HeLa cells,13,15,86,96,We have previously shown that ADAR1(p150) localized to cytoplasmic stress granules in HeLa cells following either oxidative or interferon-induced stress.,23982513_5,-1,1,-1,-1,-1,1,5165,1
5213,cell line,14,16,92,101,"The efficacy of SMG-8 knockdown to improve the mutant phenotype was confirmed using another cell line, from a cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy patient who carries a PTC-containing mutation in HtrA serine peptidase 1.",23983263_7,-1,1,-1,-1,-1,1,5213,1
5242,HepG2,11,12,65,70,METHODS: HBV positive cell line HepG2.2.15 and its parental cell HepG2 were transfected with pSecTagB-IFN-α or empty plasmid by using Lipofectamine™ 2000 reagent.,23984795_4,-1,1,-1,-1,-1,1,5242,1
5433,cell lines,17,19,113,123,"We therefore examined the effects of formaldehyde fixation on the stability and quantitation of nucleic acids in cell lines, primary leukocytes and also cells isolated from SIV-infected pigtailed macaques.",24023909_3,-1,1,-1,-1,-1,1,5433,1
5532,Jurkat cells,39,41,215,227,"By contrast, latency of HAdV-DNA (10(-3) -10(-4)  copies/cell) without production of infectious virus progeny was observed in HAdV-C2 infection of PM1 and Jurkat, HAdV-A31 infection of PM1, and HAdV-B3 infection of Jurkat cells.",24026974_5,-1,1,-1,-1,-1,1,5532,1
5542,Jurkat cells,50,52,285,297,"In addition, transcription of E1A, DNA polymerase and hexon mRNA was not detected by RT-PCR suggesting an equivalent of clinical ""HAdV latency."" Persistence of HAdV-DNA was not observed in abortive infections of PM1 cells with HAdV-B3 and -B11 and in productive, lytical infections of Jurkat cells with HAdV-C5, HAdV-B11, and HAdV-A31.",24026974_6,-1,1,-1,-1,-1,1,5542,1
5668,cell lines,29,31,188,198,"RESULTS: For 185 candidate pancreatic cancer genes, selected from recurrently altered genomic loci, we performed a pooled shRNA library screen of cell growth/viability across 10 different cell lines.",24041470_4,-1,1,-1,-1,-1,1,5668,1
5678,cell lines,35,37,238,248,"A novel analytical approach (COrrelated Phenotypes for On-Target Effects; COPOTE) was used to discern probable on-target knockdown, based on identifying different shRNAs targeting the same gene and displaying concordant phenotypes across cell lines.",24041470_6,-1,1,-1,-1,-1,1,5678,1
5765,cell line,37,39,210,219,"In this study, we identified the gene encoding a long form of PGRP (OmPGRP-L1) from the rainbow trout, Oncorhynchus mykiss, and investigated whether it has immunomodulating activity in a rainbow trout hepatoma cell line RTH-149 challenged with fish pathogenic bacteria.",24056276_2,-1,1,-1,-1,-1,1,5765,1
5864,cell lines,20,22,102,112,"Northern blot assay showed that 2 transcripts of HTA mRNA(1.4 kb and 1.7 kb) could express in the HCC cell lines HepG2 and QGY-7703, but not in the non-malignant cell line L-02 and HUVEC.",24071698_5,-1,1,-1,-1,-1,1,5864,1
5865,HepG2,22,23,113,118,"Northern blot assay showed that 2 transcripts of HTA mRNA(1.4 kb and 1.7 kb) could express in the HCC cell lines HepG2 and QGY-7703, but not in the non-malignant cell line L-02 and HUVEC.",24071698_5,-1,1,-1,-1,-1,1,5865,1
6197,cell line,25,27,140,149,Here we report a whole-transcriptome RNA-seq analysis assessing the effect of two fullerenes (1 and 2) on gene expression in the human MCF7 cell line.,24125657_2,-1,1,-1,-1,-1,1,6197,1
6449,cell line,18,20,128,137,"In addition, rLj-HMGB2 could induce the generation of proinflammatory mediators in the activated human acute monocytic leukemia cell line (THP1), which suggested that Lj-HMGB2 may participate in the immune response of the lampreys.",24158500_6,-1,1,-1,-1,-1,1,6449,1
6742,HEK293 cells,18,20,133,145,"To investigate the functional effects of TLR8 polymorphisms, we compared the nuclear factor-κB (NF-κB)-driven luciferase activity in HEK293 cells transfected with the TLR8 variants.",24205871_5,-1,1,-1,-1,-1,1,6742,1
6875,cell lines,17,19,107,117,"In this work, we found that miR-203 was frequently down-regulated by promoter hypermethylation in both RMS cell lines and RMS biopsies and could be reactivated by DNA-demethylating agents.",24247238_4,-1,1,-1,-1,-1,1,6875,1
7002,HeLa cells,28,30,145,155,"Moreover, the gene transfection and silencing effects of P-PEI-FA were higher than those of P-PEI, and were dependent on the dose of FA in FR(+) HeLa cells.",24268238_6,-1,1,-1,-1,-1,1,7002,1
7144,cell lines,28,30,183,193,"To determine whether APE1/Ref-1 regulates DNA binding of mutp53, we performed electromobility shift assays (EMSAs) and quantitative chromatin immunoprecipitation (ChIP) assays in HCC cell lines.",24297337_5,-1,1,-1,-1,-1,1,7144,1
7228,cell line,31,33,211,220,Here we isolate and functionally characterize two R. prolixusCT/DH receptor paralogs (Rhopr-CT/DH-R1 and Rhopr-CT/DH-R2) using a novel heterologous assay utilizing a modified human embryonic kidney 293 (HEK293) cell line.,24312424_2,-1,1,-1,-1,-1,1,7228,1
7322,cell line,51,53,272,281,"SUBJECTS AND METHODS: Four novel 10-23 DNAzymes (DZ509, DZ1037, DZ893, and DZ827) targeting the EBV-LMP1 gene were designed and evaluated by detecting enhanced green fluorescence protein (EGFP) expression of LMP1 mRNA and the protein in the nasopharyngeal carcinoma (NPC) cell line CNE2 transfected with the pEGFP-C1-LMP1c vector.",24323909_3,-1,1,-1,-1,-1,1,7322,1
7328,cell lines,9,11,62,72,The screened specific DNAzymes were then transfected into NPC cell lines C666-1 while a mutant oligonucleotide mutDZ509 and an antisense oligonucleotide ASODN509 were designed as positive and negative controls.,24323909_4,-1,1,-1,-1,-1,1,7328,1
7580,Caco-2,23,24,144,150,"Therefore, the levels of invasiveness of 22 isolates from ST03-N and the three other common STs were compared using human intestinal epithelial Caco-2 cell lines.",24362419_7,-1,1,-1,-1,-1,1,7580,1
7581,cell lines,24,26,151,161,"Therefore, the levels of invasiveness of 22 isolates from ST03-N and the three other common STs were compared using human intestinal epithelial Caco-2 cell lines.",24362419_7,-1,1,-1,-1,-1,1,7581,1
7603,cell lines,13,15,81,91,"In addition, CDR1 expression has been detected in neuroblastoma, renal carcinoma cell lines, and other cancer cell lines.",24366849_3,-1,1,-1,-1,-1,1,7603,1
7609,cell lines,18,20,89,99,"In this study, we investigated the expression of the CDR1 gene in the LNCaP and PC-3 PCa cell lines, and in the PNT1A normal prostate cell line.",24366849_4,-1,1,-1,-1,-1,1,7609,1
