Nitric	nitric	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
a	a	O	O	O	O
group	group	O	O	O	O
given	given	O	O	O	O
lead	lead	O	O	OTHERS	I
and	and	O	O	O	O
vitamin	vitamin	O	O	O	O
E-fortified	e-fortified	O	O	O	O
chow	chow	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
a	a	O	O	O	O
normal	normal	O	O	O	O
control	control	O	O	O	O
group	group	O	O	O	O
given	given	O	O	O	O
either	either	O	O	O	O
regular	regular	O	O	O	O
food	food	O	O	O	O
and	and	O	O	O	O
water	water	O	O	O	O
or	or	O	O	O	O
vitamin	vitamin	O	O	O	O
E-fortified	e-fortified	O	O	O	O
food	food	O	O	O	O
for	for	O	O	O	O
12	12	O	O	O	O
weeks	weeks	O	O	O	O
.	.	O	O	O	O

Tail	tail	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
,	,	O	O	O	O
urinary	urinary	O	O	O	O
NOx	nox	O	O	O	O
excretion	excretion	O	O	O	O
,	,	O	O	O	O
plasma	plasma	O	O	O	O
malondialdehyde	malondialdehyde	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
MDA	mda	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
endothelial	endothelial	O	O	O	O
and	and	O	O	O	O
inducible	inducible	O	O	O	O
NOS	nos	O	O	O	O
(	(	O	O	O	O
eNOS	enos	O	O	O	O
and	and	O	O	O	O
iNOS	inos	O	O	O	O
)	)	O	O	O	O
isotypes	isotypes	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
aorta	aorta	O	O	O	O
and	and	O	O	O	O
kidney	kidney	O	O	O	O
were	were	O	O	O	O
measured	measured	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
lead-treated	lead-treated	O	O	O	O
group	group	O	O	O	O
exhibited	exhibited	O	O	O	O
a	a	O	O	O	O
rise	rise	O	O	O	O
in	in	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
plasma	plasma	O	O	O	O
MDA	mda	O	O	OTHERS	I
concentration	concentration	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
fall	fall	O	O	O	O
in	in	O	O	O	O
urinary	urinary	O	O	O	O
NOx	nox	O	O	O	O
excretion	excretion	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
a	a	O	O	O	O
paradoxical	paradoxical	O	O	O	O
rise	rise	O	O	O	O
in	in	O	O	O	O
vascular	vascular	O	O	O	O
and	and	O	O	O	O
renal	renal	O	O	O	O
tissue	tissue	O	O	O	O
eNOS	enos	O	O	O	O
and	and	O	O	O	O
iNOS	inos	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

Vitamin	vitamin	CHEMICALS	O	OTHERS	I
E	e	CHEMICALS	O	OTHERS	I
supplementation	supplementation	O	O	O	O
ameliorated	ameliorated	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
,	,	O	O	O	O
lowered	lowered	O	O	O	O
plasma	plasma	O	O	O	O
MDA	mda	O	O	OTHERS	I
concentration	concentration	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
raised	raised	O	O	O	O
urinary	urinary	O	O	O	O
NOx	nox	O	O	O	O
excretion	excretion	O	O	O	O
while	while	O	O	O	O
significantly	significantly	O	O	O	O
lowering	lowering	O	O	O	O
vascular	vascular	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
not	not	O	O	O	O
renal	renal	O	O	O	O
,	,	O	O	O	O
tissue	tissue	O	O	O	O
eNOS	enos	O	O	O	O
and	and	O	O	O	O
iNOS	inos	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

Vitamin	vitamin	CHEMICALS	O	OTHERS	I
E	e	CHEMICALS	O	OTHERS	I
supplementation	supplementation	O	O	O	O
had	had	O	O	O	O
no	no	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
either	either	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
,	,	O	O	O	O
plasma	plasma	O	O	O	O
MDA	mda	O	O	OTHERS	I
,	,	O	O	O	O
or	or	O	O	O	O
NOS	nos	O	O	O	O
expression	expression	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
control	control	O	O	O	O
group	group	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
study	study	O	O	O	O
also	also	O	O	O	O
revealed	revealed	O	O	O	O
significant	significant	O	O	O	O
inhibition	inhibition	O	O	O	O
of	of	O	O	O	O
NOS	nos	O	O	O	O
enzymatic	enzymatic	O	O	O	O
activity	activity	O	O	O	O
by	by	O	O	O	O
lead	lead	O	O	OTHERS	I
in	in	O	O	O	O
cell-free	cell-free	O	O	O	O
preparations	preparations	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
conclusion	conclusion	O	O	O	O
,	,	O	O	O	O
lead-induced	lead-induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
in	in	O	O	O	O
this	this	O	O	O	O
model	model	O	O	O	O
was	was	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
compensatory	compensatory	O	O	O	O
upregulation	upregulation	O	O	O	O
of	of	O	O	O	O
renal	renal	O	O	O	O
and	and	O	O	O	O
vascular	vascular	O	O	O	O
eNOS	enos	O	O	O	O
and	and	O	O	O	O
iNOS	inos	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
is	is	O	O	O	O
,	,	O	O	O	O
in	in	O	O	O	O
part	part	O	O	O	O
,	,	O	O	O	O
due	due	O	O	O	O
to	to	O	O	O	O
ROS-mediated	ros-mediated	O	O	O	O
NO	no	O	O	O	O
inactivation	inactivation	O	O	O	O
,	,	O	O	O	O
lead-associated	lead-associated	O	O	O	O
inhibition	inhibition	O	O	O	O
of	of	O	O	O	O
NOS	nos	O	O	O	O
activity	activity	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
perhaps	perhaps	O	O	O	O
stimulatory	stimulatory	O	O	O	O
actions	actions	O	O	O	O
of	of	O	O	O	O
increased	increased	O	O	O	O
shear	shear	O	O	O	O
stress	stress	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

