Reduction	reduction	O	O	O	O
with	with	O	O	O	O
heparitinase	heparitinase	O	O	O	O
abolished	abolished	O	O	O	O
all	all	O	O	O	O
staining	staining	O	O	O	O
,	,	O	O	O	O
whereas	whereas	O	O	O	O
chondroitinase	chondroitinase	O	O	O	O
ABC	abc	O	O	O	O
had	had	O	O	O	O
no	no	O	O	O	O
effect	effect	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
majority	majority	O	O	O	O
of	of	O	O	O	O
anionic	anionic	O	O	O	O
sites	sites	O	O	O	O
(	(	O	O	O	O
74	74	O	O	O	O
%	%	O	O	O	O
in	in	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
and	and	O	O	O	O
81	81	O	O	O	O
%	%	O	O	O	O
in	in	O	O	O	O
control	control	O	O	O	O
rats	rats	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
found	found	O	O	O	O
within	within	O	O	O	O
the	the	O	O	O	O
lamina	lamina	O	O	O	O
rara	rara	O	O	O	O
externa	externa	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
basement	basement	O	O	O	O
membrane	membrane	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
minority	minority	O	O	O	O
of	of	O	O	O	O
anionic	anionic	O	O	O	O
sites	sites	O	O	O	O
were	were	O	O	O	O
scattered	scattered	O	O	O	O
throughout	throughout	O	O	O	O
the	the	O	O	O	O
lamina	lamina	O	O	O	O
densa	densa	O	O	O	O
and	and	O	O	O	O
lamina	lamina	O	O	O	O
rara	rara	O	O	O	O
interna	interna	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
were	were	O	O	O	O
significantly	significantly	O	O	O	O
smaller	smaller	O	O	O	O
than	than	O	O	O	O
those	those	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
lamina	lamina	O	O	O	O
rara	rara	O	O	O	O
externa	externa	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
basement	basement	O	O	O	O
membrane	membrane	O	O	O	O
(	(	O	O	O	O
p<0.001	p<0.001	O	O	O	O
and	and	O	O	O	O
p<0.01	p<0.01	O	O	O	O
for	for	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
and	and	O	O	O	O
control	control	O	O	O	O
rats	rats	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Diabetic	diabetic	O	DISEASE	OTHERS	I
rats	rats	O	O	O	O
progressively	progressively	O	O	O	O
developed	developed	O	O	O	O
albuminuria	albuminuria	O	DISEASE	OTHERS	I
reaching	reaching	O	O	O	O
40.3	40.3	O	O	O	O
(	(	O	O	O	O
32.2	32.2	O	O	O	O
-	-	O	O	O	O
62.0	62.0	O	O	O	O
)	)	O	O	O	O
mg/24	mg/24	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
after	after	O	O	O	O
8	8	O	O	O	O
months	months	O	O	O	O
in	in	O	O	O	O
contrast	contrast	O	O	OTHERS	I
to	to	O	O	O	O
the	the	O	O	O	O
control	control	O	O	O	O
animals	animals	O	O	O	O
(	(	O	O	O	O
0.8	0.8	O	O	O	O
(	(	O	O	O	O
0.2	0.2	O	O	O	O
-	-	O	O	O	O
0.9	0.9	O	O	O	O
)	)	O	O	O	O
mg/24	mg/24	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
p<0.002	p<0.002	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

At	at	O	O	O	O
the	the	O	O	O	O
same	same	O	O	O	O
time	time	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
number	number	O	O	O	O
of	of	O	O	O	O
heparan	heparan	O	O	OTHERS	I
sulphate	sulphate	O	O	OTHERS	I
anionic	anionic	O	O	O	O
sites	sites	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
total	total	O	O	O	O
anionic	anionic	O	O	O	O
site	site	O	O	O	O
surface	surface	O	O	O	O
(	(	O	O	O	O
number	number	O	O	O	O
of	of	O	O	O	O
anionic	anionic	O	O	O	O
sites	sites	O	O	O	O
x	x	O	O	O	O
mean	mean	O	O	O	O
anionic	anionic	O	O	O	O
site	site	O	O	O	O
surface	surface	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
lamina	lamina	O	O	O	O
rara	rara	O	O	O	O
externa	externa	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
basement	basement	O	O	O	O
membrane	membrane	O	O	O	O
was	was	O	O	O	O
reduced	reduced	O	O	O	O
by	by	O	O	O	O
19	19	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
p<0.021	p<0.021	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
by	by	O	O	O	O
26	26	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
p<0.02	p<0.02	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
.	.	O	O	O	O

Number	number	O	O	O	O
and	and	O	O	O	O
total	total	O	O	O	O
anionic	anionic	O	O	O	O
site	site	O	O	O	O
surface	surface	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
remaining	remaining	O	O	O	O
part	part	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
basement	basement	O	O	O	O
membrane	membrane	O	O	O	O
(	(	O	O	O	O
lamina	lamina	O	O	O	O
densa	densa	O	O	O	O
and	and	O	O	O	O
lamina	lamina	O	O	O	O
rara	rara	O	O	O	O
interna	interna	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
not	not	O	O	O	O
significantly	significantly	O	O	O	O
changed	changed	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
conclude	conclude	O	O	O	O
that	that	O	O	O	O
in	in	O	O	O	O
streptozotocin-diabetic	streptozotocin-diabetic	O	O	O	O
rats	rats	O	O	O	O
with	with	O	O	O	O
an	an	O	O	O	O
increased	increased	O	O	O	O
urinary	urinary	O	O	O	O
albumin	albumin	O	O	O	O
excretion	excretion	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
reduced	reduced	O	O	O	O
heparan	heparan	O	O	OTHERS	I
sulphate	sulphate	O	O	OTHERS	I
charge	charge	O	O	O	O
barrier/density	barrier/density	O	O	O	O
is	is	O	O	O	O
found	found	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
lamina	lamina	O	O	O	O
rara	rara	O	O	O	O
externa	externa	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
basement	basement	O	O	O	O
membrane	membrane	O	O	O	O
.	.	O	O	O	O

