Does	does	O	O	O	O
of	of	O	O	O	O
coronary	coronary	O	DISEASE	OTHERS	I
artery	artery	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
were	were	O	O	O	O
prospectively	prospectively	O	O	O	O
followed	followed	O	O	O	O
for	for	O	O	O	O
15	15	O	O	O	O
y.	y.	O	O	O	O
RESULTS	results	O	O	O	O
:	:	O	O	O	O
After	after	O	O	O	O
adjustment	adjustment	O	O	O	O
for	for	O	O	O	O
cardiovascular	cardiovascular	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
risk	risk	O	O	O	O
factors	factors	O	O	O	O
,	,	O	O	O	O
type	type	O	O	O	O
of	of	O	O	O	O
diabetes	diabetes	O	DISEASE	OTHERS	I
medication	medication	O	O	O	O
used	used	O	O	O	O
,	,	O	O	O	O
duration	duration	O	O	O	O
of	of	O	O	O	O
diabetes	diabetes	O	DISEASE	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
intakes	intakes	O	O	O	O
of	of	O	O	O	O
folate	folate	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
vitamin	vitamin	CHEMICALS	O	OTHERS	I
E	e	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
beta-carotene	beta-carotene	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
adjusted	adjusted	O	O	O	O
relative	relative	O	O	O	O
risks	risks	O	O	O	O
of	of	O	O	O	O
total	total	O	O	O	O
cardiovascular	cardiovascular	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
mortality	mortality	O	O	O	O
were	were	O	O	O	O
1.0	1.0	O	O	O	O
,	,	O	O	O	O
0.97	0.97	O	O	O	O
,	,	O	O	O	O
1.11	1.11	O	O	O	O
,	,	O	O	O	O
1.47	1.47	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
1.84	1.84	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
for	for	O	O	O	O
trend	trend	O	O	O	O
<	<	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
across	across	O	O	O	O
quintiles	quintiles	O	O	O	O
of	of	O	O	O	O
total	total	O	O	O	O
vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
intake	intake	O	O	O	O
from	from	O	O	O	O
food	food	O	O	O	O
and	and	O	O	O	O
supplements	supplements	O	O	O	O
.	.	O	O	O	O

Adjusted	adjusted	O	O	O	O
relative	relative	O	O	O	O
risks	risks	O	O	O	O
of	of	O	O	O	O
coronary	coronary	O	DISEASE	OTHERS	I
artery	artery	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
were	were	O	O	O	O
1.0	1.0	O	O	O	O
,	,	O	O	O	O
0.81	0.81	O	O	O	O
,	,	O	O	O	O
0.99	0.99	O	O	O	O
,	,	O	O	O	O
1.26	1.26	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
1.91	1.91	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
for	for	O	O	O	O
trend	trend	O	O	O	O
=	=	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
of	of	O	O	O	O
stroke	stroke	O	DISEASE	OTHERS	I
were	were	O	O	O	O
1.0	1.0	O	O	O	O
,	,	O	O	O	O
0.52	0.52	O	O	O	O
,	,	O	O	O	O
1.23	1.23	O	O	O	O
,	,	O	O	O	O
2.22	2.22	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
2.57	2.57	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
for	for	O	O	O	O
trend	trend	O	O	O	O
<	<	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

When	when	O	O	O	O
dietary	dietary	O	O	O	O
and	and	O	O	O	O
supplemental	supplemental	O	O	O	O
vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
were	were	O	O	O	O
analyzed	analyzed	O	O	O	O
separately	separately	O	O	O	O
,	,	O	O	O	O
only	only	O	O	O	O
supplemental	supplemental	O	O	O	O
vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
showed	showed	O	O	O	O
a	a	O	O	O	O
positive	positive	O	O	O	O
association	association	O	O	O	O
with	with	O	O	O	O
mortality	mortality	O	O	O	O
endpoints	endpoints	O	O	O	O
.	.	O	O	O	O

Vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
intake	intake	O	O	O	O
was	was	O	O	O	O
unrelated	unrelated	O	O	O	O
to	to	O	O	O	O
mortality	mortality	O	O	O	O
from	from	O	O	O	O
cardiovascular	cardiovascular	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
nondiabetic	nondiabetic	O	O	O	O
subjects	subjects	O	O	O	O
at	at	O	O	O	O
baseline	baseline	O	O	O	O
.	.	O	O	O	O

CONCLUSION	conclusion	O	O	O	O
:	:	O	O	O	O
A	a	O	O	O	O
high	high	O	O	O	O
vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
intake	intake	O	O	O	O
from	from	O	O	O	O
supplements	supplements	O	O	O	O
is	is	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
an	an	O	O	O	O
increased	increased	O	O	O	O
risk	risk	O	O	O	O
of	of	O	O	O	O
cardiovascular	cardiovascular	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
mortality	mortality	O	O	O	O
in	in	O	O	O	O
postmenopausal	postmenopausal	O	O	O	O
women	women	O	O	O	O
with	with	O	O	O	O
diabetes	diabetes	O	DISEASE	OTHERS	I
.	.	O	O	O	O

