Sex	sex	O	O	O	O
from	from	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
models	models	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
basis	basis	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
nociceptive	nociceptive	O	O	O	O
fibers	fibers	O	O	O	O
activated	activated	O	O	O	O
,	,	O	O	O	O
neurochemical	neurochemical	O	O	O	O
substrates	substrates	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
duration	duration	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
nociceptive	nociceptive	O	O	O	O
stimulus	stimulus	O	O	O	O
.	.	O	O	O	O

To	to	O	O	O	O
this	this	O	O	O	O
end	end	O	O	O	O
,	,	O	O	O	O
persistent	persistent	O	O	O	O
hyperalgesia	hyperalgesia	O	DISEASE	OTHERS	I
was	was	O	O	O	O
induced	induced	O	O	O	O
by	by	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
capsaicin	capsaicin	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
tail	tail	O	O	O	O
of	of	O	O	O	O
gonadally	gonadally	O	O	O	O
intact	intact	O	O	O	O
F344	f344	O	O	O	O
rats	rats	O	O	O	O
,	,	O	O	O	O
following	following	O	O	O	O
which	which	O	O	O	O
the	the	O	O	O	O
tail	tail	O	O	O	O
was	was	O	O	O	O
immersed	immersed	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
mildly	mildly	O	O	O	O
noxious	noxious	O	O	O	O
thermal	thermal	O	O	O	O
stimulus	stimulus	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
tail-withdrawal	tail-withdrawal	O	O	O	O
latencies	latencies	O	O	O	O
measured	measured	O	O	O	O
.	.	O	O	O	O

For	for	O	O	O	O
comparison	comparison	O	O	O	O
,	,	O	O	O	O
tests	tests	O	O	O	O
were	were	O	O	O	O
conducted	conducted	O	O	O	O
in	in	O	O	O	O
two	two	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
models	models	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
hotplate	hotplate	O	O	O	O
and	and	O	O	O	O
warm	warm	O	O	O	O
water	water	O	O	O	O
tail-withdrawal	tail-withdrawal	O	O	O	O
procedures	procedures	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
males	males	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
non-competitive	non-competitive	O	O	O	O
NMDA	nmda	CHEMICALS	O	OTHERS	I
antagonist	antagonist	O	O	O	O
dextromethorphan	dextromethorphan	O	O	OTHERS	I
enhanced	enhanced	O	O	O	O
the	the	O	O	O	O
antihyperalgesic	antihyperalgesic	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
low	low	O	O	O	O
to	to	O	O	O	O
moderate	moderate	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
a	a	O	O	O	O
dose-and	dose-and	O	O	O	O
time-dependent	time-dependent	O	O	O	O
manner	manner	O	O	O	O
.	.	O	O	O	O

Across	across	O	O	O	O
the	the	O	O	O	O
doses	doses	O	O	O	O
and	and	O	O	O	O
pretreatment	pretreatment	O	O	O	O
times	times	O	O	O	O
examined	examined	O	O	O	O
,	,	O	O	O	O
enhancement	enhancement	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
females	females	O	O	O	O
.	.	O	O	O	O

Enhancement	enhancement	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
antinociception	antinociception	O	O	O	O
by	by	O	O	O	O
dextromethorphan	dextromethorphan	O	O	OTHERS	I
was	was	O	O	O	O
seen	seen	O	O	O	O
in	in	O	O	O	O
both	both	O	O	O	O
males	males	O	O	O	O
and	and	O	O	O	O
females	females	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
models	models	O	O	O	O
,	,	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
magnitude	magnitude	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
effect	effect	O	O	O	O
being	being	O	O	O	O
greater	greater	O	O	O	O
in	in	O	O	O	O
males	males	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
findings	findings	O	O	O	O
demonstrate	demonstrate	O	O	O	O
a	a	O	O	O	O
sexually-dimorphic	sexually-dimorphic	O	O	O	O
interaction	interaction	O	O	O	O
between	between	O	O	O	O
NMDA	nmda	CHEMICALS	O	OTHERS	I
antagonists	antagonists	O	O	O	O
and	and	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
a	a	O	O	O	O
persistent	persistent	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
model	model	O	O	O	O
that	that	O	O	O	O
can	can	O	O	O	O
be	be	O	O	O	O
distinguished	distinguished	O	O	O	O
from	from	O	O	O	O
those	those	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
models	models	O	O	O	O
.	.	O	O	O	O

