Interactive	interactive	O	O	O	O
%	%	O	O	O	O
by	by	O	O	O	O
lowering	lowering	O	O	O	O
simultaneously	simultaneously	O	O	O	O
[Na]o	[na]o	O	O	O	O
to	to	O	O	O	O
78	78	O	O	O	O
mM	mm	O	O	OTHERS	I
and	and	O	O	O	O
[Ca]o	[ca]o	O	O	O	O
to	to	O	O	O	O
0.675	0.675	O	O	O	O
mM	mm	O	O	OTHERS	I
(	(	O	O	O	O
LNa+LCa	lna+lca	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
31	31	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
5	5	O	O	O	O
%	%	O	O	O	O
by	by	O	O	O	O
lowering	lowering	O	O	O	O
[Na]o	[na]o	O	O	O	O
to	to	O	O	O	O
78	78	O	O	O	O
mM	mm	O	O	OTHERS	I
plus	plus	O	O	O	O
increasing	increasing	O	O	O	O
[Ca]o	[ca]o	O	O	O	O
to	to	O	O	O	O
3.6	3.6	O	O	O	O
mM	mm	O	O	OTHERS	I
(	(	O	O	O	O
LNa+HCa	lna+hca	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

At	at	O	O	O	O
normal	normal	O	O	O	O
[Na]o	[na]o	O	O	O	O
,	,	O	O	O	O
decrease	decrease	O	O	O	O
(	(	O	O	O	O
0.675	0.675	O	O	O	O
mM	mm	O	O	OTHERS	I
)	)	O	O	O	O
or	or	O	O	O	O
increase	increase	O	O	O	O
(	(	O	O	O	O
3.6	3.6	O	O	O	O
mM	mm	O	O	OTHERS	I
)	)	O	O	O	O
of	of	O	O	O	O
[Ca]o	[ca]o	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
modify	modify	O	O	O	O
BF	bf	O	O	O	O
;	;	O	O	O	O
a	a	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
ten	ten	O	O	O	O
times	times	O	O	O	O
(	(	O	O	O	O
0.135	0.135	O	O	O	O
mM	mm	O	O	OTHERS	I
of	of	O	O	O	O
normal	normal	O	O	O	O
[Ca]o	[ca]o	O	O	O	O
was	was	O	O	O	O
effective	effective	O	O	O	O
to	to	O	O	O	O
reduce	reduce	O	O	O	O
BF	bf	O	O	O	O
by	by	O	O	O	O
40	40	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
13	13	O	O	O	O
%	%	O	O	O	O
.	.	O	O	O	O

All	all	O	O	O	O
negative	negative	O	O	O	O
chronotropic	chronotropic	O	O	O	O
effects	effects	O	O	O	O
were	were	O	O	O	O
BF-dependent	bf-dependent	O	O	O	O
.	.	O	O	O	O

Dose-dependent	dose-dependent	O	O	O	O
bradycardia	bradycardia	O	DISEASE	OTHERS	I
induced	induced	O	O	O	O
by	by	O	O	O	O
verapamil	verapamil	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
potentiated	potentiated	O	O	O	O
by	by	O	O	O	O
LNa	lna	O	O	O	O
,	,	O	O	O	O
LCa	lca	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
HCa	hca	O	O	O	O
.	.	O	O	O	O

Independent	independent	O	O	O	O
but	but	O	O	O	O
not	not	O	O	O	O
additive	additive	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
Na	na	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
Ca	ca	CHEMICALS	O	OTHERS	I
are	are	O	O	O	O
shown	shown	O	O	O	O
by	by	O	O	O	O
decreases	decreases	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
values	values	O	O	O	O
of	of	O	O	O	O
[verapamil]o	[verapamil]o	O	O	O	O
needed	needed	O	O	O	O
to	to	O	O	O	O
reduce	reduce	O	O	O	O
BF	bf	O	O	O	O
by	by	O	O	O	O
30	30	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
IC30	ic30	O	O	O	O
)	)	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
following	following	O	O	O	O
order	order	O	O	O	O
of	of	O	O	O	O
inhibitory	inhibitory	O	O	O	O
potency	potency	O	O	O	O
:	:	O	O	O	O
LNa	lna	O	O	O	O
>	>	O	O	O	O
LCa	lca	O	O	O	O
>	>	O	O	O	O
HCa	hca	O	O	O	O
>	>	O	O	O	O
N	n	O	O	OTHERS	I
,	,	O	O	O	O
resulting	resulting	O	O	O	O
LNa+HCa	lna+hca	O	O	O	O
similar	similar	O	O	O	O
to	to	O	O	O	O
LNa	lna	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
[verapamil]o	[verapamil]o	O	O	O	O
that	that	O	O	O	O
arrested	arrested	O	O	O	O
atrial	atrial	O	O	O	O
beating	beating	O	O	O	O
(	(	O	O	O	O
AC	ac	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
also	also	O	O	O	O
potentiated	potentiated	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
order	order	O	O	O	O
LNa	lna	O	O	O	O
=	=	O	O	O	O
LNa+LCa	lna+lca	O	O	O	O
=	=	O	O	O	O
LNa+HCa	lna+hca	O	O	O	O
=	=	O	O	O	O
LCa	lca	O	O	O	O
>	>	O	O	O	O
HCa	hca	O	O	O	O
=	=	O	O	O	O
N.	n.	O	O	O	O
The	the	O	O	O	O
results	results	O	O	O	O
indicate	indicate	O	O	O	O
that	that	O	O	O	O
rat	rat	O	O	O	O
atrial	atrial	O	O	O	O
spontaneous	spontaneous	O	O	O	O
beating	beating	O	O	O	O
is	is	O	O	O	O
more	more	O	O	O	O
dependent	dependent	O	O	O	O
on	on	O	O	O	O
[Na]o	[na]o	O	O	O	O
than	than	O	O	O	O
on	on	O	O	O	O
[Ca]o	[ca]o	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
range	range	O	O	O	O
of	of	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
50	50	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
their	their	O	O	O	O
normal	normal	O	O	O	O
concentration	concentration	O	O	O	O
.	.	O	O	O	O

Also	also	O	O	O	O
the	the	O	O	O	O
enhancement	enhancement	O	O	O	O
of	of	O	O	O	O
verapamil	verapamil	CHEMICALS	O	OTHERS	I
effects	effects	O	O	O	O
on	on	O	O	O	O
atrial	atrial	O	O	O	O
beating	beating	O	O	O	O
was	was	O	O	O	O
more	more	O	O	O	O
pronounced	pronounced	O	O	O	O
at	at	O	O	O	O
LNa	lna	O	O	O	O
than	than	O	O	O	O
at	at	O	O	O	O
LCa.(ABSTRACT	lca.(abstract	O	O	O	O
TRUNCATED	truncated	O	O	O	O
AT	at	O	O	O	O
250	250	O	O	O	O
WORDS	words	O	O	O	O
)	)	O	O	O	O

