Co-carcinogenic	co-carcinogenic	O	O	O	O
BHA	bha	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
although	although	O	O	O	O
marked	marked	O	O	O	O
hyperplastic	hyperplastic	O	O	O	O
changes	changes	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
forestomach	forestomach	O	O	O	O
epithelium	epithelium	O	O	O	O
were	were	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
all	all	O	O	O	O
animals	animals	O	O	O	O
,	,	O	O	O	O
co-administration	co-administration	O	O	O	O
of	of	O	O	O	O
0.25	0.25	O	O	O	O
%	%	O	O	O	O
RA	ra	O	O	OTHERS	I
significantly	significantly	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
increased	increased	O	O	O	O
the	the	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
forestomach	forestomach	O	O	OTHERS	I
tumors	tumors	O	DISEASE	OTHERS	I
(	(	O	O	O	O
squamous	squamous	O	O	OTHERS	I
cell	cell	O	O	OTHERS	I
papilloma	papilloma	O	O	OTHERS	I
and	and	O	O	O	O
carcinoma	carcinoma	O	DISEASE	OTHERS	I
)	)	O	O	O	O
to	to	O	O	O	O
60	60	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
9/15	9/15	O	O	O	O
,	,	O	O	O	O
2	2	O	O	O	O
rats	rats	O	O	O	O
with	with	O	O	O	O
carcinoma	carcinoma	O	DISEASE	OTHERS	I
)	)	O	O	O	O
from	from	O	O	O	O
15	15	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
3/20	3/20	O	O	O	O
,	,	O	O	O	O
one	one	O	O	O	O
rat	rat	O	O	O	O
with	with	O	O	O	O
carcinoma	carcinoma	O	DISEASE	OTHERS	I
)	)	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
group	group	O	O	O	O
given	given	O	O	O	O
RA-free	ra-free	O	O	O	O
water	water	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
rats	rats	O	O	O	O
given	given	O	O	O	O
1	1	O	O	O	O
%	%	O	O	O	O
BHA	bha	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
RA	ra	O	O	OTHERS	I
co-administered	co-administered	O	O	O	O
at	at	O	O	O	O
a	a	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
0.05	0.05	O	O	O	O
,	,	O	O	O	O
0.1	0.1	O	O	O	O
,	,	O	O	O	O
0.2	0.2	O	O	O	O
or	or	O	O	O	O
0.25	0.25	O	O	O	O
%	%	O	O	O	O
showed	showed	O	O	O	O
a	a	O	O	O	O
dose-dependent	dose-dependent	O	O	O	O
enhancing	enhancing	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
development	development	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
BHA-induced	bha-induced	O	O	O	O
epithelial	epithelial	O	O	OTHERS	I
hyperplasia	hyperplasia	O	O	OTHERS	I
.	.	O	O	O	O

Tumors	tumors	O	DISEASE	OTHERS	I
,	,	O	O	O	O
all	all	O	O	O	O
papillomas	papillomas	O	O	OTHERS	I
,	,	O	O	O	O
were	were	O	O	O	O
induced	induced	O	O	O	O
in	in	O	O	O	O
3	3	O	O	O	O
rats	rats	O	O	O	O
(	(	O	O	O	O
17	17	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
with	with	O	O	O	O
0.25	0.25	O	O	O	O
%	%	O	O	O	O
RA	ra	O	O	OTHERS	I
and	and	O	O	O	O
in	in	O	O	O	O
one	one	O	O	O	O
rat	rat	O	O	O	O
(	(	O	O	O	O
10	10	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
with	with	O	O	O	O
0.05	0.05	O	O	O	O
%	%	O	O	O	O
RA	ra	O	O	OTHERS	I
co-administration	co-administration	O	O	O	O
.	.	O	O	O	O

RA	ra	O	O	OTHERS	I
alone	alone	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
induce	induce	O	O	O	O
hyperplastic	hyperplastic	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
forestomach	forestomach	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
findings	findings	O	O	O	O
indicate	indicate	O	O	O	O
that	that	O	O	O	O
RA	ra	O	O	OTHERS	I
acted	acted	O	O	O	O
as	as	O	O	O	O
a	a	O	O	O	O
co-carcinogen	co-carcinogen	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
BHA	bha	CHEMICALS	O	OTHERS	I
forestomach	forestomach	O	O	OTHERS	I
carcinogenesis	carcinogenesis	O	DISEASE	OTHERS	I
of	of	O	O	O	O
the	the	O	O	O	O
rat	rat	O	O	O	O
.	.	O	O	O	O

