Absence	absence	O	O	O	O
testing	testing	O	O	O	O
was	was	O	O	O	O
performed	performed	O	O	O	O
before	before	O	O	O	O
dosing	dosing	O	O	O	O
and	and	O	O	O	O
over	over	O	O	O	O
a	a	O	O	O	O
24-hour	24-hour	O	O	O	O
period	period	O	O	O	O
after	after	O	O	O	O
dosing	dosing	O	O	O	O
on	on	O	O	O	O
Days	days	O	O	O	O
1	1	O	O	O	O
,	,	O	O	O	O
2	2	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
25	25	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
Impairment	impairment	O	O	OTHERS	I
of	of	O	O	OTHERS	I
cognitive	cognitive	O	O	OTHERS	I
function	function	O	O	OTHERS	I
was	was	O	O	O	O
observed	observed	O	O	O	O
6	6	O	O	O	O
to	to	O	O	O	O
8	8	O	O	O	O
hours	hours	O	O	O	O
after	after	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
Day	day	O	O	O	O
2	2	O	O	O	O
but	but	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
evident	evident	O	O	O	O
23	23	O	O	O	O
hours	hours	O	O	O	O
after	after	O	O	O	O
dosing	dosing	O	O	O	O
.	.	O	O	O	O

When	when	O	O	O	O
single-dose	single-dose	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
given	given	O	O	O	O
again	again	O	O	O	O
25	25	O	O	O	O
days	days	O	O	O	O
later	later	O	O	O	O
,	,	O	O	O	O
greater	greater	O	O	O	O
impairment	impairment	O	O	O	O
with	with	O	O	O	O
earlier	earlier	O	O	O	O
onset	onset	O	O	O	O
was	was	O	O	O	O
noted	noted	O	O	O	O
in	in	O	O	O	O
several	several	O	O	O	O
tests	tests	O	O	O	O
in	in	O	O	O	O
both	both	O	O	O	O
treatment	treatment	O	O	O	O
groups	groups	O	O	O	O
,	,	O	O	O	O
suggesting	suggesting	O	O	O	O
enhancement	enhancement	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
effect	effect	O	O	O	O
.	.	O	O	O	O

There	there	O	O	O	O
was	was	O	O	O	O
no	no	O	O	O	O
indication	indication	O	O	O	O
that	that	O	O	O	O
sertraline	sertraline	CHEMICALS	O	OTHERS	I
exacerbated	exacerbated	O	O	O	O
the	the	O	O	O	O
impairment	impairment	O	O	O	O
produced	produced	O	O	O	O
by	by	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
since	since	O	O	O	O
an	an	O	O	O	O
equivalent	equivalent	O	O	O	O
effect	effect	O	O	O	O
also	also	O	O	O	O
occurred	occurred	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
placebo	placebo	O	O	O	O
group	group	O	O	O	O
.	.	O	O	O	O

Three	three	O	O	O	O
subjects	subjects	O	O	O	O
(	(	O	O	O	O
2	2	O	O	O	O
on	on	O	O	O	O
sertraline	sertraline	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
1	1	O	O	O	O
on	on	O	O	O	O
placebo	placebo	O	O	O	O
)	)	O	O	O	O
withdrew	withdrew	O	O	O	O
from	from	O	O	O	O
the	the	O	O	O	O
study	study	O	O	O	O
because	because	O	O	O	O
of	of	O	O	O	O
side	side	O	O	O	O
effects	effects	O	O	O	O
.	.	O	O	O	O

Ten	ten	O	O	O	O
subjects	subjects	O	O	O	O
in	in	O	O	O	O
each	each	O	O	O	O
group	group	O	O	O	O
reported	reported	O	O	O	O
side	side	O	O	O	O
effects	effects	O	O	O	O
related	related	O	O	O	O
to	to	O	O	O	O
treatment	treatment	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
side	side	O	O	O	O
effect	effect	O	O	O	O
profiles	profiles	O	O	O	O
of	of	O	O	O	O
sertraline	sertraline	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
of	of	O	O	O	O
placebo	placebo	O	O	O	O
were	were	O	O	O	O
similar	similar	O	O	O	O
.	.	O	O	O	O

CONCLUSION	conclusion	O	O	O	O
:	:	O	O	O	O
Haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
produced	produced	O	O	O	O
a	a	O	O	O	O
clear	clear	O	O	O	O
profile	profile	O	O	O	O
of	of	O	O	O	O
cognitive	cognitive	O	DISEASE	OTHERS	I
impairment	impairment	O	DISEASE	OTHERS	I
that	that	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
worsened	worsened	O	O	O	O
by	by	O	O	O	O
concomitant	concomitant	O	O	O	O
sertraline	sertraline	CHEMICALS	O	OTHERS	I
administration	administration	O	O	O	O
.	.	O	O	O	O

