On	on	O	O	O	O
development	development	O	O	O	O
of	of	O	O	O	O
tolerance	tolerance	O	O	O	O
:	:	O	O	O	O
about	about	O	O	O	O
half	half	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
animals	animals	O	O	O	O
showed	showed	O	O	O	O
a	a	O	O	O	O
rigidity	rigidity	O	DISEASE	OTHERS	I
after	after	O	O	O	O
the	the	O	O	O	O
test	test	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
that	that	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
significantly	significantly	O	O	O	O
less	less	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
controls	controls	O	O	O	O
and	and	O	O	O	O
were	were	O	O	O	O
akinetic	akinetic	O	DISEASE	OTHERS	I
(	(	O	O	O	O
A	a	O	O	O	O
group	group	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
other	other	O	O	O	O
rats	rats	O	O	O	O
showed	showed	O	O	O	O
a	a	O	O	O	O
strong	strong	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
rigidity	rigidity	O	DISEASE	OTHERS	I
and	and	O	O	O	O
the	the	O	O	O	O
occurrence	occurrence	O	O	O	O
of	of	O	O	O	O
stereotyped	stereotyped	O	O	O	O
(	(	O	O	O	O
S	s	O	O	O	O
)	)	O	O	O	O
licking	licking	O	O	O	O
and/or	and/or	O	O	O	O
gnawing	gnawing	O	O	O	O
in	in	O	O	O	O
presence	presence	O	O	O	O
of	of	O	O	O	O
akinetic	akinetic	O	DISEASE	OTHERS	I
or	or	O	O	O	O
hyperkinetic	hyperkinetic	O	O	OTHERS	I
(	(	O	O	O	O
K	k	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
behaviour	behaviour	O	O	O	O
(	(	O	O	O	O
AS/KS	as/ks	O	O	O	O
group	group	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
suggesting	suggesting	O	O	O	O
signs	signs	O	O	O	O
of	of	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
activation	activation	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
rigidity	rigidity	O	DISEASE	OTHERS	I
was	was	O	O	O	O
considerably	considerably	O	O	O	O
decreased	decreased	O	O	O	O
in	in	O	O	O	O
both	both	O	O	O	O
groups	groups	O	O	O	O
after	after	O	O	O	O
20	20	O	O	O	O
days	days	O	O	O	O
'	'	O	O	O	O
treatment	treatment	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
a	a	O	O	O	O
further	further	O	O	O	O
series	series	O	O	O	O
of	of	O	O	O	O
experiments	experiments	O	O	O	O
,	,	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
0.2	0.2	O	O	O	O
mg/kg	mg/kg	O	O	O	O
i.p	i.p	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
used	used	O	O	O	O
in	in	O	O	O	O
order	order	O	O	O	O
to	to	O	O	O	O
block	block	O	O	O	O
the	the	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
activation	activation	O	O	O	O
and	and	O	O	O	O
to	to	O	O	O	O
estimate	estimate	O	O	O	O
the	the	O	O	O	O
real	real	O	O	O	O
degree	degree	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
tolerance	tolerance	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
rigidity	rigidity	O	DISEASE	OTHERS	I
without	without	O	O	O	O
any	any	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
interference	interference	O	O	O	O
.	.	O	O	O	O

Haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
enhanced	enhanced	O	O	O	O
the	the	O	O	O	O
rigidity	rigidity	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
A	a	O	O	O	O
group	group	O	O	O	O
.	.	O	O	O	O

However	however	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
level	level	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
AS/KS	as/ks	O	O	O	O
group	group	O	O	O	O
remained	remained	O	O	O	O
considerably	considerably	O	O	O	O
lower	lower	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
A	a	O	O	O	O
group	group	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
results	results	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
rigidity	rigidity	O	DISEASE	OTHERS	I
,	,	O	O	O	O
which	which	O	O	O	O
is	is	O	O	O	O
assumed	assumed	O	O	O	O
to	to	O	O	O	O
be	be	O	O	O	O
due	due	O	O	O	O
to	to	O	O	O	O
an	an	O	O	O	O
action	action	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
striatum	striatum	O	O	O	O
,	,	O	O	O	O
can	can	O	O	O	O
be	be	O	O	O	O
antagonized	antagonized	O	O	O	O
by	by	O	O	O	O
another	another	O	O	O	O
process	process	O	O	O	O
leading	leading	O	O	O	O
to	to	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
activation	activation	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
striatum	striatum	O	O	O	O
.	.	O	O	O	O

Nevertheless	nevertheless	O	O	O	O
,	,	O	O	O	O
there	there	O	O	O	O
occurs	occurs	O	O	O	O
some	some	O	O	O	O
real	real	O	O	O	O
tolerance	tolerance	O	O	O	O
to	to	O	O	O	O
this	this	O	O	O	O
effect	effect	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
rapid	rapid	O	O	O	O
alternations	alternations	O	O	O	O
of	of	O	O	O	O
rigidity	rigidity	O	DISEASE	OTHERS	I
and	and	O	O	O	O
the	the	O	O	O	O
signs	signs	O	O	O	O
of	of	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
activation	activation	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
animals	animals	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
AS/KS	as/ks	O	O	O	O
group	group	O	O	O	O
might	might	O	O	O	O
be	be	O	O	O	O
due	due	O	O	O	O
to	to	O	O	O	O
rapid	rapid	O	O	O	O
shifts	shifts	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
predominance	predominance	O	O	O	O
of	of	O	O	O	O
various	various	O	O	O	O
DA-innervated	da-innervated	O	O	O	O
structures	structures	O	O	O	O
.	.	O	O	O	O

