Assessment	assessment	O	O	O	O
state	state	O	O	O	O
all	all	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
words	words	O	O	O	O
from	from	O	O	O	O
the	the	O	O	O	O
list	list	O	O	O	O
that	that	O	O	O	O
he	he	O	O	O	O
or	or	O	O	O	O
she	she	O	O	O	O
could	could	O	O	O	O
recall	recall	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
to	to	O	O	O	O
identify	identify	O	O	O	O
the	the	O	O	O	O
last	last	O	O	O	O
word	word	O	O	O	O
recalled	recalled	O	O	O	O
from	from	O	O	O	O
prior	prior	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
start	start	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
procedure	procedure	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
first	first	O	O	O	O
word	word	O	O	O	O
recalled	recalled	O	O	O	O
from	from	O	O	O	O
after	after	O	O	O	O
the	the	O	O	O	O
procedure	procedure	O	O	O	O
was	was	O	O	O	O
completed	completed	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
Seventy-five	seventy-five	O	O	O	O
consenting	consenting	O	O	O	O
patients	patients	O	O	O	O
were	were	O	O	O	O
enrolled	enrolled	O	O	O	O
;	;	O	O	O	O
one	one	O	O	O	O
patient	patient	O	O	O	O
was	was	O	O	O	O
excluded	excluded	O	O	O	O
from	from	O	O	O	O
data	data	O	O	O	O
analysis	analysis	O	O	O	O
for	for	O	O	O	O
a	a	O	O	O	O
protocol	protocol	O	O	O	O
violation	violation	O	O	O	O
.	.	O	O	O	O

No	no	O	O	O	O
serious	serious	O	O	O	O
adverse	adverse	O	O	O	O
events	events	O	O	O	O
were	were	O	O	O	O
noted	noted	O	O	O	O
during	during	O	O	O	O
the	the	O	O	O	O
procedural	procedural	O	O	O	O
sedations	sedations	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
mean	mean	O	O	O	O
(	(	O	O	O	O
+	+	O	O	O	O
/-standard	/-standard	O	O	O	O
deviation	deviation	O	O	O	O
)	)	O	O	O	O
time	time	O	O	O	O
of	of	O	O	O	O
data	data	O	O	O	O
collection	collection	O	O	O	O
was	was	O	O	O	O
16.4	16.4	O	O	O	O
minutes	minutes	O	O	O	O
(	(	O	O	O	O
+	+	O	O	O	O
/-7.1	/-7.1	O	O	O	O
;	;	O	O	O	O
range	range	O	O	O	O
5	5	O	O	O	O
to	to	O	O	O	O
34	34	O	O	O	O
minutes	minutes	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
mean	mean	O	O	O	O
initial	initial	O	O	O	O
(	(	O	O	O	O
preprocedure	preprocedure	O	O	O	O
)	)	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
was	was	O	O	O	O
97.1	97.1	O	O	O	O
(	(	O	O	O	O
+	+	O	O	O	O
/-2.3	/-2.3	O	O	O	O
;	;	O	O	O	O
range	range	O	O	O	O
92	92	O	O	O	O
to	to	O	O	O	O
99	99	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
mean	mean	O	O	O	O
lowest	lowest	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
occurring	occurring	O	O	O	O
during	during	O	O	O	O
these	these	O	O	O	O
procedural	procedural	O	O	O	O
sedations	sedations	O	O	O	O
was	was	O	O	O	O
66.9	66.9	O	O	O	O
(	(	O	O	O	O
+	+	O	O	O	O
/-14.4	/-14.4	O	O	O	O
;	;	O	O	O	O
range	range	O	O	O	O
33	33	O	O	O	O
to	to	O	O	O	O
91	91	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
mean	mean	O	O	O	O
lowest	lowest	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
corresponding	corresponding	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
ability	ability	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
to	to	O	O	O	O
immediately	immediately	O	O	O	O
repeat	repeat	O	O	O	O
words	words	O	O	O	O
read	read	O	O	O	O
from	from	O	O	O	O
the	the	O	O	O	O
list	list	O	O	O	O
was	was	O	O	O	O
77.1	77.1	O	O	O	O
(	(	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
=	=	O	O	O	O
74.3	74.3	O	O	O	O
to	to	O	O	O	O
80.0	80.0	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
mean	mean	O	O	O	O
highest	highest	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
corresponding	corresponding	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
inability	inability	O	O	OTHERS	I
to	to	O	O	OTHERS	I
repeat	repeat	O	O	OTHERS	I
words	words	O	O	OTHERS	I
was	was	O	O	O	O
81.5	81.5	O	O	O	O
(	(	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
=	=	O	O	O	O
78.1	78.1	O	O	O	O
to	to	O	O	O	O
84.8	84.8	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
mean	mean	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
corresponding	corresponding	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
last	last	O	O	O	O
word	word	O	O	O	O
recalled	recalled	O	O	O	O
from	from	O	O	O	O
prior	prior	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
initiation	initiation	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
sedation	sedation	O	O	O	O
was	was	O	O	O	O
96.7	96.7	O	O	O	O
(	(	O	O	O	O
+	+	O	O	O	O
/-2.4	/-2.4	O	O	O	O
;	;	O	O	O	O
range	range	O	O	O	O
84	84	O	O	O	O
to	to	O	O	O	O
98	98	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
mean	mean	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
corresponding	corresponding	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
first	first	O	O	O	O
word	word	O	O	O	O
recalled	recalled	O	O	O	O
after	after	O	O	O	O
the	the	O	O	O	O
procedure	procedure	O	O	O	O
was	was	O	O	O	O
completed	completed	O	O	O	O
was	was	O	O	O	O
91.2	91.2	O	O	O	O
(	(	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
=	=	O	O	O	O
88.1	88.1	O	O	O	O
to	to	O	O	O	O
94.3	94.3	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

All	all	O	O	O	O
patients	patients	O	O	O	O
recalled	recalled	O	O	O	O
at	at	O	O	O	O
least	least	O	O	O	O
one	one	O	O	O	O
word	word	O	O	O	O
that	that	O	O	O	O
had	had	O	O	O	O
been	been	O	O	O	O
read	read	O	O	O	O
to	to	O	O	O	O
them	them	O	O	O	O
during	during	O	O	O	O
the	the	O	O	O	O
protocol	protocol	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
mean	mean	O	O	O	O
lowest	lowest	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
for	for	O	O	O	O
any	any	O	O	O	O
recalled	recalled	O	O	O	O
word	word	O	O	O	O
was	was	O	O	O	O
91.5	91.5	O	O	O	O
(	(	O	O	O	O
+	+	O	O	O	O
/-11.1	/-11.1	O	O	O	O
;	;	O	O	O	O
range	range	O	O	O	O
79	79	O	O	O	O
to	to	O	O	O	O
98	98	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
no	no	O	O	O	O
words	words	O	O	O	O
were	were	O	O	O	O
recalled	recalled	O	O	O	O
when	when	O	O	O	O
the	the	O	O	O	O
corresponding	corresponding	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
was	was	O	O	O	O
less	less	O	O	O	O
than	than	O	O	O	O
90	90	O	O	O	O
.	.	O	O	O	O

CONCLUSIONS	conclusions	O	O	O	O
:	:	O	O	O	O
There	there	O	O	O	O
is	is	O	O	O	O
a	a	O	O	O	O
range	range	O	O	O	O
of	of	O	O	O	O
BIS	bis	O	O	O	O
scores	scores	O	O	O	O
during	during	O	O	O	O
which	which	O	O	O	O
sedated	sedated	O	O	O	O
patients	patients	O	O	O	O
are	are	O	O	O	O
able	able	O	O	O	O
to	to	O	O	O	O
repeat	repeat	O	O	O	O
words	words	O	O	O	O
read	read	O	O	O	O
to	to	O	O	O	O
them	them	O	O	O	O
but	but	O	O	O	O
are	are	O	O	O	O
not	not	O	O	O	O
able	able	O	O	O	O
to	to	O	O	O	O
subsequently	subsequently	O	O	O	O
recall	recall	O	O	O	O
these	these	O	O	O	O
words	words	O	O	O	O
.	.	O	O	O	O

Furthermore	furthermore	O	O	O	O
,	,	O	O	O	O
patients	patients	O	O	O	O
had	had	O	O	O	O
no	no	O	O	O	O
recall	recall	O	O	O	O
of	of	O	O	O	O
words	words	O	O	O	O
repeated	repeated	O	O	O	O
prior	prior	O	O	O	O
to	to	O	O	O	O
procedural	procedural	O	O	O	O
sedation	sedation	O	O	O	O
in	in	O	O	O	O
BIS	bis	O	O	O	O
ranges	ranges	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
recall	recall	O	O	O	O
after	after	O	O	O	O
procedural	procedural	O	O	O	O
sedation	sedation	O	O	O	O
,	,	O	O	O	O
suggestive	suggestive	O	O	O	O
of	of	O	O	O	O
retrograde	retrograde	O	O	OTHERS	I
amnesia	amnesia	O	DISEASE	OTHERS	I
.	.	O	O	O	O

