Reduced	reduced	O	O	O	O
survival	survival	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
Six	six	O	O	O	O
percent	percent	O	O	O	O
of	of	O	O	O	O
MC	mc	O	O	OTHERS	I
patients	patients	O	O	O	O
versus	versus	O	O	O	O
21	21	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
including	including	O	O	O	O
five	five	O	O	O	O
cases	cases	O	O	O	O
of	of	O	O	O	O
CHF	chf	O	DISEASE	OTHERS	I
)	)	O	O	O	O
of	of	O	O	O	O
AC	ac	O	O	O	O
patients	patients	O	O	O	O
developed	developed	O	O	O	O
cardiotoxicity	cardiotoxicity	O	DISEASE	OTHERS	I
(	(	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
.0002	.0002	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Median	median	O	O	O	O
cumulative	cumulative	O	O	O	O
doxorubicin	doxorubicin	CHEMICALS	O	OTHERS	I
dose	dose	O	O	O	O
at	at	O	O	O	O
onset	onset	O	O	O	O
was	was	O	O	O	O
more	more	O	O	O	O
than	than	O	O	O	O
2,220	2,220	O	O	O	O
mg/m(2	mg/m(2	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
MC	mc	O	O	OTHERS	I
versus	versus	O	O	O	O
480	480	O	O	O	O
mg/m(2	mg/m(2	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
AC	ac	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
.0001	.0001	O	O	O	O
,	,	O	O	O	O
hazard	hazard	O	O	O	O
ratio	ratio	O	O	O	O
,	,	O	O	O	O
5.04	5.04	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

MC	mc	O	O	OTHERS	I
patients	patients	O	O	O	O
also	also	O	O	O	O
experienced	experienced	O	O	O	O
less	less	O	O	O	O
grade	grade	O	O	O	O
4	4	O	O	O	O
neutropenia	neutropenia	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Antitumor	antitumor	O	O	O	O
efficacy	efficacy	O	O	O	O
of	of	O	O	O	O
MC	mc	O	O	OTHERS	I
versus	versus	O	O	O	O
AC	ac	O	O	O	O
was	was	O	O	O	O
comparable	comparable	O	O	O	O
:	:	O	O	O	O
objective	objective	O	O	O	O
response	response	O	O	O	O
rates	rates	O	O	O	O
,	,	O	O	O	O
43	43	O	O	O	O
%	%	O	O	O	O
versus	versus	O	O	O	O
43	43	O	O	O	O
%	%	O	O	O	O
;	;	O	O	O	O
median	median	O	O	O	O
time	time	O	O	O	O
to	to	O	O	O	O
progression	progression	O	O	O	O
,	,	O	O	O	O
5.1	5.1	O	O	O	O
%	%	O	O	O	O
versus	versus	O	O	O	O
5.5	5.5	O	O	O	O
months	months	O	O	O	O
;	;	O	O	O	O
median	median	O	O	O	O
time	time	O	O	O	O
to	to	O	O	O	O
treatment	treatment	O	O	O	O
failure	failure	O	O	O	O
,	,	O	O	O	O
4.6	4.6	O	O	O	O
versus	versus	O	O	O	O
4.4	4.4	O	O	O	O
months	months	O	O	O	O
;	;	O	O	O	O
and	and	O	O	O	O
median	median	O	O	O	O
survival	survival	O	O	O	O
,	,	O	O	O	O
19	19	O	O	O	O
versus	versus	O	O	O	O
16	16	O	O	O	O
months	months	O	O	O	O
.	.	O	O	O	O

CONCLUSION	conclusion	O	O	O	O
:	:	O	O	O	O
Myocet	myocet	O	O	OTHERS	I
improves	improves	O	O	O	O
the	the	O	O	O	O
therapeutic	therapeutic	O	O	O	O
index	index	O	O	O	O
of	of	O	O	O	O
doxorubicin	doxorubicin	CHEMICALS	O	OTHERS	I
by	by	O	O	O	O
significantly	significantly	O	O	O	O
reducing	reducing	O	O	O	O
cardiotoxicity	cardiotoxicity	O	DISEASE	OTHERS	I
and	and	O	O	O	O
grade	grade	O	O	O	O
4	4	O	O	O	O
neutropenia	neutropenia	O	DISEASE	OTHERS	I
and	and	O	O	O	O
provides	provides	O	O	O	O
comparable	comparable	O	O	O	O
antitumor	antitumor	O	O	O	O
efficacy	efficacy	O	O	O	O
,	,	O	O	O	O
when	when	O	O	O	O
used	used	O	O	O	O
in	in	O	O	O	O
combination	combination	O	O	O	O
with	with	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
as	as	O	O	O	O
first-line	first-line	O	O	O	O
therapy	therapy	O	O	O	O
for	for	O	O	O	O
MBC	mbc	O	O	OTHERS	I
.	.	O	O	O	O

