Anti-oxidant	anti-oxidant	O	O	O	O
Sprague-Dawley	sprague-dawley	O	O	O	O
(	(	O	O	O	O
SD	sd	O	O	OTHERS	I
)	)	O	O	O	O
rats	rats	O	O	O	O
,	,	O	O	O	O
thereby	thereby	O	O	O	O
reducing	reducing	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
.	.	O	O	O	O

2	2	O	O	O	O
.	.	O	O	O	O
Male	male	O	O	O	O
SD	sd	O	O	OTHERS	I
rats	rats	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
30	30	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
Ato	ato	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
50	50	O	O	O	O
mg/kg	mg/kg	O	O	O	O
per	per	O	O	O	O
day	day	O	O	O	O
in	in	O	O	O	O
drinking	drinking	CHEMICALS	O	OTHERS	I
water	water	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
or	or	O	O	O	O
tap	tap	O	O	O	O
water	water	O	O	O	O
for	for	O	O	O	O
15	15	O	O	O	O
days	days	O	O	O	O
.	.	O	O	O	O

Dexamethasone	dexamethasone	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
10	10	O	O	O	O
microg/kg	microg/kg	O	O	O	O
per	per	O	O	O	O
day	day	O	O	O	O
,	,	O	O	O	O
s.c	s.c	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
saline	saline	O	O	O	O
was	was	O	O	O	O
started	started	O	O	O	O
after	after	O	O	O	O
4	4	O	O	O	O
days	days	O	O	O	O
in	in	O	O	O	O
Ato-treated	ato-treated	O	O	O	O
and	and	O	O	O	O
non-treated	non-treated	O	O	O	O
rats	rats	O	O	O	O
and	and	O	O	O	O
continued	continued	O	O	O	O
for	for	O	O	O	O
11	11	O	O	O	O
-	-	O	O	O	O
13	13	O	O	O	O
days	days	O	O	O	O
.	.	O	O	O	O

Systolic	systolic	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
(	(	O	O	O	O
SBP	sbp	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
measured	measured	O	O	O	O
on	on	O	O	O	O
alternate	alternate	O	O	O	O
days	days	O	O	O	O
using	using	O	O	O	O
the	the	O	O	O	O
tail-cuff	tail-cuff	O	O	O	O
method	method	O	O	O	O
.	.	O	O	O	O

Endothelial	endothelial	O	O	O	O
function	function	O	O	O	O
was	was	O	O	O	O
assessed	assessed	O	O	O	O
by	by	O	O	O	O
acetylcholine-induced	acetylcholine-induced	O	O	O	O
vasorelaxation	vasorelaxation	O	O	O	O
and	and	O	O	O	O
phenylephrine-induced	phenylephrine-induced	O	O	O	O
vasoconstriction	vasoconstriction	O	O	O	O
in	in	O	O	O	O
aortic	aortic	O	O	O	O
segments	segments	O	O	O	O
.	.	O	O	O	O

Vascular	vascular	O	O	O	O
eNOS	enos	O	O	O	O
mRNA	mrna	O	O	O	O
was	was	O	O	O	O
assessed	assessed	O	O	O	O
by	by	O	O	O	O
semi-quantitative	semi-quantitative	O	O	O	O
reverse	reverse	O	O	O	O
transcription-polymerase	transcription-polymerase	O	O	O	O
chain	chain	O	O	O	O
reaction	reaction	O	O	O	O
.	.	O	O	O	O

3	3	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
rats	rats	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
Dex	dex	CHEMICALS	O	OTHERS	I
alone	alone	O	O	O	O
,	,	O	O	O	O
SBP	sbp	O	O	O	O
was	was	O	O	O	O
increased	increased	O	O	O	O
from	from	O	O	O	O
109	109	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
to	to	O	O	O	O
133	133	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
mmHg	mmhg	O	O	O	O
on	on	O	O	O	O
Days	days	O	O	O	O
4	4	O	O	O	O
and	and	O	O	O	O
Day	day	O	O	O	O
14	14	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
Ato	ato	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
Dex	dex	CHEMICALS	O	OTHERS	I
group	group	O	O	O	O
,	,	O	O	O	O
SBP	sbp	O	O	O	O
was	was	O	O	O	O
increased	increased	O	O	O	O
from	from	O	O	O	O
113	113	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
to	to	O	O	O	O
119	119	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
mmHg	mmhg	O	O	O	O
on	on	O	O	O	O
Days	days	O	O	O	O
4	4	O	O	O	O
to	to	O	O	O	O
14	14	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
was	was	O	O	O	O
significantly	significantly	O	O	O	O
lower	lower	O	O	O	O
than	than	O	O	O	O
SBP	sbp	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
group	group	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
Dex	dex	CHEMICALS	O	OTHERS	I
alone	alone	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Endothelial-dependent	endothelial-dependent	O	O	O	O
relaxation	relaxation	O	O	O	O
and	and	O	O	O	O
eNOS	enos	O	O	O	O
mRNA	mrna	O	O	O	O
expression	expression	O	O	O	O
were	were	O	O	O	O
greater	greater	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
Dex	dex	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
Ato	ato	CHEMICALS	O	OTHERS	I
group	group	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
Dex	dex	CHEMICALS	O	OTHERS	I
only	only	O	O	O	O
group	group	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.05	0.05	O	O	O	O
and	and	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.0001	0.0001	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Aortic	aortic	O	O	O	O
superoxide	superoxide	CHEMICALS	O	OTHERS	I
production	production	O	O	O	O
was	was	O	O	O	O
lower	lower	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
Dex	dex	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
Ato	ato	CHEMICALS	O	OTHERS	I
group	group	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
group	group	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
Dex	dex	CHEMICALS	O	OTHERS	I
alone	alone	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.0001	0.0001	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

4	4	O	O	O	O
.	.	O	O	O	O

Treatment	treatment	O	O	O	O
with	with	O	O	O	O
Ato	ato	CHEMICALS	O	OTHERS	I
improved	improved	O	O	O	O
endothelial	endothelial	O	O	O	O
function	function	O	O	O	O
,	,	O	O	O	O
reduced	reduced	O	O	O	O
superoxide	superoxide	CHEMICALS	O	OTHERS	I
production	production	O	O	O	O
and	and	O	O	O	O
reduced	reduced	O	O	O	O
SBP	sbp	O	O	O	O
in	in	O	O	O	O
Dex-treated	dex-treated	O	O	O	O
SD	sd	O	O	OTHERS	I
rats	rats	O	O	O	O
.	.	O	O	O	O

