Evidence	evidence	O	O	O	O
'	'	O	O	O	O
off	off	O	O	O	O
'	'	O	O	O	O
signs	signs	O	O	O	O
and	and	O	O	O	O
LID	lid	O	DISEASE	OTHERS	I
and	and	O	O	O	O
the	the	O	O	O	O
different	different	O	O	O	O
correlations	correlations	O	O	O	O
of	of	O	O	O	O
ventral	ventral	O	O	O	O
lesion	lesion	O	O	O	O
volume	volume	O	O	O	O
with	with	O	O	O	O
dyskinesias	dyskinesias	O	DISEASE	OTHERS	I
and	and	O	O	O	O
parkinsonian	parkinsonian	O	DISEASE	OTHERS	I
'	'	O	O	O	O
off	off	O	O	O	O
'	'	O	O	O	O
signs	signs	O	O	O	O
indicate	indicate	O	O	O	O
that	that	O	O	O	O
different	different	O	O	O	O
anatomical	anatomical	O	O	O	O
or	or	O	O	O	O
pathophysiological	pathophysiological	O	O	O	O
substrates	substrates	O	O	O	O
may	may	O	O	O	O
be	be	O	O	O	O
responsible	responsible	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
generation	generation	O	O	O	O
of	of	O	O	O	O
parkinsonian	parkinsonian	O	DISEASE	OTHERS	I
'	'	O	O	O	O
off	off	O	O	O	O
'	'	O	O	O	O
signs	signs	O	O	O	O
and	and	O	O	O	O
dyskinesias	dyskinesias	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Whereas	whereas	O	O	O	O
cells	cells	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
wider	wider	O	O	O	O
area	area	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
GPi	gpi	O	O	O	O
may	may	O	O	O	O
be	be	O	O	O	O
implicated	implicated	O	O	O	O
in	in	O	O	O	O
parkinsonism	parkinsonism	O	DISEASE	OTHERS	I
,	,	O	O	O	O
the	the	O	O	O	O
ventral	ventral	O	O	O	O
GPi	gpi	O	O	O	O
seems	seems	O	O	O	O
to	to	O	O	O	O
be	be	O	O	O	O
crucial	crucial	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
manifestation	manifestation	O	O	O	O
of	of	O	O	O	O
LID	lid	O	DISEASE	OTHERS	I
.	.	O	O	O	O

We	we	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
our	our	O	O	O	O
observations	observations	O	O	O	O
are	are	O	O	O	O
additional	additional	O	O	O	O
proof	proof	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
functional	functional	O	O	O	O
somatotopy	somatotopy	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
systems	systems	O	O	O	O
within	within	O	O	O	O
the	the	O	O	O	O
GPi	gpi	O	O	O	O
that	that	O	O	O	O
mediate	mediate	O	O	O	O
parkinsonism	parkinsonism	O	DISEASE	OTHERS	I
and	and	O	O	O	O
dyskinesias	dyskinesias	O	DISEASE	OTHERS	I
,	,	O	O	O	O
especially	especially	O	O	O	O
along	along	O	O	O	O
the	the	O	O	O	O
dorsoventral	dorsoventral	O	O	O	O
trajectory	trajectory	O	O	O	O
used	used	O	O	O	O
in	in	O	O	O	O
pallidotomy	pallidotomy	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
outcome	outcome	O	O	O	O
of	of	O	O	O	O
pallidotomy	pallidotomy	O	O	O	O
in	in	O	O	O	O
which	which	O	O	O	O
the	the	O	O	O	O
lesion	lesion	O	O	O	O
involves	involves	O	O	O	O
the	the	O	O	O	O
ventral	ventral	O	O	O	O
and	and	O	O	O	O
dorsal	dorsal	O	O	O	O
GPi	gpi	O	O	O	O
could	could	O	O	O	O
be	be	O	O	O	O
the	the	O	O	O	O
net	net	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
alteration	alteration	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
activity	activity	O	O	O	O
of	of	O	O	O	O
pathways	pathways	O	O	O	O
which	which	O	O	O	O
mediate	mediate	O	O	O	O
different	different	O	O	O	O
symptoms	symptoms	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
hence	hence	O	O	O	O
could	could	O	O	O	O
be	be	O	O	O	O
variable	variable	O	O	O	O
.	.	O	O	O	O

