Placebo-level	placebo-level	O	O	O	O
to	to	O	O	O	O
800	800	O	O	O	O
mg/day	mg/day	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
combination	combination	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
mood	mood	O	O	O	O
stabilizer	stabilizer	O	O	O	O
(	(	O	O	O	O
lithium	lithium	CHEMICALS	O	OTHERS	I
or	or	O	O	O	O
divalproex	divalproex	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
QTP	qtp	O	O	OTHERS	I
+	+	O	O	O	O
Li/DVP	li/dvp	O	O	O	O
)	)	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
196	196	O	O	O	O
)	)	O	O	O	O
compared	compared	O	O	O	O
to	to	O	O	O	O
placebo	placebo	O	O	O	O
and	and	O	O	O	O
mood	mood	O	O	O	O
stabilizer	stabilizer	O	O	O	O
(	(	O	O	O	O
PBO	pbo	O	O	O	O
+	+	O	O	O	O
Li/DVP	li/dvp	O	O	O	O
)	)	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
203	203	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Extrapyramidal	extrapyramidal	O	DISEASE	OTHERS	I
symptoms	symptoms	O	DISEASE	OTHERS	I
were	were	O	O	O	O
evaluated	evaluated	O	O	O	O
using	using	O	O	O	O
the	the	O	O	O	O
Simpson-Angus	simpson-angus	O	O	O	O
Scale	scale	O	O	O	O
(	(	O	O	O	O
SAS	sas	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
Barnes	barnes	O	O	O	O
Akathisia	akathisia	O	DISEASE	OTHERS	I
Rating	rating	O	O	O	O
Scale	scale	O	O	O	O
(	(	O	O	O	O
BARS	bars	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
adverse	adverse	O	O	O	O
event	event	O	O	O	O
reports	reports	O	O	O	O
and	and	O	O	O	O
anticholinergic	anticholinergic	O	O	O	O
drug	drug	O	O	O	O
usage	usage	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
EPS-related	eps-related	O	O	O	O
adverse	adverse	O	O	O	O
events	events	O	O	O	O
,	,	O	O	O	O
including	including	O	O	O	O
akathisia	akathisia	O	DISEASE	OTHERS	I
,	,	O	O	O	O
was	was	O	O	O	O
no	no	O	O	O	O
different	different	O	O	O	O
with	with	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
monotherapy	monotherapy	O	O	O	O
(	(	O	O	O	O
12.9	12.9	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
than	than	O	O	O	O
with	with	O	O	O	O
placebo	placebo	O	O	O	O
(	(	O	O	O	O
13.1	13.1	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Similarly	similarly	O	O	O	O
,	,	O	O	O	O
EPS-related	eps-related	O	O	O	O
adverse	adverse	O	O	O	O
events	events	O	O	O	O
with	with	O	O	O	O
QTP	qtp	O	O	OTHERS	I
+	+	O	O	O	O
Li/DVP	li/dvp	O	O	O	O
(	(	O	O	O	O
21.4	21.4	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
no	no	O	O	O	O
different	different	O	O	O	O
than	than	O	O	O	O
with	with	O	O	O	O
PBO	pbo	O	O	O	O
+	+	O	O	O	O
Li/DVP	li/dvp	O	O	O	O
(	(	O	O	O	O
19.2	19.2	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Adverse	adverse	O	O	O	O
events	events	O	O	O	O
related	related	O	O	O	O
to	to	O	O	O	O
EPS	eps	O	DISEASE	OTHERS	I
occurred	occurred	O	O	O	O
in	in	O	O	O	O
59.6	59.6	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
patients	patients	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
99	99	O	O	O	O
)	)	O	O	O	O
monotherapy	monotherapy	O	O	O	O
,	,	O	O	O	O
whereas	whereas	O	O	O	O
26.5	26.5	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
patients	patients	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
lithium	lithium	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
98	98	O	O	O	O
)	)	O	O	O	O
monotherapy	monotherapy	O	O	O	O
experienced	experienced	O	O	O	O
adverse	adverse	O	O	O	O
events	events	O	O	O	O
related	related	O	O	O	O
to	to	O	O	O	O
EPS	eps	O	DISEASE	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
akathisia	akathisia	O	DISEASE	OTHERS	I
was	was	O	O	O	O
low	low	O	O	O	O
and	and	O	O	O	O
similar	similar	O	O	O	O
with	with	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
monotherapy	monotherapy	O	O	O	O
(	(	O	O	O	O
3.3	3.3	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
placebo	placebo	O	O	O	O
(	(	O	O	O	O
6.1	6.1	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
with	with	O	O	O	O
QTP	qtp	O	O	OTHERS	I
+	+	O	O	O	O
Li/DVP	li/dvp	O	O	O	O
(	(	O	O	O	O
3.6	3.6	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
PBO	pbo	O	O	O	O
+	+	O	O	O	O
Li/DVP	li/dvp	O	O	O	O
(	(	O	O	O	O
4.9	4.9	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Lithium	lithium	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
significantly	significantly	O	O	O	O
higher	higher	O	O	O	O
incidence	incidence	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
<	<	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
tremor	tremor	O	DISEASE	OTHERS	I
(	(	O	O	O	O
18.4	18.4	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
than	than	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
(	(	O	O	O	O
5.6	5.6	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
;	;	O	O	O	O
cerebellar	cerebellar	O	O	O	O
tremor	tremor	O	DISEASE	OTHERS	I
,	,	O	O	O	O
which	which	O	O	O	O
is	is	O	O	O	O
a	a	O	O	O	O
known	known	O	O	O	O
adverse	adverse	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
lithium	lithium	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
may	may	O	O	O	O
have	have	O	O	O	O
contributed	contributed	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
elevated	elevated	O	O	O	O
rate	rate	O	O	O	O
of	of	O	O	O	O
tremor	tremor	O	DISEASE	OTHERS	I
in	in	O	O	O	O
patients	patients	O	O	O	O
receiving	receiving	O	O	O	O
lithium	lithium	CHEMICALS	O	OTHERS	I
therapy	therapy	O	O	O	O
.	.	O	O	O	O

Haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
induced	induced	O	O	O	O
a	a	O	O	O	O
significantly	significantly	O	O	O	O
higher	higher	O	O	O	O
incidence	incidence	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
<	<	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
akathisia	akathisia	O	DISEASE	OTHERS	I
(	(	O	O	O	O
33.3	33.3	O	O	O	O
%	%	O	O	O	O
versus	versus	O	O	O	O
5.9	5.9	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
tremor	tremor	O	DISEASE	OTHERS	I
(	(	O	O	O	O
30.3	30.3	O	O	O	O
%	%	O	O	O	O
versus	versus	O	O	O	O
7.8	7.8	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
extrapyramidal	extrapyramidal	O	O	OTHERS	I
syndrome	syndrome	O	O	OTHERS	I
(	(	O	O	O	O
35.4	35.4	O	O	O	O
%	%	O	O	O	O
versus	versus	O	O	O	O
5.9	5.9	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
than	than	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
.	.	O	O	O	O

No	no	O	O	O	O
significant	significant	O	O	O	O
differences	differences	O	O	O	O
were	were	O	O	O	O
observed	observed	O	O	O	O
between	between	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
and	and	O	O	O	O
placebo	placebo	O	O	O	O
on	on	O	O	O	O
SAS	sas	O	O	O	O
and	and	O	O	O	O
BARS	bars	O	O	O	O
scores	scores	O	O	O	O
.	.	O	O	O	O

Anticholinergic	anticholinergic	O	O	O	O
use	use	O	O	O	O
was	was	O	O	O	O
low	low	O	O	O	O
and	and	O	O	O	O
similar	similar	O	O	O	O
with	with	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
or	or	O	O	O	O
placebo	placebo	O	O	O	O
.	.	O	O	O	O

CONCLUSIONS	conclusions	O	O	O	O
:	:	O	O	O	O
In	in	O	O	O	O
bipolar	bipolar	O	DISEASE	OTHERS	I
mania	mania	O	DISEASE	OTHERS	I
,	,	O	O	O	O
the	the	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
EPS	eps	O	DISEASE	OTHERS	I
,	,	O	O	O	O
including	including	O	O	O	O
akathisia	akathisia	O	DISEASE	OTHERS	I
,	,	O	O	O	O
with	with	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
therapy	therapy	O	O	O	O
is	is	O	O	O	O
similar	similar	O	O	O	O
to	to	O	O	O	O
that	that	O	O	O	O
with	with	O	O	O	O
placebo	placebo	O	O	O	O
.	.	O	O	O	O

