Analgesic	analgesic	O	O	O	O
given	given	O	O	O	O
to	to	O	O	O	O
10	10	O	O	O	O
cancer	cancer	O	DISEASE	OTHERS	I
patients	patients	O	O	O	O
whose	whose	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
was	was	O	O	O	O
unrelieved	unrelieved	O	O	O	O
by	by	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
a	a	O	O	O	O
randomized	randomized	O	O	O	O
,	,	O	O	O	O
double-blind	double-blind	O	O	O	O
,	,	O	O	O	O
crossover	crossover	O	O	O	O
,	,	O	O	O	O
double-dose	double-dose	O	O	O	O
study	study	O	O	O	O
.	.	O	O	O	O

Pain	pain	O	DISEASE	OTHERS	I
intensity	intensity	O	O	O	O
on	on	O	O	O	O
a	a	O	O	O	O
0	0	O	O	O	O
to	to	O	O	O	O
10	10	O	O	O	O
numerical	numerical	O	O	O	O
scale	scale	O	O	O	O
;	;	O	O	O	O
nausea	nausea	O	DISEASE	OTHERS	I
and	and	O	O	O	O
vomiting	vomiting	O	DISEASE	OTHERS	I
,	,	O	O	O	O
drowsiness	drowsiness	O	O	OTHERS	I
,	,	O	O	O	O
confusion	confusion	O	DISEASE	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
dry	dry	O	DISEASE	OTHERS	I
mouth	mouth	O	DISEASE	OTHERS	I
,	,	O	O	O	O
using	using	O	O	O	O
a	a	O	O	O	O
scale	scale	O	O	O	O
from	from	O	O	O	O
0	0	O	O	O	O
to	to	O	O	O	O
3	3	O	O	O	O
(	(	O	O	O	O
not	not	O	O	O	O
at	at	O	O	O	O
all	all	O	O	O	O
,	,	O	O	O	O
slight	slight	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
lot	lot	O	O	O	O
,	,	O	O	O	O
awful	awful	O	O	O	O
)	)	O	O	O	O
;	;	O	O	O	O
Mini-Mental	mini-mental	O	O	O	O
State	state	O	O	O	O
Examination	examination	O	O	O	O
(	(	O	O	O	O
MMSE	mmse	O	O	O	O
)	)	O	O	O	O
(	(	O	O	O	O
0	0	O	O	O	O
-	-	O	O	O	O
30	30	O	O	O	O
)	)	O	O	O	O
;	;	O	O	O	O
and	and	O	O	O	O
arterial	arterial	O	O	O	O
pressure	pressure	O	O	O	O
were	were	O	O	O	O
recorded	recorded	O	O	O	O
before	before	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
drugs	drugs	O	O	O	O
(	(	O	O	O	O
T0	t0	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
after	after	O	O	O	O
30	30	O	O	O	O
minutes	minutes	O	O	O	O
(	(	O	O	O	O
T30	t30	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
60	60	O	O	O	O
minutes	minutes	O	O	O	O
(	(	O	O	O	O
T60	t60	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
120	120	O	O	O	O
minutes	minutes	O	O	O	O
(	(	O	O	O	O
T120	t120	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
180	180	O	O	O	O
minutes	minutes	O	O	O	O
(	(	O	O	O	O
T180	t180	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Ketamine	ketamine	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
but	but	O	O	O	O
not	not	O	O	O	O
saline	saline	CHEMICALS	O	OTHERS	I
solution	solution	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
significantly	significantly	O	O	O	O
reduced	reduced	O	O	O	O
the	the	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
intensity	intensity	O	O	O	O
in	in	O	O	O	O
almost	almost	O	O	O	O
all	all	O	O	O	O
the	the	O	O	O	O
patients	patients	O	O	O	O
at	at	O	O	O	O
both	both	O	O	O	O
doses	doses	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
effect	effect	O	O	O	O
was	was	O	O	O	O
more	more	O	O	O	O
relevant	relevant	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
higher	higher	O	O	O	O
doses	doses	O	O	O	O
.	.	O	O	O	O

Hallucinations	hallucinations	O	DISEASE	OTHERS	I
occurred	occurred	O	O	O	O
in	in	O	O	O	O
4	4	O	O	O	O
patients	patients	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
an	an	O	O	O	O
unpleasant	unpleasant	O	O	O	O
sensation	sensation	O	O	O	O
(	(	O	O	O	O
"	"	O	O	O	O
empty	empty	O	O	O	O
head	head	O	O	O	O
"	"	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
also	also	O	O	O	O
reported	reported	O	O	O	O
by	by	O	O	O	O
2	2	O	O	O	O
patients	patients	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
episodes	episodes	O	O	O	O
reversed	reversed	O	O	O	O
after	after	O	O	O	O
the	the	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
diazepam	diazepam	CHEMICALS	O	OTHERS	I
1	1	O	O	O	O
mg	mg	O	O	OTHERS	I
intravenously	intravenously	O	O	O	O
.	.	O	O	O	O

Significant	significant	O	O	O	O
increases	increases	O	O	O	O
in	in	O	O	O	O
drowsiness	drowsiness	O	O	OTHERS	I
were	were	O	O	O	O
reported	reported	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
both	both	O	O	O	O
groups	groups	O	O	O	O
and	and	O	O	O	O
were	were	O	O	O	O
more	more	O	O	O	O
marked	marked	O	O	O	O
with	with	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
0.50	0.50	O	O	O	O
mg/kg	mg/kg	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
significant	significant	O	O	O	O
difference	difference	O	O	O	O
in	in	O	O	O	O
MMSE	mmse	O	O	O	O
was	was	O	O	O	O
observed	observed	O	O	O	O
at	at	O	O	O	O
T30	t30	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
who	who	O	O	O	O
received	received	O	O	O	O
0.50	0.50	O	O	O	O
mg/kg	mg/kg	O	O	O	O
of	of	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Ketamine	ketamine	CHEMICALS	O	OTHERS	I
can	can	O	O	O	O
improve	improve	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
analgesia	analgesia	O	O	OTHERS	I
in	in	O	O	O	O
difficult	difficult	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
syndromes	syndromes	O	O	O	O
,	,	O	O	O	O
such	such	O	O	O	O
as	as	O	O	O	O
neuropathic	neuropathic	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
.	.	O	O	O	O

However	however	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
occurrence	occurrence	O	O	O	O
of	of	O	O	O	O
central	central	O	O	O	O
adverse	adverse	O	O	O	O
effects	effects	O	O	O	O
should	should	O	O	O	O
be	be	O	O	O	O
taken	taken	O	O	O	O
into	into	O	O	O	O
account	account	O	O	O	O
,	,	O	O	O	O
especially	especially	O	O	O	O
when	when	O	O	O	O
using	using	O	O	O	O
higher	higher	O	O	O	O
doses	doses	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
observation	observation	O	O	O	O
should	should	O	O	O	O
be	be	O	O	O	O
tested	tested	O	O	O	O
in	in	O	O	O	O
studies	studies	O	O	O	O
of	of	O	O	O	O
prolonged	prolonged	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
administration	administration	O	O	O	O
.	.	O	O	O	O

