Delayed	delayed	O	O	O	O
rats	rats	O	O	O	O
were	were	O	O	O	O
killed	killed	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
brains	brains	O	O	O	O
harvested	harvested	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
brains	brains	O	O	O	O
were	were	O	O	O	O
sectioned	sectioned	O	O	O	O
along	along	O	O	O	O
coronal	coronal	O	O	O	O
planes	planes	O	O	O	O
spanning	spanning	O	O	O	O
the	the	O	O	O	O
distribution	distribution	O	O	O	O
of	of	O	O	O	O
ischemia	ischemia	O	DISEASE	OTHERS	I
produced	produced	O	O	O	O
by	by	O	O	O	O
MCAO	mcao	O	O	OTHERS	I
.	.	O	O	O	O

Specific	specific	O	O	O	O
gravity	gravity	O	O	O	O
(	(	O	O	O	O
SG	sg	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
determined	determined	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
subcortex	subcortex	O	O	O	O
and	and	O	O	O	O
in	in	O	O	O	O
two	two	O	O	O	O
sites	sites	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
cortex	cortex	O	O	O	O
(	(	O	O	O	O
core	core	O	O	O	O
and	and	O	O	O	O
periphery	periphery	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
ischemic	ischemic	O	O	OTHERS	I
territory	territory	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
extent	extent	O	O	O	O
of	of	O	O	O	O
neuronal	neuronal	O	O	OTHERS	I
injury	injury	O	O	OTHERS	I
was	was	O	O	O	O
determined	determined	O	O	O	O
by	by	O	O	O	O
2,3,5-triphenyltetrazolium	2,3,5-triphenyltetrazolium	O	O	OTHERS	I
staining	staining	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
ischemic	ischemic	O	O	OTHERS	I
core	core	O	O	O	O
,	,	O	O	O	O
there	there	O	O	O	O
was	was	O	O	O	O
no	no	O	O	O	O
difference	difference	O	O	O	O
in	in	O	O	O	O
SG	sg	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
subcortex	subcortex	O	O	O	O
and	and	O	O	O	O
cortex	cortex	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
two	two	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
periphery	periphery	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
ischemic	ischemic	O	O	OTHERS	I
territory	territory	O	O	O	O
,	,	O	O	O	O
SG	sg	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
cortex	cortex	O	O	O	O
was	was	O	O	O	O
greater	greater	O	O	O	O
(	(	O	O	O	O
less	less	O	O	O	O
edema	edema	O	DISEASE	OTHERS	I
accumulation	accumulation	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
group	group	O	O	O	O
(	(	O	O	O	O
1.041	1.041	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.001	0.001	O	O	O	O
vs	vs	O	O	O	O
1.039	1.039	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.001	0.001	O	O	O	O
,	,	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
area	area	O	O	O	O
of	of	O	O	O	O
histochemical	histochemical	O	O	O	O
injury	injury	O	O	O	O
(	(	O	O	O	O
as	as	O	O	O	O
a	a	O	O	O	O
percent	percent	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
cross-sectional	cross-sectional	O	O	O	O
area	area	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
hemisphere	hemisphere	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
less	less	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
group	group	O	O	O	O
(	(	O	O	O	O
33	33	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
3	3	O	O	O	O
%	%	O	O	O	O
vs	vs	O	O	O	O
21	21	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
%	%	O	O	O	O
,	,	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
data	data	O	O	O	O
indicate	indicate	O	O	O	O
that	that	O	O	O	O
phenylephrine-induced	phenylephrine-induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
instituted	instituted	O	O	O	O
2	2	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
after	after	O	O	O	O
MCAO	mcao	O	O	OTHERS	I
does	does	O	O	O	O
not	not	O	O	O	O
aggravate	aggravate	O	O	O	O
edema	edema	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
ischemic	ischemic	O	O	OTHERS	I
core	core	O	O	O	O
,	,	O	O	O	O
that	that	O	O	O	O
it	it	O	O	O	O
improves	improves	O	O	O	O
edema	edema	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
periphery	periphery	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
ischemic	ischemic	O	O	OTHERS	I
territory	territory	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
that	that	O	O	O	O
it	it	O	O	O	O
reduces	reduces	O	O	O	O
the	the	O	O	O	O
area	area	O	O	O	O
of	of	O	O	O	O
histochemical	histochemical	O	O	O	O
neuronal	neuronal	O	O	OTHERS	I
dysfunction	dysfunction	O	O	OTHERS	I
.	.	O	O	O	O

