Nerve	nerve	CHEMICALS	O	OTHERS	I
NGF	ngf	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
PGF2alpha	pgf2alpha	O	O	OTHERS	I
and	and	O	O	O	O
PGI2	pgi2	O	O	OTHERS	I
did	did	O	O	O	O
not	not	O	O	O	O
correlate	correlate	O	O	O	O
with	with	O	O	O	O
urodynamic	urodynamic	O	O	O	O
parameters	parameters	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
OAB	oab	O	O	OTHERS	I
.	.	O	O	O	O

CONCLUSIONS	conclusions	O	O	O	O
:	:	O	O	O	O
NGF	ngf	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
PGs	pgs	O	O	OTHERS	I
have	have	O	O	O	O
important	important	O	O	O	O
roles	roles	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
development	development	O	O	O	O
of	of	O	O	O	O
OAB	oab	O	O	OTHERS	I
symptoms	symptoms	O	O	O	O
in	in	O	O	O	O
female	female	O	O	O	O
patients	patients	O	O	O	O
.	.	O	O	O	O

Urinary	urinary	O	O	O	O
levels	levels	O	O	O	O
of	of	O	O	O	O
these	these	O	O	O	O
factors	factors	O	O	O	O
may	may	O	O	O	O
be	be	O	O	O	O
used	used	O	O	O	O
as	as	O	O	O	O
markers	markers	O	O	O	O
to	to	O	O	O	O
evaluate	evaluate	O	O	O	O
OAB	oab	O	O	OTHERS	I
symptoms	symptoms	O	O	O	O
.	.	O	O	O	O

