Can	can	O	O	O	O
kg(-1	kg(-1	O	O	O	O
)	)	O	O	O	O
;	;	O	O	O	O
Group	group	O	O	O	O
LS	ls	O	O	O	O
,	,	O	O	O	O
lidocaine	lidocaine	CHEMICALS	O	OTHERS	I
1.5	1.5	O	O	O	O
mg	mg	O	O	OTHERS	I
x	x	O	O	O	O
kg(-1	kg(-1	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
succinylcholine	succinylcholine	CHEMICALS	O	OTHERS	I
1.5	1.5	O	O	O	O
mg	mg	O	O	OTHERS	I
x	x	O	O	O	O
kg(-1	kg(-1	O	O	O	O
)	)	O	O	O	O
;	;	O	O	O	O
Group	group	O	O	O	O
PR	pr	O	O	O	O
,	,	O	O	O	O
normal	normal	O	O	O	O
saline	saline	O	O	O	O
and	and	O	O	O	O
rocuronium	rocuronium	O	O	OTHERS	I
0.6	0.6	O	O	O	O
mg	mg	O	O	OTHERS	I
x	x	O	O	O	O
kg(-1	kg(-1	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Morphine	morphine	CHEMICALS	O	OTHERS	I
0.1	0.1	O	O	O	O
mg	mg	O	O	OTHERS	I
x	x	O	O	O	O
kg(-1	kg(-1	O	O	O	O
)	)	O	O	O	O
iv	iv	O	O	O	O
was	was	O	O	O	O
given	given	O	O	O	O
for	for	O	O	O	O
premedication	premedication	O	O	O	O
and	and	O	O	O	O
all	all	O	O	O	O
patients	patients	O	O	O	O
were	were	O	O	O	O
monitored	monitored	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
noninvasive	noninvasive	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
monitor	monitor	O	O	O	O
,	,	O	O	O	O
ECG	ecg	O	O	O	O
and	and	O	O	O	O
pulse	pulse	O	O	O	O
oximetry	oximetry	O	O	O	O
.	.	O	O	O	O

Anesthesia	anesthesia	O	O	O	O
was	was	O	O	O	O
induced	induced	O	O	O	O
with	with	O	O	O	O
5	5	O	O	O	O
mg.kg(-1	mg.kg(-1	O	O	O	O
)	)	O	O	O	O
thiopental	thiopental	O	O	OTHERS	I
iv	iv	O	O	O	O
.	.	O	O	O	O
followed	followed	O	O	O	O
by	by	O	O	O	O
succinylcholine	succinylcholine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
Group	group	O	O	O	O
PS	ps	O	O	OTHERS	I
,	,	O	O	O	O
LS	ls	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
rocuronium	rocuronium	O	O	OTHERS	I
(	(	O	O	O	O
Group	group	O	O	O	O
PR	pr	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
tracheal	tracheal	O	O	O	O
intubation	intubation	O	O	O	O
.	.	O	O	O	O

Following	following	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
these	these	O	O	O	O
agents	agents	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
presence	presence	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
degree	degree	O	O	O	O
of	of	O	O	O	O
fasciculation	fasciculation	O	DISEASE	OTHERS	I
were	were	O	O	O	O
assessed	assessed	O	O	O	O
visually	visually	O	O	O	O
on	on	O	O	O	O
a	a	O	O	O	O
four	four	O	O	O	O
point	point	O	O	O	O
scale	scale	O	O	O	O
by	by	O	O	O	O
one	one	O	O	O	O
investigator	investigator	O	O	O	O
who	who	O	O	O	O
was	was	O	O	O	O
blinded	blinded	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
drug	drug	O	O	O	O
administered	administered	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
of	of	O	O	O	O
each	each	O	O	O	O
patient	patient	O	O	O	O
were	were	O	O	O	O
monitored	monitored	O	O	O	O
on	on	O	O	O	O
nine	nine	O	O	O	O
occasions	occasions	O	O	O	O
.	.	O	O	O	O

Twenty-four	twenty-four	O	O	O	O
hours	hours	O	O	O	O
later	later	O	O	O	O
,	,	O	O	O	O
any	any	O	O	O	O
myalgia	myalgia	O	DISEASE	OTHERS	I
experienced	experienced	O	O	O	O
was	was	O	O	O	O
assessed	assessed	O	O	O	O
according	according	O	O	O	O
to	to	O	O	O	O
a	a	O	O	O	O
structured	structured	O	O	O	O
questionaire	questionaire	O	O	O	O
and	and	O	O	O	O
graded	graded	O	O	O	O
by	by	O	O	O	O
a	a	O	O	O	O
four	four	O	O	O	O
point	point	O	O	O	O
scale	scale	O	O	O	O
by	by	O	O	O	O
one	one	O	O	O	O
investigator	investigator	O	O	O	O
blinded	blinded	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
intraoperative	intraoperative	O	O	O	O
management	management	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
results	results	O	O	O	O
indicate	indicate	O	O	O	O
that	that	O	O	O	O
muscle	muscle	O	O	OTHERS	I
fasciculation	fasciculation	O	DISEASE	OTHERS	I
was	was	O	O	O	O
not	not	O	O	O	O
found	found	O	O	O	O
in	in	O	O	O	O
Group	group	O	O	O	O
PR	pr	O	O	O	O
while	while	O	O	O	O
the	the	O	O	O	O
patients	patients	O	O	O	O
in	in	O	O	O	O
Group	group	O	O	O	O
LS	ls	O	O	O	O
had	had	O	O	O	O
a	a	O	O	O	O
lower	lower	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
muscle	muscle	O	O	OTHERS	I
fasciculation	fasciculation	O	DISEASE	OTHERS	I
than	than	O	O	O	O
those	those	O	O	O	O
in	in	O	O	O	O
Group	group	O	O	O	O
PS	ps	O	O	OTHERS	I
(	(	O	O	O	O
p	p	O	O	OTHERS	I
<	<	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

At	at	O	O	O	O
24	24	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
the	the	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
myalgia	myalgia	O	DISEASE	OTHERS	I
was	was	O	O	O	O
higher	higher	O	O	O	O
in	in	O	O	O	O
Group	group	O	O	O	O
PS	ps	O	O	OTHERS	I
than	than	O	O	O	O
in	in	O	O	O	O
Group	group	O	O	O	O
LS	ls	O	O	O	O
and	and	O	O	O	O
PR	pr	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
<	<	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
correlation	correlation	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
found	found	O	O	O	O
between	between	O	O	O	O
the	the	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
myalgia	myalgia	O	DISEASE	OTHERS	I
and	and	O	O	O	O
the	the	O	O	O	O
occurrence	occurrence	O	O	O	O
of	of	O	O	O	O
muscle	muscle	O	O	OTHERS	I
fasciculation	fasciculation	O	DISEASE	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
systolic	systolic	O	O	O	O
and	and	O	O	O	O
diastolic	diastolic	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
were	were	O	O	O	O
not	not	O	O	O	O
significant	significant	O	O	O	O
among	among	O	O	O	O
the	the	O	O	O	O
three	three	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
conclusion	conclusion	O	O	O	O
,	,	O	O	O	O
where	where	O	O	O	O
succinylcholine	succinylcholine	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
used	used	O	O	O	O
,	,	O	O	O	O
lidocaine	lidocaine	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
proven	proven	O	O	O	O
to	to	O	O	O	O
be	be	O	O	O	O
the	the	O	O	O	O
useful	useful	O	O	O	O
pretreatment	pretreatment	O	O	O	O
agent	agent	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
postoperative	postoperative	O	O	OTHERS	I
myalgia	myalgia	O	DISEASE	OTHERS	I
.	.	O	O	O	O

