,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_cytokine_substr,lf_transcription_factor_distsv,lf_transcription_factor_substr,lf_t_lymphocyte_distsv,lf_t_lymphocyte_substr,olabel,orig_index,label,prob_0,prob_1,prob_2
195,T cell,2,4,10,16,IL-18 and T cell receptor-mediated stimulation could induce naïve CD4+ T cells to develop into IL-4-producing cells in vitro.,11248805_3,0,0,1,1,2,2,-1,195,-1,0.0015594015,0.005553321,0.9928873
200,CD4-positive T cells,2,5,12,32,Mixtures of CD4-positive T cells and CD8-positive T cells were found to be present in the dermal infiltrates of the lesions.,11275803_2,-1,-1,-1,-1,-1,-1,-1,200,-1,0.12480803,0.008816198,0.86637574
201,CD8-positive T cells,6,9,37,57,Mixtures of CD4-positive T cells and CD8-positive T cells were found to be present in the dermal infiltrates of the lesions.,11275803_2,-1,-1,-1,-1,-1,-1,-1,201,-1,0.0856485,0.006791851,0.9075597
223,T-cell,1,2,4,10,"All T-cell populations in thymus, spleen and lymph node exhibited an increased proportion of cells bearing the activation marker CD44.",11576226_3,0,0,1,1,2,2,-1,223,-1,0.0060332287,0.01207451,0.9818923
225,T-cell,30,31,184,190,The capacity of astrocytes to express class II major histocompatibility complex (MHC) antigens and costimulatory molecules (B7 and CD40) that are critical for antigen presentation and T-cell activation are discussed.,11596126_2,0,0,1,1,2,2,-1,225,-1,0.0043620835,0.0051968894,0.9904411
242,T-cell,34,35,176,182,"Although MHC class II molecules are frequently detected on MG cells, suggesting that they may be capable of antigen (Ag) presentation to CD4(+) T cells, deficiencies in CD4(+) T-cell activation are associated with these nonimmunogenic tumors.",11746775_1,0,0,1,1,2,2,-1,242,-1,0.0023572329,0.0035657415,0.99407697
247,T-cell,24,25,127,133,"CIITA may be a key target to modulate MHC class II expression, which could augment immunogenicity, Ag presentation, and CD4(+) T-cell activation in MG therapy.",11746775_7,0,0,1,1,2,2,-1,247,-1,0.0024024735,0.004208219,0.99338925
249,cytokines interleukin,6,8,17,38,"T helper 2 (Th2) cytokines interleukin (IL)-4 and IL-13, which activate signal transducer and activator of transcription 6 (STAT6) are expressed in the muscularis externa during nematode infection and are candidate mediators of the associated hypercontractility.",11804843_0,-1,-1,-1,-1,-1,-1,-1,249,-1,0.9986816,0.0005409577,0.00077735126
273,CD4-positive T cells,29,32,234,254,"The present study investigated whether activators of peroxisome proliferator-activated receptor (PPAR)alpha and PPARgamma, with their known antiinflammatory effects, might regulate the expression of proinflammatory cytokines in human CD4-positive T cells.",11934839_3,-1,-1,-1,-1,-1,-1,-1,273,-1,0.027400956,0.0049597393,0.96763927
274,CD4-positive T cells,2,5,15,35,Isolated human CD4-positive T cells express PPARalpha and PPARgamma mRNA and protein.,11934839_4,-1,-1,-1,-1,-1,-1,-1,274,-1,0.16011834,0.008426171,0.8314555
275,CD4-positive T cells,2,5,14,34,"Activation of CD4-positive T cells by anti-CD3 monoclonal antibodies significantly increased IFNgamma protein secretion from 0 to 504+/-168 pg/mL, as determined by ELISA.",11934839_5,-1,-1,-1,-1,-1,-1,-1,275,-1,0.09112874,0.00708914,0.9017821
283,CD4-positive T cells,9,12,53,73,"Thus, activation of PPARalpha and PPARgamma in human CD4-positive T cells limits the expression of proinflammatory cytokines, such as IFNgamma, yielding potential therapeutic benefits in pathological processes, such as atherosclerosis and Tx-AA.",11934839_10,-1,-1,-1,-1,-1,-1,-1,283,-1,0.4871559,0.0071954736,0.5056487
288,T-cell,43,44,231,237,"Macrophages from acute infections produced high levels of interleukin-12 (IL-12) and nitric oxide (NO), paralleled with low levels of IL-6 and prostaglandin E(2) (PGE(2)) and with the ability to induce strong antigen-specific CD4+ T-cell proliferation in response to nonrelated antigens.",12065507_3,0,0,1,1,2,2,-1,288,-1,0.0072244415,0.0043127635,0.98846287
300,T cell,6,8,31,37,Ras plays an important role in T cell signal transduction through multiple pathways.,12135706_0,0,0,1,1,2,2,-1,300,-1,0.0009002356,0.0033911336,0.9957087
305,T cell,9,11,77,83,The results suggest that Ras regulates calcium/calcineurin signalling during T cell activation and the existence of new immune-related target(s) for CsA action at the posttranscriptional level.,12135706_5,0,0,1,1,2,2,-1,305,-1,0.0007302209,0.0016722402,0.9975975
321,Th2 cytokines,14,16,93,106,"Because IL-18 directly stimulates T cells and mast cells to release AD-associated molecules, Th2 cytokines, and histamine, we investigated the capacity of IL-18 to induce AD-like inflammatory skin disease by analyzing KIL-18Tg and KCASP1Tg, which skin-specifically overexpress IL-18 and caspase-1, respectively.",12151598_1,-1,-1,-1,-1,-1,-1,-1,321,-1,0.06447503,0.0038539884,0.93167096
324,Th2 cytokine,8,10,72,84,They spontaneously developed relapsing dermatitis with mastocytosis and Th2 cytokine accumulation accompanied by systemic elevation of IgE and histamine.,12151598_2,-1,-1,-1,-1,-1,-1,-1,324,-1,0.12099735,0.006140758,0.8728618
361,Th2 cytokines,14,16,103,116,These results establish that TFF2 is an allergen-induced lung gene product differentially regulated by Th2 cytokines and STAT6.,12702542_6,-1,-1,-1,-1,-1,-1,-1,361,-1,0.059113417,0.0047344295,0.9361521
368,T cell,22,24,148,154,"Further, FR252921 strongly suppressed splenic dendritic cell proliferation stimulated with LPS and anti-CD40 mAb, while it did not inhibit purified T cell activation, including CD154 expression and IL-2 production.",12715862_5,0,0,1,1,2,2,-1,368,-1,0.00060992653,0.0008656771,0.99852437
371,T helper lymphocytes,4,7,19,39,BACKGROUND: Type 2 T helper lymphocytes (Th2 cells) and their cytokine products are important in the pathogenesis of asthma.,12752600_0,-1,-1,-1,-1,-1,-1,-1,371,-1,0.00058363326,0.00085834734,0.998558
375,Th2 cytokine,22,24,125,137,"OBJECTIVE: To examine the contribution of the signal transducer and activator of transcription (STAT) 6 pathway, involved in Th2 cytokine signalling, to the development of lesions of chronic asthma.",12752600_1,-1,-1,-1,-1,-1,-1,-1,375,-1,0.023815285,0.003305999,0.97287875
398,Th2 cytokines,8,10,51,64,"In order to analyse the functional contribution of Th2 cytokines, IL-4 and IL-5, in PPD induced CHS, STAT6 deficient (STAT6-/-) and wild-type control (WT) mice (C57BL/6) were immunized by the topical application of a PPD solution, and then the subsequent skin reactions were examined.",12780683_1,-1,-1,-1,-1,-1,-1,-1,398,-1,0.14779398,0.005509885,0.84669614
405,Th2 cytokines,3,5,18,31,"The expression of Th2 cytokines (IL-4, IL-5) by ELISA in the PPD-challenged skin tissue specimens as well as the IgE and IgG1 response after challenge were also profoundly reduced in the STAT6-/- mice.",12780683_4,-1,-1,-1,-1,-1,-1,-1,405,-1,0.37238455,0.0053809606,0.6222345
409,Th2 cytokines,6,8,34,47,These data indicate that not only Th2 cytokines and IgE but also mast cells play an essential role in the induction of PPD-CHS.,12780683_8,-1,-1,-1,-1,-1,-1,-1,409,-1,0.021506084,0.004126632,0.9743673
434,type I cytokine,8,11,43,58,Interleukin (IL)-21 is a new member of the type I cytokine superfamily.,14610289_0,-1,-1,-1,-1,-1,-1,-1,434,-1,0.99716574,0.00066669256,0.0021674712
473,IL-12 receptor beta,27,30,143,162,"IL-27 is a novel IL-12 family member that plays a role in the early regulation of T helper cell 1 initiation, including induction of T-bet and IL-12 receptor beta 2 expression.",14871851_1,-1,-1,-1,-1,-1,-1,-1,473,-1,0.99884284,0.00063148676,0.0005256501
498,T-cell,18,19,105,111,"As soon as day 3, antigen-specific eosinophil-rich responses were elicited in wild-type mice, but not in T-cell receptor-alpha-/- mice without adjuvant.",15009431_2,0,0,1,1,2,2,-1,498,-1,0.0069437944,0.030640697,0.9624154
530,transcription factor NF-kappa B,8,12,66,97,"Recently, increasing evidence indicates that the pro-inflammatory transcription factor NF-kappa B may also participate inIL-4 expression.",15048722_2,-1,-1,-1,-1,-1,-1,-1,530,-1,0.0012816822,0.9978934,0.00082492223
539,T cell,13,15,71,77,We demonstrate that NF-kappa B binds to the IL-4 promoter in vivo upon T cell activation.,15048722_5,0,0,1,1,2,2,-1,539,-1,0.00067897246,0.0013902643,0.99793077
550,T cell,31,33,191,197,"Our previous studies demonstrated that CD8 T cells from chronically infected patients with high virus load proliferated poorly in response to interleukin-2 (IL-2), a cytokine critical in CD8 T cell growth and differentiation, even though relatively high levels of IL-2 receptor (IL-2R) were expressed.",15090793_1,0,0,1,1,2,2,-1,550,-1,0.00060376764,0.0008110736,0.9985852
564,T cell,12,14,78,84,CONCLUSIONS: These results further uncover a potential mechanism by which CD8 T cell function is impaired in HIV-infected patients.,15090793_10,0,0,1,1,2,2,-1,564,-1,0.00059925945,0.0009919294,0.99840885
567,T cell,3,5,10,16,"At birth, T cell priming exhibits a T helper type 2 bias and the development of the T helper phenotype is determined in the first year of life by environmental exposure to virus or bacterial substances or environmental allergens in genetically predisposed individuals.",15090923_2,0,0,1,1,2,2,-1,567,-1,0.00065141707,0.000970436,0.99837816
572,T cell,17,19,93,99,It is believed that elevation of cAMP levels in T cells is inhibitory of IL-2 production and T cell proliferation.,15096485_2,0,0,1,1,2,2,-1,572,-1,0.0006003012,0.0010288598,0.9983708
584,T cell,10,12,58,64,We demonstrate that APC use the Notch pathway to instruct T cell differentiation.,15137944_1,0,0,1,1,2,2,-1,584,-1,0.000637184,0.0009777313,0.9983851
596,T-cell,9,10,56,62,"Herein, we discuss molecular and cellular mechanisms of T-cell differentiation along with recent evidence supporting the hypothesis that rather than representing an epiphenomenon, coinduction of virus-specific T2 cells plays a significant homeostatic role.",15231067_4,0,0,1,1,2,2,-1,596,-1,0.0038291356,0.0067538996,0.9894169
609,T cell,19,21,135,141,"The vitamin D analog significantly down-regulates in vitro and in vivo proinflammatory chemokine production by islet cells, inhibiting T cell recruitment into the pancreatic islets and T1D development.",15294940_2,0,0,1,1,2,2,-1,609,-1,0.00064572005,0.0012410021,0.9981133
618,T cell,20,22,128,134,"Although STAT5 has been suggested to be a central molecular effecter of IL-7 function, its essential role during IL-7-dependent T cell development in vivo remained unclear.",15294943_1,0,0,1,1,2,2,-1,618,-1,0.0006024178,0.0008651847,0.9985324
632,T cell,5,7,32,38,"Using these models to correlate T cell functions with the frequency, the intensity, and the duration of TCR clustering, we show, in Jurkat T cells, that weak and transient TCR clustering is sufficient to promote TCR down-modulation, protein kinase C-theta translocation at the synapse, and substantial NFAT transcriptional activation.",15322166_4,0,0,1,1,2,2,-1,632,-1,0.00061401934,0.0008632652,0.9985228
633,Jurkat T cells,26,29,132,146,"Using these models to correlate T cell functions with the frequency, the intensity, and the duration of TCR clustering, we show, in Jurkat T cells, that weak and transient TCR clustering is sufficient to promote TCR down-modulation, protein kinase C-theta translocation at the synapse, and substantial NFAT transcriptional activation.",15322166_4,-1,-1,-1,-1,-1,-1,-1,633,-1,0.00068457064,0.001265081,0.99805033
635,T cell,8,10,29,35,"Moreover, we show, in CD4(+) T cell blasts, that strong TCR clustering is required for neither TCR down-modulation nor optimal IFN-gamma production.",15322166_5,0,0,1,1,2,2,-1,635,-1,0.0006138191,0.0010144763,0.9983718
642,T cell,32,34,199,205,"IL-2, IL-15, and the downstream transcription factor STAT5 have all been implicated as important regulators of these processes, yet there are conflicting data regarding their contribution to in vivo T cell responses.",15322173_1,0,0,1,1,2,2,-1,642,-1,0.00062864705,0.0009807807,0.99839056
643,T cell,5,7,26,32,"We used a murine adoptive T cell transfer model to examine the contribution of IL-2 and IL-15 signaling to the proliferation and differentiation of naive, CD8(+) T cells bearing an OVA-specific TCR transgene (OT-I).",15322173_2,0,0,1,1,2,2,-1,643,-1,0.0006471031,0.0011039018,0.99824905
654,T cell,10,12,55,61,"Even though IL-2 and IL-15 were dispensable for CD8(+) T cell proliferation, systemic infusion of IL-2 nevertheless promoted the expansion of OT-I T cells in vivo.",15322173_6,0,0,1,1,2,2,-1,654,-1,0.0006146257,0.000983563,0.9984018
659,T cell,12,14,58,64,"Thus, IL-2 and IL-15 signals are not essential for CD8(+) T cell proliferation or differentiation, but IL-2 can promote supraphysiological expansion when supplied exogenously.",15322173_7,0,0,1,1,2,2,-1,659,-1,0.0006057152,0.00092042016,0.9984738
661,T cell,9,11,58,64,These findings challenge current models that place CD8(+) T cell proliferation under the control of STAT5-dependent cytokines and suggest new approaches to the therapeutic manipulation of T cell numbers in vivo.,15322173_8,0,0,1,1,2,2,-1,661,-1,0.0006213849,0.0009525834,0.9984261
663,T cell,27,29,188,194,These findings challenge current models that place CD8(+) T cell proliferation under the control of STAT5-dependent cytokines and suggest new approaches to the therapeutic manipulation of T cell numbers in vivo.,15322173_8,0,0,1,1,2,2,-1,663,-1,0.0006007719,0.0009264959,0.99847275
666,T cell,36,38,270,276,"METHODS: Beta2-adrenergic regulation of cytokine mRNA expression was studied in alpha-CD3/alpha-CD28-activated peripheral blood lymphocytes from seven asthma patients before and 6 h after allergen challenge, in conjunction with the effects of beta2-agonist fenoterol on T cell chemotaxis and signalling pathways.",15347367_2,0,0,1,1,2,2,-1,666,-1,0.0005874077,0.00095901045,0.9984536
667,Th2 cytokines IL-4,12,15,68,86,"RESULTS: A complete loss of beta2-AR control over expression of the Th2 cytokines IL-4, IL-5 and IL-13, but not of the Th1 cytokine IFN-gamma, was observed after allergen challenge.",15347367_3,-1,-1,-1,-1,-1,-1,-1,667,-1,0.820726,0.0031356486,0.17613839
670,Th1 cytokine IFN-gamma,24,27,119,141,"RESULTS: A complete loss of beta2-AR control over expression of the Th2 cytokines IL-4, IL-5 and IL-13, but not of the Th1 cytokine IFN-gamma, was observed after allergen challenge.",15347367_3,-1,-1,-1,-1,-1,-1,-1,670,-1,0.8766616,0.0028517025,0.120486744
671,T cell,8,10,54,60,"Furthermore, we found impaired beta2-AR regulation of T cell migration as well as signal transduction pathways, i.e. the phosphorylation of cyclic adenosine monophosphate-responsive element binding protein and the inhibition of the mitogen-activated protein kinase pathway.",15347367_4,0,0,1,1,2,2,-1,671,-1,0.0005938136,0.0010403815,0.9983658
674,chemokine thymus and activation-regulated chemokine,15,20,75,126,"In addition, we demonstrate for the first time that T cells exposed to the chemokine thymus and activation-regulated chemokine show hyporesponsiveness to fenoterol.",15347367_6,-1,-1,-1,-1,-1,-1,-1,674,-1,0.99884427,0.0005826676,0.0005730461
683,Th2 cytokine,11,13,57,69,"The failure of eosinophilia was not due to the defect of Th2 cytokine production in BALF of STAT6-/- mice transferred with Th2 cells, but because of the defect of STAT6-dependent eotaxin production.",15351784_2,-1,-1,-1,-1,-1,-1,-1,683,-1,0.12130293,0.005185321,0.8735118
695,T cell,5,7,21,27,"However, a number of T cell effector genes such as IL-2 and IL-9 were up-regulated upon stimulation.",15376191_4,0,0,1,1,2,2,-1,695,-1,0.0006690019,0.0009945699,0.9983365
711,T cell,29,31,169,175,"Ligation of CD40 by CD4 T cells through CD154 is key both to germinal centre induction and follicular T-dependent Ig class switching, but its requirement for aspects of T cell priming and extrafollicular antibody responses is less clear.",15379979_0,0,0,1,1,2,2,-1,711,-1,0.00061153824,0.00097584305,0.9984126
715,T cell,10,12,89,95,"Additionally the T-dependent extrafollicular antibody response, which initially requires T cell help but expands without further T cell involvement, was severely curtailed.",15379979_4,0,0,1,1,2,2,-1,715,-1,0.0011279711,0.0065951436,0.99227685
716,T cell,17,19,129,135,"Additionally the T-dependent extrafollicular antibody response, which initially requires T cell help but expands without further T cell involvement, was severely curtailed.",15379979_4,0,0,1,1,2,2,-1,716,-1,0.00068892154,0.0016086651,0.9977024
717,T cell,8,10,59,65,"These experiments demonstrate that the acquisition of some T cell priming characteristics can be CD154-independent; in contrast, T-dependent extrafollicular responses require CD154.",15379979_9,0,0,1,1,2,2,-1,717,-1,0.0006122252,0.00089259585,0.9984952
722,(Th2)-biased,26,27,156,168,"Second, immunization of TLR9(+/+) but not TLR9(-/-) mice with non-CpG ODN enhanced antigen-specific antibody responses, although these were T helper type 2 (Th2)-biased.",15379982_5,-1,-1,-1,-1,-1,-1,-1,722,-1,0.31335825,0.27726334,0.4093784
739,transcription factors AP-1,11,14,56,82,"In the monocytic cell line THP-1, the activation of the transcription factors AP-1 and NFkappaB by WF10 was demonstrated.",15474529_5,-1,-1,-1,-1,-1,-1,-1,739,-1,0.0013633905,0.9977829,0.00085372356
761,apoptosis-inducing ligand (TRAIL,12,16,85,117,There is now considerable in vitro evidence that tumor necrosis factor (TNF)-related apoptosis-inducing ligand (TRAIL) is involved in HIV-1 pathogenesis by inducing CD4+ T-cell death characteristic of AIDS.,15585654_0,-1,-1,-1,-1,-1,-1,-1,761,-1,0.9988133,0.0005444124,0.000642373
762,T-cell,26,27,170,176,There is now considerable in vitro evidence that tumor necrosis factor (TNF)-related apoptosis-inducing ligand (TRAIL) is involved in HIV-1 pathogenesis by inducing CD4+ T-cell death characteristic of AIDS.,15585654_0,0,0,1,1,2,2,-1,762,-1,0.0034127126,0.005337299,0.9912499
776,alpha 1 beta,4,7,17,29,"Lymphotoxin (LT) alpha 1 beta 2, a tumour necrosis factor (TNF) cytokine critically involved in lymphoid organogenesis, is indispensable for the differentiation of V alpha 14i natural killer T (NKT) cells, a lymphocyte subset with important immunoregulatory properties.",15607792_0,-1,-1,-1,-1,-1,-1,-1,776,-1,0.9987317,0.00062007003,0.0006482334
781,LT alpha 1,0,3,0,10,"LT alpha 1 beta 2 signals through the LT beta receptor, which is expressed on non-lymphoid cells.",15607792_2,-1,-1,-1,-1,-1,-1,-1,781,-1,0.98189616,0.016663635,0.0014401809
782,LT beta,8,10,38,45,"LT alpha 1 beta 2 signals through the LT beta receptor, which is expressed on non-lymphoid cells.",15607792_2,-1,-1,-1,-1,-1,-1,-1,782,-1,0.99863005,0.0008230208,0.0005470157
792,T cell,12,14,78,84,Prior reports have shown that CD4(+)CD25(+) regulatory T cells suppress naive T cell responses by inhibiting IL-2 production.,15611237_0,0,0,1,1,2,2,-1,792,-1,0.0006427006,0.000996344,0.99836093
812,T cell,5,7,32,38,"Our results therefore show that T cell activation in the presence of CD4(+)CD25(+) regulatory T cells can induce an alternative stimulation program characterized by up-regulation of high affinity IL-2R, but a failure to produce IL-2, and uncoupling of the mitogenic and antiapoptotic effects of IL-2.",15611237_8,0,0,1,1,2,2,-1,812,-1,0.0006258389,0.00080979336,0.9985644
823,T cell,25,27,148,154,Restoration of this pathway in murine T cells would provide the opportunity to more closely model specific human disease states that rely on CD4(+) T cell responses to IFN-alphabeta.,15611252_3,0,0,1,1,2,2,-1,823,-1,0.0006101433,0.0008424617,0.9985474
841,type I,22,24,129,135,"This finding suggests that, although the C terminus of human STAT2 is required for STAT4 recruitment and activation by the human type I IFNAR (IFN-alphabetaR), it is not sufficient to restore this process through the murine IFNAR complex.",15611252_10,0,0,1,1,-1,-1,-1,841,-1,0.9973648,0.0010661245,0.0015690945
856,type I cytokine,6,9,42,57,"RESULTS: Autologous tumor and Id-specific type I cytokine responses were induced by vaccination in 10 and 9 patients, respectively.",15623607_5,-1,-1,-1,-1,-1,-1,-1,856,-1,0.9977677,0.00059841794,0.0016338888
858,T-cell,26,27,163,169,"CONCLUSIONS: This first clinical report of a liposomal cancer vaccine demonstrates that liposomal delivery is safe, induces sustained tumor-specific CD4+ and CD8+ T-cell responses in lymphoma patients, and may serve as a model for vaccine development against other human cancers and infectious pathogens.",15623607_9,0,0,1,1,2,2,-1,858,-1,0.0025767232,0.0050669275,0.9923563
861,T-cell,19,20,104,110,"ROG, a transcriptional repressor, is a direct target gene of NF-AT and a putative negative regulator of T-cell activation.",15632058_0,0,0,1,1,2,2,-1,861,-1,0.003158085,0.008383619,0.98845834
879,T cell,6,8,53,59,We investigated YGCGT-mediated changes in downstream T cell signal transduction.,15658604_1,0,0,1,1,2,2,-1,879,-1,0.00064595777,0.0011409228,0.9982132
894,Th2 cytokines IL-4,15,18,75,93,"T helper (Th) 2 cells selectively express IL-21 in addition to the classic Th2 cytokines IL-4, IL-5, and IL-13.",15684054_0,-1,-1,-1,-1,-1,-1,-1,894,-1,0.94294137,0.002121796,0.054936837
897,Th2 cell cytokine,5,8,31,48,"In contrast to these clustered Th2 cell cytokine genes, the IL-21 gene resides on a different chromosome and is not coordinately regulated by the same locus control region that directs the expression of other Th2 cytokines.",15684054_1,-1,-1,-1,-1,-1,-1,-1,897,-1,0.5300403,0.0076414687,0.46231824
899,Th2 cytokines,35,37,209,222,"In contrast to these clustered Th2 cell cytokine genes, the IL-21 gene resides on a different chromosome and is not coordinately regulated by the same locus control region that directs the expression of other Th2 cytokines.",15684054_1,-1,-1,-1,-1,-1,-1,-1,899,-1,0.056877278,0.0042488044,0.93887395
934,T cell,22,24,119,125,A lower function of EBV-specific CD8(+) T cells in HIV-infected subjects could be related to a lack of specific CD4(+) T cell help.,15724243_0,0,0,1,1,2,2,-1,934,-1,0.0005988267,0.0008699941,0.9985311
936,T cell,3,5,20,26,EBV-specific CD4(+) T cell frequencies measured directly ex vivo,15724243_3,0,0,1,1,2,2,-1,936,-1,0.000698767,0.0008624429,0.9984388
