,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_transcription_factor_distsv,lf_t_lymphocyte_distsv,olabel,orig_index,label,prob_0,prob_1,prob_2
580,blood,9,10,86,91,H. polygyrus-infected GATA-3-transgenic  mice exhibited significantly more peripheral blood eosinophils and total IgE  levels compared with control mice.,12771543_4,0,1,-1,-1,580,-1,5.792458e-05,7.087436e-05,0.99987113
583,function,15,16,84,92,"These results suggest that GATA-3 promotes  IL-5 and IL-13 production, and that the function of these cytokines results in  eosinophilia and hyper-IgE, respectively.",12771543_5,0,1,2,-1,583,-1,0.06662558,0.6749763,0.25839815
587,analysis,3,4,16,24,A  histological analysis showed the infiltration of both eosinophils and  neutrophils in the skin of STAT6-/- mice challenged 24 h previously to  significantly decrease in comparison with that in the WT mice.,12780683_3,0,1,-1,-1,587,-1,0.047256626,0.9074406,0.045302752
616,receptor,13,14,58,66,"Although  it is most homologous to IL-15, it has a unique receptor chain, IL-21R, that  pairs with the gamma-common cytokine receptor chain.",14610289_1,0,1,2,-1,616,-1,0.00013673566,0.9995384,0.00032490218
617,cytokine receptor,24,26,116,133,"Although  it is most homologous to IL-15, it has a unique receptor chain, IL-21R, that  pairs with the gamma-common cytokine receptor chain.",14610289_1,-1,-1,-1,-1,617,-1,0.6321234,0.32071635,0.04716026
619,"cells, T cells",26,30,132,146,"The first experiments  examining the biology of the IL-21 pathway reveal that it is a cytokine with  effects on natural killer (NK) cells, T cells, and B cells.",14610289_2,-1,-1,-1,-1,619,-1,6.40233e-05,0.000189904,0.99974614
625,immunity,15,16,89,97,"Activation of the aryl hydrocarbon receptor (AhR) causes numerous defects in  anti-viral immunity, including suppressed CTL generation and impaired host  resistance.",14746808_0,0,-1,2,-1,625,-1,0.99916136,0.00044357646,0.00039510548
641,function,24,25,144,152,"IL-12 is indispensable for the control of many intracellular pathogens, but the  components of the signaling pathway that are essential for its function in vivo  are incompletely understood.",14768057_0,0,1,2,-1,641,-1,0.06543972,0.6351019,0.2994584
658,toxicity,25,26,155,163,"Although much promising data that interleukin (IL)-12 could be a powerful  therapeutic agent against cancer were reported in animal models, its excessive  toxicity has become a problem for its clinical application.",14871851_0,0,1,-1,-1,658,-1,0.7798205,0.038118813,0.18206067
662,IL-12 receptor,29,31,145,159,"IL-27 is a novel  IL-12 family member that plays a role in the early regulation of T helper cell 1  initiation, including induction of T-bet and IL-12 receptor beta 2 expression.",14871851_1,-1,-1,-1,-1,662,-1,0.8087016,0.14544226,0.045856148
667,immunity,10,11,72,80,Recovered mice from the  inoculation showed a tumor-specific protective immunity to the following  challenge with parental C26 tumor.,14871851_5,0,-1,2,-1,667,-1,0.9993519,0.00031271187,0.00033537025
671,immunity,16,17,114,122,"These results suggest that IL-27 has potent  abilities to induce tumor-specific antitumor activity and protective immunity  and that the antitumor activity is mediated mainly through CD8(+) T cells,  IFN-gamma, and T-bet but not through STAT4.",14871851_8,0,-1,2,-1,671,-1,0.99896526,0.000564569,0.0004701172
682,protein antigens,17,19,112,128,We investigated the role of T helper (Th)1- and Th2-type cytokines in  delayed-type hypersensitivity to soluble protein antigens elicited early  postimmunization.,15009431_0,-1,-1,-1,-1,682,-1,0.9349301,0.051661123,0.013408677
688,protein,13,14,82,89,"Interestingly, responses were also  decreased in IFN-gamma-/- mice, and IFN-gamma protein and the  IFN-gamma-inducible CXC chemokine, IP-10, were present in 24-hr ear tissue  extracts, suggesting Th1 effects.",15009431_6,0,1,-1,-1,688,-1,0.045578346,0.89909583,0.05532581
691,chemokine receptor,19,21,103,121,"Finally, ear swelling, total histology and  eosinophils were decreased in mice deficient in CXCR3, the chemokine receptor  for IP-10.",15009431_7,-1,-1,-1,-1,691,-1,0.62976557,0.30477569,0.06545878
698,TCR alpha beta subset,14,18,73,94,"Compared with unprimed IEL  isolated from naive mice, the CD8 alpha beta TCR alpha beta subset of primed  IEL, isolated from T. gondii-infected mice, secretes increased amount of  TGF-beta.",15048716_4,-1,-1,-1,-1,698,-1,0.000100857,0.00026995008,0.99962926
708,NF-AT,16,17,95,100," Expression of IL-4 in differentiated Th2 cells is regulated by transcription  factors such as NF-AT, AP-1 and NF-IL6.",15048722_1,-1,1,2,-1,708,-1,0.000668591,0.9981877,0.0011436454
710,transcription factor NF-kappa B,9,13,67,98,"Recently, increasing evidence indicates  that the pro-inflammatory transcription factor NF-kappa B may also participate  inIL-4 expression.",15048722_2,-1,-1,-1,-1,710,-1,9.5239564e-05,0.99978656,0.00011817968
712,NF-AT,18,19,91,96,"In this study, we show that the IL-4 promoter is  synergistically activated by NF-kappa B, NF-AT and NF-IL6 at the NF-kappa  B/NF-AT/NF-IL6 composite sites.",15048722_3,-1,1,2,-1,712,-1,0.00059732224,0.99835855,0.001044072
713,NF-IL6,20,21,101,107,"In this study, we show that the IL-4 promoter is  synergistically activated by NF-kappa B, NF-AT and NF-IL6 at the NF-kappa  B/NF-AT/NF-IL6 composite sites.",15048722_3,-1,-1,-1,-1,713,-1,0.0005747079,0.99828714,0.0011381865
714,B/NF-AT/NF-IL6,25,26,125,139,"In this study, we show that the IL-4 promoter is  synergistically activated by NF-kappa B, NF-AT and NF-IL6 at the NF-kappa  B/NF-AT/NF-IL6 composite sites.",15048722_3,-1,-1,-1,-1,714,-1,0.0022356934,0.9911028,0.0066615175
727,receptor,47,48,272,280,"Our previous studies demonstrated that CD8 T cells from  chronically infected patients with high virus load proliferated poorly in  response to interleukin-2 (IL-2), a cytokine critical in CD8 T cell growth and  differentiation, even though relatively high levels of IL-2 receptor (IL-2R)  were expressed.",15090793_1,0,1,2,-1,727,-1,0.00013112591,0.9995782,0.00029071426
728,STAT5 transcription factor,1,4,4,30,The STAT5 transcription factor is important in  IL-2-dependent biological responses and it is known that there are defects in  unstimulated CD3 and CD4 cells in HIV-infected patients.,15090793_3,-1,-1,-1,-1,728,-1,0.00013502064,0.999711,0.00015402997
734,blood,10,11,61,66,METHODS: CD8 T lymphocytes were purified from the peripheral blood mononuclear  cells of HIV-positive patients before and after HAART.,15090793_5,0,1,-1,-1,734,-1,1.4710756e-05,3.640634e-05,0.999949
740,STAT5b proteins,19,21,106,121,RESULTS: CD8 T cells from a subset of untreated HIV-positive patients were  unable to activate STAT5a and STAT5b proteins functionally in response to IL-2.,15090793_7,-1,-1,-1,-1,740,-1,0.0007611434,0.99705565,0.0021831791
742,T  cell function,12,16,78,94,CONCLUSIONS: These results further uncover a potential mechanism by which CD8 T  cell function is impaired in HIV-infected patients.,15090793_10,-1,-1,-1,-1,742,-1,0.0020954288,0.011929811,0.9859747
746,killer lymphocytes,39,41,216,234,In the past few decades it has  become clear that the pathogenesis and development of this disease is controlled  by cytokines released by CD4 T helper type 2 lymphocytes that develop under the  influence of natural killer lymphocytes.,15090923_1,-1,-1,-1,-1,746,-1,3.060789e-05,7.6080774e-05,0.9998933
751,receptors,10,11,61,70,"RECENT FINDINGS: It has previously been shown that Toll-like receptors are  involved in the recognition of intermediate components, which is the result of  processed foreign antigens or damage products (produced during infection, damage  or inflammation).",15090923_5,0,1,2,-1,751,-1,0.0020389943,0.9714224,0.026538607
761,protein,6,7,51,58,The signal transduction of the cAMP/cAMP-dependent protein kinase [protein  kinase A (PKA)] pathway through multiple receptors is critical for many  processes in all cell types.,15096485_0,0,1,-1,-1,761,-1,0.05608188,0.8187831,0.12513502
762,protein,9,10,67,74,The signal transduction of the cAMP/cAMP-dependent protein kinase [protein  kinase A (PKA)] pathway through multiple receptors is critical for many  processes in all cell types.,15096485_0,0,1,-1,-1,762,-1,0.026625726,0.914862,0.05851234
763,receptors,20,21,117,126,The signal transduction of the cAMP/cAMP-dependent protein kinase [protein  kinase A (PKA)] pathway through multiple receptors is critical for many  processes in all cell types.,15096485_0,0,1,2,-1,763,-1,0.0035336083,0.9369339,0.059532523
770,function,3,4,13,21,"However, the function  and detailed signal transduction mechanisms of the cAMP/PKA pathway in naive  T(h) cells are less well understood.",15096485_3,0,1,2,-1,770,-1,0.09407656,0.6324716,0.27345178
773,receptor,39,40,241,249,"In this study, we show that calcitonin  gene-related peptide (CGRP) down-regulates IL-2 and IFN-gamma production and  up-regulates IL-4 production to promote T(h)2 differentiation by moderate  activation of the cAMP/PKA pathway via the CGRP receptor in the presence of a  CD3/CD28 co-stimulation signal.",15096485_4,0,1,2,-1,773,-1,0.00014857434,0.9994493,0.00040214203
778,NF-AT,33,34,199,204,"More  interestingly, cAMP/PKA activation in naive T(h) cells stimulated with anti-CD3  plus anti-CD28 mAb is essential for inducing IL-4 production and promoting T(h)2  differentiation; in addition, NF-AT is a downstream effector of the cAMP/PKA  signaling pathway.",15096485_6,-1,1,2,-1,778,-1,0.0003623693,0.9991597,0.00047797614
786,stimulating factor,10,12,71,89,"We determined if the genetic adjuvants, granulocyte-macrophage colony  stimulating factor (GM-CSF) and B7-2, could improve the immunogenicity and  efficacy of an HIV-2 DNA vaccine.",15149785_0,-1,-1,-1,-1,786,-1,0.57200724,0.40292752,0.025065213
790,blood,35,36,199,204,"In the  first month after HIV-2 vaginal challenge, the baboons receiving the HIV-2 DNA  vaccine with or without the genetic adjuvants had significant reductions in the  viral loads in the peripheral blood mononuclear cells (PBMC) (P = 0.028) while  the reductions in their plasma viremia were suggestive of a protective effect (P  = 0.1).",15149785_3,0,1,-1,-1,790,-1,2.1931522e-05,4.570573e-05,0.9999324
792,immunity,6,7,35,43,Establishment of a robust  T1-type immunity is a prerequisite for effective defense against most viruses  and intracellular bacteria.,15231067_1,0,-1,2,-1,792,-1,0.9993326,0.00030113952,0.00036625072
793,T1,6,7,42,44,"However, accumulating evidence shows that T1 and T2  responses during such infections are not mutually exclusive.",15231067_2,-1,-1,-1,-1,793,-1,0.0044376417,0.958917,0.036645316
799,immunity,7,8,46,54,Such evidence suggests that coinduction of T2 immunity  maintains immune homeostasis during T1-mediated defense reactions.,15231067_6,0,-1,2,-1,799,-1,0.9993767,0.00027334088,0.00035002033
810,protein,23,24,125,132,"This effect is selectively mediated by HIV-1 Tat, since HIV-1 Nef,  another HIV-1 regulatory protein, and the HIV-1 envelope protein gp41, had no  effect.",15246652_3,0,1,-1,-1,810,-1,0.052073807,0.88599557,0.061930563
812,analysis,10,11,62,70,In vitro adhesion assays with PBMC and quantitative cell type analysis  of adherent cells by FACS demonstrated that HIV-1 Tat selectively activates the  adhesion of T-cells and monocytes but not of B-cells.,15246652_4,0,1,-1,-1,812,-1,0.045896184,0.8297449,0.12435898
823,T1D,56,57,312,315,"Type 1 diabetes (T1D) is an autoimmune disease characterized by leukocyte  infiltration into the pancreatic islets, and we have previously shown that  treatment of adult NOD mice with a vitamin D analog arrests the progression of  insulitis, blocks Th1 cell infiltration into the pancreas, and markedly reduces  T1D development, suggesting inhibition of chemokine production by islet cells.",15294940_0,-1,-1,-1,-1,823,-1,0.00844721,0.79873717,0.19281556
834,mechanism of action,41,44,272,291,"The inhibition of islet chemokine production in vivo persists after  restimulation with TLR ligands and is associated with up-regulation of  IkappaBalpha transcription, an inhibitor of NF-kappaB and with arrest of  NF-kappaBp65 nuclear translocation, highlighting a novel mechanism of action  exerted by vitamin D receptor ligands potentially relevant for the treatment of  T1D and other autoimmune diseases.",15294940_3,0,1,-1,-1,834,-1,0.0013407388,0.9965869,0.0020723373
841,IL-7 function,13,15,73,86,"Although STAT5 has been suggested to be a  central molecular effecter of IL-7 function, its essential role during  IL-7-dependent T cell development in vivo remained unclear.",15294943_1,-1,-1,-1,-1,841,-1,0.98286945,0.0064158677,0.010714708
856,function,2,3,10,18,The exact function of TCR clustering and organized macromolecular patterns at  the immune synapse between APCs and T lymphocytes is unclear.,15322166_0,0,1,2,-1,856,-1,0.047690537,0.8697638,0.08254571
862,protein,39,40,204,211,"Using human  immature or mature dendritic cells (DCs) and autologous CD4(+) effector T cells,  we demonstrate that, within a given conjugate, mature DCs induce strong and  long-lasting TCR clustering and protein kinase C-theta translocation in a  superantigen dose-dependent manner.",15322166_1,0,1,-1,-1,862,-1,0.06353263,0.87486756,0.06159988
