,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_transcription_factor_distsv,lf_t_lymphocyte_distsv,olabel,orig_index,label,prob_0,prob_1,prob_2
280,transforms cytokine-dependent T lymphocytes,10,14,44,87,Human T cell leukemia virus type 1 (HTLV-1) transforms cytokine-dependent T lymphocytes and causes adult T cell leukemia.,11046040_0,-1,-1,-1,-1,280,-1,0.012140368,0.14402992,0.8438297
283,transcription factors Stat5a,5,8,33,61,"Janus tyrosine kinase (Jak)3 and transcription factors Stat5a and Stat5b are essential for the proliferation of normal T cells and are constitutively hyperactivated in both HTLV-1-transformed human T cell lines and lymphocytes isolated from HTLV-1-infected patients; therefore, a critical role for the Jak3-Stat5 pathway in the progression of this disease has been postulated.",11046040_1,-1,-1,-1,-1,283,-1,1.1706953e-05,0.99997616,1.2147467e-05
293,that tyrphostin,3,5,21,36,We recently reported that tyrphostin AG-490 selectively blocked IL-2 activation of Jak3/Stat5 and growth of murine T cell lines.,11046040_2,-1,-1,-1,-1,293,-1,3.97809e-05,0.9999393,2.0949992e-05
310,DNA binding to the Stat5-responsive,54,59,280,315,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,-1,-1,-1,-1,310,-1,9.790419e-06,0.9999809,9.312347e-06
317,that the,5,7,33,41,"Collectively, these data suggest that the Jak3-Stat5 pathway in HTLV-1-transformed T cells has become functionally redundant for proliferation.",11046040_7,-1,-1,-1,-1,317,-1,3.964128e-06,0.9999925,3.5818343e-06
319,functionally,15,16,102,114,"Collectively, these data suggest that the Jak3-Stat5 pathway in HTLV-1-transformed T cells has become functionally redundant for proliferation.",11046040_7,0,1,2,-1,319,-1,2.7400705e-05,0.99996006,1.2556963e-05
320,this functional,2,4,12,27,Reversal of this functional uncoupling may be required before Jak3/Stat5 inhibitors will be useful in the treatment of this malignancy.,11046040_8,-1,-1,-1,-1,320,-1,8.892901e-05,0.99987876,3.2286807e-05
321,the treatment,15,17,102,115,Reversal of this functional uncoupling may be required before Jak3/Stat5 inhibitors will be useful in the treatment of this malignancy.,11046040_8,-1,-1,-1,-1,321,-1,7.994074e-06,0.99998724,4.7596327e-06
328,cytokines that,7,9,40,54,This phenotype is determined in part by cytokines that influence T cell differentiation.,11086033_1,-1,-1,-1,-1,328,-1,0.97441274,0.024709538,0.00087774784
330,transplantable tumor,1,3,3,23,"In transplantable tumor models such as P1.HTR, tumors grow progressively despite expression of defined tumor Ags.",11086033_2,-1,-1,-1,-1,330,-1,4.362517e-06,0.99999154,4.053876e-06
333,that this,2,4,16,25,"We hypothesized that this failure to reject may be due to poor generation of a type 1 phenotype, through a dominant influence of the type 2-promoting cytokines IL-4 and/or IL-13.",11086033_3,-1,-1,-1,-1,333,-1,6.2677336e-06,0.9999896,4.1466396e-06
339,the type,24,26,129,137,"We hypothesized that this failure to reject may be due to poor generation of a type 1 phenotype, through a dominant influence of the type 2-promoting cytokines IL-4 and/or IL-13.",11086033_3,-1,-1,-1,-1,339,-1,5.0557655e-06,0.99998987,5.081705e-06
349,tumor-specific IFN-gamma,5,7,39,63,Rejection was accompanied by augmented tumor-specific IFN-gamma production and CTL activity.,11086033_6,-1,-1,-1,-1,349,-1,0.9244184,0.07391127,0.0016702862
354,immunity,12,13,99,107,These results suggest that pharmacologic inhibition of Stat6 signaling could potentiate anti-tumor immunity in vivo.,11086033_7,0,-1,2,-1,354,-1,0.99982136,5.172205e-05,0.00012687774
355,cell functions,1,3,9,23,Effector cell functions are regulated by a number of positive signals for the mediation of antitumor immunity.,11129327_0,-1,-1,-1,-1,355,-1,1.9766157e-05,1.0990019e-05,0.99996924
357,immunity,16,17,101,109,Effector cell functions are regulated by a number of positive signals for the mediation of antitumor immunity.,11129327_0,0,-1,2,-1,357,-1,0.9998865,2.8596265e-05,8.4874795e-05
361,the generation,13,15,68,82,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,-1,-1,-1,-1,361,-1,7.191947e-06,0.9999864,6.3515818e-06
365,to play,28,30,172,179,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,-1,-1,-1,-1,365,-1,6.799866e-06,0.9999881,5.127847e-06
377,to cells,19,21,113,121,"Tumor-transplanted animals showed enhanced expression of CD40L on natural killer (NK) and T cells, when compared to cells from normal animals.",11129327_4,-1,-1,-1,-1,377,-1,0.0012154062,0.047164164,0.9516204
378,tumor cells,4,6,24,35,CD40 expression on AK-5 tumor cells was also induced after s.c. transplantation.,11129327_5,-1,-1,-1,-1,378,-1,0.00021198943,0.0026013998,0.9971866
379,transplantation,12,13,64,79,CD40 expression on AK-5 tumor cells was also induced after s.c. transplantation.,11129327_5,-1,1,2,-1,379,-1,7.458622e-06,0.9999876,4.8820043e-06
385,cytokine release,40,42,266,282,"Administration of anti-(interleukin-12) (anti-IL-12) and anti-(interferon gamma) (anti-IFNgamma) antibodies in tumor-bearing animals showed down-regulation of the expression of CD40L on NK and T cells with simultaneous inhibition of cytotoxic acitivity of NK cells, cytokine release and the production of antitumor antibody.",11129327_6,-1,-1,-1,-1,385,-1,0.9924601,0.0065907747,0.00094921276
393,the immune response,3,6,27,46,"CD40L expression modulated the immune response exerted by NK cells, in part by the activation of nuclear factor kB (NF-kB).",11129327_8,-1,-1,-1,-1,393,-1,0.5656655,0.43286964,0.0014648456
399,CD40L through the,5,8,31,48,"Furthermore, the signaling via CD40L through the use of anti-CD40L antibody promoted the in vitro activation of cytotoxic as well as NF-kappaB binding activity in NK cells from tumor-transplanted animals.",11129327_9,-1,-1,-1,-1,399,-1,0.0053082155,0.041290477,0.95340127
405,that the,3,5,31,39,"These observations demonstrate that the expression of CD40L by the effector cells is regulated by IL-12 and IFNgamma, and could effectively modulate the NK-cell-mediated immune response during the regression of AK-5 tumor.",11129327_10,-1,-1,-1,-1,405,-1,3.6897768e-06,0.9999927,3.6348179e-06
419,that IL-15Ralpha,6,8,31,47,"In this study, we demonstrated that IL-15Ralpha, the IL-15-specific binding receptor, mRNA and protein levels were also elevated in HTLV-I-infected cells.",11160322_1,-1,-1,-1,-1,419,-1,0.0059248847,0.99369556,0.0003795437
420,the IL-15-specific,9,11,49,67,"In this study, we demonstrated that IL-15Ralpha, the IL-15-specific binding receptor, mRNA and protein levels were also elevated in HTLV-I-infected cells.",11160322_1,-1,-1,-1,-1,420,-1,0.18076174,0.81729466,0.0019436298
421,receptor,12,13,76,84,"In this study, we demonstrated that IL-15Ralpha, the IL-15-specific binding receptor, mRNA and protein levels were also elevated in HTLV-I-infected cells.",11160322_1,0,1,2,-1,421,-1,0.0009321233,0.030507367,0.9685606
422,protein,16,17,95,102,"In this study, we demonstrated that IL-15Ralpha, the IL-15-specific binding receptor, mRNA and protein levels were also elevated in HTLV-I-infected cells.",11160322_1,0,1,-1,-1,422,-1,8.025241e-06,0.9999856,6.35254e-06
424,that transient,2,4,10,24,We showed that transient HTLV-I Tax expression lead to increased IL-15Ralpha mRNA levels.,11160322_2,-1,-1,-1,-1,424,-1,4.588026e-06,0.99999154,3.917541e-06
431,that Tax,17,19,102,110,"In addition, by using a reporter construct that bears the human IL-15Ralpha promoter, we demonstrated that Tax expression increased promoter activity by at least 4-fold.",11160322_3,-1,-1,-1,-1,431,-1,6.3645225e-06,0.9999894,4.2729744e-06
432,analysis,9,10,62,70,"Furthermore, using promoter deletion constructs and gel shift analysis, we defined a functional NF-kappaB-binding motif in the human IL-15Ralpha promoter, suggesting that Tax activation of IL-15Ralpha is due, in part, to the induction of NF-kappaB. These data indicate that IL-15Ralpha is transcriptionally regulated by the HTLV-I Tax protein through the action of NF-kappaB. These findings suggest a role for IL-15Ralpha in aberrant T cell proliferation observed in HTLV-I-associated diseases.",11160322_4,0,1,-1,-1,432,-1,7.5408843e-06,0.99998534,7.1557206e-06
433,functional NF-kappaB-binding,14,16,85,113,"Furthermore, using promoter deletion constructs and gel shift analysis, we defined a functional NF-kappaB-binding motif in the human IL-15Ralpha promoter, suggesting that Tax activation of IL-15Ralpha is due, in part, to the induction of NF-kappaB. These data indicate that IL-15Ralpha is transcriptionally regulated by the HTLV-I Tax protein through the action of NF-kappaB. These findings suggest a role for IL-15Ralpha in aberrant T cell proliferation observed in HTLV-I-associated diseases.",11160322_4,-1,-1,-1,-1,433,-1,1.1383923e-05,0.99998,8.604436e-06
436,that Tax,24,26,166,174,"Furthermore, using promoter deletion constructs and gel shift analysis, we defined a functional NF-kappaB-binding motif in the human IL-15Ralpha promoter, suggesting that Tax activation of IL-15Ralpha is due, in part, to the induction of NF-kappaB. These data indicate that IL-15Ralpha is transcriptionally regulated by the HTLV-I Tax protein through the action of NF-kappaB. These findings suggest a role for IL-15Ralpha in aberrant T cell proliferation observed in HTLV-I-associated diseases.",11160322_4,-1,-1,-1,-1,436,-1,5.8061896e-06,0.99998975,4.5003635e-06
438,to the,35,37,218,224,"Furthermore, using promoter deletion constructs and gel shift analysis, we defined a functional NF-kappaB-binding motif in the human IL-15Ralpha promoter, suggesting that Tax activation of IL-15Ralpha is due, in part, to the induction of NF-kappaB. These data indicate that IL-15Ralpha is transcriptionally regulated by the HTLV-I Tax protein through the action of NF-kappaB. These findings suggest a role for IL-15Ralpha in aberrant T cell proliferation observed in HTLV-I-associated diseases.",11160322_4,-1,-1,-1,-1,438,-1,4.394576e-06,0.9999912,4.389454e-06
440,that IL-15Ralpha,43,45,269,285,"Furthermore, using promoter deletion constructs and gel shift analysis, we defined a functional NF-kappaB-binding motif in the human IL-15Ralpha promoter, suggesting that Tax activation of IL-15Ralpha is due, in part, to the induction of NF-kappaB. These data indicate that IL-15Ralpha is transcriptionally regulated by the HTLV-I Tax protein through the action of NF-kappaB. These findings suggest a role for IL-15Ralpha in aberrant T cell proliferation observed in HTLV-I-associated diseases.",11160322_4,-1,-1,-1,-1,440,-1,0.27604958,0.72232616,0.0016242801
443,Tax protein through the,51,55,331,354,"Furthermore, using promoter deletion constructs and gel shift analysis, we defined a functional NF-kappaB-binding motif in the human IL-15Ralpha promoter, suggesting that Tax activation of IL-15Ralpha is due, in part, to the induction of NF-kappaB. These data indicate that IL-15Ralpha is transcriptionally regulated by the HTLV-I Tax protein through the action of NF-kappaB. These findings suggest a role for IL-15Ralpha in aberrant T cell proliferation observed in HTLV-I-associated diseases.",11160322_4,-1,-1,-1,-1,443,-1,3.9588745e-06,0.999992,4.0810423e-06
447,through the,7,9,48,59,"In early CD4(-)CD8(-) pro-thymocytes, signaling through the pre-TCR is crucial for survival and differentiation into CD4(+)CD8(+) cells.",11290785_0,-1,-1,-1,-1,447,-1,4.389307e-06,0.99999106,4.563251e-06
452,to cell,16,18,107,114,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,-1,-1,-1,-1,452,-1,0.0019988567,0.14803481,0.84996635
453,to cell,26,28,168,175,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,-1,-1,-1,-1,453,-1,0.0015258632,0.0942623,0.9042118
455,thymocytes,11,12,83,93,"Intrinsic differences must therefore exist between pre-TCR signals in CD4(-)CD8(-) thymocytes and alphabetaTCR signals in CD4(+)CD8(+) cells, since only the latter can mediate a death signal.",11290785_2,-1,1,2,-1,455,-1,0.0027194212,0.7148191,0.2824615
461,thymoma cell,20,22,116,128,"In this work, we directly compared the capability of pre-TCR and alphabetaTCR to induce apoptosis in a CD4(-)CD8(-) thymoma cell line following receptor cross-linking with mAbs.",11290785_3,-1,-1,-1,-1,461,-1,0.0021752745,0.47249308,0.5253317
462,receptor,24,25,144,152,"In this work, we directly compared the capability of pre-TCR and alphabetaTCR to induce apoptosis in a CD4(-)CD8(-) thymoma cell line following receptor cross-linking with mAbs.",11290785_3,0,1,2,-1,462,-1,0.061550118,0.00023735518,0.9382125
