Safety	safety	O	O	O	O
venous	venous	O	DISEASE	OTHERS	I
thromboembolism	thromboembolism	O	DISEASE	OTHERS	I
,	,	O	O	O	O
cataracts	cataracts	O	DISEASE	OTHERS	I
,	,	O	O	O	O
gallbladder	gallbladder	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
endometrial	endometrial	O	DISEASE	OTHERS	I
hyperplasia	hyperplasia	O	DISEASE	OTHERS	I
or	or	O	O	O	O
cancer	cancer	O	DISEASE	OTHERS	I
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
During	during	O	O	O	O
a	a	O	O	O	O
mean	mean	O	O	O	O
follow-up	follow-up	O	O	O	O
of	of	O	O	O	O
3.3	3.3	O	O	O	O
years	years	O	O	O	O
,	,	O	O	O	O
raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
an	an	O	O	O	O
increased	increased	O	O	O	O
risk	risk	O	O	O	O
for	for	O	O	O	O
venous	venous	O	DISEASE	OTHERS	I
thromboembolism	thromboembolism	O	DISEASE	OTHERS	I
(	(	O	O	O	O
relative	relative	O	O	O	O
risk	risk	O	O	O	O
[	[	O	O	O	O
RR	rr	O	O	O	O
]	]	O	O	O	O
2.1	2.1	O	O	O	O
;	;	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
confidence	confidence	O	O	O	O
interval	interval	O	O	O	O
[	[	O	O	O	O
CI	ci	O	O	O	O
]	]	O	O	O	O
1.2	1.2	O	O	O	O
-	-	O	O	O	O
3.8	3.8	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
excess	excess	O	O	O	O
event	event	O	O	O	O
rate	rate	O	O	O	O
was	was	O	O	O	O
1.8	1.8	O	O	O	O
per	per	O	O	O	O
1,000	1,000	O	O	O	O
woman-years	woman-years	O	O	O	O
(	(	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
-0.5	-0.5	O	O	O	O
-	-	O	O	O	O
4.1	4.1	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
number	number	O	O	O	O
needed	needed	O	O	O	O
to	to	O	O	O	O
treat	treat	O	O	O	O
to	to	O	O	O	O
cause	cause	O	O	O	O
1	1	O	O	O	O
event	event	O	O	O	O
was	was	O	O	O	O
170	170	O	O	O	O
(	(	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
100	100	O	O	O	O
-	-	O	O	O	O
582	582	O	O	O	O
)	)	O	O	O	O
over	over	O	O	O	O
3.3	3.3	O	O	O	O
years	years	O	O	O	O
.	.	O	O	O	O

Risk	risk	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
group	group	O	O	O	O
was	was	O	O	O	O
higher	higher	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
placebo	placebo	O	O	O	O
group	group	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
first	first	O	O	O	O
2	2	O	O	O	O
years	years	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
decreased	decreased	O	O	O	O
to	to	O	O	O	O
about	about	O	O	O	O
the	the	O	O	O	O
same	same	O	O	O	O
rate	rate	O	O	O	O
as	as	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
placebo	placebo	O	O	O	O
group	group	O	O	O	O
thereafter	thereafter	O	O	O	O
.	.	O	O	O	O

Raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
did	did	O	O	O	O
not	not	O	O	O	O
increase	increase	O	O	O	O
risk	risk	O	O	O	O
for	for	O	O	O	O
cataracts	cataracts	O	DISEASE	OTHERS	I
(	(	O	O	O	O
RR	rr	O	O	O	O
0.9	0.9	O	O	O	O
;	;	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
0.8	0.8	O	O	O	O
-	-	O	O	O	O
1.1	1.1	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
gallbladder	gallbladder	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
(	(	O	O	O	O
RR	rr	O	O	O	O
1.0	1.0	O	O	O	O
;	;	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
0.7	0.7	O	O	O	O
-	-	O	O	O	O
1.3	1.3	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
endometrial	endometrial	O	DISEASE	OTHERS	I
hyperplasia	hyperplasia	O	DISEASE	OTHERS	I
(	(	O	O	O	O
RR	rr	O	O	O	O
1.3	1.3	O	O	O	O
;	;	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
0.4	0.4	O	O	O	O
-	-	O	O	O	O
5.1	5.1	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
endometrial	endometrial	O	DISEASE	OTHERS	I
cancer	cancer	O	DISEASE	OTHERS	I
(	(	O	O	O	O
RR	rr	O	O	O	O
0.9	0.9	O	O	O	O
;	;	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI	ci	O	O	O	O
0.3	0.3	O	O	O	O
-	-	O	O	O	O
2.7	2.7	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

CONCLUSION	conclusion	O	O	O	O
:	:	O	O	O	O
Raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
an	an	O	O	O	O
increased	increased	O	O	O	O
risk	risk	O	O	O	O
for	for	O	O	O	O
venous	venous	O	DISEASE	OTHERS	I
thromboembolism	thromboembolism	O	DISEASE	OTHERS	I
,	,	O	O	O	O
but	but	O	O	O	O
there	there	O	O	O	O
was	was	O	O	O	O
no	no	O	O	O	O
increased	increased	O	O	O	O
risk	risk	O	O	O	O
for	for	O	O	O	O
cataracts	cataracts	O	DISEASE	OTHERS	I
,	,	O	O	O	O
gallbladder	gallbladder	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
,	,	O	O	O	O
endometrial	endometrial	O	DISEASE	OTHERS	I
hyperplasia	hyperplasia	O	DISEASE	OTHERS	I
,	,	O	O	O	O
or	or	O	O	O	O
endometrial	endometrial	O	DISEASE	OTHERS	I
cancer	cancer	O	DISEASE	OTHERS	I
.	.	O	O	O	O

LEVEL	level	O	O	O	O
OF	of	O	O	O	O
EVIDENCE	evidence	O	O	O	O
:	:	O	O	O	O
I	i	O	O	O	O

