Probing	probing	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
to	to	O	O	O	O
one	one	O	O	O	O
eye	eye	O	O	O	O
and	and	O	O	O	O
placebo	placebo	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
other	other	O	O	O	O
.	.	O	O	O	O

All	all	O	O	O	O
eye	eye	O	O	O	O
drops	drops	O	O	O	O
were	were	O	O	O	O
given	given	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
randomized	randomized	O	O	O	O
order	order	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
2	2	O	O	O	O
separate	separate	O	O	O	O
sessions	sessions	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
single	single	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
scopolamine	scopolamine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
0.5	0.5	O	O	O	O
mg	mg	O	O	OTHERS	I
,	,	O	O	O	O
intravenously	intravenously	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
placebo	placebo	O	O	O	O
was	was	O	O	O	O
administered	administered	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
on	on	O	O	O	O
word	word	O	O	O	O
recall	recall	O	O	O	O
were	were	O	O	O	O
measured	measured	O	O	O	O
using	using	O	O	O	O
the	the	O	O	O	O
Buschke	buschke	O	O	O	O
Selective	selective	O	O	O	O
Reminding	reminding	O	O	O	O
Test	test	O	O	O	O
over	over	O	O	O	O
2	2	O	O	O	O
hours	hours	O	O	O	O
.	.	O	O	O	O

OUTCOME	outcome	O	O	O	O
MEASURES	measures	O	O	O	O
:	:	O	O	O	O
Pupil	pupil	O	O	O	O
size	size	O	O	O	O
at	at	O	O	O	O
time	time	O	O	O	O
points	points	O	O	O	O
after	after	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
tropicamide	tropicamide	O	O	OTHERS	I
and	and	O	O	O	O
pilocarpine	pilocarpine	CHEMICALS	O	OTHERS	I
;	;	O	O	O	O
scopolamine-induced	scopolamine-induced	O	O	O	O
impairment	impairment	O	O	OTHERS	I
in	in	O	O	OTHERS	I
word	word	O	O	OTHERS	I
recall	recall	O	O	OTHERS	I
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
There	there	O	O	O	O
was	was	O	O	O	O
no	no	O	O	O	O
significant	significant	O	O	O	O
difference	difference	O	O	O	O
between	between	O	O	O	O
elderly	elderly	O	O	O	O
and	and	O	O	O	O
young	young	O	O	O	O
volunteers	volunteers	O	O	O	O
in	in	O	O	O	O
pupillary	pupillary	O	O	O	O
response	response	O	O	O	O
to	to	O	O	O	O
tropicamide	tropicamide	O	O	OTHERS	I
at	at	O	O	O	O
any	any	O	O	O	O
time	time	O	O	O	O
point	point	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
>	>	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
elderly	elderly	O	O	O	O
group	group	O	O	O	O
had	had	O	O	O	O
a	a	O	O	O	O
significantly	significantly	O	O	O	O
greater	greater	O	O	O	O
pilocarpine-induced	pilocarpine-induced	O	O	O	O
net	net	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
pupil	pupil	O	O	O	O
size	size	O	O	O	O
85	85	O	O	O	O
,	,	O	O	O	O
125	125	O	O	O	O
,	,	O	O	O	O
165	165	O	O	O	O
and	and	O	O	O	O
215	215	O	O	O	O
minutes	minutes	O	O	O	O
after	after	O	O	O	O
administration	administration	O	O	O	O
,	,	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
young	young	O	O	O	O
group	group	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
<	<	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Compared	compared	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
young	young	O	O	O	O
group	group	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
elderly	elderly	O	O	O	O
group	group	O	O	O	O
had	had	O	O	O	O
greater	greater	O	O	O	O
scopolamine-induced	scopolamine-induced	O	O	O	O
impairment	impairment	O	O	OTHERS	I
in	in	O	O	OTHERS	I
word	word	O	O	OTHERS	I
recall	recall	O	O	OTHERS	I
60	60	O	O	O	O
,	,	O	O	O	O
90	90	O	O	O	O
and	and	O	O	O	O
120	120	O	O	O	O
minutes	minutes	O	O	O	O
after	after	O	O	O	O
administration	administration	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
<	<	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

CONCLUSION	conclusion	O	O	O	O
:	:	O	O	O	O
There	there	O	O	O	O
is	is	O	O	O	O
an	an	O	O	O	O
age-related	age-related	O	O	O	O
pupillary	pupillary	O	O	O	O
response	response	O	O	O	O
to	to	O	O	O	O
pilocarpine	pilocarpine	CHEMICALS	O	OTHERS	I
that	that	O	O	O	O
is	is	O	O	O	O
not	not	O	O	O	O
found	found	O	O	O	O
with	with	O	O	O	O
tropicamide	tropicamide	O	O	OTHERS	I
.	.	O	O	O	O

Thus	thus	O	O	O	O
,	,	O	O	O	O
pilocarpine	pilocarpine	CHEMICALS	O	OTHERS	I
may	may	O	O	O	O
be	be	O	O	O	O
useful	useful	O	O	O	O
to	to	O	O	O	O
assess	assess	O	O	O	O
variations	variations	O	O	O	O
in	in	O	O	O	O
central	central	O	O	O	O
cholinergic	cholinergic	O	O	O	O
function	function	O	O	O	O
in	in	O	O	O	O
elderly	elderly	O	O	O	O
patients	patients	O	O	O	O
.	.	O	O	O	O

