Effect	effect	O	O	O	O
as	as	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
clearance	clearance	O	O	O	O
.	.	O	O	O	O

Histopathologic	histopathologic	O	O	O	O
evaluation	evaluation	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
kidneys	kidneys	O	O	O	O
was	was	O	O	O	O
also	also	O	O	O	O
performed	performed	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
MTX	mtx	CHEMICALS	O	OTHERS	I
administration	administration	O	O	O	O
a	a	O	O	O	O
significant	significant	O	O	O	O
increase	increase	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
=	=	O	O	O	O
0.0228	0.0228	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
plasma	plasma	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
concentration	concentration	O	O	O	O
and	and	O	O	O	O
a	a	O	O	O	O
significant	significant	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
=	=	O	O	O	O
0.0001	0.0001	O	O	O	O
)	)	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
clearance	clearance	O	O	O	O
was	was	O	O	O	O
noted	noted	O	O	O	O
compared	compared	O	O	O	O
to	to	O	O	O	O
controls	controls	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
the	the	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
NG	ng	O	O	OTHERS	I
,	,	O	O	O	O
5-FU	5-fu	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
CY	cy	CHEMICALS	O	OTHERS	I
neither	neither	O	O	O	O
a	a	O	O	O	O
statistically	statistically	O	O	O	O
significant	significant	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
concentration	concentration	O	O	O	O
nor	nor	O	O	O	O
an	an	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
clearance	clearance	O	O	O	O
was	was	O	O	O	O
observed	observed	O	O	O	O
compared	compared	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
group	group	O	O	O	O
receiving	receiving	O	O	O	O
no	no	O	O	O	O
cytostatics	cytostatics	O	O	O	O
.	.	O	O	O	O

Following	following	O	O	O	O
polytherapy	polytherapy	O	O	O	O
according	according	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
CMF	cmf	CHEMICALS	O	OTHERS	I
regimen	regimen	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
a	a	O	O	O	O
statistically	statistically	O	O	O	O
significant	significant	O	O	O	O
decrease	decrease	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
=	=	O	O	O	O
0.0343	0.0343	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
clearance	clearance	O	O	O	O
was	was	O	O	O	O
found	found	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
concentration	concentration	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
increase	increase	O	O	O	O
significantly	significantly	O	O	O	O
compared	compared	O	O	O	O
to	to	O	O	O	O
controls	controls	O	O	O	O
.	.	O	O	O	O

CY	cy	CHEMICALS	O	OTHERS	I
caused	caused	O	O	O	O
hemorrhagic	hemorrhagic	O	DISEASE	OTHERS	I
cystitis	cystitis	O	DISEASE	OTHERS	I
in	in	O	O	O	O
40	40	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
rats	rats	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
it	it	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
cause	cause	O	O	O	O
this	this	O	O	O	O
complication	complication	O	O	O	O
when	when	O	O	O	O
combined	combined	O	O	O	O
with	with	O	O	O	O
5-FU	5-fu	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
MTX	mtx	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Histologic	histologic	O	O	O	O
changes	changes	O	O	O	O
were	were	O	O	O	O
found	found	O	O	O	O
in	in	O	O	O	O
rat	rat	O	O	O	O
kidneys	kidneys	O	O	O	O
after	after	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
MTX	mtx	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
CY	cy	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
NG	ng	O	O	OTHERS	I
,	,	O	O	O	O
while	while	O	O	O	O
no	no	O	O	O	O
such	such	O	O	O	O
change	change	O	O	O	O
was	was	O	O	O	O
observed	observed	O	O	O	O
after	after	O	O	O	O
5-FU	5-fu	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
joint	joint	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
MTX	mtx	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
5-FU	5-fu	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
CY	cy	CHEMICALS	O	OTHERS	I
compared	compared	O	O	O	O
to	to	O	O	O	O
controls	controls	O	O	O	O
.	.	O	O	O	O

Our	our	O	O	O	O
studies	studies	O	O	O	O
indicate	indicate	O	O	O	O
that	that	O	O	O	O
nephrotoxicity	nephrotoxicity	O	DISEASE	OTHERS	I
of	of	O	O	O	O
MTX	mtx	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
5-FU	5-fu	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
CY	cy	CHEMICALS	O	OTHERS	I
administered	administered	O	O	O	O
jointly	jointly	O	O	O	O
is	is	O	O	O	O
lower	lower	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
monotherapy	monotherapy	O	O	O	O
.	.	O	O	O	O

