Nephrotoxic	nephrotoxic	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
administration	administration	O	O	O	O
decreased	decreased	O	O	O	O
diameter	diameter	O	O	O	O
,	,	O	O	O	O
density	density	O	O	O	O
and	and	O	O	O	O
shape	shape	O	O	O	O
of	of	O	O	O	O
endothelial	endothelial	O	O	O	O
fenestrae	fenestrae	O	O	O	O
.	.	O	O	O	O

Kanamycin	kanamycin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
netilmicin	netilmicin	O	O	OTHERS	I
appeared	appeared	O	O	O	O
to	to	O	O	O	O
have	have	O	O	O	O
no	no	O	O	O	O
effect	effect	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
dose	dose	O	O	O	O
used	used	O	O	O	O
.	.	O	O	O	O

All	all	O	O	O	O
three	three	O	O	O	O
aminoglycosides	aminoglycosides	CHEMICALS	O	OTHERS	I
decreased	decreased	O	O	O	O
GFR	gfr	O	O	O	O
and	and	O	O	O	O
increased	increased	O	O	O	O
urinary	urinary	O	O	O	O
excretion	excretion	O	O	O	O
of	of	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
potassium	potassium	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

While	while	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
kanamycin	kanamycin	CHEMICALS	O	OTHERS	I
decreased	decreased	O	O	O	O
the	the	O	O	O	O
percentage	percentage	O	O	O	O
reabsorption	reabsorption	O	O	O	O
and	and	O	O	O	O
accumulation	accumulation	O	O	O	O
of	of	O	O	O	O
lysozyme	lysozyme	O	O	O	O
after	after	O	O	O	O
i.v	i.v	O	O	O	O
.	.	O	O	O	O

administration	administration	O	O	O	O
of	of	O	O	O	O
egg-white	egg-white	O	O	O	O
lysozyme	lysozyme	O	O	O	O
netilmicin	netilmicin	O	O	OTHERS	I
had	had	O	O	O	O
no	no	O	O	O	O
effect	effect	O	O	O	O
.	.	O	O	O	O

Daily	daily	O	O	O	O
excretion	excretion	O	O	O	O
of	of	O	O	O	O
total	total	O	O	O	O
protein	protein	O	O	O	O
,	,	O	O	O	O
endogenous	endogenous	O	O	O	O
lysozyme	lysozyme	O	O	O	O
and	and	O	O	O	O
NAG	nag	O	O	O	O
increased	increased	O	O	O	O
only	only	O	O	O	O
after	after	O	O	O	O
treatment	treatment	O	O	O	O
with	with	O	O	O	O
kanamycin	kanamycin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Thus	thus	O	O	O	O
,	,	O	O	O	O
aminoglycosides	aminoglycosides	CHEMICALS	O	OTHERS	I
may	may	O	O	O	O
act	act	O	O	O	O
as	as	O	O	O	O
nephrotoxicants	nephrotoxicants	O	O	O	O
at	at	O	O	O	O
glomerular	glomerular	O	O	O	O
and/or	and/or	O	O	O	O
tubular	tubular	O	O	O	O
level	level	O	O	O	O
inducing	inducing	O	O	O	O
impairment	impairment	O	O	OTHERS	I
of	of	O	O	OTHERS	I
renal	renal	O	O	OTHERS	I
reabsorption	reabsorption	O	O	OTHERS	I
and	and	O	O	O	O
accumulation	accumulation	O	O	O	O
of	of	O	O	O	O
proteins	proteins	O	O	O	O
.	.	O	O	O	O

