Phlorizin-induced	phlorizin-induced	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
Group	group	O	O	O	O
II	ii	O	O	O	O
,	,	O	O	O	O
P	p	O	O	OTHERS	I
did	did	O	O	O	O
not	not	O	O	O	O
prevent	prevent	O	O	O	O
gentamicin-ARF	gentamicin-arf	O	O	O	O
(	(	O	O	O	O
maximal	maximal	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
CCr	ccr	O	O	O	O
at	at	O	O	O	O
day	day	O	O	O	O
9.89	9.89	O	O	O	O
%	%	O	O	O	O
,	,	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.001	0.001	O	O	O	O
;	;	O	O	O	O
peak	peak	O	O	O	O
lysozymuria	lysozymuria	O	O	O	O
,	,	O	O	O	O
1863	1863	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
321	321	O	O	O	O
micrograms/day	micrograms/day	O	O	O	O
;	;	O	O	O	O
and	and	O	O	O	O
tubular	tubular	O	DISEASE	OTHERS	I
necrosis	necrosis	O	DISEASE	OTHERS	I
score	score	O	O	O	O
,	,	O	O	O	O
3.9	3.9	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.1	0.1	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
values	values	O	O	O	O
were	were	O	O	O	O
not	not	O	O	O	O
different	different	O	O	O	O
from	from	O	O	O	O
those	those	O	O	O	O
of	of	O	O	O	O
Group	group	O	O	O	O
III	iii	O	O	O	O
:	:	O	O	O	O
maximal	maximal	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
CCr	ccr	O	O	O	O
73	73	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
;	;	O	O	O	O
lysozymuria	lysozymuria	O	O	O	O
,	,	O	O	O	O
2147	2147	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
701	701	O	O	O	O
micrograms/day	micrograms/day	O	O	O	O
;	;	O	O	O	O
tubular	tubular	O	DISEASE	OTHERS	I
necrosis	necrosis	O	DISEASE	OTHERS	I
score	score	O	O	O	O
,	,	O	O	O	O
3.8	3.8	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.1.(ABSTRACT	0.1.(abstract	O	O	O	O
TRUNCATED	truncated	O	O	O	O
AT	at	O	O	O	O
250	250	O	O	O	O
WORDS	words	O	O	O	O
)	)	O	O	O	O

