Reversal	reversal	O	O	O	O
filling	filling	O	O	O	O
pressure	pressure	O	O	O	O
decreased	decreased	O	O	O	O
from	from	O	O	O	O
19	19	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
to	to	O	O	O	O
11	11	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg	hg	O	O	OTHERS	I
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

SigmaST	sigmast	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
sum	sum	O	O	O	O
of	of	O	O	O	O
ST-segment	st-segment	O	O	O	O
elevations	elevations	O	O	O	O
in	in	O	O	O	O
16	16	O	O	O	O
precordial	precordial	O	O	O	O
leads	leads	O	O	O	O
,	,	O	O	O	O
decreased	decreased	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.02	0.02	O	O	O	O
)	)	O	O	O	O
with	with	O	O	O	O
intravenous	intravenous	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Subsequent	subsequent	O	O	O	O
addition	addition	O	O	O	O
of	of	O	O	O	O
phenylephrine	phenylephrine	CHEMICALS	O	OTHERS	I
infusion	infusion	O	O	O	O
,	,	O	O	O	O
sufficient	sufficient	O	O	O	O
to	to	O	O	O	O
re-elevate	re-elevate	O	O	O	O
mean	mean	O	O	O	O
arterial	arterial	O	O	O	O
pressure	pressure	O	O	O	O
to	to	O	O	O	O
106	106	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
4	4	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg	hg	O	O	OTHERS	I
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
30	30	O	O	O	O
minutes	minutes	O	O	O	O
,	,	O	O	O	O
increased	increased	O	O	O	O
left	left	O	O	O	O
ventricular	ventricular	O	O	O	O
filling	filling	O	O	O	O
pressure	pressure	O	O	O	O
to	to	O	O	O	O
17	17	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg	hg	O	O	OTHERS	I
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
also	also	O	O	O	O
significantly	significantly	O	O	O	O
increased	increased	O	O	O	O
sigmaST	sigmast	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Our	our	O	O	O	O
results	results	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
addition	addition	O	O	O	O
of	of	O	O	O	O
phenylephrine	phenylephrine	CHEMICALS	O	OTHERS	I
to	to	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
not	not	O	O	O	O
beneficial	beneficial	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
treatment	treatment	O	O	O	O
of	of	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
myocardial	myocardial	O	DISEASE	OTHERS	I
infarction	infarction	O	DISEASE	OTHERS	I
.	.	O	O	O	O

