Therapeutic	therapeutic	O	O	O	O
group	group	O	O	O	O
and	and	O	O	O	O
in	in	O	O	O	O
67	67	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
TD	td	O	O	OTHERS	I
group	group	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Mean	mean	O	O	O	O
peak	peak	O	O	O	O
concentrations	concentrations	O	O	O	O
were	were	O	O	O	O
markedly	markedly	O	O	O	O
different	different	O	O	O	O
:	:	O	O	O	O
11.00+/-2.89	11.00+/-2.89	O	O	O	O
microg/ml	microg/ml	O	O	O	O
in	in	O	O	O	O
OD	od	O	O	O	O
vs.	vs.	O	O	O	O
6.53+/-1.45	6.53+/-1.45	O	O	O	O
microg/ml	microg/ml	O	O	O	O
in	in	O	O	O	O
TD	td	O	O	OTHERS	I
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
pharmacokinetics	pharmacokinetics	O	O	O	O
parameters	parameters	O	O	O	O
were	were	O	O	O	O
:	:	O	O	O	O
Ke	ke	O	O	O	O
,	,	O	O	O	O
(	(	O	O	O	O
0.15+/-0.03/h	0.15+/-0.03/h	O	O	O	O
in	in	O	O	O	O
OD	od	O	O	O	O
vs.	vs.	O	O	O	O
0.24+/-0.06/h	0.24+/-0.06/h	O	O	O	O
in	in	O	O	O	O
TD	td	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
t1/2	t1/2	O	O	O	O
,	,	O	O	O	O
(	(	O	O	O	O
4.95+/-1.41	4.95+/-1.41	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
OD	od	O	O	O	O
vs.	vs.	O	O	O	O
3.07+/-0.71	3.07+/-0.71	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
TD	td	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
Vd	vd	O	O	O	O
(	(	O	O	O	O
0.35+/-0.11	0.35+/-0.11	O	O	O	O
l/kg	l/kg	O	O	O	O
in	in	O	O	O	O
OD	od	O	O	O	O
vs.	vs.	O	O	O	O
0.33+/-0.09	0.33+/-0.09	O	O	O	O
l/kg	l/kg	O	O	O	O
in	in	O	O	O	O
TD	td	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
Cl	cl	O	O	OTHERS	I
(	(	O	O	O	O
0.86+/-0.29	0.86+/-0.29	O	O	O	O
ml/min/kg	ml/min/kg	O	O	O	O
in	in	O	O	O	O
OD	od	O	O	O	O
vs.	vs.	O	O	O	O
1.28+/-0.33	1.28+/-0.33	O	O	O	O
ml/min/kg	ml/min/kg	O	O	O	O
in	in	O	O	O	O
TD	td	O	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

Increased	increased	O	O	O	O
serum	serum	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
73	73	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
patients	patients	O	O	O	O
in	in	O	O	O	O
OD	od	O	O	O	O
versus	versus	O	O	O	O
57	57	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
patients	patients	O	O	O	O
in	in	O	O	O	O
TD	td	O	O	OTHERS	I
,	,	O	O	O	O
without	without	O	O	O	O
evidence	evidence	O	O	O	O
of	of	O	O	O	O
nephrotoxicity	nephrotoxicity	O	DISEASE	OTHERS	I
.	.	O	O	O	O

In	in	O	O	O	O
TD	td	O	O	OTHERS	I
group	group	O	O	O	O
,	,	O	O	O	O
three	three	O	O	O	O
patients	patients	O	O	O	O
developed	developed	O	O	O	O
decreased	decreased	O	O	OTHERS	I
auditory	auditory	O	O	OTHERS	I
function	function	O	O	OTHERS	I
,	,	O	O	O	O
of	of	O	O	O	O
which	which	O	O	O	O
one	one	O	O	O	O
presented	presented	O	O	O	O
with	with	O	O	O	O
an	an	O	O	O	O
auditory	auditory	O	O	OTHERS	I
loss	loss	O	O	OTHERS	I
of	of	O	O	O	O
-30	-30	O	O	O	O
dB	db	O	O	O	O
,	,	O	O	O	O
whereas	whereas	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
OD	od	O	O	O	O
group	group	O	O	O	O
only	only	O	O	O	O
one	one	O	O	O	O
patient	patient	O	O	O	O
presented	presented	O	O	O	O
decreased	decreased	O	O	OTHERS	I
auditory	auditory	O	O	OTHERS	I
function	function	O	O	OTHERS	I
.	.	O	O	O	O

CONCLUSION	conclusion	O	O	O	O
:	:	O	O	O	O
This	this	O	O	O	O
small	small	O	O	O	O
study	study	O	O	O	O
suggests	suggests	O	O	O	O
that	that	O	O	O	O
a	a	O	O	O	O
once-daily	once-daily	O	O	O	O
dosing	dosing	O	O	O	O
regimen	regimen	O	O	O	O
of	of	O	O	O	O
tobramycin	tobramycin	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
at	at	O	O	O	O
least	least	O	O	O	O
as	as	O	O	O	O
effective	effective	O	O	O	O
as	as	O	O	O	O
and	and	O	O	O	O
is	is	O	O	O	O
no	no	O	O	O	O
more	more	O	O	O	O
and	and	O	O	O	O
possibly	possibly	O	O	O	O
less	less	O	O	O	O
toxic	toxic	O	O	O	O
than	than	O	O	O	O
the	the	O	O	O	O
twice-daily	twice-daily	O	O	O	O
regimen	regimen	O	O	O	O
.	.	O	O	O	O

Using	using	O	O	O	O
a	a	O	O	O	O
single-dose	single-dose	O	O	O	O
therapy	therapy	O	O	O	O
,	,	O	O	O	O
peak	peak	O	O	O	O
concentration	concentration	O	O	O	O
determination	determination	O	O	O	O
is	is	O	O	O	O
not	not	O	O	O	O
necessary	necessary	O	O	O	O
,	,	O	O	O	O
only	only	O	O	O	O
trough	trough	O	O	O	O
samples	samples	O	O	O	O
should	should	O	O	O	O
be	be	O	O	O	O
monitored	monitored	O	O	O	O
to	to	O	O	O	O
ensure	ensure	O	O	O	O
levels	levels	O	O	O	O
below	below	O	O	O	O
2	2	O	O	O	O
microg/ml	microg/ml	O	O	O	O
.	.	O	O	O	O

