Adverse	adverse	O	O	O	O
randomly	randomly	O	O	O	O
assigned	assigned	O	O	O	O
to	to	O	O	O	O
three	three	O	O	O	O
groups	groups	O	O	O	O
:	:	O	O	O	O
untreated	untreated	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
controls	controls	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
8)	8)	O	O	O	O
,	,	O	O	O	O
enalapril-treated	enalapril-treated	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
8)	8)	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
nitrendipine-treated	nitrendipine-treated	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
10	10	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Sham-operated	sham-operated	O	O	O	O
rats	rats	O	O	O	O
served	served	O	O	O	O
as	as	O	O	O	O
normotensive	normotensive	O	O	O	O
controls	controls	O	O	O	O
(	(	O	O	O	O
128	128	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
3	3	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg	hg	O	O	OTHERS	I
,	,	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
8)	8)	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
6	6	O	O	O	O
weeks	weeks	O	O	O	O
of	of	O	O	O	O
treatment	treatment	O	O	O	O
,	,	O	O	O	O
renal	renal	O	O	O	O
hemodynamics	hemodynamics	O	O	O	O
(	(	O	O	O	O
glomerular	glomerular	O	O	O	O
filtration	filtration	O	O	O	O
rate	rate	O	O	O	O
and	and	O	O	O	O
renal	renal	O	O	O	O
plasma	plasma	O	O	O	O
flow	flow	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
measured	measured	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
anesthetized	anesthetized	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

Renal	renal	O	O	O	O
tissue	tissue	O	O	O	O
was	was	O	O	O	O
obtained	obtained	O	O	O	O
for	for	O	O	O	O
determination	determination	O	O	O	O
of	of	O	O	O	O
glomerular	glomerular	O	O	O	O
size	size	O	O	O	O
and	and	O	O	O	O
sclerosis	sclerosis	O	O	OTHERS	I
.	.	O	O	O	O

Enalapril	enalapril	CHEMICALS	O	OTHERS	I
but	but	O	O	O	O
not	not	O	O	O	O
nitrendipine	nitrendipine	CHEMICALS	O	OTHERS	I
reduced	reduced	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
significantly	significantly	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
6	6	O	O	O	O
weeks	weeks	O	O	O	O
of	of	O	O	O	O
therapy	therapy	O	O	O	O
,	,	O	O	O	O
glomerular	glomerular	O	O	O	O
filtration	filtration	O	O	O	O
rate	rate	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
different	different	O	O	O	O
among	among	O	O	O	O
the	the	O	O	O	O
studied	studied	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

Renal	renal	O	O	O	O
plasma	plasma	O	O	O	O
flow	flow	O	O	O	O
increased	increased	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
albumin	albumin	O	O	O	O
excretion	excretion	O	O	O	O
and	and	O	O	O	O
glomerulosclerosis	glomerulosclerosis	O	DISEASE	OTHERS	I
did	did	O	O	O	O
not	not	O	O	O	O
change	change	O	O	O	O
after	after	O	O	O	O
enalapril	enalapril	CHEMICALS	O	OTHERS	I
treatment	treatment	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
contrast	contrast	O	O	OTHERS	I
,	,	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
nitrendipine-treated	nitrendipine-treated	O	O	O	O
group	group	O	O	O	O
albuminuria	albuminuria	O	DISEASE	OTHERS	I
increased	increased	O	O	O	O
from	from	O	O	O	O
12.8	12.8	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
progressively	progressively	O	O	O	O
to	to	O	O	O	O
163	163	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
55	55	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
19.2	19.2	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
9	9	O	O	O	O
mg/24	mg/24	O	O	O	O
hr	hr	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
controls	controls	O	O	O	O
.	.	O	O	O	O

Furthermore	furthermore	O	O	O	O
,	,	O	O	O	O
glomerulosclerosis	glomerulosclerosis	O	DISEASE	OTHERS	I
index	index	O	O	O	O
was	was	O	O	O	O
significantly	significantly	O	O	O	O
increased	increased	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
nitrendipine-treated	nitrendipine-treated	O	O	O	O
group	group	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
controls	controls	O	O	O	O
(	(	O	O	O	O
0.38	0.38	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.1	0.1	O	O	O	O
versus	versus	O	O	O	O
0.13	0.13	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.04	0.04	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
addition	addition	O	O	O	O
,	,	O	O	O	O
glomerular	glomerular	O	O	O	O
size	size	O	O	O	O
was	was	O	O	O	O
higher	higher	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
nitrendipine-treated	nitrendipine-treated	O	O	O	O
group	group	O	O	O	O
(	(	O	O	O	O
14.9	14.9	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.17	0.17	O	O	O	O
10(-3	10(-3	O	O	O	O
)	)	O	O	O	O
mm2	mm2	O	O	O	O
)	)	O	O	O	O
but	but	O	O	O	O
lower	lower	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
enalapril-treated	enalapril-treated	O	O	O	O
group	group	O	O	O	O
(	(	O	O	O	O
11.5	11.5	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.15	0.15	O	O	O	O
10(-3	10(-3	O	O	O	O
)	)	O	O	O	O
mm2	mm2	O	O	O	O
)	)	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
controls	controls	O	O	O	O
(	(	O	O	O	O
12.1	12.1	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.17	0.17	O	O	O	O
10(-3	10(-3	O	O	O	O
)	)	O	O	O	O
mm2).(ABSTRACT	mm2).(abstract	O	O	O	O
TRUNCATED	truncated	O	O	O	O
AT	at	O	O	O	O
250	250	O	O	O	O
WORDS	words	O	O	O	O
)	)	O	O	O	O

