Neuroprotective	neuroprotective	O	O	O	O
the	the	O	O	O	O
basal	basal	O	O	O	O
extracellular	extracellular	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
level	level	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
striatum	striatum	O	O	O	O
,	,	O	O	O	O
as	as	O	O	O	O
well	well	O	O	O	O
as	as	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
release	release	O	O	O	O
stimulated	stimulated	O	O	O	O
either	either	O	O	O	O
by	by	O	O	O	O
methamphetamine	methamphetamine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
10	10	O	O	O	O
mg/kg	mg/kg	O	O	O	O
sc	sc	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
by	by	O	O	O	O
intrastriatally	intrastriatally	O	O	O	O
administered	administered	O	O	O	O
veratridine	veratridine	O	O	OTHERS	I
(	(	O	O	O	O
100	100	O	O	O	O
microM	microm	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Moreover	moreover	O	O	O	O
,	,	O	O	O	O
it	it	O	O	O	O
transiently	transiently	O	O	O	O
diminished	diminished	O	O	O	O
the	the	O	O	O	O
methamphetamine	methamphetamine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
10	10	O	O	O	O
mg/kg	mg/kg	O	O	O	O
sc)-induced	sc)-induced	O	O	O	O
hyperthermia	hyperthermia	O	DISEASE	OTHERS	I
and	and	O	O	O	O
reduced	reduced	O	O	O	O
basal	basal	O	O	O	O
body	body	O	O	O	O
temperature	temperature	O	O	O	O
.	.	O	O	O	O

MPEP	mpep	CHEMICALS	O	OTHERS	I
administered	administered	O	O	O	O
into	into	O	O	O	O
the	the	O	O	O	O
striatum	striatum	O	O	O	O
at	at	O	O	O	O
high	high	O	O	O	O
concentrations	concentrations	O	O	O	O
(	(	O	O	O	O
500	500	O	O	O	O
microM	microm	O	O	O	O
)	)	O	O	O	O
increased	increased	O	O	O	O
extracellular	extracellular	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
levels	levels	O	O	O	O
,	,	O	O	O	O
while	while	O	O	O	O
lower	lower	O	O	O	O
concentrations	concentrations	O	O	O	O
(	(	O	O	O	O
50	50	O	O	O	O
-	-	O	O	O	O
100	100	O	O	O	O
microM	microm	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
devoid	devoid	O	O	O	O
of	of	O	O	O	O
any	any	O	O	O	O
effect	effect	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
results	results	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
study	study	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
blockade	blockade	O	O	O	O
of	of	O	O	O	O
mGluR5	mglur5	O	O	O	O
by	by	O	O	O	O
MPEP	mpep	CHEMICALS	O	OTHERS	I
may	may	O	O	O	O
protect	protect	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
neurones	neurones	O	O	O	O
against	against	O	O	O	O
methamphetamine-induced	methamphetamine-induced	O	O	O	O
toxicity	toxicity	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Neuroprotection	neuroprotection	O	O	O	O
rendered	rendered	O	O	O	O
by	by	O	O	O	O
MPEP	mpep	CHEMICALS	O	OTHERS	I
may	may	O	O	O	O
be	be	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
methamphetamine-induced	methamphetamine-induced	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
efflux	efflux	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
striatum	striatum	O	O	O	O
due	due	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
blockade	blockade	O	O	O	O
of	of	O	O	O	O
extrastriatal	extrastriatal	O	O	O	O
mGluR5	mglur5	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
hyperthermia	hyperthermia	O	DISEASE	OTHERS	I
.	.	O	O	O	O

