Hydrocortisone-induced	hydrocortisone-induced	O	O	O	O
fell	fell	O	O	O	O
from	from	O	O	O	O
15.1	15.1	O	O	O	O
to	to	O	O	O	O
12.2	12.2	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg/l/min	hg/l/min	O	O	O	O
(	(	O	O	O	O
SED	sed	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
1.03	1.03	O	O	O	O
,	,	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Resting	resting	O	O	O	O
forearm	forearm	O	O	O	O
vascular	vascular	O	O	O	O
resistance	resistance	O	O	O	O
remained	remained	O	O	O	O
unchanged	unchanged	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
the	the	O	O	O	O
reflex	reflex	O	O	O	O
response	response	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
cold	cold	O	O	O	O
pressor	pressor	O	O	O	O
test	test	O	O	O	O
was	was	O	O	O	O
accentuated	accentuated	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
rise	rise	O	O	O	O
in	in	O	O	O	O
resistance	resistance	O	O	O	O
increasing	increasing	O	O	O	O
from	from	O	O	O	O
10.5	10.5	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg/ml/100	hg/ml/100	O	O	O	O
ml/min	ml/min	O	O	O	O
(	(	O	O	O	O
R	r	O	O	O	O
units	units	O	O	O	O
)	)	O	O	O	O
before	before	O	O	O	O
treatment	treatment	O	O	O	O
to	to	O	O	O	O
32.6	32.6	O	O	O	O
R	r	O	O	O	O
units	units	O	O	O	O
after	after	O	O	O	O
treatment	treatment	O	O	O	O
(	(	O	O	O	O
SED	sed	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
6.4	6.4	O	O	O	O
,	,	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.025	0.025	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
rise	rise	O	O	O	O
in	in	O	O	O	O
forearm	forearm	O	O	O	O
vascular	vascular	O	O	O	O
resistance	resistance	O	O	O	O
accompanying	accompanying	O	O	O	O
intra-arterial	intra-arterial	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
25	25	O	O	O	O
,	,	O	O	O	O
50	50	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
100	100	O	O	O	O
ng/min	ng/min	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
also	also	O	O	O	O
significantly	significantly	O	O	O	O
greater	greater	O	O	O	O
after	after	O	O	O	O
hydrocortisone	hydrocortisone	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
increasing	increasing	O	O	O	O
from	from	O	O	O	O
an	an	O	O	O	O
average	average	O	O	O	O
of	of	O	O	O	O
14.9	14.9	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2.4	2.4	O	O	O	O
R	r	O	O	O	O
units	units	O	O	O	O
before	before	O	O	O	O
treatment	treatment	O	O	O	O
to	to	O	O	O	O
35.1	35.1	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
5.5	5.5	O	O	O	O
R	r	O	O	O	O
units	units	O	O	O	O
after	after	O	O	O	O
hydrocortisone	hydrocortisone	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
SED	sed	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
6.0	6.0	O	O	O	O
,	,	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
shift	shift	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
left	left	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
dose-response	dose-response	O	O	O	O
relation	relation	O	O	O	O
and	and	O	O	O	O
fall	fall	O	O	O	O
in	in	O	O	O	O
threshold	threshold	O	O	O	O
suggested	suggested	O	O	O	O
increased	increased	O	O	O	O
sensitivity	sensitivity	O	O	O	O
to	to	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
after	after	O	O	O	O
treatment	treatment	O	O	O	O
.	.	O	O	O	O

Measurement	measurement	O	O	O	O
of	of	O	O	O	O
resting	resting	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
spillover	spillover	O	O	O	O
rate	rate	O	O	O	O
to	to	O	O	O	O
plasma	plasma	O	O	O	O
and	and	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
uptake	uptake	O	O	O	O
indicated	indicated	O	O	O	O
that	that	O	O	O	O
overall	overall	O	O	O	O
resting	resting	O	O	O	O
sympathetic	sympathetic	O	O	O	O
nervous	nervous	O	O	O	O
system	system	O	O	O	O
activity	activity	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
increased	increased	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
rise	rise	O	O	OTHERS	I
in	in	O	O	OTHERS	I
resting	resting	O	O	OTHERS	I
blood	blood	O	O	OTHERS	I
pressure	pressure	O	O	OTHERS	I
with	with	O	O	O	O
hydrocortisone	hydrocortisone	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
an	an	O	O	O	O
increased	increased	O	O	OTHERS	I
cardiac	cardiac	O	O	OTHERS	I
output	output	O	O	OTHERS	I
(	(	O	O	O	O
presumably	presumably	O	O	O	O
due	due	O	O	O	O
to	to	O	O	O	O
increased	increased	O	O	O	O
blood	blood	O	O	O	O
volume).(ABSTRACT	volume).(abstract	O	O	O	O
TRUNCATED	truncated	O	O	O	O
AT	at	O	O	O	O
250	250	O	O	O	O
WORDS	words	O	O	O	O
)	)	O	O	O	O

