Comparison	comparison	O	O	O	O
with	with	O	O	O	O
placebo	placebo	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
evening	evening	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

On	on	O	O	O	O
the	the	O	O	O	O
13th	13th	O	O	O	O
day	day	O	O	O	O
of	of	O	O	O	O
each	each	O	O	O	O
period	period	O	O	O	O
,	,	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
was	was	O	O	O	O
recorded	recorded	O	O	O	O
continuously	continuously	O	O	O	O
during	during	O	O	O	O
a	a	O	O	O	O
typical	typical	O	O	O	O
,	,	O	O	O	O
ambulant	ambulant	O	O	O	O
24-hour	24-hour	O	O	O	O
period	period	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
Both	both	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
solution	solution	O	O	O	O
and	and	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
gellan	gellan	O	O	O	O
reduced	reduced	O	O	O	O
the	the	O	O	O	O
mean	mean	O	O	O	O
24-hour	24-hour	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
placebo	placebo	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
or	or	O	O	O	O
=	=	O	O	O	O
.001	.001	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
this	this	O	O	O	O
reduction	reduction	O	O	O	O
was	was	O	O	O	O
most	most	O	O	O	O
pronounced	pronounced	O	O	O	O
during	during	O	O	O	O
the	the	O	O	O	O
daytime	daytime	O	O	O	O
(	(	O	O	O	O
-7.5	-7.5	O	O	O	O
%	%	O	O	O	O
change	change	O	O	O	O
in	in	O	O	O	O
mean	mean	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
,	,	O	O	O	O
-5.7	-5.7	O	O	O	O
beats/min	beats/min	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Timolol	timolol	CHEMICALS	O	OTHERS	I
gellan	gellan	O	O	O	O
showed	showed	O	O	O	O
a	a	O	O	O	O
numerically	numerically	O	O	O	O
but	but	O	O	O	O
not	not	O	O	O	O
significantly	significantly	O	O	O	O
smaller	smaller	O	O	O	O
reduction	reduction	O	O	O	O
in	in	O	O	O	O
24-hour	24-hour	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
,	,	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
solution	solution	O	O	O	O
.	.	O	O	O	O

During	during	O	O	O	O
the	the	O	O	O	O
night	night	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
mean	mean	O	O	O	O
12-hour	12-hour	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
on	on	O	O	O	O
placebo	placebo	O	O	O	O
and	and	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
gellan	gellan	O	O	O	O
were	were	O	O	O	O
both	both	O	O	O	O
significantly	significantly	O	O	O	O
less	less	O	O	O	O
than	than	O	O	O	O
on	on	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
solution	solution	O	O	O	O
;	;	O	O	O	O
the	the	O	O	O	O
difference	difference	O	O	O	O
between	between	O	O	O	O
solution	solution	O	O	O	O
and	and	O	O	O	O
gellan	gellan	O	O	O	O
treatments	treatments	O	O	O	O
was	was	O	O	O	O
statistically	statistically	O	O	O	O
significant	significant	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
.01	.01	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

CONCLUSIONS	conclusions	O	O	O	O
:	:	O	O	O	O
Both	both	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
solution	solution	O	O	O	O
and	and	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
gellan	gellan	O	O	O	O
decrease	decrease	O	O	O	O
the	the	O	O	O	O
mean	mean	O	O	O	O
24-hour	24-hour	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
placebo	placebo	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
response	response	O	O	O	O
was	was	O	O	O	O
most	most	O	O	O	O
pronounced	pronounced	O	O	O	O
during	during	O	O	O	O
the	the	O	O	O	O
active	active	O	O	O	O
daytime	daytime	O	O	O	O
period	period	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
data	data	O	O	O	O
quantify	quantify	O	O	O	O
the	the	O	O	O	O
modest	modest	O	O	O	O
bradycardia	bradycardia	O	DISEASE	OTHERS	I
associated	associated	O	O	O	O
with	with	O	O	O	O
ophthalmic	ophthalmic	O	O	O	O
beta-blocker	beta-blocker	O	O	O	O
therapy	therapy	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
typical	typical	O	O	O	O
patient	patient	O	O	O	O
population	population	O	O	O	O
on	on	O	O	O	O
therapy	therapy	O	O	O	O
for	for	O	O	O	O
glaucoma	glaucoma	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Although	although	O	O	O	O
exercise	exercise	O	O	O	O
performance	performance	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
assessed	assessed	O	O	O	O
in	in	O	O	O	O
this	this	O	O	O	O
trial	trial	O	O	O	O
,	,	O	O	O	O
reductions	reductions	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
magnitude	magnitude	O	O	O	O
should	should	O	O	O	O
not	not	O	O	O	O
have	have	O	O	O	O
substantial	substantial	O	O	O	O
clinical	clinical	O	O	O	O
consequences	consequences	O	O	O	O
.	.	O	O	O	O

