Nociceptive	nociceptive	O	O	O	O
showed	showed	O	O	O	O
a	a	O	O	O	O
hyperalgesic	hyperalgesic	O	O	OTHERS	I
effect	effect	O	O	O	O
at	at	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
1	1	O	O	O	O
pg	pg	CHEMICALS	O	OTHERS	I
to	to	O	O	O	O
10	10	O	O	O	O
ng/mouse	ng/mouse	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
the	the	O	O	O	O
effect	effect	O	O	O	O
lasted	lasted	O	O	O	O
shorter	shorter	O	O	O	O
(	(	O	O	O	O
3	3	O	O	O	O
-	-	O	O	O	O
30	30	O	O	O	O
min	min	O	O	O	O
)	)	O	O	O	O
than	than	O	O	O	O
that	that	O	O	O	O
of	of	O	O	O	O
prostaglandin	prostaglandin	CHEMICALS	O	OTHERS	I
D2	d2	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Similar	similar	O	O	O	O
results	results	O	O	O	O
were	were	O	O	O	O
obtained	obtained	O	O	O	O
by	by	O	O	O	O
acetic	acetic	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
writhing	writhing	O	O	OTHERS	I
tests	tests	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
hyperalgesic	hyperalgesic	O	O	OTHERS	I
effect	effect	O	O	O	O
of	of	O	O	O	O
prostaglandin	prostaglandin	CHEMICALS	O	OTHERS	I
D2	d2	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
blocked	blocked	O	O	O	O
by	by	O	O	O	O
simultaneous	simultaneous	O	O	O	O
injection	injection	O	O	O	O
of	of	O	O	O	O
a	a	O	O	O	O
substance	substance	CHEMICALS	O	OTHERS	I
P	p	CHEMICALS	O	OTHERS	I
antagonist	antagonist	O	O	O	O
(	(	O	O	O	O
greater	greater	O	O	O	O
than	than	O	O	O	O
or	or	O	O	O	O
equal	equal	O	O	O	O
to	to	O	O	O	O
100	100	O	O	O	O
ng	ng	O	O	OTHERS	I
)	)	O	O	O	O
but	but	O	O	O	O
not	not	O	O	O	O
by	by	O	O	O	O
AH6809	ah6809	O	O	OTHERS	I
,	,	O	O	O	O
a	a	O	O	O	O
prostanoid	prostanoid	O	O	O	O
EP1-receptor	ep1-receptor	O	O	O	O
antagonist	antagonist	O	O	O	O
.	.	O	O	O	O

Conversely	conversely	O	O	O	O
,	,	O	O	O	O
prostaglandin	prostaglandin	O	O	OTHERS	I
E2-induced	e2-induced	O	O	O	O
hyperalgesia	hyperalgesia	O	DISEASE	OTHERS	I
was	was	O	O	O	O
blocked	blocked	O	O	O	O
by	by	O	O	O	O
AH6809	ah6809	O	O	OTHERS	I
(	(	O	O	O	O
greater	greater	O	O	O	O
than	than	O	O	O	O
or	or	O	O	O	O
equal	equal	O	O	O	O
to	to	O	O	O	O
500	500	O	O	O	O
ng	ng	O	O	OTHERS	I
)	)	O	O	O	O
but	but	O	O	O	O
not	not	O	O	O	O
by	by	O	O	O	O
the	the	O	O	O	O
substance	substance	CHEMICALS	O	OTHERS	I
P	p	CHEMICALS	O	OTHERS	I
antagonist	antagonist	O	O	O	O
.	.	O	O	O	O

Prostaglandin	prostaglandin	O	O	OTHERS	I
F2	f2	O	O	OTHERS	I
alpha	alpha	O	O	OTHERS	I
had	had	O	O	O	O
little	little	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
responses	responses	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
results	results	O	O	O	O
demonstrate	demonstrate	O	O	O	O
that	that	O	O	O	O
both	both	O	O	O	O
prostaglandin	prostaglandin	CHEMICALS	O	OTHERS	I
D2	d2	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
prostaglandin	prostaglandin	O	O	OTHERS	I
E2	e2	CHEMICALS	O	OTHERS	I
exert	exert	O	O	O	O
hyperalgesia	hyperalgesia	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
spinal	spinal	O	O	O	O
cord	cord	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
in	in	O	O	O	O
different	different	O	O	O	O
ways	ways	O	O	O	O
.	.	O	O	O	O

