Acute	acute	O	O	O	O
corresponding	corresponding	O	O	O	O
value	value	O	O	O	O
for	for	O	O	O	O
VPA	vpa	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
322	322	O	O	O	O
mg/kg	mg/kg	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
vivo	vivo	O	O	O	O
microdialysis	microdialysis	O	O	O	O
demonstrated	demonstrated	O	O	O	O
that	that	O	O	O	O
an	an	O	O	O	O
intraperitoneal	intraperitoneal	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
pilocarpine	pilocarpine	CHEMICALS	O	OTHERS	I
induced	induced	O	O	O	O
a	a	O	O	O	O
pronounced	pronounced	O	O	O	O
increment	increment	O	O	O	O
of	of	O	O	O	O
hippocampal	hippocampal	O	O	O	O
glutamate	glutamate	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
aspartate	aspartate	CHEMICALS	O	OTHERS	I
whereas	whereas	O	O	O	O
no	no	O	O	O	O
significant	significant	O	O	O	O
change	change	O	O	O	O
was	was	O	O	O	O
observed	observed	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
level	level	O	O	O	O
of	of	O	O	O	O
glycine	glycine	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
GABA	gaba	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Pretreatment	pretreatment	O	O	O	O
with	with	O	O	O	O
either	either	O	O	O	O
VPU	vpu	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
50	50	O	O	O	O
and	and	O	O	O	O
100	100	O	O	O	O
mg/kg	mg/kg	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
VPA	vpa	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
300	300	O	O	O	O
and	and	O	O	O	O
600	600	O	O	O	O
mg/kg	mg/kg	O	O	O	O
)	)	O	O	O	O
completely	completely	O	O	O	O
abolished	abolished	O	O	O	O
pilocarpine-evoked	pilocarpine-evoked	O	O	O	O
increases	increases	O	O	O	O
in	in	O	O	O	O
extracellular	extracellular	O	O	O	O
glutamate	glutamate	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
aspartate	aspartate	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

In	in	O	O	O	O
addition	addition	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
statistically	statistically	O	O	O	O
significant	significant	O	O	O	O
reduction	reduction	O	O	O	O
was	was	O	O	O	O
also	also	O	O	O	O
observed	observed	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
level	level	O	O	O	O
of	of	O	O	O	O
GABA	gaba	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
glycine	glycine	CHEMICALS	O	OTHERS	I
but	but	O	O	O	O
less	less	O	O	O	O
than	than	O	O	O	O
a	a	O	O	O	O
drastic	drastic	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
glutamate	glutamate	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
aspartate	aspartate	CHEMICALS	O	OTHERS	I
level	level	O	O	O	O
.	.	O	O	O	O

Based	based	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
finding	finding	O	O	O	O
that	that	O	O	O	O
VPU	vpu	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
VPA	vpa	CHEMICALS	O	OTHERS	I
could	could	O	O	O	O
protect	protect	O	O	O	O
the	the	O	O	O	O
animals	animals	O	O	O	O
against	against	O	O	O	O
pilocarpine-induced	pilocarpine-induced	O	O	O	O
seizure	seizure	O	DISEASE	OTHERS	I
it	it	O	O	O	O
is	is	O	O	O	O
suggested	suggested	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
inhibitory	inhibitory	O	O	O	O
amino	amino	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
neurotransmitters	neurotransmitters	O	O	O	O
was	was	O	O	O	O
comparatively	comparatively	O	O	O	O
minor	minor	O	O	O	O
and	and	O	O	O	O
offset	offset	O	O	O	O
by	by	O	O	O	O
a	a	O	O	O	O
pronounced	pronounced	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
glutamate	glutamate	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
aspartate	aspartate	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Therefore	therefore	O	O	O	O
,	,	O	O	O	O
like	like	O	O	O	O
VPA	vpa	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
the	the	O	O	O	O
finding	finding	O	O	O	O
that	that	O	O	O	O
VPU	vpu	CHEMICALS	O	OTHERS	I
could	could	O	O	O	O
drastically	drastically	O	O	O	O
reduce	reduce	O	O	O	O
pilocarpine-induced	pilocarpine-induced	O	O	O	O
increases	increases	O	O	O	O
in	in	O	O	O	O
glutamate	glutamate	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
aspartate	aspartate	CHEMICALS	O	OTHERS	I
should	should	O	O	O	O
account	account	O	O	O	O
,	,	O	O	O	O
at	at	O	O	O	O
least	least	O	O	O	O
partly	partly	O	O	O	O
,	,	O	O	O	O
for	for	O	O	O	O
its	its	O	O	O	O
anticonvulsant	anticonvulsant	O	O	O	O
activity	activity	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
pilocarpine-induced	pilocarpine-induced	O	O	O	O
seizure	seizure	O	DISEASE	OTHERS	I
in	in	O	O	O	O
experimental	experimental	O	O	O	O
animals	animals	O	O	O	O
.	.	O	O	O	O

Some	some	O	O	O	O
other	other	O	O	O	O
mechanism	mechanism	O	O	O	O
than	than	O	O	O	O
those	those	O	O	O	O
being	being	O	O	O	O
reported	reported	O	O	O	O
herein	herein	O	O	O	O
should	should	O	O	O	O
be	be	O	O	O	O
further	further	O	O	O	O
investigated	investigated	O	O	O	O
.	.	O	O	O	O

