Cyclophosphamide-induced	cyclophosphamide-induced	O	O	O	O
CP	cp	O	O	OTHERS	I
injection	injection	O	O	O	O
,	,	O	O	O	O
that	that	O	O	O	O
is	is	O	O	O	O
,	,	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
time	time	O	O	O	O
of	of	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
the	the	O	O	O	O
bladder	bladder	O	O	O	O
was	was	O	O	O	O
removed	removed	O	O	O	O
in	in	O	O	O	O
some	some	O	O	O	O
rats	rats	O	O	O	O
for	for	O	O	O	O
histological	histological	O	O	O	O
examination	examination	O	O	O	O
.	.	O	O	O	O

Finally	finally	O	O	O	O
,	,	O	O	O	O
to	to	O	O	O	O
show	show	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
bladder	bladder	O	O	O	O
is	is	O	O	O	O
essential	essential	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
CP-induced	cp-induced	O	O	O	O
behavioral	behavioral	O	O	O	O
modifications	modifications	O	O	O	O
,	,	O	O	O	O
female	female	O	O	O	O
rats	rats	O	O	O	O
also	also	O	O	O	O
received	received	O	O	O	O
CP	cp	O	O	OTHERS	I
at	at	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
200	200	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

i.p	i.p	O	O	O	O
.	.	O	O	O	O
and	and	O	O	O	O
of	of	O	O	O	O
20	20	O	O	O	O
mg	mg	O	O	OTHERS	I
.	.	O	O	O	O

by	by	O	O	O	O
the	the	O	O	O	O
intravesical	intravesical	O	O	O	O
route	route	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
acrolein	acrolein	O	O	OTHERS	I
at	at	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
0.5	0.5	O	O	O	O
mg	mg	O	O	OTHERS	I
.	.	O	O	O	O

by	by	O	O	O	O
the	the	O	O	O	O
intravesical	intravesical	O	O	O	O
route	route	O	O	O	O
and	and	O	O	O	O
of	of	O	O	O	O
5	5	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

i.v	i.v	O	O	O	O
.	.	O	O	O	O
RESULTS	results	O	O	O	O
:	:	O	O	O	O
CP	cp	O	O	OTHERS	I
dose-relatedly	dose-relatedly	O	O	O	O
induced	induced	O	O	O	O
marked	marked	O	O	O	O
behavioral	behavioral	O	O	O	O
modifications	modifications	O	O	O	O
in	in	O	O	O	O
male	male	O	O	O	O
rats	rats	O	O	O	O
:	:	O	O	O	O
breathing	breathing	O	O	O	O
rate	rate	O	O	O	O
decrease	decrease	O	O	O	O
,	,	O	O	O	O
closing	closing	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
eyes	eyes	O	O	O	O
and	and	O	O	O	O
occurrence	occurrence	O	O	O	O
of	of	O	O	O	O
specific	specific	O	O	O	O
postures	postures	O	O	O	O
.	.	O	O	O	O

Morphine	morphine	CHEMICALS	O	OTHERS	I
dose-dependently	dose-dependently	O	O	O	O
reversed	reversed	O	O	O	O
these	these	O	O	O	O
behavioral	behavioral	O	O	OTHERS	I
disorders	disorders	O	O	OTHERS	I
.	.	O	O	O	O

A	a	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
0.5	0.5	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O
produced	produced	O	O	O	O
a	a	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
almost	almost	O	O	O	O
50	50	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
behavioral	behavioral	O	O	O	O
score	score	O	O	O	O
induced	induced	O	O	O	O
by	by	O	O	O	O
CP	cp	O	O	OTHERS	I
200	200	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
effect	effect	O	O	O	O
was	was	O	O	O	O
completely	completely	O	O	O	O
prevented	prevented	O	O	O	O
by	by	O	O	O	O
pretreatment	pretreatment	O	O	O	O
with	with	O	O	O	O
naloxone	naloxone	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

At	at	O	O	O	O
the	the	O	O	O	O
time	time	O	O	O	O
of	of	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
histological	histological	O	O	O	O
modifications	modifications	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
bladder	bladder	O	O	O	O
wall	wall	O	O	O	O
,	,	O	O	O	O
such	such	O	O	O	O
as	as	O	O	O	O
chorionic	chorionic	O	O	O	O
and	and	O	O	O	O
muscle	muscle	O	O	O	O
layer	layer	O	O	O	O
edema	edema	O	DISEASE	OTHERS	I
,	,	O	O	O	O
were	were	O	O	O	O
observed	observed	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
female	female	O	O	O	O
rats	rats	O	O	O	O
,	,	O	O	O	O
CP	cp	O	O	OTHERS	I
200	200	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

i.p	i.p	O	O	O	O
.	.	O	O	O	O
produced	produced	O	O	O	O
the	the	O	O	O	O
same	same	O	O	O	O
marked	marked	O	O	O	O
behavioral	behavioral	O	O	O	O
modifications	modifications	O	O	O	O
as	as	O	O	O	O
those	those	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
male	male	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

Administered	administered	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
20	20	O	O	O	O
mg	mg	O	O	OTHERS	I
.	.	O	O	O	O

intravesically	intravesically	O	O	O	O
,	,	O	O	O	O
CP	cp	O	O	OTHERS	I
did	did	O	O	O	O
not	not	O	O	O	O
produce	produce	O	O	O	O
any	any	O	O	O	O
behavioral	behavioral	O	O	O	O
effects	effects	O	O	O	O
,	,	O	O	O	O
whereas	whereas	O	O	O	O
acrolein	acrolein	O	O	OTHERS	I
at	at	O	O	O	O
0.5	0.5	O	O	O	O
mg	mg	O	O	OTHERS	I
.	.	O	O	O	O

intravesically	intravesically	O	O	O	O
induced	induced	O	O	O	O
behavioral	behavioral	O	O	O	O
modifications	modifications	O	O	O	O
identical	identical	O	O	O	O
to	to	O	O	O	O
those	those	O	O	O	O
under	under	O	O	O	O
CP	cp	O	O	OTHERS	I
200	200	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

i.p	i.p	O	O	O	O
.	.	O	O	O	O
,	,	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
same	same	O	O	O	O
maximal	maximal	O	O	O	O
levels	levels	O	O	O	O
.	.	O	O	O	O

Conversely	conversely	O	O	O	O
,	,	O	O	O	O
acrolein	acrolein	O	O	OTHERS	I
5	5	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

i.v	i.v	O	O	O	O
.	.	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
produce	produce	O	O	O	O
any	any	O	O	O	O
behavioral	behavioral	O	O	O	O
effects	effects	O	O	O	O
at	at	O	O	O	O
all	all	O	O	O	O
.	.	O	O	O	O

CONCLUSIONS	conclusions	O	O	O	O
:	:	O	O	O	O
Overall	overall	O	O	O	O
,	,	O	O	O	O
these	these	O	O	O	O
results	results	O	O	O	O
indicate	indicate	O	O	O	O
that	that	O	O	O	O
this	this	O	O	O	O
experimental	experimental	O	O	O	O
model	model	O	O	O	O
of	of	O	O	O	O
CP-induced	cp-induced	O	O	O	O
cystitis	cystitis	O	DISEASE	OTHERS	I
may	may	O	O	O	O
be	be	O	O	O	O
an	an	O	O	O	O
interesting	interesting	O	O	O	O
new	new	O	O	O	O
behavioral	behavioral	O	O	O	O
model	model	O	O	O	O
of	of	O	O	O	O
inflammatory	inflammatory	O	O	O	O
visceral	visceral	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
,	,	O	O	O	O
allowing	allowing	O	O	O	O
a	a	O	O	O	O
better	better	O	O	O	O
understanding	understanding	O	O	O	O
of	of	O	O	O	O
these	these	O	O	O	O
painful	painful	O	O	OTHERS	I
syndromes	syndromes	O	O	OTHERS	I
and	and	O	O	O	O
thus	thus	O	O	O	O
a	a	O	O	O	O
better	better	O	O	O	O
therapeutic	therapeutic	O	O	O	O
approach	approach	O	O	O	O
to	to	O	O	O	O
them	them	O	O	O	O
.	.	O	O	O	O

