,text,pmid,entities,start_chars,end_chars,label
28,"A food allergy mouse model was developed with ovalbumin as the specific Ag and here, we observed that exposure to specific Ag induced Treg apoptosis through converting the precursor of TGF-β to its mature form inside the Tregs.",33811758_3,"Treg,TGF-β","134,185","138,190","2,0"
29,"A high degree of phosphorylation of the Th2 transcription factor Stat6 was observed; however, concurrent inactivation of Stat1 and Stat6 in mice did not prevent BA after RRV infection.",22005305_4,"Th2,transcription factor,Stat6,Stat1,Stat6","40,44,65,121,131","43,64,70,126,136","2,1,1,1,1"
30,"A higher proportion of helper T cells (CD4+ T cells) was found in the presence of NSPCs, but analyses of FoxP3 population indicated that T-cell suppression was not secondary to an induction of suppressive regulatory T cells (FoxP3+ CD4+ CD25+).",22888011_3,"CD4+,regulatory T cells,helper T cells,CD4+ T cells,suppressive","232,205,23,39,193","236,223,37,51,204","2,2,2,2,0"
31,A human Treg phenotype equivalent has not been reported.,21182084_1,Treg,8,12,2
32,A large number of lymphocytes and mast cells are also stained for neuropeptide Y and substance P. Very close associations (less than 1 µm) were observed between neuropeptide Y immunoreactive nerve fibres and immune cells stained also with neuropeptide Y. Some immune cells were also found to be immunoreactive for tumor necrosis factor-α and NF-κB. Some of the SP IR immunocells were also stained for TNF-α and nuclear factor kappaB. Based on these data it is hypothesized that neuropeptid Y and substance P released from nerve fibres and immune cells play a role in inflammation and elimination of inflammation in hepatitis.,26568102_2,"mast cells,tumor necrosis factor-α,SP,TNF-α","34,314,361,401","44,337,363,406","0,0,1,0"
33,A lower gene expression of GATA-3 transcription factor was detected in cells of women with early-onset PE compared with the late-onset PE group.,28502089_3,"GATA-3,transcription factor","27,34","33,54","1,1"
34,A major signal transduction pathway for IL-6 involves activation of JAK kinases and the transcription factor Stat3.,10993289_2,"transcription factor,Stat3","88,109","108,114","1,1"
35,"A majority of cancers fail to respond to immunotherapy with antibodies targeting immune checkpoints, such as cytotoxic T-lymphocyte antigen-4 (CTLA-4) or programmed death-1 (PD-1)/PD-1 ligand (PD-L1).",29467463_0,ligand,185,191,0
36,A majority of those with autosomal-dominant HIES have heterozygous mutations in signal transducer and activator of transcription (STAT)-3 and impaired T(H)17 differentiation.,19577286_2,signal transducer,80,97,1
37,A marked increase in inflammatory Th1 and Th17 cells were detected in IL-10-/-B cell mice compared to WT B cell mice.,22315945_4,Th17 cells,42,52,2
38,A mechanistic analysis revealed the ability of Dex to dampen T3 responses through modulation of Akt phosphorylation and cytoplasmic-nuclear shuttling of nuclear factor-κB (NF-κB).,22056479_7,"T3,NF-κB","61,172","63,177","1,1"
39,"A minor fraction of in vitro TCR-stimulated CD8 T cells produce IFN-γ, and it is regulated at the transcriptional level.",32421902_3,"CD8 T cells,IFN-γ,transcriptional","44,64,98","55,69,113","2,0,1"
40,A model system of phytohaemagglutinin (PHA)-stimulated PBMC was used to assess potential immunomodulatory properties of BPA.,26475400_5,BPA,120,123,1
41,"A naturally occurring subpopulation of anergic polyclonal CD4(+) T cells, enriched for self antigen-specific T cell antigen receptors, was also present in healthy hosts.",26829766_2,CD4(+) T cells,58,72,2
42,A novel vaccination strategy induced specific CD8(+) T cell-mediated immunity that eradicated spontaneous and experimental pulmonary cancer metastases in syngeneic mice and was also effective in a therapeutic setting of established breast cancer metastases.,15833877_0,breast cancer,232,245,1
43,A number of recent studies have examined the functions of aryl hydrocarbon receptor (Ahr) in the immune system.,23580432_0,"aryl hydrocarbon receptor,Ahr","58,85","83,88","1,1"
44,A number of schizont-stage antigens that are targets of CD8+ T cell responses from immune animals have been identified but an effective delivery strategy that consistently induces protective CD8+ T cell responses remains to be developed.,19249107_1,"CD8+ T cell,CD8+ T cell","56,191","67,202","2,2"
45,"A number of studies have indicated that Th17 cells, a subset of interleukin-17 (IL-17)-producing CD4+ T‑helper cells, serve important roles in the pathogenesis of OBD.",27922688_1,"Th17 cells,interleukin-17,CD4+","40,64,97","50,78,101","2,0,2"
46,"A particularly notable example is the in vitro induction of Foxp3 expression and Treg cell activity (iTreg cells) in initially naive CD4+Foxp3- T cells through T cell receptor (TCR) and IL-2R ligation, in the presence of exogenous TGF-β.",29456534_2,TGF-β,231,236,0
47,"A plethora of work implicates important effects of the vitamin A derivative retinoic acid (RA) in myeloid differentiation, whereas fewer studies explore the role of RA in lymphoid cells.",23338237_0,myeloid differentiation,98,121,0
48,A population of IL-10 secreting regulatory T cells (PI-Tregs) can be induced in a mouse TCR transgenic model of experimental autoimmune encephalomyelitis (EAE) by intranasal administration of the N-terminal peptide of myelin basic protein.,16708406_0,"IL-10,regulatory T cells","16,32","21,50","0,2"
49,A positive correlation between Foxp3 and IL-17 expression (r = 0.273; P = 0.014) was observed.,24292092_4,IL-17,41,46,0
50,A positive correlation was identified between the Th2‑dominated phenotype and the expression levels of ILC2s‑associated cytokines or transcription factors.,28487978_6,transcription factors,133,154,1
51,"A possible strategy to overcome Treg-cell suppression focuses on OX40, a costimulatory molecule expressed constitutively by Treg cells while being induced in activated effector T cells.",22229156_1,"OX40,Treg cells","65,124","69,134","0,2"
52,A potential immuno-modulation by statin treatment is not achieved through a normalization in peripheral CD4 + cell subsets.,26822994_9,cell subsets,110,122,2
53,A previous study by us suggested that SEB exposure during pregnancy could alter the percentage of CD4+ and CD8+ T cells in the peripheral blood of neonatal offspring rats.,32043953_2,"CD8+ T cells,CD4+","107,98","119,102","2,2"
54,"A previously underappreciated transcription factor, Musculin (MSC), has been recently identified to be expressed in not only Th17 cells, but also RORγt+/Id2+ IL-22-producing group 3 ILCs in the gut of naïve mice.",34992594_4,"transcription factor,Th17 cells","30,125","50,135","1,2"
55,"A prominent effect of MDSC is their production of IL-10 which increases upon cross-talk with macrophages, thus polarizing immunity to a pro-tumor type 2 phenotype.",23982485_5,IL-10,50,55,0
56,A recent finding shows that IRF3 is needed for T cell effector functions that are involved in anticancer immunity and also in T cell autoimmune diseases.,33020188_5,IRF3,28,32,1
57,A recent study has reported that interleukin (IL)-33 is a specific ligand of ST2L and induces production of T helper type 2 (Th2) cytokines.,17623648_1,"ligand,Th2","67,125","73,128","0,2"
58,A recent surprising discovery was that the signalling pathways and cytokines that regulate lineage determination in T helper cells are also involved in mammary gland development during pregnancy.,21255846_6,mammary gland,152,165,1
59,A recombinant eukaryotic vector expressing TCRζ was transfected into T cells by nucleofection.,23057733_2,recombinant,2,13,0
60,A recurring theme in post-thymic CD4 T cell differentiation is the cross-regulation of lineage choice by cytokines and transcription factors that are expressed in alternative lineages.,19046990_1,transcription factors,119,140,1
61,A reduced expression of Smad3 mRNA was revealed in CD4+CD25- T cells.,32160611_7,Smad3,24,29,1
62,A reduced proliferation to T cell mitogens is observed in vitro in murine cells isolated during the acute phase of Toxoplasma gondii infection.,24117537_0,acute phase,100,111,1
63,"A reduction in Id3 expression enhanced binding of the transcription factors E2A and GATA-3 to the Il9 promoter region, which promoted Il9 transcription.",26322481_3,"GATA-3,transcription factors,E2A","84,54,76","90,75,79","1,1,1"
64,"A reduction in Il2 transcription results in impaired FoxP3(+) CD4(+) Treg-cell recruitment and function, and accounts for the association between murine Il2 and type 1 diabetes (T1D).",23180662_1,"Il2,Il2","153,15","156,18","0,0"
65,A reduction of IFN-γ-producing CD4(+) T cells is observed in DMF-treated patients and may contribute to its clinical efficacy.,22733812_1,CD4(+) T cells,31,45,2
66,"A regulatory role for ILT3 expressed on DCs is indicated by the increased interferon-gamma (IFN-gamma) secretion promoted by anti-ILT3 addition to cultures of DCs and T cells, but this effect is blunted in 1,25(OH)(2)D(3)-treated DCs, suggesting ILT3-independent mechanisms able to regulate T-cell activation.",16030186_4,T-cell activation,291,308,0
67,"A role of regulatory T-cells (Treg) in generating an immunosuppressive environment around the metacestode during chronic disease has been reported, but the molecular mechanisms of Treg induction by E. multilocularis, particularly parasite immunoregulatory factors involved, remain elusive so far.",32457746_1,"regulatory T-cells,Treg,Treg","10,30,180","28,34,184","2,2,2"
68,"A second subset of Foxp3(+) regulatory T cells can be induced de novo from conventional CD4(+) Foxp3(-) T cells both in vitro, upon antigenic stimulation in the presence of transforming growth factor beta and interleukin-2, and in vivo.",18763025_3,"regulatory T cells,transforming growth factor beta,interleukin-2","28,173,209","46,204,222","2,0,0"
69,"A shared feature of the examined models is the strongly reduced production of the chemokines and CXCR3 ligands CXCL9, 10 and 11 in BATF3-deficient mice.",31188899_4,"chemokines,CXCL9","82,111","92,116","0,0"
70,A short-term IL-2 treatment regimen induced marked expansion of CD4(+)CD25(+)Foxp3(+) T cells and subsequent suppression of mycobacterium-driven increases in numbers of Vgamma2Vdelta2 T cells.,18981295_2,IL-2,13,17,0
71,A siRNA knockdown of GMEB1 reverses the protective effect of IL-12 on dexamethasone induced T cell apoptosis.,21840619_5,IL-12,61,66,0
72,"A significant correlation was observed between inflammatory cytokines, such as IL-6, IL-12 and TNFα, and the frequency of nTreg cells.",22506043_7,"TNFα,IL-12","95,85","99,90","0,0"
73,A significant decrease in the measured cytokines TNF-α and IL-4 was observed in ConA + RA group in addition to a decrease in MCP-1 level.,31419710_9,"TNF-α,IL-4","49,59","54,63","0,0"
74,A significant increase in T(REG) was detected in all mRCC patients after the two cycles of immunotherapy.,23118856_8,T(REG,26,31,2
75,"A significant reduction in AHR, and attenuation of mucus production was observed in IL-25-treated IL-13-/-, IL-4 receptor alpha (IL-4Ralpha-/-)- and signal-transducer-and-activator-of-transcription-factor-6 (STAT6-/-)-deficient mice.",17177681_5,"AHR,IL-13-/-","27,98","30,106","1,0"
76,A slight insignificant decrease in IL-17 in ALL patients was observed.,32480291_9,IL-17,35,40,0
77,A slight insignificant increase in Treg cells in ALL patients compared to controls was observed.,32480291_6,Treg cells,35,45,2
78,"A somewhat untouched area of research on IRF5 is in T cells, even though Irf5 knockout mice were reported to have skewing of T cell subsets from T helper 1 (Th1) and T helper 17 (Th17) toward T helper 2 (Th2), indicating a potential role for IRF5 in T cell regulation.",32582209_7,"Th2,T helper 2,Th1,T helper 17,T helper 1 (,Th17","204,192,157,166,145,179","207,202,160,177,157,183","2,2,2,2,2,2"
79,"A strong T-helper cell type 2 cytokine bias was observed: IFN-gamma and IL-12p70 decreased in the spinal cord of HGF-Tg mice, whereas IL-4 and IL-10 increased.",20332205_5,"IL-10,IL-4,IL-12p70,IFN-gamma","143,134,72,58","148,138,80,67","0,0,0,0"
80,"A strong humoral response to infection requires the collaboration of several hematopoietic cell types that communicate via antigen presentation, surface coreceptors and their ligands, and secreted factors.",23045607_0,hematopoietic cell,77,95,0
81,A strong understanding of the regulatory role(s) of this key transcription factor in T cells is necessary for us to grasp the full picture of the complex pathogenesis of autoimmune diseases like SLE.,32582209_11,transcription factor,61,81,1
82,A study of the blood samples from ADA2-deficient patients showed a dramatic reduction in the number of lymphocyte subsets and an increased concentration of TNF-α in plasma.,27663683_7,"lymphocyte subsets,TNF-α","103,156","121,161","2,0"
83,A sublethal dose of poly IC/d-GalN augmented airway eosinophilia and CD4(+) T-cell accumulation in the lungs but not airway hyperresponsiveness.,21799119_6,CD4(+) T-cell,69,82,2
84,A subpopulation of regulatory T cells has recently been identified and is characterized by the expression of the chemokine receptor CCR9.,22633147_2,regulatory T cells,19,37,2
85,A subset of human follicular helper T cells (TFH) cells expresses CD57 for which no distinct function has been identified.,29476109_0,TFH,45,48,2
86,"A subset of these cells, known as NKT17 cells, however, differentiates in the thymus to preferentially produce IL-17.",23034280_1,IL-17,111,116,0
87,A substantial fraction of PICA-resistant T cells expressed IL-9 (T(H)9 cells).,22461692_4,IL-9,59,63,0
88,"A synthetic progestin, medroxyprogesterone acetate (MPA), was used in a novel study to determine progestin effects on human purified macrophages and Th1, Th2, Th17, Th22 cells.",31001262_0,"Th1,Th2,Th17","149,154,159","152,157,163","2,2,2"
89,"A third subset of IL-17-producing effector T helper cells, called Th17 cells, has now been discovered and characterized.",19132915_2,Th17 cells,66,76,2
90,A tight balance between IL-2 and the effector cytokine IL-17A is essential for immune homeostasis.,23019580_1,"IL-17A,IL-2","55,24","61,28","0,0"
91,"A transcription factor, GATA-3, has been implicated in IL-5 gene expression.",15947486_2,"GATA-3,transcription factor","24,2","30,22","1,1"
92,A unique association between IL-23 and T-bet/GATA3 might play a key role in the pathogenesis of UC.,33040251_9,IL-23,29,34,0
93,"A vitamin A metabolite, retinoic acid (RA), was recently identified as a key modulator of TGFbeta-driven- immune deviation capable of suppressing T(H)17 differentiation while promoting Foxp3(+)Treg generation.(6-10).",19262136_1,retinoic acid,24,37,1
94,"A20-deleted CD8 T cells had increased sensitivity to antigen stimulation with production of large amounts of IL-2 and IFNγ, correlated with sustained nuclear expression of NF-κB components reticuloendotheliosis oncogene c-Rel and p65.",25024217_5,"IL-2,IFNγ,NF-κB,p65","109,118,172,230","113,122,177,233","0,0,1,1"
95,"A3G was up-regulated by IFN-alpha in liver cells and macrophages, but not in T lymphoid cells or epithelial 293T cells.",16982890_3,IFN-alpha,24,33,0
96,AD models have demonstrated that TGF-β signaling is compromised in regulatory T cells (Tregs).OBJECTIVES: This study aimed to investigate the TGF-β-dependent in vitro conversion of CD4+CD25- T cells derived from AD-patients into CD4+CD25+Foxp3+ induced Tregs (iTregs) in comparison to healthy controls.,32160611_1,regulatory T cells,67,85,2
97,AF and a high-molecular-weight fraction of AF extract (HMW-AF; > 50 kD) profoundly suppressed poly I:C- and HRV16-induced expression of both CXCL10 mRNA and protein from NHBE cells via a mechanism that relied upon PAR-2 activation.,26072921_8,CXCL10,141,147,0
98,"AHR agonists reduced the expression of the Th17 master transcription factor retinoic acid-related orphan receptor C (RORC), without affecting T-bet, GATA-3 and Foxp3.",20706985_5,"AHR,Th17,GATA-3","0,43,149","3,47,155","1,2,1"
99,"AHR was also inhibited in IL-4(-/-)- and IL-5/eotaxin(1)(-/-)- deficient mice treated with IL-25, however, mucus hypersecretion was not completely ablated.",17177681_6,"AHR,IL-4(-/-)-","0,26","3,36","1,0"
100,"AIM: T regulatory (Treg) cells have been detected in periodontitis lesions, and forkhead box P3 (Foxp3) expression has been negatively correlated to receptor activator of nuclear factor-kappa B ligand (RANKL).",19419438_0,"nuclear factor-kappa B ligand,RANKL","171,202","200,207","0,0"
101,"AIM: The aim of our study was to investigate the effect of lentinan on regulatory T cells (Tregs) in sepsis, especially on the generation of interleukin (IL)-10 via regulation of Erk-FoxO1 signaling.",27156806_0,regulatory T cells,71,89,2
102,AIM: The objective of the study was to explore the use of recombinant Mycobacterium smegmatis as a live vector for oral delivery of antigens to induce immune tolerance.,27241889_2,recombinant,58,69,0
103,AIM: To construct a novel Ag85B DNA vaccine based on the genetic adjuvant of T-bet known as Th1 transcription factor and to research the immunoregulation function of the DNA complex vaccine.,22768853_0,"Th1,transcription factor","92,96","95,116","2,1"
104,AIM: To elucidate the molecular and cellular features responsible for the increase of regulatory T cells (Tregs) in gastric cancer.,21528082_0,regulatory T cells,86,104,2
105,AIM: To investigate the levels and functions of Th17 cells and CD4(+); CD25(+); Foxp3(+); regulate cells(Treg) and explore their role in pathogenesis of primary nephrotic syndrome (PNS) in children.,20619107_0,"Th17 cells,CD4(+),cells(Treg","48,63,99","58,69,109","2,2,2"
106,AIM: To investigate the role of regulatory T cell (Treg) subsets in the balance between Treg and T helper 17 (Th17) cells in various tissues from mice with dextran sulfate sodium-induced colitis.,27895423_0,"Treg,regulatory T cell,Treg,T helper 17","51,32,88,97","55,49,92,108","2,2,2,2"
107,AIM: We aimed to explore the effect of T2 on the in situ levels of inflammatory cytokines and the number of Foxp3(+) Tregs in inflamed mucosa of CD.METHODS: Mucosal biopsies from 20 patients treated with T2 were taken by colonoscopy.,24369313_4,"T2,T2","39,204","41,206","1,1"
108,"AIMS: To investigate whether supplementation of natural CD4+CD25+ regulatory T cells ameliorates mouse experimental autoimmune uveoretinitis (EAU) induced by CD4+ T cell-dependent interphotoreceptor retinoid-binding protein (IRBP).METHODS: C57BL/6 mice were immunised with human interphotoreceptor retinoid-binding protein peptide 1-20 (IRBP(1-20)), and IRBP(1-20)-sensitised T cells were obtained.",16943228_0,CD4+ T,158,164,2
109,"AIRE-deficient patients also displayed decreased frequencies of regulatory T cells (Tregs) that lacked common TCRβ clones found instead in their conventional T cell compartment, thereby suggesting holes in the Treg TCR repertoire of these patients.",30979797_3,"regulatory T cells,Treg","64,210","82,214","2,2"
110,"AKBA may affect IL-1β signaling by preventing IL-1 receptor-associated kinase 1 phosphorylation and subsequently decreasing STAT3 phosphorylation at Ser727, which is required for Th17-cell differentiation.",24469975_5,"STAT3,IL-1,IL-1β","124,46,16","129,50,21","1,0,0"
111,"ALI/ARDS are characterized as neutrophil infiltration in inflammation cases; however, there is conflicting information concerning the role of Th17 cells in ALI/ARDS, as well as their potential treatment value.",26888095_1,Th17 cells,142,152,2
112,ALT-E induced much greater IL-18 release compared to 19 major outdoor allergens.,22347372_7,IL-18,27,32,0
113,AP-1 family transcription factors regulate CD4+ T helper cell differentiation.,28824171_7,"transcription factors,AP-1","12,0","33,4","1,1"
114,"AP4 was induced by c-MYC during the T-B interactions, was maintained by T-cell-derived interleukin-21 (IL-21), and promoted repeated rounds of divisions of selected GC B cells.",27566940_3,c-MYC,19,24,1
115,"APPROACH AND RESULTS: Adoptive transfer of HDAC6-deficient TH 17 cells impedes HCC growth, dependent on elevated IL-17A, by enhancing the production of antitumor cytokine and cluster of differentiation 8-positive (CD8+) T cell-mediated antitumor responses.",31539182_2,"IL-17A,cytokine","113,162","119,170","0,0"
116,"APRIL thus may regulate lung inflammation in a dual way, by acting on c-maf expression and by directly controlling IL-13 production.",21182087_9,"c-maf,IL-13","70,115","75,120","1,0"
117,AS04 was also found to directly stimulate those APCs in vitro but not directly stimulate CD4(+) T or B lymphocytes.,19864596_7,CD4(+) T,89,97,2
118,AT-rich interactive domain-containing protein 5a (Arid5a) is an RNA-binding protein (RBP) required for autoimmunity via stabilization of interleukin-6 (Il6) and signal transducer and activator of transcription 3 (STAT3) mRNAs.,29244194_0,"RNA-binding protein,RBP,signal transducer,STAT3","64,85,161,213","83,88,178,218","1,1,1,1"
119,"ATF3 expression was increased in the lungs of mice challenged with ovalbumin allergen, and this was associated with its recruitment to the promoters of genes encoding Th2-associated cytokines.",18794337_2,ATF3,0,4,1
120,"ATF3-deficient mice developed significantly increased airway hyperresponsiveness, pulmonary eosinophilia, and enhanced chemokine and Th2 cytokine responses in lung tissue and in lung-derived CD4(+) lymphocytes.",18794337_3,"chemokine,Th2","119,133","128,136","0,2"
121,"Ab depletion of CD4 and CD8 cells revealed that the heightened allergic inflammation caused by COX inhibition was CD4, but not CD8, dependent.",15611279_1,CD8 cells,24,33,2
122,"Ab neutralization studies and experiments with IL-2-deficient mice have revealed that IL-2 is required for TGF-beta to induce naive CD4(+)CD25(-) cells to become CD25(+) and express Foxp3, and develop the characteristic properties of CD4(+)CD25(+) regulatory cells.",17277105_2,"IL-2,TGF-beta","86,107","90,115","0,0"
123,Aberrant activity of polycomb repressive complex 2 (PRC2) is involved in a wide range of human cancer progression.,31395608_0,polycomb,21,29,1
124,Aberrant expression of soluble (s) and membrane-associated (m) IL-7R molecules is associated with development of autoimmunity and immune failure in acquired immune deficiency syndrome (AIDS) patients.,28582466_2,soluble,23,30,0
125,"Aberrant upregulation of IL-21 in CD4(+) T cells expressing mutant Ikaros was responsible, at least in part, for the enhanced IL-22 expression in a Stat3-dependent manner.",25194055_5,CD4(+) T cells,34,48,2
126,"Ablating Stat3 in hematopoietic cells results in rapid activation of innate immunity by CpG, with enhanced production of IFN-gamma, tumor necrosis factor-alpha, IL-12, and activation of macrophages, neutrophils, and natural killer cells marked with Stat1 activation.",19258507_2,"Stat1,natural killer cells,IL-12,hematopoietic cells,IFN-gamma,Stat3,tumor necrosis factor-alpha","249,216,161,18,121,9,132","254,236,166,37,130,14,159","1,0,0,0,0,1,0"
127,Ablation of nTregs in depletion of regulatory T-cell (DEREG) mice resulted in cytosolic localization of ICER/CREM and increased IL-2 synthesis upon stimulation.,21262800_3,regulatory T-cell (,35,54,2
128,Abnormal immune response resulting from disordered T helper (Th)1/Th2 and Th17/regulatory T cells (Treg) cytokine expression has been demonstrated to serve an important role in the pathogenesis of preeclampsia (PE).,28849203_0,Treg,99,103,2
129,"Abnormalities of regulatory T cells may play an important role in the loss of self-tolerance, which is a major characteristic of lupus.",17670847_0,regulatory T cells,17,35,2
130,Absence of IL-21 reduced signal transducer and activator of transcription 3 activation in tumor and stromal cells.,21987656_5,"signal transducer,transcription 3,stromal cells","25,60,100","42,75,113","1,1,0"
131,"Abundant Foxp3+IL-17+ T cells were detected in CRC tissue that expresses high levels of TGF-β, CXCR3, CCR6, and RORγt.",20952660_7,TGF-β,88,93,0
132,"Acceptance was associated with marked inhibition of cellular infiltration and inflammatory cytokine expression and only a brief, slight increase in Foxp3:T cell ratio in the graft and no increase in the spleen.",18346633_5,cytokine,91,99,0
133,"According to recent studies, the AHR is essential for the differentiation and activation of T helper 17 (Th17) cells.",26511867_3,"AHR,T helper 17","33,92","36,103","1,2"
134,"Accordingly, ATF3 KO mice displayed diminished survival and bacterial clearance following S. pneumoniae infection.",30214444_7,ATF3,13,17,1
135,"Accordingly, CD4(+) T cells within the LNs and Peyer's patches failed to express the T(FH) key transcription factor B-cell lymphoma-6 and other T(FH)-related molecules.",22552227_4,CD4(+) T cells,13,27,2
136,"Accordingly, CD4(+) and CD11b(+) cells infiltration into the CNS, demyelination, and axonal loss were reduced.",19846875_12,CD4(+),13,19,2
137,"Accordingly, Dex inhibited the immunostimulatory capacity of T3-matured DCs on naive T-cell proliferation and IFN-γ production while increased IL-10 synthesis by allogeneic T cell cultures.",22056479_6,"IFN-γ,IL-10","110,143","115,148","0,0"
138,"Accordingly, IRF1- and IFNAR-deficient mice harbored fewer parasites in the target organs than wild-type mice due to having an increased Th1 immune response.",32210480_5,"IRF1-,Th1","13,137","18,140","1,2"
