Cyclophosphamide-induced	cyclophosphamide-induced	O	O
indicate	indicate	O	O
that	that	O	O
this	this	O	O
experimental	experimental	O	O
model	model	O	O
of	of	O	O
CP-induced	cp-induced	O	O
cystitis	cystitis	O	S_disease
may	may	O	O
be	be	O	O
an	an	O	O
interesting	interesting	O	O
new	new	O	O
behavioral	behavioral	O	O
model	model	O	O
of	of	O	O
inflammatory	inflammatory	O	O
visceral	visceral	O	B_disease
pain	pain	O	S_disease
,	,	O	O
allowing	allowing	O	O
a	a	O	O
better	better	O	O
understanding	understanding	O	O
of	of	O	O
these	these	O	O
painful	painful	O	O
syndromes	syndromes	O	O
and	and	O	O
thus	thus	O	O
a	a	O	O
better	better	O	O
therapeutic	therapeutic	O	O
approach	approach	O	O
to	to	O	O
them	them	O	O
.	.	O	O

