Pharmacological	pharmacological	O	O
cognitive	cognitive	O	B_disease
dysfunctions	dysfunctions	O	I_disease
on	on	O	O
account	account	O	O
of	of	O	O
its	its	O	O
multifarious	multifarious	O	O
beneficial	beneficial	O	O
effects	effects	O	O
such	such	O	O
as	as	O	O
,	,	O	O
memory	memory	O	O
improving	improving	O	O
property	property	O	O
,	,	O	O
cholesterol	cholesterol	S_chemical	O
lowering	lowering	O	O
property	property	O	O
and	and	O	O
anticholinesterase	anticholinesterase	O	O
activity	activity	O	O
.	.	O	O

