Evidence	evidence	O	O
ventral	ventral	O	O
lesion	lesion	O	O
in	in	O	O
the	the	O	O
GPi	gpi	O	O
and	and	O	O
the	the	O	O
improvement	improvement	O	O
in	in	O	O
LID	lid	O	S_disease
in	in	O	O
the	the	O	O
contralateral	contralateral	O	O
limbs	limbs	O	O
,	,	O	O
whereas	whereas	O	O
there	there	O	O
was	was	O	O
no	no	O	O
correlation	correlation	O	O
between	between	O	O
the	the	O	O
ventral	ventral	O	O
volume	volume	O	O
and	and	O	O
the	the	O	O
improvement	improvement	O	O
in	in	O	O
parkinsonian	parkinsonian	O	S_disease
'	'	O	O
off	off	O	O
'	'	O	O
signs	signs	O	O
.	.	O	O

The	the	O	O
volumes	volumes	O	O
of	of	O	O
the	the	O	O
total	total	O	O
lesion	lesion	O	O
cylinder	cylinder	O	O
and	and	O	O
the	the	O	O
dorsal	dorsal	O	O
lesion	lesion	O	O
did	did	O	O
not	not	O	O
correlate	correlate	O	O
with	with	O	O
the	the	O	O
outcome	outcome	O	O
of	of	O	O
either	either	O	O
dyskinesias	dyskinesias	O	S_disease
or	or	O	O
parkinsonian	parkinsonian	O	S_disease
'	'	O	O
off	off	O	O
'	'	O	O
signs	signs	O	O
.	.	O	O

The	the	O	O
differential	differential	O	O
predictive	predictive	O	O
value	value	O	O
of	of	O	O
levodopa	levodopa	S_chemical	O
responsiveness	responsiveness	O	O
for	for	O	O
the	the	O	O
outcome	outcome	O	O
of	of	O	O
parkinsonian	parkinsonian	O	S_disease
'	'	O	O
off	off	O	O
'	'	O	O
signs	signs	O	O
and	and	O	O
LID	lid	O	S_disease
and	and	O	O
the	the	O	O
different	different	O	O
correlations	correlations	O	O
of	of	O	O
ventral	ventral	O	O
lesion	lesion	O	O
volume	volume	O	O
with	with	O	O
dyskinesias	dyskinesias	O	S_disease
and	and	O	O
parkinsonian	parkinsonian	O	S_disease
'	'	O	O
off	off	O	O
'	'	O	O
signs	signs	O	O
indicate	indicate	O	O
that	that	O	O
different	different	O	O
anatomical	anatomical	O	O
or	or	O	O
pathophysiological	pathophysiological	O	O
substrates	substrates	O	O
may	may	O	O
be	be	O	O
responsible	responsible	O	O
for	for	O	O
the	the	O	O
generation	generation	O	O
of	of	O	O
parkinsonian	parkinsonian	O	S_disease
'	'	O	O
off	off	O	O
'	'	O	O
signs	signs	O	O
and	and	O	O
dyskinesias	dyskinesias	O	S_disease
.	.	O	O

Whereas	whereas	O	O
cells	cells	O	O
in	in	O	O
a	a	O	O
wider	wider	O	O
area	area	O	O
of	of	O	O
the	the	O	O
GPi	gpi	O	O
may	may	O	O
be	be	O	O
implicated	implicated	O	O
in	in	O	O
parkinsonism	parkinsonism	O	S_disease
,	,	O	O
the	the	O	O
ventral	ventral	O	O
GPi	gpi	O	O
seems	seems	O	O
to	to	O	O
be	be	O	O
crucial	crucial	O	O
for	for	O	O
the	the	O	O
manifestation	manifestation	O	O
of	of	O	O
LID	lid	O	S_disease
.	.	O	O

We	we	O	O
suggest	suggest	O	O
that	that	O	O
our	our	O	O
observations	observations	O	O
are	are	O	O
additional	additional	O	O
proof	proof	O	O
of	of	O	O
the	the	O	O
functional	functional	O	O
somatotopy	somatotopy	O	O
of	of	O	O
the	the	O	O
systems	systems	O	O
within	within	O	O
the	the	O	O
GPi	gpi	O	O
that	that	O	O
mediate	mediate	O	O
parkinsonism	parkinsonism	O	S_disease
and	and	O	O
dyskinesias	dyskinesias	O	S_disease
,	,	O	O
especially	especially	O	O
along	along	O	O
the	the	O	O
dorsoventral	dorsoventral	O	O
trajectory	trajectory	O	O
used	used	O	O
in	in	O	O
pallidotomy	pallidotomy	O	O
.	.	O	O

The	the	O	O
outcome	outcome	O	O
of	of	O	O
pallidotomy	pallidotomy	O	O
in	in	O	O
which	which	O	O
the	the	O	O
lesion	lesion	O	O
involves	involves	O	O
the	the	O	O
ventral	ventral	O	O
and	and	O	O
dorsal	dorsal	O	O
GPi	gpi	O	O
could	could	O	O
be	be	O	O
the	the	O	O
net	net	O	O
effect	effect	O	O
of	of	O	O
alteration	alteration	O	O
in	in	O	O
the	the	O	O
activity	activity	O	O
of	of	O	O
pathways	pathways	O	O
which	which	O	O
mediate	mediate	O	O
different	different	O	O
symptoms	symptoms	O	O
,	,	O	O
and	and	O	O
hence	hence	O	O
could	could	O	O
be	be	O	O
variable	variable	O	O
.	.	O	O

