Effects	effects	O	O
were	were	O	O
6	6	O	O
-	-	O	O
52	52	O	O
weeks	weeks	O	O
in	in	O	O
duration	duration	O	O
.	.	O	O

The	the	O	O
incidence	incidence	O	O
rates	rates	O	O
of	of	O	O
events	events	O	O
were	were	O	O
determined	determined	O	O
in	in	O	O
all	all	O	O
patients	patients	O	O
(	(	O	O
n	n	O	O
=	=	O	O
7934	7934	O	O
)	)	O	O
and	and	O	O
in	in	O	O
users	users	O	O
of	of	O	O
low-dose	low-dose	O	O
(	(	O	O
<	<	O	O
or	or	O	O
=	=	O	O
325	325	O	O
mg	mg	O	O
daily	daily	O	O
)	)	O	O
aspirin	aspirin	S_chemical	O
(	(	O	O
n	n	O	O
=	=	O	O
1051	1051	O	O
)	)	O	O
and	and	O	O
nonusers	nonusers	O	O
of	of	O	O
aspirin	aspirin	S_chemical	O
(	(	O	O
n	n	O	O
=	=	O	O
6883	6883	O	O
)	)	O	O
.	.	O	O

Crude	crude	O	O
and	and	O	O
exposure-adjusted	exposure-adjusted	O	O
incidences	incidences	O	O
of	of	O	O
thrombotic	thrombotic	O	S_disease
events	events	O	O
were	were	O	O
similar	similar	O	O
for	for	O	O
valdecoxib	valdecoxib	O	O
,	,	O	O
NSAIDs	nsaids	O	O
,	,	O	O
and	and	O	O
placebo	placebo	O	O
.	.	O	O

The	the	O	O
risk	risk	O	O
of	of	O	O
serious	serious	O	O
thrombotic	thrombotic	O	S_disease
events	events	O	O
was	was	O	O
also	also	O	O
similar	similar	O	O
for	for	O	O
each	each	O	O
valdecoxib	valdecoxib	O	O
dose	dose	O	O
.	.	O	O

Thrombotic	thrombotic	O	S_disease
risk	risk	O	O
was	was	O	O
consistently	consistently	O	O
higher	higher	O	O
for	for	O	O
users	users	O	O
of	of	O	O
aspirin	aspirin	S_chemical	O
users	users	O	O
than	than	O	O
nonusers	nonusers	O	O
of	of	O	O
aspirin	aspirin	S_chemical	O
(	(	O	O
placebo	placebo	O	O
,	,	O	O
1.4	1.4	O	O
%	%	O	O
vs.	vs.	O	O
0	0	O	O
%	%	O	O
;	;	O	O
valdecoxib	valdecoxib	O	O
,	,	O	O
1.7	1.7	O	O
%	%	O	O
vs.	vs.	O	O
0.2	0.2	O	O
%	%	O	O
;	;	O	O
NSAIDs	nsaids	O	O
,	,	O	O
1.9	1.9	O	O
%	%	O	O
vs.	vs.	O	O
0.5	0.5	O	O
%	%	O	O
)	)	O	O
.	.	O	O

The	the	O	O
rates	rates	O	O
of	of	O	O
events	events	O	O
in	in	O	O
users	users	O	O
of	of	O	O
aspirin	aspirin	S_chemical	O
were	were	O	O
similar	similar	O	O
for	for	O	O
all	all	O	O
3	3	O	O
treatment	treatment	O	O
groups	groups	O	O
and	and	O	O
across	across	O	O
valdecoxib	valdecoxib	O	O
doses	doses	O	O
.	.	O	O

Short-	short-	O	O
and	and	O	O
intermediate-term	intermediate-term	O	O
treatment	treatment	O	O
with	with	O	O
therapeutic	therapeutic	O	O
(	(	O	O
10	10	O	O
or	or	O	O
20	20	O	O
mg	mg	O	O
daily	daily	O	O
)	)	O	O
and	and	O	O
supratherapeutic	supratherapeutic	O	O
(	(	O	O
40	40	O	O
or	or	O	O
80	80	O	O
mg	mg	O	O
daily	daily	O	O
)	)	O	O
valdecoxib	valdecoxib	O	O
doses	doses	O	O
was	was	O	O
not	not	O	O
associated	associated	O	O
with	with	O	O
an	an	O	O
increased	increased	O	O
incidence	incidence	O	O
of	of	O	O
thrombotic	thrombotic	O	S_disease
events	events	O	O
relative	relative	O	O
to	to	O	O
nonselective	nonselective	O	O
NSAIDs	nsaids	O	O
or	or	O	O
placebo	placebo	O	O
in	in	O	O
osteoarthritis	osteoarthritis	O	O
and	and	O	O
rheumatoid	rheumatoid	O	B_disease
arthritis	arthritis	O	S_disease
patients	patients	O	O
in	in	O	O
controlled	controlled	O	O
clinical	clinical	O	O
trials	trials	O	O
.	.	O	O

