Placebo-level	placebo-level	O	O
significantly	significantly	O	O
higher	higher	O	O
incidence	incidence	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
of	of	O	O
tremor	tremor	O	S_disease
(	(	O	O
18.4	18.4	O	O
%	%	O	O
)	)	O	O
than	than	O	O
quetiapine	quetiapine	O	O
(	(	O	O
5.6	5.6	O	O
%	%	O	O
)	)	O	O
;	;	O	O
cerebellar	cerebellar	O	O
tremor	tremor	O	S_disease
,	,	O	O
which	which	O	O
is	is	O	O
a	a	O	O
known	known	O	O
adverse	adverse	O	O
effect	effect	O	O
of	of	O	O
lithium	lithium	S_chemical	O
,	,	O	O
may	may	O	O
have	have	O	O
contributed	contributed	O	O
to	to	O	O
the	the	O	O
elevated	elevated	O	O
rate	rate	O	O
of	of	O	O
tremor	tremor	O	S_disease
in	in	O	O
patients	patients	O	O
receiving	receiving	O	O
lithium	lithium	S_chemical	O
therapy	therapy	O	O
.	.	O	O

Haloperidol	haloperidol	S_chemical	O
induced	induced	O	O
a	a	O	O
significantly	significantly	O	O
higher	higher	O	O
incidence	incidence	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.001	0.001	O	O
)	)	O	O
of	of	O	O
akathisia	akathisia	O	S_disease
(	(	O	O
33.3	33.3	O	O
%	%	O	O
versus	versus	O	O
5.9	5.9	O	O
%	%	O	O
)	)	O	O
,	,	O	O
tremor	tremor	O	S_disease
(	(	O	O
30.3	30.3	O	O
%	%	O	O
versus	versus	O	O
7.8	7.8	O	O
%	%	O	O
)	)	O	O
,	,	O	O
and	and	O	O
extrapyramidal	extrapyramidal	O	O
syndrome	syndrome	O	O
(	(	O	O
35.4	35.4	O	O
%	%	O	O
versus	versus	O	O
5.9	5.9	O	O
%	%	O	O
)	)	O	O
than	than	O	O
quetiapine	quetiapine	O	O
.	.	O	O

No	no	O	O
significant	significant	O	O
differences	differences	O	O
were	were	O	O
observed	observed	O	O
between	between	O	O
quetiapine	quetiapine	O	O
and	and	O	O
placebo	placebo	O	O
on	on	O	O
SAS	sas	O	O
and	and	O	O
BARS	bars	O	O
scores	scores	O	O
.	.	O	O

Anticholinergic	anticholinergic	O	O
use	use	O	O
was	was	O	O
low	low	O	O
and	and	O	O
similar	similar	O	O
with	with	O	O
quetiapine	quetiapine	O	O
or	or	O	O
placebo	placebo	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
In	in	O	O
bipolar	bipolar	O	S_disease
mania	mania	O	S_disease
,	,	O	O
the	the	O	O
incidence	incidence	O	O
of	of	O	O
EPS	eps	O	S_disease
,	,	O	O
including	including	O	O
akathisia	akathisia	O	S_disease
,	,	O	O
with	with	O	O
quetiapine	quetiapine	O	O
therapy	therapy	O	O
is	is	O	O
similar	similar	O	O
to	to	O	O
that	that	O	O
with	with	O	O
placebo	placebo	O	O
.	.	O	O

