Nitric	nitric	B_chemical	O
no	no	O	O
effect	effect	O	O
on	on	O	O
either	either	O	O
blood	blood	O	O
pressure	pressure	O	O
,	,	O	O
plasma	plasma	O	O
MDA	mda	O	O
,	,	O	O
or	or	O	O
NOS	nos	O	O
expression	expression	O	O
in	in	O	O
the	the	O	O
control	control	O	O
group	group	O	O
.	.	O	O

The	the	O	O
study	study	O	O
also	also	O	O
revealed	revealed	O	O
significant	significant	O	O
inhibition	inhibition	O	O
of	of	O	O
NOS	nos	O	O
enzymatic	enzymatic	O	O
activity	activity	O	O
by	by	O	O
lead	lead	O	O
in	in	O	O
cell-free	cell-free	O	O
preparations	preparations	O	O
.	.	O	O

In	in	O	O
conclusion	conclusion	O	O
,	,	O	O
lead-induced	lead-induced	O	O
hypertension	hypertension	O	S_disease
in	in	O	O
this	this	O	O
model	model	O	O
was	was	O	O
associated	associated	O	B_disease
with	with	O	I_disease
a	a	O	O
compensatory	compensatory	O	O
upregulation	upregulation	O	O
of	of	O	O
renal	renal	O	O
and	and	O	O
vascular	vascular	O	O
eNOS	enos	S_chemical	S_disease
and	and	O	O
iNOS	inos	S_chemical	S_disease
expression	expression	O	O
.	.	O	O

This	this	O	O
is	is	O	O
,	,	O	O
in	in	O	O
part	part	O	O
,	,	O	O
due	due	O	O
to	to	O	O
ROS-mediated	ros-mediated	O	O
NO	no	O	O
inactivation	inactivation	O	O
,	,	O	O
lead-associated	lead-associated	O	O
inhibition	inhibition	O	O
of	of	O	O
NOS	nos	O	O
activity	activity	O	O
,	,	O	O
and	and	O	O
perhaps	perhaps	O	O
stimulatory	stimulatory	O	O
actions	actions	O	O
of	of	O	O
increased	increased	O	O
shear	shear	O	O
stress	stress	O	O
associated	associated	O	B_disease
with	with	O	I_disease
hypertension	hypertension	O	S_disease
.	.	O	O

