Delayed	delayed	O	O
neuronal	neuronal	O	B_disease
injury	injury	O	I_disease
was	was	O	O
determined	determined	O	O
by	by	O	O
2,3,5-triphenyltetrazolium	2,3,5-triphenyltetrazolium	O	O
staining	staining	O	O
.	.	O	O

In	in	O	O
the	the	O	O
ischemic	ischemic	O	O
core	core	O	O
,	,	O	O
there	there	O	O
was	was	O	O
no	no	O	O
difference	difference	O	O
in	in	O	O
SG	sg	O	O
in	in	O	O
the	the	O	O
subcortex	subcortex	O	O
and	and	O	O
cortex	cortex	O	O
in	in	O	O
the	the	O	O
two	two	O	O
groups	groups	O	O
.	.	O	O

In	in	O	O
the	the	O	O
periphery	periphery	O	O
of	of	O	O
the	the	O	O
ischemic	ischemic	O	B_disease
territory	territory	O	I_disease
,	,	O	O
SG	sg	O	O
in	in	O	O
the	the	O	O
cortex	cortex	O	O
was	was	O	O
greater	greater	O	O
(	(	O	O
less	less	O	O
edema	edema	O	S_disease
accumulation	accumulation	O	O
)	)	O	O
in	in	O	O
the	the	O	O
hypertensive	hypertensive	O	S_disease
group	group	O	O
(	(	O	O
1.041	1.041	O	O
+	+	O	O
/-	/-	O	O
0.001	0.001	O	O
vs	vs	O	O
1.039	1.039	O	O
+	+	O	O
/-	/-	O	O
0.001	0.001	O	O
,	,	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

The	the	O	O
area	area	O	O
of	of	O	O
histochemical	histochemical	O	O
injury	injury	O	O
(	(	O	O
as	as	O	O
a	a	O	O
percent	percent	O	O
of	of	O	O
the	the	O	O
cross-sectional	cross-sectional	O	O
area	area	O	O
of	of	O	O
the	the	O	O
hemisphere	hemisphere	O	O
)	)	O	O
was	was	O	O
less	less	O	O
in	in	O	O
the	the	O	O
hypertensive	hypertensive	O	S_disease
group	group	O	O
(	(	O	O
33	33	O	O
+	+	O	O
/-	/-	O	O
3	3	O	O
%	%	O	O
vs	vs	O	O
21	21	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
%	%	O	O
,	,	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

The	the	O	O
data	data	O	O
indicate	indicate	O	O
that	that	O	O
phenylephrine-induced	phenylephrine-induced	O	O
hypertension	hypertension	O	S_disease
instituted	instituted	O	O
2	2	O	O
h	h	S_chemical	O
after	after	O	O
MCAO	mcao	S_chemical	O
does	does	O	O
not	not	O	O
aggravate	aggravate	O	O
edema	edema	O	S_disease
in	in	O	O
the	the	O	O
ischemic	ischemic	O	O
core	core	O	O
,	,	O	O
that	that	O	O
it	it	O	O
improves	improves	O	O
edema	edema	O	S_disease
in	in	O	O
the	the	O	O
periphery	periphery	O	O
of	of	O	O
the	the	O	O
ischemic	ischemic	O	B_disease
territory	territory	O	I_disease
,	,	O	O
and	and	O	O
that	that	O	O
it	it	O	O
reduces	reduces	O	O
the	the	O	O
area	area	O	O
of	of	O	O
histochemical	histochemical	O	B_disease
neuronal	neuronal	O	I_disease
dysfunction	dysfunction	O	I_disease
.	.	O	O

