Absence	absence	O	O
.	.	O	O

Three	three	O	O
subjects	subjects	O	O
(	(	O	O
2	2	O	O
on	on	O	O
sertraline	sertraline	S_chemical	O
and	and	O	O
1	1	O	O
on	on	O	O
placebo	placebo	O	O
)	)	O	O
withdrew	withdrew	O	O
from	from	O	O
the	the	O	O
study	study	O	O
because	because	O	O
of	of	O	O
side	side	O	O
effects	effects	O	O
.	.	O	O

Ten	ten	O	O
subjects	subjects	O	O
in	in	O	O
each	each	O	O
group	group	O	O
reported	reported	O	O
side	side	O	O
effects	effects	O	O
related	related	O	O
to	to	O	O
treatment	treatment	O	O
.	.	O	O

The	the	O	O
side	side	O	O
effect	effect	O	O
profiles	profiles	O	O
of	of	O	O
sertraline	sertraline	S_chemical	O
and	and	O	O
of	of	O	O
placebo	placebo	O	O
were	were	O	O
similar	similar	O	O
.	.	O	O

CONCLUSION	conclusion	O	O
:	:	O	O
Haloperidol	haloperidol	S_chemical	O
produced	produced	O	O
a	a	O	O
clear	clear	O	O
profile	profile	O	O
of	of	O	O
cognitive	cognitive	O	B_disease
impairment	impairment	O	I_disease
that	that	O	O
was	was	O	O
not	not	O	O
worsened	worsened	O	O
by	by	O	O
concomitant	concomitant	O	O
sertraline	sertraline	S_chemical	O
administration	administration	O	O
.	.	O	O

