Anti-oxidant	anti-oxidant	O	O
were	were	O	O
treated	treated	O	O
with	with	O	O
Ato	ato	S_chemical	O
(	(	O	O
50	50	O	O
mg/kg	mg/kg	O	O
per	per	O	O
day	day	O	O
in	in	O	O
drinking	drinking	B_chemical	O
water	water	I_chemical	O
)	)	O	O
or	or	O	O
tap	tap	O	O
water	water	O	O
for	for	O	O
15	15	O	O
days	days	O	O
.	.	O	O

Dexamethasone	dexamethasone	S_chemical	O
(	(	O	O
10	10	O	O
microg/kg	microg/kg	O	O
per	per	O	O
day	day	O	O
,	,	O	O
s.c	s.c	O	O
.	.	O	O
)	)	O	O
or	or	O	O
saline	saline	O	O
was	was	O	O
started	started	O	O
after	after	O	O
4	4	O	O
days	days	O	O
in	in	O	O
Ato-treated	ato-treated	O	O
and	and	O	O
non-treated	non-treated	O	O
rats	rats	O	O
and	and	O	O
continued	continued	O	O
for	for	O	O
11	11	O	O
-	-	O	O
13	13	O	O
days	days	O	O
.	.	O	O

Systolic	systolic	O	O
blood	blood	O	O
pressure	pressure	O	O
(	(	O	O
SBP	sbp	O	O
)	)	O	O
was	was	O	O
measured	measured	O	O
on	on	O	O
alternate	alternate	O	O
days	days	O	O
using	using	O	O
the	the	O	O
tail-cuff	tail-cuff	O	O
method	method	O	O
.	.	O	O

Endothelial	endothelial	O	O
function	function	O	O
was	was	O	O
assessed	assessed	O	O
by	by	O	O
acetylcholine-induced	acetylcholine-induced	O	O
vasorelaxation	vasorelaxation	O	O
and	and	O	O
phenylephrine-induced	phenylephrine-induced	O	O
vasoconstriction	vasoconstriction	O	O
in	in	O	O
aortic	aortic	O	O
segments	segments	O	O
.	.	O	O

Vascular	vascular	O	O
eNOS	enos	S_chemical	S_disease
mRNA	mrna	O	O
was	was	O	O
assessed	assessed	O	O
by	by	O	O
semi-quantitative	semi-quantitative	O	O
reverse	reverse	O	O
transcription-polymerase	transcription-polymerase	O	O
chain	chain	O	O
reaction	reaction	O	O
.	.	O	O

3	3	O	O
.	.	O	O

In	in	O	O
rats	rats	O	O
treated	treated	O	O
with	with	O	O
Dex	dex	S_chemical	O
alone	alone	O	O
,	,	O	O
SBP	sbp	O	O
was	was	O	O
increased	increased	O	O
from	from	O	O
109	109	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
to	to	O	O
133	133	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
mmHg	mmhg	O	O
on	on	O	O
Days	days	O	O
4	4	O	O
and	and	O	O
Day	day	O	O
14	14	O	O
,	,	O	O
respectively	respectively	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.001	0.001	O	O
)	)	O	O
.	.	O	O

In	in	O	O
the	the	O	O
Ato	ato	S_chemical	O
+	+	O	O
Dex	dex	S_chemical	O
group	group	O	O
,	,	O	O
SBP	sbp	O	O
was	was	O	O
increased	increased	O	O
from	from	O	O
113	113	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
to	to	O	O
119	119	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
mmHg	mmhg	O	O
on	on	O	O
Days	days	O	O
4	4	O	O
to	to	O	O
14	14	O	O
,	,	O	O
respectively	respectively	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.001	0.001	O	O
)	)	O	O
,	,	O	O
but	but	O	O
was	was	O	O
significantly	significantly	O	O
lower	lower	O	O
than	than	O	O
SBP	sbp	O	O
in	in	O	O
the	the	O	O
group	group	O	O
treated	treated	O	O
with	with	O	O
Dex	dex	S_chemical	O
alone	alone	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

Endothelial-dependent	endothelial-dependent	O	O
relaxation	relaxation	O	O
and	and	O	O
eNOS	enos	S_chemical	S_disease
mRNA	mrna	O	O
expression	expression	O	O
were	were	O	O
greater	greater	O	O
in	in	O	O
the	the	O	O
Dex	dex	S_chemical	O
+	+	O	O
Ato	ato	S_chemical	O
group	group	O	O
than	than	O	O
in	in	O	O
the	the	O	O
Dex	dex	S_chemical	O
only	only	O	O
group	group	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.05	0.05	O	O
and	and	O	O
P	p	O	O
<	<	O	O
0.0001	0.0001	O	O
,	,	O	O
respectively	respectively	O	O
)	)	O	O
.	.	O	O

Aortic	aortic	O	O
superoxide	superoxide	S_chemical	O
production	production	O	O
was	was	O	O
lower	lower	O	O
in	in	O	O
the	the	O	O
Dex	dex	S_chemical	O
+	+	O	O
Ato	ato	S_chemical	O
group	group	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
group	group	O	O
treated	treated	O	O
with	with	O	O
Dex	dex	S_chemical	O
alone	alone	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.0001	0.0001	O	O
)	)	O	O
.	.	O	O

4	4	O	O
.	.	O	O

Treatment	treatment	O	O
with	with	O	O
Ato	ato	S_chemical	O
improved	improved	O	O
endothelial	endothelial	O	O
function	function	O	O
,	,	O	O
reduced	reduced	O	O
superoxide	superoxide	S_chemical	O
production	production	O	O
and	and	O	O
reduced	reduced	O	O
SBP	sbp	O	O
in	in	O	O
Dex-treated	dex-treated	O	O
SD	sd	O	O
rats	rats	O	O
.	.	O	O

