Comparison	comparison	O	O
)	)	O	O
.	.	O	O

There	there	O	O
are	are	O	O
no	no	O	O
published	published	O	O
ASA	asa	S_chemical	O
studies	studies	O	O
using	using	O	O
the	the	O	O
multiple	multiple	O	O
dosing	dosing	O	O
paradigm	paradigm	O	O
of	of	O	O
GDs	gds	O	O
6	6	O	O
to	to	O	O
17	17	O	O
.	.	O	O

Objectives	objectives	O	O
of	of	O	O
the	the	O	O
current	current	O	O
study	study	O	O
were	were	O	O
to	to	O	O
compare	compare	O	O
results	results	O	O
between	between	O	O
Sprague-Dawley	sprague-dawley	O	O
(	(	O	O
SD	sd	O	O
)	)	O	O
and	and	O	O
Wistar	wistar	O	O
strains	strains	O	O
when	when	O	O
ASA	asa	S_chemical	O
is	is	O	O
administered	administered	O	O
on	on	O	O
GD	gd	O	O
9	9	O	O
,	,	O	O
10	10	O	O
,	,	O	O
or	or	O	O
11	11	O	O
;	;	O	O
to	to	O	O
compare	compare	O	O
the	the	O	O
malformation	malformation	O	O
patterns	patterns	O	O
following	following	O	O
single	single	O	O
and	and	O	O
multiple	multiple	O	O
dosings	dosings	O	O
during	during	O	O
organogenesis	organogenesis	O	O
in	in	O	O
SD	sd	O	O
rats	rats	O	O
;	;	O	O
and	and	O	O
to	to	O	O
test	test	O	O
the	the	O	O
hypothesis	hypothesis	O	O
that	that	O	O
maternal	maternal	O	O
gastrointestinal	gastrointestinal	O	O
toxicity	toxicity	O	S_disease
confounds	confounds	O	O
the	the	O	O
detection	detection	O	O
of	of	O	O
low	low	O	O
incidence	incidence	O	O
malformations	malformations	O	O
with	with	O	O
ASA	asa	S_chemical	O
when	when	O	O
a	a	O	O
multiple	multiple	O	O
dosing	dosing	O	O
paradigm	paradigm	O	O
is	is	O	O
used	used	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
ASA	asa	S_chemical	O
was	was	O	O
administered	administered	O	O
as	as	O	O
a	a	O	O
single	single	O	O
dose	dose	O	O
on	on	O	O
GD	gd	O	O
9	9	O	O
(	(	O	O
0	0	O	O
,	,	O	O
250	250	O	O
,	,	O	O
500	500	O	O
,	,	O	O
or	or	O	O
625	625	O	O
mg/kg	mg/kg	O	O
)	)	O	O
,	,	O	O
10	10	O	O
(	(	O	O
0	0	O	O
,	,	O	O
500	500	O	O
,	,	O	O
625	625	O	O
,	,	O	O
or	or	O	O
750	750	O	O
mg/kg	mg/kg	O	O
)	)	O	O
,	,	O	O
or	or	O	O
11	11	O	O
(	(	O	O
0	0	O	O
,	,	O	O
500	500	O	O
,	,	O	O
750	750	O	O
,	,	O	O
or	or	O	O
1000	1000	O	O
mg/kg	mg/kg	O	O
)	)	O	O
and	and	O	O
from	from	O	O
GD	gd	O	O
6	6	O	O
to	to	O	O
GD	gd	O	O
17	17	O	O
(	(	O	O
0	0	O	O
,	,	O	O
50	50	O	O
,	,	O	O
125	125	O	O
,	,	O	O
or	or	O	O
250	250	O	O
mg/kg	mg/kg	O	O
a	a	O	O
day	day	O	O
)	)	O	O
in	in	O	O
the	the	O	O
multiple	multiple	O	O
dose	dose	O	O
study	study	O	O
to	to	O	O
SD	sd	O	O
rats	rats	O	O
.	.	O	O

Animals	animals	O	O
were	were	O	O
killed	killed	O	O
on	on	O	O
GD	gd	O	O
21	21	O	O
,	,	O	O
and	and	O	O
fetuses	fetuses	O	O
were	were	O	O
examined	examined	O	O
viscerally	viscerally	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
The	the	O	O
literature	literature	O	O
evaluation	evaluation	O	O
suggested	suggested	O	O
that	that	O	O
NSAIDs	nsaids	O	O
induce	induce	O	O
ventricular	ventricular	O	O
septal	septal	O	O
defects	defects	O	O
(	(	O	O
VSDs	vsds	O	O
)	)	O	O
and	and	O	O
midline	midline	O	O
defects	defects	O	O
(	(	O	O
MDs	mds	O	O
)	)	O	O
in	in	O	O
rats	rats	O	O
and	and	O	O
diaphragmatic	diaphragmatic	O	O
hernia	hernia	O	O
(	(	O	O
DH	dh	O	O
)	)	O	O
,	,	O	O
MDs	mds	O	O
,	,	O	O
and	and	O	O
VSDs	vsds	O	O
in	in	O	O
rabbits	rabbits	O	O
(	(	O	O
Cook	cook	O	O
JC	jc	O	O
et	et	O	O
al.	al.	O	O
,	,	O	O
2003	2003	O	O
)	)	O	O
;	;	O	O
hence	hence	O	O
,	,	O	O
the	the	O	O
present	present	O	O
study	study	O	O
focused	focused	O	O
on	on	O	O
these	these	O	O
malformations	malformations	O	O
,	,	O	O
even	even	O	O
though	though	O	O
ASA	asa	S_chemical	O
induces	induces	O	O
several	several	O	O
other	other	O	O
low-incidence	low-incidence	O	O
malformations	malformations	O	O
.	.	O	O

In	in	O	O
single	single	O	O
dose	dose	O	O
studies	studies	O	O
,	,	O	O
DH	dh	O	O
,	,	O	O
MD	md	O	O
,	,	O	O
and	and	O	O
VSD	vsd	O	O
were	were	O	O
induced	induced	O	O
on	on	O	O
GDs	gds	O	O
9	9	O	O
and	and	O	O
10	10	O	O
.	.	O	O

VSD	vsd	O	O
also	also	O	O
was	was	O	O
noted	noted	O	O
following	following	O	O
treatment	treatment	O	O
on	on	O	O
GD	gd	O	O
11	11	O	O
.	.	O	O

In	in	O	O
contrast	contrast	O	O
,	,	O	O
DH	dh	O	O
and	and	O	O
MD	md	O	O
were	were	O	O
noted	noted	O	O
in	in	O	O
the	the	O	O
multiple	multiple	O	O
dose	dose	O	O
study	study	O	O
design	design	O	O
only	only	O	O
in	in	O	O
the	the	O	O
high-dose	high-dose	O	O
group	group	O	O
,	,	O	O
and	and	O	O
VSD	vsd	O	O
was	was	O	O
noted	noted	O	O
across	across	O	O
all	all	O	O
dose	dose	O	O
groups	groups	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
High	high	O	O
concordance	concordance	O	O
in	in	O	O
major	major	O	O
developmental	developmental	O	O
anomalies	anomalies	O	O
between	between	O	O
Wistar	wistar	O	O
and	and	O	O
SD	sd	O	O
rats	rats	O	O
were	were	O	O
noted	noted	O	O
with	with	O	O
the	the	O	O
exception	exception	O	O
of	of	O	O
VSD	vsd	O	O
in	in	O	O
the	the	O	O
SD	sd	O	O
rats	rats	O	O
and	and	O	O
hydrocephalus	hydrocephalus	O	O
in	in	O	O
the	the	O	O
Wistar	wistar	O	O
rats	rats	O	O
.	.	O	O

Variations	variations	O	O
and	and	O	O
malformations	malformations	O	O
were	were	O	O
similar	similar	O	O
when	when	O	O
ASA	asa	S_chemical	O
was	was	O	O
administered	administered	O	O
as	as	O	O
a	a	O	O
single	single	O	O
dose	dose	O	O
or	or	O	O
during	during	O	O
the	the	O	O
period	period	O	O
of	of	O	O
organogenesis	organogenesis	O	O
(	(	O	O
GDs	gds	O	O
6	6	O	O
to	to	O	O
17	17	O	O
)	)	O	O
.	.	O	O

It	it	O	O
was	was	O	O
also	also	O	O
evident	evident	O	O
that	that	O	O
,	,	O	O
by	by	O	O
titrating	titrating	O	O
the	the	O	O
dose	dose	O	O
to	to	O	O
achieve	achieve	O	O
a	a	O	O
maximum	maximum	O	O
tolerated	tolerated	O	O
dose	dose	O	O
,	,	O	O
malformations	malformations	O	O
that	that	O	O
normally	normally	O	O
occur	occur	O	O
at	at	O	O
low	low	O	O
incidence	incidence	O	O
,	,	O	O
as	as	O	O
reported	reported	O	O
from	from	O	O
previous	previous	O	O
single	single	O	O
dose	dose	O	O
studies	studies	O	O
,	,	O	O
could	could	O	O
also	also	O	O
be	be	O	O
induced	induced	O	O
with	with	O	O
ASA	asa	S_chemical	O
given	given	O	O
at	at	O	O
multiple	multiple	O	O
doses	doses	O	O
.	.	O	O

