Effect	effect	O	O
nimodipine	nimodipine	S_chemical	O
(	(	O	O
n=94	n=94	O	O
)	)	O	O
.	.	O	O

The	the	O	O
correlation	correlation	O	O
between	between	O	O
average	average	O	O
BP	bp	O	O
change	change	O	O
during	during	O	O
the	the	O	O
first	first	O	O
2	2	O	O
days	days	O	O
and	and	O	O
the	the	O	O
outcome	outcome	O	O
at	at	O	O
day	day	O	O
21	21	O	O
was	was	O	O
analyzed	analyzed	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Two	two	O	O
hundred	hundred	O	O
sixty-five	sixty-five	O	O
patients	patients	O	O
were	were	O	O
included	included	O	O
in	in	O	O
this	this	O	O
analysis	analysis	O	O
(	(	O	O
n=92	n=92	O	O
,	,	O	O
93	93	O	O
,	,	O	O
and	and	O	O
80	80	O	O
for	for	O	O
placebo	placebo	O	O
,	,	O	O
low	low	O	O
dose	dose	O	O
,	,	O	O
and	and	O	O
high	high	O	O
dose	dose	O	O
,	,	O	O
respectively	respectively	O	O
)	)	O	O
.	.	O	O

Nimodipine	nimodipine	S_chemical	O
treatment	treatment	O	O
resulted	resulted	O	O
in	in	O	O
a	a	O	O
statistically	statistically	O	O
significant	significant	O	O
reduction	reduction	O	O
in	in	O	O
systolic	systolic	O	O
BP	bp	O	O
(	(	O	O
SBP	sbp	O	O
)	)	O	O
and	and	O	O
diastolic	diastolic	O	O
BP	bp	O	O
(	(	O	O
DBP	dbp	O	O
)	)	O	O
from	from	O	O
baseline	baseline	O	O
compared	compared	O	O
with	with	O	O
placebo	placebo	O	O
during	during	O	O
the	the	O	O
first	first	O	O
few	few	O	O
days	days	O	O
.	.	O	O

In	in	O	O
multivariate	multivariate	O	O
analysis	analysis	O	O
,	,	O	O
a	a	O	O
significant	significant	O	O
correlation	correlation	O	O
between	between	O	O
DBP	dbp	O	O
reduction	reduction	O	O
and	and	O	O
worsening	worsening	O	O
of	of	O	O
the	the	O	O
neurological	neurological	O	O
score	score	O	O
was	was	O	O
found	found	O	O
for	for	O	O
the	the	O	O
high-dose	high-dose	O	O
group	group	O	O
(	(	O	O
beta=0.49	beta=0.49	O	O
,	,	O	O
P=0	p=0	O	O
.	.	O	O
048	048	O	O
)	)	O	O
.	.	O	O

Patients	patients	O	O
with	with	O	O
a	a	O	O
DBP	dbp	O	O
reduction	reduction	O	O
of	of	O	O
>	>	O	O
or	or	O	O
=	=	O	O
20	20	O	O
%	%	O	O
in	in	O	O
the	the	O	O
high-dose	high-dose	O	O
group	group	O	O
had	had	O	O
a	a	O	O
significantly	significantly	O	O
increased	increased	O	O
adjusted	adjusted	O	O
OR	or	O	O
for	for	O	O
the	the	O	O
compound	compound	O	O
outcome	outcome	O	O
variable	variable	O	O
death	death	O	S_disease
or	or	O	O
dependency	dependency	O	O
(	(	O	O
Barthel	barthel	O	O
Index	index	O	O
<	<	O	O
60	60	O	O
)	)	O	O
(	(	O	O
n/N=25/26	n/n=25/26	O	O
,	,	O	O
OR	or	O	O
10	10	O	O
.	.	O	O
16	16	O	O
,	,	O	O
95	95	O	O
%	%	O	O
CI	ci	O	O
1.02	1.02	O	O
to	to	O	O
101.74	101.74	O	O
)	)	O	O
and	and	O	O
death	death	O	S_disease
alone	alone	O	O
(	(	O	O
n/N=9/26	n/n=9/26	O	O
,	,	O	O
OR	or	O	O
4.336	4.336	O	O
,	,	O	O
95	95	O	O
%	%	O	O
CI	ci	O	O
1.131	1.131	O	O
16.619	16.619	O	O
)	)	O	O
compared	compared	O	O
with	with	O	O
all	all	O	O
placebo	placebo	O	O
patients	patients	O	O
(	(	O	O
n/N=62/92	n/n=62/92	O	O
and	and	O	O
14/92	14/92	O	O
,	,	O	O
respectively	respectively	O	O
)	)	O	O
.	.	O	O

There	there	O	O
was	was	O	O
no	no	O	O
correlation	correlation	O	O
between	between	O	O
SBP	sbp	O	O
change	change	O	O
and	and	O	O
outcome	outcome	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
DBP	dbp	O	O
,	,	O	O
but	but	O	O
not	not	O	O
SBP	sbp	O	O
,	,	O	O
reduction	reduction	O	O
was	was	O	O
associated	associated	O	O
with	with	O	O
neurological	neurological	O	O
worsening	worsening	O	O
after	after	O	O
the	the	O	O
intravenous	intravenous	O	O
administration	administration	O	O
of	of	O	O
high-dose	high-dose	O	O
nimodipine	nimodipine	S_chemical	O
after	after	O	O
acute	acute	O	O
stroke	stroke	O	S_disease
.	.	O	O

For	for	O	O
low-dose	low-dose	O	O
nimodipine	nimodipine	S_chemical	O
,	,	O	O
the	the	O	O
results	results	O	O
were	were	O	O
not	not	O	O
conclusive	conclusive	O	O
.	.	O	O

These	these	O	O
results	results	O	O
do	do	O	O
not	not	O	O
confirm	confirm	O	O
or	or	O	O
exclude	exclude	O	O
a	a	O	O
neuroprotective	neuroprotective	O	O
property	property	O	O
of	of	O	O
nimodipine	nimodipine	S_chemical	O
.	.	O	O

