Acute	acute	O	O
pilocarpine	pilocarpine	S_chemical	O
induced	induced	O	O
a	a	O	O
pronounced	pronounced	O	O
increment	increment	O	O
of	of	O	O
hippocampal	hippocampal	O	S_disease
glutamate	glutamate	S_chemical	O
and	and	O	O
aspartate	aspartate	S_chemical	O
whereas	whereas	O	O
no	no	O	O
significant	significant	O	O
change	change	O	O
was	was	O	O
observed	observed	O	O
on	on	O	O
the	the	O	O
level	level	O	O
of	of	O	O
glycine	glycine	S_chemical	O
and	and	O	O
GABA	gaba	S_chemical	O
.	.	O	O

Pretreatment	pretreatment	O	O
with	with	O	O
either	either	O	O
VPU	vpu	S_chemical	O
(	(	O	O
50	50	O	O
and	and	O	O
100	100	O	O
mg/kg	mg/kg	O	O
)	)	O	O
or	or	O	O
VPA	vpa	S_chemical	O
(	(	O	O
300	300	O	O
and	and	O	O
600	600	O	O
mg/kg	mg/kg	O	O
)	)	O	O
completely	completely	O	O
abolished	abolished	O	O
pilocarpine-evoked	pilocarpine-evoked	O	O
increases	increases	O	O
in	in	O	O
extracellular	extracellular	O	O
glutamate	glutamate	S_chemical	O
and	and	O	O
aspartate	aspartate	S_chemical	O
.	.	O	O

In	in	O	O
addition	addition	O	O
,	,	O	O
a	a	O	O
statistically	statistically	O	O
significant	significant	O	O
reduction	reduction	O	O
was	was	O	O
also	also	O	O
observed	observed	O	O
on	on	O	O
the	the	O	O
level	level	O	O
of	of	O	O
GABA	gaba	S_chemical	O
and	and	O	O
glycine	glycine	S_chemical	O
but	but	O	O
less	less	O	O
than	than	O	O
a	a	O	O
drastic	drastic	O	O
reduction	reduction	O	O
of	of	O	O
glutamate	glutamate	S_chemical	O
and	and	O	O
aspartate	aspartate	S_chemical	O
level	level	O	O
.	.	O	O

Based	based	O	O
on	on	O	O
the	the	O	O
finding	finding	O	O
that	that	O	O
VPU	vpu	S_chemical	O
and	and	O	O
VPA	vpa	S_chemical	O
could	could	O	O
protect	protect	O	O
the	the	O	O
animals	animals	O	O
against	against	O	O
pilocarpine-induced	pilocarpine-induced	O	O
seizure	seizure	O	S_disease
it	it	O	O
is	is	O	O
suggested	suggested	O	O
that	that	O	O
the	the	O	O
reduction	reduction	O	O
of	of	O	O
inhibitory	inhibitory	O	O
amino	amino	B_chemical	O
acid	acid	I_chemical	O
neurotransmitters	neurotransmitters	O	O
was	was	O	O
comparatively	comparatively	O	O
minor	minor	O	O
and	and	O	O
offset	offset	O	O
by	by	O	O
a	a	O	O
pronounced	pronounced	O	O
reduction	reduction	O	O
of	of	O	O
glutamate	glutamate	S_chemical	O
and	and	O	O
aspartate	aspartate	S_chemical	O
.	.	O	O

Therefore	therefore	O	O
,	,	O	O
like	like	O	O
VPA	vpa	S_chemical	O
,	,	O	O
the	the	O	O
finding	finding	O	O
that	that	O	O
VPU	vpu	S_chemical	O
could	could	O	O
drastically	drastically	O	O
reduce	reduce	O	O
pilocarpine-induced	pilocarpine-induced	O	O
increases	increases	O	O
in	in	O	O
glutamate	glutamate	S_chemical	O
and	and	O	O
aspartate	aspartate	S_chemical	O
should	should	O	O
account	account	O	O
,	,	O	O
at	at	O	O
least	least	O	O
partly	partly	O	O
,	,	O	O
for	for	O	O
its	its	O	O
anticonvulsant	anticonvulsant	O	O
activity	activity	O	O
observed	observed	O	O
in	in	O	O
pilocarpine-induced	pilocarpine-induced	O	O
seizure	seizure	O	S_disease
in	in	O	O
experimental	experimental	O	O
animals	animals	O	O
.	.	O	O

Some	some	O	O
other	other	O	O
mechanism	mechanism	O	O
than	than	O	O
those	those	O	O
being	being	O	O
reported	reported	O	O
herein	herein	O	O
should	should	O	O
be	be	O	O
further	further	O	O
investigated	investigated	O	O
.	.	O	O

