Evidence	evidence	O	O
receptors	receptors	O	O
,	,	O	O
possibly	possibly	O	O
located	located	O	O
on	on	O	O
dopaminergic	dopaminergic	O	S_disease
neurons	neurons	O	O
,	,	O	O
and	and	O	O
also	also	O	O
requires	requires	O	O
the	the	O	O
activation	activation	O	O
of	of	O	O
both	both	O	O
D1	d1	O	O
and	and	O	O
D2	d2	O	O
dopamine	dopamine	S_chemical	O
receptors	receptors	O	O
.	.	O	O

