Comparison	comparison	O	O
beats/min	beats/min	O	O
)	)	O	O
.	.	O	O

Timolol	timolol	S_chemical	O
gellan	gellan	S_chemical	O
showed	showed	O	O
a	a	O	O
numerically	numerically	O	O
but	but	O	O
not	not	O	O
significantly	significantly	O	O
smaller	smaller	O	O
reduction	reduction	O	O
in	in	O	O
24-hour	24-hour	O	O
heart	heart	O	O
rate	rate	O	O
,	,	O	O
compared	compared	O	O
with	with	O	O
timolol	timolol	S_chemical	O
solution	solution	O	O
.	.	O	O

During	during	O	O
the	the	O	O
night	night	O	O
,	,	O	O
the	the	O	O
mean	mean	O	O
12-hour	12-hour	O	O
heart	heart	O	O
rate	rate	O	O
on	on	O	O
placebo	placebo	O	O
and	and	O	O
timolol	timolol	S_chemical	O
gellan	gellan	S_chemical	O
were	were	O	O
both	both	O	O
significantly	significantly	O	O
less	less	O	O
than	than	O	O
on	on	O	O
timolol	timolol	S_chemical	O
solution	solution	O	O
;	;	O	O
the	the	O	O
difference	difference	O	O
between	between	O	O
solution	solution	O	O
and	and	O	O
gellan	gellan	S_chemical	O
treatments	treatments	O	O
was	was	O	O
statistically	statistically	O	O
significant	significant	O	O
(	(	O	O
P	p	O	O
=	=	O	O
.01	.01	O	O
)	)	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
Both	both	O	O
timolol	timolol	S_chemical	O
solution	solution	O	O
and	and	O	O
timolol	timolol	S_chemical	O
gellan	gellan	S_chemical	O
decrease	decrease	O	O
the	the	O	O
mean	mean	O	O
24-hour	24-hour	O	O
heart	heart	O	O
rate	rate	O	O
compared	compared	O	O
with	with	O	O
placebo	placebo	O	O
.	.	O	O

This	this	O	O
response	response	O	O
was	was	O	O
most	most	O	O
pronounced	pronounced	O	O
during	during	O	O
the	the	O	O
active	active	O	O
daytime	daytime	O	O
period	period	O	O
.	.	O	O

These	these	O	O
data	data	O	O
quantify	quantify	O	O
the	the	O	O
modest	modest	O	O
bradycardia	bradycardia	O	S_disease
associated	associated	O	B_disease
with	with	O	I_disease
ophthalmic	ophthalmic	O	O
beta-blocker	beta-blocker	O	O
therapy	therapy	O	O
in	in	O	O
a	a	O	O
typical	typical	O	O
patient	patient	O	O
population	population	O	O
on	on	O	O
therapy	therapy	O	O
for	for	O	O
glaucoma	glaucoma	O	S_disease
.	.	O	O

Although	although	O	O
exercise	exercise	O	O
performance	performance	O	O
was	was	O	O
not	not	O	O
assessed	assessed	O	O
in	in	O	O
this	this	O	O
trial	trial	O	O
,	,	O	O
reductions	reductions	O	O
of	of	O	O
this	this	O	O
magnitude	magnitude	O	O
should	should	O	O
not	not	O	O
have	have	O	O
substantial	substantial	O	O
clinical	clinical	O	O
consequences	consequences	O	O
.	.	O	O

