NO-induced	no-induced	O	O
min	min	O	O
;	;	O	O
12	12	O	O
subjects	subjects	O	O
)	)	O	O
.	.	O	O

In	in	O	O
those	those	O	O
subjects	subjects	O	O
who	who	O	O
had	had	O	O
no	no	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
(	(	O	O
11	11	O	O
subjects	subjects	O	O
)	)	O	O
a	a	O	O
similar	similar	O	O
time	time	O	O
schedule	schedule	O	O
was	was	O	O
used	used	O	O
.	.	O	O

Plasma	plasma	O	O
CGRP	cgrp	S_chemical	O
concentration	concentration	O	O
increased	increased	O	O
significantly	significantly	O	O
(	(	O	O
P<0.01	p<0.01	O	O
)	)	O	O
during	during	O	O
the	the	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
and	and	O	O
returned	returned	O	O
to	to	O	O
baseline	baseline	O	O
after	after	O	O
the	the	O	O
cessation	cessation	O	O
of	of	O	O
the	the	O	O
migraine	migraine	O	S_disease
.	.	O	O

In	in	O	O
addition	addition	O	O
,	,	O	O
both	both	O	O
change	change	O	O
and	and	O	O
peak	peak	O	O
,	,	O	O
showed	showed	O	O
significant	significant	O	O
positive	positive	O	O
correlations	correlations	O	O
with	with	O	O
migraine	migraine	O	S_disease
headache	headache	O	S_disease
intensity	intensity	O	O
(	(	O	O
P<0.001	p<0.001	O	O
)	)	O	O
.	.	O	O

However	however	O	O
,	,	O	O
plasma	plasma	O	O
CGRP	cgrp	S_chemical	O
concentrations	concentrations	O	O
failed	failed	O	O
to	to	O	O
change	change	O	O
during	during	O	O
immediate	immediate	O	O
headache	headache	O	S_disease
and	and	O	O
in	in	O	O
the	the	O	O
subjects	subjects	O	O
with	with	O	O
no	no	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
.	.	O	O

Basal	basal	O	O
CGRP	cgrp	S_chemical	O
concentration	concentration	O	O
was	was	O	O
significantly	significantly	O	O
higher	higher	O	O
and	and	O	O
platelet	platelet	O	O
5-HT	5-ht	S_chemical	O
content	content	O	O
tended	tended	O	O
to	to	O	O
be	be	O	O
lower	lower	O	O
in	in	O	O
subjects	subjects	O	O
who	who	O	O
experienced	experienced	O	O
a	a	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
.	.	O	O

Platelet	platelet	O	O
serotonin	serotonin	S_chemical	O
content	content	O	O
decreased	decreased	O	O
significantly	significantly	O	O
(	(	O	O
P<0.01	p<0.01	O	O
)	)	O	O
after	after	O	O
nitroglycerin	nitroglycerin	S_chemical	O
in	in	O	O
subjects	subjects	O	O
with	with	O	O
no	no	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
but	but	O	O
no	no	O	O
consistent	consistent	O	O
change	change	O	O
was	was	O	O
observed	observed	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
.	.	O	O

In	in	O	O
conclusion	conclusion	O	O
,	,	O	O
the	the	O	O
fact	fact	O	O
that	that	O	O
plasma	plasma	O	O
CGRP	cgrp	S_chemical	O
concentration	concentration	O	O
correlates	correlates	O	O
with	with	O	O
the	the	O	O
timing	timing	O	O
and	and	O	O
severity	severity	O	O
of	of	O	O
a	a	O	O
migraine	migraine	O	S_disease
headache	headache	O	S_disease
suggests	suggests	O	O
a	a	O	O
direct	direct	O	O
relationship	relationship	O	O
between	between	O	O
CGRP	cgrp	S_chemical	O
and	and	O	O
migraine	migraine	O	S_disease
.	.	O	O

In	in	O	O
contrast	contrast	O	O
,	,	O	O
serotonin	serotonin	S_chemical	O
release	release	O	O
from	from	O	O
platelets	platelets	O	O
does	does	O	O
not	not	O	O
provoke	provoke	O	O
migraine	migraine	O	S_disease
,	,	O	O
it	it	O	O
may	may	O	O
even	even	O	O
counteract	counteract	O	O
the	the	O	O
headache	headache	O	S_disease
and	and	O	O
the	the	O	O
concomitant	concomitant	O	O
CGRP	cgrp	S_chemical	O
release	release	O	O
in	in	O	O
this	this	O	O
model	model	O	O
.	.	O	O

