Interactive	interactive	O	O
%	%	O	O
by	by	O	O
lowering	lowering	O	O
[Na]o	[na]o	O	O
to	to	O	O
78	78	O	O
mM	mm	O	O
plus	plus	O	O
increasing	increasing	O	O
[Ca]o	[ca]o	O	O
to	to	O	O
3.6	3.6	O	O
mM	mm	O	O
(	(	O	O
LNa+HCa	lna+hca	O	O
)	)	O	O
.	.	O	O

At	at	O	O
normal	normal	O	O
[Na]o	[na]o	O	O
,	,	O	O
decrease	decrease	O	O
(	(	O	O
0.675	0.675	O	O
mM	mm	O	O
)	)	O	O
or	or	O	O
increase	increase	O	O
(	(	O	O
3.6	3.6	O	O
mM	mm	O	O
)	)	O	O
of	of	O	O
[Ca]o	[ca]o	O	O
did	did	O	O
not	not	O	O
modify	modify	O	O
BF	bf	O	O
;	;	O	O
a	a	O	O
reduction	reduction	O	O
of	of	O	O
ten	ten	O	O
times	times	O	O
(	(	O	O
0.135	0.135	O	O
mM	mm	O	O
of	of	O	O
normal	normal	O	O
[Ca]o	[ca]o	O	O
was	was	O	O
effective	effective	O	O
to	to	O	O
reduce	reduce	O	O
BF	bf	O	O
by	by	O	O
40	40	O	O
+	+	O	O
/-	/-	O	O
13	13	O	O
%	%	O	O
.	.	O	O

All	all	O	O
negative	negative	O	O
chronotropic	chronotropic	O	O
effects	effects	O	O
were	were	O	O
BF-dependent	bf-dependent	O	O
.	.	O	O

Dose-dependent	dose-dependent	O	O
bradycardia	bradycardia	O	S_disease
induced	induced	O	O
by	by	O	O
verapamil	verapamil	S_chemical	O
was	was	O	O
potentiated	potentiated	O	O
by	by	O	O
LNa	lna	O	O
,	,	O	O
LCa	lca	O	O
,	,	O	O
and	and	O	O
HCa	hca	O	O
.	.	O	O

Independent	independent	O	O
but	but	O	O
not	not	O	O
additive	additive	O	O
effects	effects	O	O
of	of	O	O
Na	na	S_chemical	O
and	and	O	O
Ca	ca	S_chemical	O
are	are	O	O
shown	shown	O	O
by	by	O	O
decreases	decreases	O	O
in	in	O	O
the	the	O	O
values	values	O	O
of	of	O	O
[verapamil]o	[verapamil]o	O	O
needed	needed	O	O
to	to	O	O
reduce	reduce	O	O
BF	bf	O	O
by	by	O	O
30	30	O	O
%	%	O	O
(	(	O	O
IC30	ic30	O	O
)	)	O	O
with	with	O	O
the	the	O	O
following	following	O	O
order	order	O	O
of	of	O	O
inhibitory	inhibitory	O	O
potency	potency	O	O
:	:	O	O
LNa	lna	O	O
>	>	O	O
LCa	lca	O	O
>	>	O	O
HCa	hca	O	O
>	>	O	O
N	n	O	O
,	,	O	O
resulting	resulting	O	O
LNa+HCa	lna+hca	O	O
similar	similar	O	O
to	to	O	O
LNa	lna	O	O
.	.	O	O

The	the	O	O
[verapamil]o	[verapamil]o	O	O
that	that	O	O
arrested	arrested	O	O
atrial	atrial	O	O
beating	beating	O	O
(	(	O	O
AC	ac	O	O
)	)	O	O
was	was	O	O
also	also	O	O
potentiated	potentiated	O	O
with	with	O	O
the	the	O	O
order	order	O	O
LNa	lna	O	O
=	=	O	O
LNa+LCa	lna+lca	O	O
=	=	O	O
LNa+HCa	lna+hca	O	O
=	=	O	O
LCa	lca	O	O
>	>	O	O
HCa	hca	O	O
=	=	O	O
N.	n.	O	O
The	the	O	O
results	results	O	O
indicate	indicate	O	O
that	that	O	O
rat	rat	O	O
atrial	atrial	O	O
spontaneous	spontaneous	O	O
beating	beating	O	O
is	is	O	O
more	more	O	O
dependent	dependent	O	O
on	on	O	O
[Na]o	[na]o	O	O
than	than	O	O
on	on	O	O
[Ca]o	[ca]o	O	O
in	in	O	O
a	a	O	O
range	range	O	O
of	of	O	O
+	+	O	O
/-	/-	O	O
50	50	O	O
%	%	O	O
of	of	O	O
their	their	O	O
normal	normal	O	O
concentration	concentration	O	O
.	.	O	O

Also	also	O	O
the	the	O	O
enhancement	enhancement	O	O
of	of	O	O
verapamil	verapamil	S_chemical	O
effects	effects	O	O
on	on	O	O
atrial	atrial	O	O
beating	beating	O	O
was	was	O	O
more	more	O	O
pronounced	pronounced	O	O
at	at	O	O
LNa	lna	O	O
than	than	O	O
at	at	O	O
LCa.(ABSTRACT	lca.(abstract	O	O
TRUNCATED	truncated	O	O
AT	at	O	O
250	250	O	O
WORDS	words	O	O
)	)	O	O

