Can	can	O	O
premedication	premedication	O	O
and	and	O	O
all	all	O	O
patients	patients	O	O
were	were	O	O
monitored	monitored	O	O
with	with	O	O
a	a	O	O
noninvasive	noninvasive	O	O
blood	blood	O	O
pressure	pressure	O	O
monitor	monitor	O	O
,	,	O	O
ECG	ecg	O	O
and	and	O	O
pulse	pulse	O	O
oximetry	oximetry	O	O
.	.	O	O

Anesthesia	anesthesia	O	O
was	was	O	O
induced	induced	O	O
with	with	O	O
5	5	O	O
mg.kg(-1	mg.kg(-1	O	O
)	)	O	O
thiopental	thiopental	O	O
iv	iv	O	O
.	.	O	O
followed	followed	O	O
by	by	O	O
succinylcholine	succinylcholine	S_chemical	O
(	(	O	O
Group	group	O	O
PS	ps	O	O
,	,	O	O
LS	ls	O	O
)	)	O	O
or	or	O	O
rocuronium	rocuronium	S_chemical	O
(	(	O	O
Group	group	O	O
PR	pr	O	O
)	)	O	O
for	for	O	O
tracheal	tracheal	O	O
intubation	intubation	O	O
.	.	O	O

Following	following	O	O
administration	administration	O	O
of	of	O	O
these	these	O	O
agents	agents	O	O
,	,	O	O
the	the	O	O
presence	presence	O	O
,	,	O	O
and	and	O	O
degree	degree	O	O
of	of	O	O
fasciculation	fasciculation	O	S_disease
were	were	O	O
assessed	assessed	O	O
visually	visually	O	O
on	on	O	O
a	a	O	O
four	four	O	O
point	point	O	O
scale	scale	O	O
by	by	O	O
one	one	O	O
investigator	investigator	O	O
who	who	O	O
was	was	O	O
blinded	blinded	O	O
to	to	O	O
the	the	O	O
drug	drug	O	O
administered	administered	O	O
.	.	O	O

The	the	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
heart	heart	O	O
rate	rate	O	O
of	of	O	O
each	each	O	O
patient	patient	O	O
were	were	O	O
monitored	monitored	O	O
on	on	O	O
nine	nine	O	O
occasions	occasions	O	O
.	.	O	O

Twenty-four	twenty-four	O	O
hours	hours	O	O
later	later	O	O
,	,	O	O
any	any	O	O
myalgia	myalgia	O	S_disease
experienced	experienced	O	O
was	was	O	O
assessed	assessed	O	O
according	according	O	O
to	to	O	O
a	a	O	O
structured	structured	O	O
questionaire	questionaire	O	O
and	and	O	O
graded	graded	O	O
by	by	O	O
a	a	O	O
four	four	O	O
point	point	O	O
scale	scale	O	O
by	by	O	O
one	one	O	O
investigator	investigator	O	O
blinded	blinded	O	O
to	to	O	O
the	the	O	O
intraoperative	intraoperative	O	O
management	management	O	O
.	.	O	O

The	the	O	O
results	results	O	O
indicate	indicate	O	O
that	that	O	O
muscle	muscle	O	O
fasciculation	fasciculation	O	S_disease
was	was	O	O
not	not	O	O
found	found	O	O
in	in	O	O
Group	group	O	O
PR	pr	O	O
while	while	O	O
the	the	O	O
patients	patients	O	O
in	in	O	O
Group	group	O	O
LS	ls	O	O
had	had	O	O
a	a	O	O
lower	lower	O	O
incidence	incidence	O	O
of	of	O	O
muscle	muscle	O	O
fasciculation	fasciculation	O	S_disease
than	than	O	O
those	those	O	O
in	in	O	O
Group	group	O	O
PS	ps	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.001	0.001	O	O
)	)	O	O
.	.	O	O

At	at	O	O
24	24	O	O
h	h	S_chemical	O
,	,	O	O
the	the	O	O
incidence	incidence	O	O
of	of	O	O
myalgia	myalgia	O	S_disease
was	was	O	O
higher	higher	O	O
in	in	O	O
Group	group	O	O
PS	ps	O	O
than	than	O	O
in	in	O	O
Group	group	O	O
LS	ls	O	O
and	and	O	O
PR	pr	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

A	a	O	O
correlation	correlation	O	O
was	was	O	O
not	not	O	O
found	found	O	O
between	between	O	O
the	the	O	O
incidence	incidence	O	O
of	of	O	O
myalgia	myalgia	O	S_disease
and	and	O	O
the	the	O	O
occurrence	occurrence	O	O
of	of	O	O
muscle	muscle	O	O
fasciculation	fasciculation	O	S_disease
.	.	O	O

The	the	O	O
changes	changes	O	O
in	in	O	O
systolic	systolic	O	O
and	and	O	O
diastolic	diastolic	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
heart	heart	O	O
rate	rate	O	O
were	were	O	O
not	not	O	O
significant	significant	O	O
among	among	O	O
the	the	O	O
three	three	O	O
groups	groups	O	O
.	.	O	O

In	in	O	O
conclusion	conclusion	O	O
,	,	O	O
where	where	O	O
succinylcholine	succinylcholine	S_chemical	O
is	is	O	O
used	used	O	O
,	,	O	O
lidocaine	lidocaine	S_chemical	O
is	is	O	O
proven	proven	O	O
to	to	O	O
be	be	O	O
the	the	O	O
useful	useful	O	O
pretreatment	pretreatment	O	O
agent	agent	O	O
for	for	O	O
the	the	O	O
reduction	reduction	O	O
of	of	O	O
postoperative	postoperative	O	O
myalgia	myalgia	O	S_disease
.	.	O	O

