,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_tf_distsv,lf_t_lymphocyte_distsv,label,olabel
681,interferon-gamma,29.0,30.0,177.0,193.0,"Mice lacking the suppressor of cytokine signalling-1 (SOCS1) die within weeks of birth with extensive fatty degeneration of the liver, consistent with acute hepatic toxicity to interferon-gamma (IFN-gamma), and inflammation of multiple organs.",11576226_0,0,-1,-1,0,0
682,IFN-gamma,31.0,32.0,195.0,204.0,"Mice lacking the suppressor of cytokine signalling-1 (SOCS1) die within weeks of birth with extensive fatty degeneration of the liver, consistent with acute hepatic toxicity to interferon-gamma (IFN-gamma), and inflammation of multiple organs.",11576226_0,0,-1,-1,0,0
685,IFN-gamma,14.0,15.0,80.0,89.0,"We show here that treatment for 1 week from birth with neutralizing antibody to IFN-gamma rescues SOCS1-/- mice from lethal liver disease but the mice subsequently succumb to chronic inflammatory lesions characterized by T-lymphocyte infiltration of skeletal muscle, pancreas, lung, liver and skin.",11576226_1,0,-1,-1,0,0
713,CD40,21.0,22.0,131.0,135.0,The capacity of astrocytes to express class II major histocompatibility complex (MHC) antigens and costimulatory molecules (B7 and CD40) that are critical for antigen presentation and T-cell activation are discussed.,11596126_2,0,-1,-1,0,0
720,chemokines,10.0,11.0,53.0,63.0,"The ability of astrocytes to produce a wide array of chemokines and cytokines is discussed, with an emphasis on the immunological properties of these mediators.",11596126_4,0,-1,-1,0,0
734,IFN-gamma,24.0,25.0,174.0,183.0,Differential cell membrane expression of IFN-gammaR2 determined the number of receptor complexes that transduced the IFN-gamma signal and resulted in a different response to IFN-gamma.,11739558_3,0,-1,-1,0,0
735,IFN-gamma,1.0,2.0,6.0,15.0,"After IFN-gamma stimulation, high IFN-gammaR2 membrane expression induced rapid activation of signal transducer and activator of transcription-1 (STAT-1) and high levels of interferon regulatory factor-1 (IRF-1), which then triggered the apoptotic program.",11739558_4,0,-1,-1,0,0
751,IFN-gamma,13.0,14.0,83.0,92.0,"Because the forced expression of IFN-gammaR2 on T cells switched their response to IFN-gamma from proliferative to apoptotic, we concluded that the surface expression of IFN-gammaR2 determines whether a cell stimulated by IFN-gamma undergoes proliferation or apoptosis.",11739558_6,0,-1,-1,0,0
756,IFN-gamma,33.0,34.0,222.0,231.0,"Because the forced expression of IFN-gammaR2 on T cells switched their response to IFN-gamma from proliferative to apoptotic, we concluded that the surface expression of IFN-gammaR2 determines whether a cell stimulated by IFN-gamma undergoes proliferation or apoptosis.",11739558_6,0,-1,-1,0,0
779,IFN-gamma-inducible,0.0,1.0,0.0,19.0,"IFN-gamma-inducible CIITA expression in MG cells, as well as primary human astrocytes, was directed by two CIITA promoters, pIV, the promoter for IFN-gamma-inducible CIITA expression in nonprofessional antigen-presenting cells (APC), and pIII, the promoter that directs constitutive CIITA expression in B cells.",11746775_4,0,-1,-1,0,0
783,IFN-gamma-inducible,26.0,27.0,146.0,165.0,"IFN-gamma-inducible CIITA expression in MG cells, as well as primary human astrocytes, was directed by two CIITA promoters, pIV, the promoter for IFN-gamma-inducible CIITA expression in nonprofessional antigen-presenting cells (APC), and pIII, the promoter that directs constitutive CIITA expression in B cells.",11746775_4,0,-1,-1,0,0
808,IL-13,10.0,11.0,50.0,55.0,"T helper 2 (Th2) cytokines interleukin (IL)-4 and IL-13, which activate signal transducer and activator of transcription 6 (STAT6) are expressed in the muscularis externa during nematode infection and are candidate mediators of the associated hypercontractility.",11804843_0,0,-1,-1,0,0
840,IL-4,9.0,10.0,63.0,67.0,"Incubation of longitudinal muscle-myenteric plexus (LMMP) with IL-4 and IL-13 enhanced Carbachol-induced muscle contraction (R(max) 35.5 +/- 1.9 and 32.4 +/- 2.9%, respectively).",11804843_6,0,-1,-1,0,0
848,IL-4,8.0,9.0,44.0,48.0,Incubation of LMMP from STAT6 -/- mice with IL-4 did not enhance the contraction.,11804843_7,0,-1,-1,0,0
852,IL-4,4.0,5.0,28.0,32.0,"These results indicate both IL-4 and IL-13 induce hypercontractility of muscle cells via the STAT6 pathway, and this is the basis for hypercontractility observed in T. spiralis-infected mice.",11804843_9,0,-1,-1,0,0
853,IL-13,6.0,7.0,37.0,42.0,"These results indicate both IL-4 and IL-13 induce hypercontractility of muscle cells via the STAT6 pathway, and this is the basis for hypercontractility observed in T. spiralis-infected mice.",11804843_9,0,-1,-1,0,0
897,cytokine,7.0,8.0,46.0,54.0,"In addition, PPAR activators markedly reduced cytokine mRNA expression in these cells.",11934839_8,0,-1,-1,0,0
923,interleukin-12,8.0,9.0,58.0,72.0,"Macrophages from acute infections produced high levels of interleukin-12 (IL-12) and nitric oxide (NO), paralleled with low levels of IL-6 and prostaglandin E(2) (PGE(2)) and with the ability to induce strong antigen-specific CD4+ T-cell proliferation in response to nonrelated antigens.",12065507_3,0,-1,-1,0,0
924,IL-12,10.0,11.0,74.0,79.0,"Macrophages from acute infections produced high levels of interleukin-12 (IL-12) and nitric oxide (NO), paralleled with low levels of IL-6 and prostaglandin E(2) (PGE(2)) and with the ability to induce strong antigen-specific CD4+ T-cell proliferation in response to nonrelated antigens.",12065507_3,0,-1,-1,0,0
934,IL-12,20.0,21.0,124.0,129.0,"In contrast, macrophages from chronic infections produced higher levels of IL-6 and PGE(2) and had suppressed production of IL-12 and NO, associated with a poor ability to induce antigen-specific proliferation in CD4+ T cells.",12065507_4,0,-1,-1,0,0
942,CD40,22.0,23.0,143.0,147.0,"Failure to induce proliferation was not due to a deficient expression of accessory molecules, since major histocompatibility complex class II, CD40, and B7-2 were up-regulated, together with CD23 and CCR5 as infection progressed.",12065507_5,0,-1,-1,0,0
949,IL-4,15.0,16.0,84.0,88.0,"These macrophages from chronic infections were able to bias CD4+ T cells to produce IL-4 but not gamma interferon (IFN-gamma), contrary to macrophages from acute infections.",12065507_6,0,-1,-1,0,0
950,gamma interferon,18.0,20.0,97.0,113.0,"These macrophages from chronic infections were able to bias CD4+ T cells to produce IL-4 but not gamma interferon (IFN-gamma), contrary to macrophages from acute infections.",12065507_6,0,-1,-1,0,0
951,IFN-gamma,21.0,22.0,115.0,124.0,"These macrophages from chronic infections were able to bias CD4+ T cells to produce IL-4 but not gamma interferon (IFN-gamma), contrary to macrophages from acute infections.",12065507_6,0,-1,-1,0,0
962,macrophage,9.0,10.0,69.0,79.0,These data demonstrate that helminth infections can induce different macrophage populations that have Th2-biasing properties.,12065507_9,0,-1,-1,0,0
996,IL-2,19.0,20.0,131.0,135.0,"Here, we demonstrate that, upon stimulation, increasing Ras activity partially substitutes for calcium-mediated signals leading to IL-2 induction.",12135706_1,0,-1,-1,0,0
1005,IL-2,13.0,14.0,87.0,91.0,"Coincidentally, the inducible binding of NIL-2 to a negative-regulatory element in the IL-2 promoter becomes less sensitive to CsA in the cells with increasing Ras activity.",12135706_3,0,-1,-1,0,0
1009,IL-2,8.0,9.0,43.0,47.0,The dose of CsA required for inhibition of IL-2 induction in the cells with increased Ras activity remains similar to the concentration of CsA needed for the suppression of NFAT activation in control cells.,12135706_4,0,-1,-1,0,0
1046,macrophage inflammatory protein 1 beta,21.0,26.0,155.0,193.0,"The IRF-5-mediated stimulation of inflammatory genes is not limited to IFNA since in BJAB/IRF-5-expressing cells IRF-5 stimulates transcription of RANTES, macrophage inflammatory protein 1 beta, monocyte chemotactic protein 1, interleukin-8, and I-309 genes in a virus-specific manner.",12138184_4,0,-1,-1,0,0
1047,monocyte chemotactic protein 1,27.0,31.0,195.0,225.0,"The IRF-5-mediated stimulation of inflammatory genes is not limited to IFNA since in BJAB/IRF-5-expressing cells IRF-5 stimulates transcription of RANTES, macrophage inflammatory protein 1 beta, monocyte chemotactic protein 1, interleukin-8, and I-309 genes in a virus-specific manner.",12138184_4,0,-1,-1,0,0
1048,interleukin-8,32.0,33.0,227.0,240.0,"The IRF-5-mediated stimulation of inflammatory genes is not limited to IFNA since in BJAB/IRF-5-expressing cells IRF-5 stimulates transcription of RANTES, macrophage inflammatory protein 1 beta, monocyte chemotactic protein 1, interleukin-8, and I-309 genes in a virus-specific manner.",12138184_4,0,-1,-1,0,0
1072,cytokine,15.0,16.0,92.0,100.0,It also shows that the range of IRF-5 immunoregulatory target genes includes members of the cytokine and chemokine superfamilies.,12138184_10,0,-1,-1,0,0
1076,IL-18,1.0,2.0,8.0,13.0,"Because IL-18 directly stimulates T cells and mast cells to release AD-associated molecules, Th2 cytokines, and histamine, we investigated the capacity of IL-18 to induce AD-like inflammatory skin disease by analyzing KIL-18Tg and KCASP1Tg, which skin-specifically overexpress IL-18 and caspase-1, respectively.",12151598_1,0,-1,-1,0,0
1082,IL-18,25.0,26.0,155.0,160.0,"Because IL-18 directly stimulates T cells and mast cells to release AD-associated molecules, Th2 cytokines, and histamine, we investigated the capacity of IL-18 to induce AD-like inflammatory skin disease by analyzing KIL-18Tg and KCASP1Tg, which skin-specifically overexpress IL-18 and caspase-1, respectively.",12151598_1,0,-1,-1,0,0
1088,IL-18,41.0,42.0,277.0,282.0,"Because IL-18 directly stimulates T cells and mast cells to release AD-associated molecules, Th2 cytokines, and histamine, we investigated the capacity of IL-18 to induce AD-like inflammatory skin disease by analyzing KIL-18Tg and KCASP1Tg, which skin-specifically overexpress IL-18 and caspase-1, respectively.",12151598_1,0,-1,-1,0,0
1093,cytokine,9.0,10.0,76.0,84.0,They spontaneously developed relapsing dermatitis with mastocytosis and Th2 cytokine accumulation accompanied by systemic elevation of IgE and histamine.,12151598_2,0,-1,-1,0,0
1095,histamine,18.0,19.0,143.0,152.0,They spontaneously developed relapsing dermatitis with mastocytosis and Th2 cytokine accumulation accompanied by systemic elevation of IgE and histamine.,12151598_2,0,-1,-1,0,0
1101,IL-18,25.0,26.0,187.0,192.0,"Stat6-deficient KCASP1Tg displayed undetectable levels of IgE but manifested the same degree of cutaneous changes, whereas IL-18-deficient KCASP1Tg evaded the dermatitis, suggesting that IL-18 causes the skin changes in the absence of IgE/stat6.",12151598_3,0,-1,-1,0,0
1110,IL-18,9.0,10.0,58.0,63.0,"Thus, AD-like inflammation is initiated by overrelease of IL-18 and accelerated by IL-1.",12151598_5,0,-1,-1,0,0
1111,IL-1,13.0,14.0,83.0,87.0,"Thus, AD-like inflammation is initiated by overrelease of IL-18 and accelerated by IL-1.",12151598_5,0,-1,-1,0,0
1144,IL-12p40,29.0,30.0,211.0,219.0,"Activated CD8+ lymphocytes induced down-regulation of CD14 expression in interleukin (IL)-10-treated macrophages and resulted in the expression of DC-related CD1a and up-regulation of mRNA transcripts for RelB, IL-12p40, MCP-2, MIP-1alpha, and ELC.",12208762_2,0,-1,-1,0,0
1147,ELC,36.0,37.0,244.0,247.0,"Activated CD8+ lymphocytes induced down-regulation of CD14 expression in interleukin (IL)-10-treated macrophages and resulted in the expression of DC-related CD1a and up-regulation of mRNA transcripts for RelB, IL-12p40, MCP-2, MIP-1alpha, and ELC.",12208762_2,0,-1,-1,0,0
1152,IFN-gamma,3.0,4.0,30.0,39.0,Monoclonal antibodies against IFN-gamma completely abolished the CD1a induction on IL-10-treated antigen-presenting cells.,12208762_5,0,-1,-1,0,0
1159,IL-16,0.0,1.0,0.0,5.0,IL-16 is a ligand and chemotactic factor for CD4+ T cells.,12528894_0,0,-1,-1,0,0
1161,chemotactic factor,5.0,7.0,22.0,40.0,IL-16 is a ligand and chemotactic factor for CD4+ T cells.,12528894_0,0,-1,-1,0,0
1163,IL-16,0.0,1.0,0.0,5.0,IL-16 inhibits the CD3 mediated lymphocyte activation and proliferation.,12528894_1,0,-1,-1,0,0
