Assessment	assessment	O	O
recorded	recorded	O	O
.	.	O	O

After	after	O	O
the	the	O	O
procedure	procedure	O	O
,	,	O	O
the	the	O	O
patient	patient	O	O
was	was	O	O
asked	asked	O	O
to	to	O	O
state	state	O	O
all	all	O	O
of	of	O	O
the	the	O	O
words	words	O	O
from	from	O	O
the	the	O	O
list	list	O	O
that	that	O	O
he	he	O	O
or	or	O	O
she	she	O	O
could	could	O	O
recall	recall	O	O
,	,	O	O
and	and	O	O
to	to	O	O
identify	identify	O	O
the	the	O	O
last	last	O	O
word	word	O	O
recalled	recalled	O	O
from	from	O	O
prior	prior	O	O
to	to	O	O
the	the	O	O
start	start	O	O
of	of	O	O
the	the	O	O
procedure	procedure	O	O
and	and	O	O
the	the	O	O
first	first	O	O
word	word	O	O
recalled	recalled	O	O
from	from	O	O
after	after	O	O
the	the	O	O
procedure	procedure	O	O
was	was	O	O
completed	completed	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Seventy-five	seventy-five	O	O
consenting	consenting	O	O
patients	patients	O	O
were	were	O	O
enrolled	enrolled	O	O
;	;	O	O
one	one	O	O
patient	patient	O	O
was	was	O	O
excluded	excluded	O	O
from	from	O	O
data	data	O	O
analysis	analysis	O	O
for	for	O	O
a	a	O	O
protocol	protocol	O	O
violation	violation	O	O
.	.	O	O

No	no	O	O
serious	serious	O	O
adverse	adverse	O	O
events	events	O	O
were	were	O	O
noted	noted	O	O
during	during	O	O
the	the	O	O
procedural	procedural	O	O
sedations	sedations	O	O
.	.	O	O

The	the	O	O
mean	mean	O	O
(	(	B_chemicals	O
+	+	I_chemicals	O
/-standard	/-standard	O	O
deviation	deviation	O	O
)	)	O	O
time	time	O	O
of	of	O	O
data	data	O	O
collection	collection	O	O
was	was	O	O
16.4	16.4	O	O
minutes	minutes	O	O
(	(	B_chemicals	O
+	+	I_chemicals	O
/-7.1	/-7.1	O	O
;	;	O	O
range	range	O	O
5	5	O	O
to	to	O	O
34	34	O	O
minutes	minutes	O	O
)	)	O	O
.	.	O	O

The	the	O	O
mean	mean	O	O
initial	initial	O	O
(	(	O	O
preprocedure	preprocedure	O	O
)	)	O	O
BIS	bis	O	O
score	score	O	O
was	was	O	O
97.1	97.1	O	O
(	(	B_chemicals	O
+	+	I_chemicals	O
/-2.3	/-2.3	O	O
;	;	O	O
range	range	O	O
92	92	O	O
to	to	O	O
99	99	O	O
)	)	O	O
.	.	O	O

The	the	O	O
mean	mean	O	O
lowest	lowest	O	O
BIS	bis	O	O
score	score	O	O
occurring	occurring	O	O
during	during	O	O
these	these	O	O
procedural	procedural	O	O
sedations	sedations	O	O
was	was	O	O
66.9	66.9	O	O
(	(	B_chemicals	O
+	+	I_chemicals	O
/-14.4	/-14.4	O	O
;	;	O	O
range	range	O	O
33	33	O	O
to	to	O	O
91	91	O	O
)	)	O	O
.	.	O	O

The	the	O	O
mean	mean	O	O
lowest	lowest	O	O
BIS	bis	O	O
score	score	O	O
corresponding	corresponding	O	O
to	to	O	O
the	the	O	O
ability	ability	O	O
of	of	O	O
the	the	O	O
patient	patient	O	O
to	to	O	O
immediately	immediately	O	O
repeat	repeat	O	O
words	words	O	O
read	read	O	O
from	from	O	O
the	the	O	O
list	list	O	O
was	was	O	O
77.1	77.1	O	O
(	(	O	O
95	95	O	O
%	%	O	O
CI	ci	O	O
=	=	O	O
74.3	74.3	O	O
to	to	O	O
80.0	80.0	O	O
)	)	O	O
.	.	O	O

The	the	O	O
mean	mean	O	O
highest	highest	O	O
BIS	bis	O	O
score	score	O	O
corresponding	corresponding	O	O
to	to	O	O
the	the	O	O
inability	inability	O	O
to	to	O	O
repeat	repeat	O	O
words	words	O	O
was	was	O	O
81.5	81.5	O	O
(	(	O	O
95	95	O	O
%	%	O	O
CI	ci	O	O
=	=	O	O
78.1	78.1	O	O
to	to	O	O
84.8	84.8	O	O
)	)	O	O
.	.	O	O

The	the	O	O
mean	mean	O	O
BIS	bis	O	O
score	score	O	O
corresponding	corresponding	O	O
to	to	O	O
the	the	O	O
last	last	O	O
word	word	O	O
recalled	recalled	O	O
from	from	O	O
prior	prior	O	O
to	to	O	O
the	the	O	O
initiation	initiation	O	O
of	of	O	O
the	the	O	O
sedation	sedation	O	O
was	was	O	O
96.7	96.7	O	O
(	(	B_chemicals	O
+	+	I_chemicals	O
/-2.4	/-2.4	O	O
;	;	O	O
range	range	O	O
84	84	O	O
to	to	O	O
98	98	O	O
)	)	O	O
.	.	O	O

The	the	O	O
mean	mean	O	O
BIS	bis	O	O
score	score	O	O
corresponding	corresponding	O	O
to	to	O	O
the	the	O	O
first	first	O	O
word	word	O	O
recalled	recalled	O	O
after	after	O	O
the	the	O	O
procedure	procedure	O	O
was	was	O	O
completed	completed	O	O
was	was	O	O
91.2	91.2	O	O
(	(	O	O
95	95	O	O
%	%	O	O
CI	ci	O	O
=	=	O	O
88.1	88.1	O	O
to	to	O	O
94.3	94.3	O	O
)	)	O	O
.	.	O	O

All	all	O	O
patients	patients	O	O
recalled	recalled	O	O
at	at	O	O
least	least	O	O
one	one	O	O
word	word	O	O
that	that	O	O
had	had	O	O
been	been	O	O
read	read	O	O
to	to	O	O
them	them	O	O
during	during	O	O
the	the	O	O
protocol	protocol	O	O
.	.	O	O

The	the	O	O
mean	mean	O	O
lowest	lowest	O	O
BIS	bis	O	O
score	score	O	O
for	for	O	O
any	any	O	O
recalled	recalled	O	O
word	word	O	O
was	was	O	O
91.5	91.5	O	O
(	(	B_chemicals	O
+	+	I_chemicals	O
/-11.1	/-11.1	O	O
;	;	O	O
range	range	O	O
79	79	O	O
to	to	O	O
98	98	O	O
)	)	O	O
,	,	O	O
and	and	O	O
no	no	O	O
words	words	O	O
were	were	O	O
recalled	recalled	O	O
when	when	O	O
the	the	O	O
corresponding	corresponding	O	O
BIS	bis	O	O
score	score	O	O
was	was	O	O
less	less	O	O
than	than	O	O
90	90	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
There	there	O	O
is	is	O	O
a	a	O	O
range	range	O	O
of	of	O	O
BIS	bis	O	O
scores	scores	O	O
during	during	O	O
which	which	O	O
sedated	sedated	O	O
patients	patients	O	O
are	are	O	O
able	able	O	O
to	to	O	O
repeat	repeat	O	O
words	words	O	O
read	read	O	O
to	to	O	O
them	them	O	O
but	but	O	O
are	are	O	O
not	not	O	O
able	able	O	O
to	to	O	O
subsequently	subsequently	O	O
recall	recall	O	O
these	these	O	O
words	words	O	O
.	.	O	O

Furthermore	furthermore	O	O
,	,	O	O
patients	patients	O	O
had	had	O	O
no	no	O	O
recall	recall	O	O
of	of	O	O
words	words	O	O
repeated	repeated	O	O
prior	prior	O	O
to	to	O	O
procedural	procedural	O	O
sedation	sedation	O	O
in	in	O	O
BIS	bis	O	O
ranges	ranges	O	O
associated	associated	O	O
with	with	O	O
recall	recall	O	O
after	after	O	O
procedural	procedural	O	O
sedation	sedation	O	O
,	,	O	O
suggestive	suggestive	O	O
of	of	O	O
retrograde	retrograde	O	B_disease
amnesia	amnesia	O	S_disease
.	.	O	O

