Exaggerated	exaggerated	O	O
profiler	profiler	O	O
array	array	O	O
was	was	O	O
used	used	O	O
to	to	O	O
determine	determine	O	O
regulated	regulated	O	O
transcripts	transcripts	O	O
in	in	O	O
the	the	O	O
urinary	urinary	O	B_disease
bladder	bladder	O	I_disease
of	of	O	O
wild	wild	O	O
type	type	O	O
(	(	O	O
WT	wt	O	O
)	)	O	O
and	and	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
mice	mice	O	O
with	with	O	O
or	or	O	O
without	without	O	O
CYP-induced	cyp-induced	O	O
cystitis	cystitis	O	S_disease
(	(	O	O
150	150	O	O
mg/kg	mg/kg	O	O
;	;	O	O
i.p	i.p	O	O
.	.	O	O
;	;	O	O
48	48	O	O
h	h	O	O
)	)	O	O
.	.	O	O

Four	four	O	O
binary	binary	O	O
comparisons	comparisons	O	O
were	were	O	O
made	made	O	O
:	:	O	O
WT	wt	O	O
control	control	O	O
versus	versus	O	O
CYP	cyp	O	O
treatment	treatment	O	O
(	(	O	O
48	48	O	O
h	h	O	O
)	)	O	O
,	,	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
control	control	O	O
versus	versus	O	O
CYP	cyp	O	O
treatment	treatment	O	O
(	(	O	O
48	48	O	O
h	h	O	O
)	)	O	O
,	,	O	O
WT	wt	O	O
control	control	O	O
versus	versus	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
control	control	O	O
,	,	O	O
and	and	O	O
WT	wt	O	O
with	with	O	O
CYP	cyp	O	O
treatment	treatment	O	O
(	(	O	O
48	48	O	O
h	h	O	O
)	)	O	O
versus	versus	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
with	with	O	O
CYP	cyp	O	O
treatment	treatment	O	O
(	(	O	O
48	48	O	O
h	h	O	O
)	)	O	O
.	.	O	O

The	the	O	O
genes	genes	O	O
presented	presented	O	O
represent	represent	O	O
(	(	B_chemicals	O
1	1	I_chemicals	O
)	)	O	O
greater	greater	O	O
than	than	O	O
1.5-fold	1.5-fold	O	O
change	change	O	O
in	in	O	O
either	either	O	O
direction	direction	O	O
and	and	O	O
(	(	B_chemicals	O
2	2	I_chemicals	O
)	)	O	O
the	the	O	O
p	p	O	O
value	value	O	O
is	is	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
for	for	O	O
the	the	O	O
comparison	comparison	O	O
being	being	O	O
made	made	O	O
.	.	O	O

Several	several	O	O
regulated	regulated	O	O
genes	genes	O	O
were	were	O	O
validated	validated	O	O
using	using	O	O
enzyme-linked	enzyme-linked	O	O
immunoassays	immunoassays	O	O
including	including	O	O
IL-1beta	il-1beta	O	O
and	and	O	O
CXCL1	cxcl1	S_chemicals	O
.	.	O	O

CYP	cyp	O	O
treatment	treatment	O	O
significantly	significantly	O	O
(	(	O	O
p	p	O	O
<	<	O	O
or	or	O	O
=	=	O	O
0.001	0.001	O	O
)	)	O	O
increased	increased	O	O
expression	expression	O	O
of	of	O	O
CXCL1	cxcl1	S_chemicals	O
and	and	O	O
IL-1beta	il-1beta	O	O
in	in	O	O
the	the	O	O
urinary	urinary	O	B_disease
bladder	bladder	O	I_disease
of	of	O	O
WT	wt	O	O
and	and	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
mice	mice	O	O
,	,	O	O
but	but	O	O
expression	expression	O	O
in	in	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
mice	mice	O	O
with	with	O	O
CYP	cyp	O	O
treatment	treatment	O	O
was	was	O	O
significantly	significantly	O	O
(	(	O	O
p	p	O	O
<	<	O	O
or	or	O	O
=	=	O	O
0.001	0.001	O	O
)	)	O	O
greater	greater	O	O
(	(	O	O
4.2-	4.2-	O	O
to	to	O	O
13-fold	13-fold	O	O
increase	increase	O	O
)	)	O	O
than	than	O	O
that	that	O	O
observed	observed	O	O
in	in	O	O
WT	wt	O	O
urinary	urinary	O	B_disease
bladder	bladder	O	I_disease
(	(	O	O
3.6-	3.6-	O	O
to	to	O	O
5-fold	5-fold	O	O
increase	increase	O	O
)	)	O	O
.	.	O	O

The	the	O	O
data	data	O	O
suggest	suggest	O	O
that	that	O	O
in	in	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
mice	mice	O	O
with	with	O	O
bladder	bladder	O	O
inflammation	inflammation	O	S_disease
,	,	O	O
inflammatory	inflammatory	O	O
mediators	mediators	O	O
are	are	O	O
increased	increased	O	O
above	above	O	O
that	that	O	O
observed	observed	O	O
in	in	O	O
WT	wt	O	O
with	with	O	O
CYP	cyp	O	O
.	.	O	O

This	this	O	O
shift	shift	O	O
in	in	O	O
balance	balance	O	O
may	may	O	O
contribute	contribute	O	O
to	to	O	O
increased	increased	O	O
bladder	bladder	O	O
dysfunction	dysfunction	O	O
in	in	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
mice	mice	O	O
with	with	O	O
bladder	bladder	O	O
inflammation	inflammation	O	S_disease
and	and	O	O
altered	altered	O	O
neurochemical	neurochemical	O	O
expression	expression	O	O
in	in	O	O
micturition	micturition	O	O
pathways	pathways	O	O
.	.	O	O

