,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,label,orig_index,olabel
24,arthritis,22,23,139,148,"
The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity.",100562_1,0,24,0
26,meningitis,17,18,100,110,Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis  as a child and in this siblings clinically well eight-year-old son.,100562_6,0,26,0
27,arthritis,19,20,115,124,Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis  as a child and in this siblings clinically well eight-year-old son.,100562_6,0,27,0
28,infections,27,28,199,209,This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections.,100562_8,0,28,0
29,cancer,3,4,23,29,Increased incidence of cancer in patients with cartilage-hair hypoplasia.,10064668_0,0,29,0
31,cancer,10,11,65,71,"
OBJECTIVE  Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia (CHH).",10064668_1,0,31,0
33,cancer,5,6,36,42,This cohort underwent follow-up for cancer incidence through the Finnish Cancer Registry to the end of 1995.,10064668_5,0,33,0
34,Cancer,10,11,73,79,This cohort underwent follow-up for cancer incidence through the Finnish Cancer Registry to the end of 1995.,10064668_5,0,34,0
35,cancer,8,9,52,58,"RESULTS  A statistically significant excess risk of cancer was seen among the patients with CHH (standardized incidence ratio 6. 9, 95% confidence interval 2. 3 to 16), which was mainly attributable to non-Hodgkins lymphoma  (standardized incidence ratio 90, 95% confidence interval 18 to 264).",10064668_6,0,35,0
37,carcinoma,10,11,53,62,"In addition, a significant excess risk of basal cell carcinoma was seen (standardized incidence ratio 35, 95% confidence interval 7. 2 to 102).",10064668_7,0,37,0
38,cancer,1,2,4,10,The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population.,10064668_8,0,38,0
39,cancer,15,16,87,93,The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population.,10064668_8,0,39,0
40,cancer,9,10,54,60,"CONCLUSIONS  This study confirms an increased risk of cancer, especially non-Hodgkins lymphoma, probably attributable to defective immunity, among patients with CHH.",10064668_9,0,40,0
48,cancer,11,12,73,79,Germline E-cadherin gene (CDH1) mutations predispose to familial gastric cancer and colorectal cancer.,10072428_0,0,48,0
49,cancer,14,15,95,101,Germline E-cadherin gene (CDH1) mutations predispose to familial gastric cancer and colorectal cancer.,10072428_0,0,49,0
50,cancer,19,20,121,127,"
Inherited mutations in the E-cadherin gene (CDH1) were described recently in three Maori kindreds with familial gastric cancer.",10072428_1,0,50,0
51,cancer,2,3,17,23,Familial gastric cancer is genetically heterogeneous and it is not clear what proportion of gastric cancer susceptibility in non-Maori populations is due to germline CDH1 mutations.,10072428_2,0,51,0
52,cancer,15,16,100,106,Familial gastric cancer is genetically heterogeneous and it is not clear what proportion of gastric cancer susceptibility in non-Maori populations is due to germline CDH1 mutations.,10072428_2,0,52,0
53,cancer,7,8,46,52,"Therefore, we screened eight familial gastric cancer kindreds of British and Irish origin for germline CDH1 mutations, by SSCP analysis of all 16 exons and flanking sequences.",10072428_3,0,53,0
54,cancer,11,12,48,54,Each family contained  (i) two cases of gastric cancer in first degree relatives with one affected before age 50 years; or (ii) three or more cases of gastric cancer.,10072428_4,0,54,0
55,cancer,34,35,159,165,Each family contained  (i) two cases of gastric cancer in first degree relatives with one affected before age 50 years; or (ii) three or more cases of gastric cancer.,10072428_4,0,55,0
56,cancer,15,16,101,107,"In one family there was evidence of non-penetrance and susceptibility to both gastric and colorectal cancer; thus, in addition to six cases of gastric cancer, a CDH1 mutation carrier developed colorectal cancer at age 30 years.",10072428_7,0,56,0
57,cancer,26,27,151,157,"In one family there was evidence of non-penetrance and susceptibility to both gastric and colorectal cancer; thus, in addition to six cases of gastric cancer, a CDH1 mutation carrier developed colorectal cancer at age 30 years.",10072428_7,0,57,0
59,cancer,13,14,82,88,We have confirmed that germline mutations in the CDH1 gene cause familial gastric cancer in non-Maori populations.,10072428_8,0,59,0
60,cancers,8,9,45,52,"However, only a minority of familial gastric cancers can be accounted for by CDH1 mutations.",10072428_9,0,60,0
61,cancers,15,16,101,108,"Loss of E-cadherin function has been implicated in the pathogenesis of sporadic colorectal and other cancers, and our findings provide evidence that germline CDH1 mutations predispose to early onset colorectal cancer.",10072428_10,0,61,0
62,cancer,31,32,210,216,"Loss of E-cadherin function has been implicated in the pathogenesis of sporadic colorectal and other cancers, and our findings provide evidence that germline CDH1 mutations predispose to early onset colorectal cancer.",10072428_10,0,62,0
63,cancers,17,18,104,111,"Thus, CDH1 should be investigated as a cause of inherited susceptibility to both gastric and colorectal cancers.",10072428_11,0,63,0
71,breast cancer,33,35,180,193,"
The Wilms tumor -suppressor gene, WT1, plays a key role in urogenital development, and WT1 dysfunction is implicated in both neoplastic (Wilms tumor, mesothelioma, leukemias, and breast cancer) and nonneoplastic (glomerulosclerosis) disease.",10077614_1,0,71,0
78,nephropathy,9,10,51,62,"DDS is a rare childhood disease characterized by a nephropathy involving mesangial sclerosis, XY pseudohermaphroditism, and/or Wilms tumor (WT).",10077614_3,0,78,0
88,dystonia,8,9,58,66,GCH1 mutation in a patient with adult-onset oromandibular dystonia.,10078749_0,0,88,0
89,dystonia,16,17,93,101,"
The authors report a mutation in exon 5 of GCH1 in a patient with adult-onset oromandibular dystonia and no obvious family history of dystonia.",10078749_1,0,89,0
90,dystonia,23,24,135,143,"
The authors report a mutation in exon 5 of GCH1 in a patient with adult-onset oromandibular dystonia and no obvious family history of dystonia.",10078749_1,0,90,0
91,dystonia,19,20,137,145,These findings demonstrate that GCH1 mutations must be considered even in patients with dystonic symptoms not typical of dopa-responsive dystonia.,10078749_3,0,91,0
104,fever,14,15,89,94,"
Familial Mediterranean fever (FMF) is a recessive disorder characterized by episodes of fever with serositis or synovitis.",10090880_1,0,104,0
109,death,7,8,54,59,Mutations causing disruption of the intracellular Fas death domain also showed a higher penetrance of ALPS phenotype features in mutation-bearing relatives.,10090885_10,0,109,0
115,anemia,20,21,125,131,"These selection pressures could be due to infectious diseases, environmental conditions,  or other genetic disorders such as anemia.",10090890_11,0,115,0
120,sensorineural hearing loss,4,7,28,54,"The locus for non-syndromic sensorineural hearing loss with EVA has been mapped to the same chromosomal region, 7q31, as the Pendred syndrome locus.",10190331_2,0,120,0
123,sensorineural hearing loss,29,32,149,175,"In the present study, seven mutations in the PDS gene (PDS), the gene responsible for Pendred syndrome, have been found in families of non-syndromic sensorineural hearing loss with EVA.",10190331_3,0,123,0
130,cancer,21,22,130,136,"One of the target genes for beta-catenin/TCF encodes c-MYC, explaining why constitutive activation of the WNT pathway can lead to cancer, particularly in the colon.",10192393_3,0,130,0
131,cancers,2,3,11,18,"Most colon cancers arise from mutations in the gene encoding adenomatous polyposis coli (APC), a protein required for ubiquitin-mediated degradation of beta-catenin, but a small percentage of colon and some other cancers harbour beta-catenin-stabilizing mutations.",10192393_4,0,131,0
133,cancers,35,36,213,220,"Most colon cancers arise from mutations in the gene encoding adenomatous polyposis coli (APC), a protein required for ubiquitin-mediated degradation of beta-catenin, but a small percentage of colon and some other cancers harbour beta-catenin-stabilizing mutations.",10192393_4,0,133,0
137,sensorineural hearing loss,14,17,96,122,"
Pendred syndrome is the most common form of syndromic deafness and characterized by congenital sensorineural hearing loss and goitre.",10192399_1,0,137,0
141,infection,28,29,173,182,We were unable to detect evidence of sulfate transport following the expression of pendrin in Xenopus laevis oocytes by microinjection of PDS cRNA or in Sf9 cells following infection with PDS-recombinant baculovirus.,10192399_6,0,141,0
150,breast cancer,13,15,81,94,"
The objective of this study was to provide more accurate frequency estimates of breast cancer susceptibility gene 1 (BRCA1) germline alterations in the ovarian cancer population.",10196379_1,0,150,0
151,ovarian cancer,25,27,153,167,"
The objective of this study was to provide more accurate frequency estimates of breast cancer susceptibility gene 1 (BRCA1) germline alterations in the ovarian cancer population.",10196379_1,0,151,0
153,ovarian cancer,5,7,35,49,This is the first population-based ovarian cancer study reporting BRCA1 alterations derived from a comprehensive screen of the entire coding region.,10196379_3,0,153,0
154,ovarian cancer,4,6,22,36,One hundred and seven ovarian cancer cases were analyzed for BRCA1 alterations using the RNase mismatch cleavage assay followed by direct sequencing.,10196379_4,0,154,0
155,ovarian cancer,9,11,48,62,Both patients had a family history of breast or ovarian cancer.,10196379_6,0,155,0
156,cancer,23,24,147,153,"Several novel as well as previously reported uncharacterized variants were also identified, some of which were associated with a family history of cancer.",10196379_7,0,156,0
157,cancer,12,13,86,92,The frequency distribution of common polymorphisms was determined in the 91 Caucasian cancer cases in this series and 24 sister controls using allele-specific amplification.,10196379_8,0,157,0
159,ovarian cancer,31,33,170,184,"The rare form of the Q356R polymorphism was significantly (P = 0. 03) associated with a family history of ovarian cancer, suggesting that this polymorphism may influence ovarian cancer risk.",10196379_9,0,159,0
160,ovarian cancer,19,21,117,131,"In summary, our data suggest a role for some uncharacterized variants and rare forms of polymorphisms in determining ovarian cancer risk, and highlight the necessity to screen for missense alterations as well as truncating mutations in this population.",10196379_10,0,160,0
164,tumor,5,6,33,38,"
Germline mutations of the Brca1 tumor suppressor gene predispose women to breast and ovarian cancers.",10198641_1,0,164,0
169,death,13,14,77,82,We show that local or global alterations in the structure of the cytoplasmic death domain from nine independent ALPS CD95 death-domain mutations result in a failure to bind the FADD/MORT1 signaling protein.,10200300_1,0,169,0
182,tumor,19,20,138,143,"These results suggest a molecular explanation for the genotype-phenotype correlation in FAP patients and support the idea that colorectal tumor growth might be, in part, driven by selection for a mutation in the mutation cluster region..",10213492_9,0,182,0
183,ovarian cancer,16,18,118,132,"
Germ-line mutations in the BRCA1 tumor-suppressor gene are associated with an increased susceptibility to breast and ovarian cancer.",10220405_1,0,183,0
186,weakness,30,31,203,211,"
Emery-Dreifuss muscular dystrophy (EDMD) is an X-linked recessive muscular dystrophy characterized by early contractures of the elbows, Achilles tendons and spine, slowly progressive muscle wasting and weakness, and cardiomyopathy associated with cardiac conduction defects.",10323252_1,0,186,0
187,cardiomyopathy,33,34,217,231,"
Emery-Dreifuss muscular dystrophy (EDMD) is an X-linked recessive muscular dystrophy characterized by early contractures of the elbows, Achilles tendons and spine, slowly progressive muscle wasting and weakness, and cardiomyopathy associated with cardiac conduction defects.",10323252_1,0,187,0
188,weakness,31,32,179,187,"In comparison with the usual EDMD phenotype, patients with P183 missense mutations have a later age at onset of first symptoms, elbow contractures, ankle contractures, upper limb weakness and lower limb weakness, but there is no difference for the age at onset of cardiac involvement.",10323252_7,0,188,0
189,weakness,35,36,203,211,"In comparison with the usual EDMD phenotype, patients with P183 missense mutations have a later age at onset of first symptoms, elbow contractures, ankle contractures, upper limb weakness and lower limb weakness, but there is no difference for the age at onset of cardiac involvement.",10323252_7,0,189,0
198,cardiomyopathy,10,11,69,83,Alpha-cardiac actin is a novel disease gene in familial hypertrophic cardiomyopathy.,10330430_0,0,198,0
202,cardiomyopathy,26,27,166,180,Mutation analysis of ACTC revealed an Ala295Ser mutation in exon 5 close to 2 missense mutations recently described to cause the inherited form of idiopathic dilated cardiomyopathy (IDC).,10330430_6,0,202,0
214,inflammation,28,29,155,167,"To date, its diagnosis, which can be made only retrospectively, is one of exclusion, based entirely on nonspecific clinical signs that result from serosal inflammation and that may lead to unnecessary surgery.",10364520_2,0,214,0
218,arthritis,17,18,107,116,"The M694V homozygous genotype was found to be associated with a higher prevalence of renal amyloidosis and arthritis, compared with other genotypes (P =.",10364520_7,0,218,0
223,prostate cancer,5,7,36,51,"In Swedish families with hereditary prostate cancer, linkage to the HPC1 locus on chromosome 1q24-25 is restricted to families with early-onset prostate cancer.",10364525_0,0,223,0
224,prostate cancer,24,26,144,159,"In Swedish families with hereditary prostate cancer, linkage to the HPC1 locus on chromosome 1q24-25 is restricted to families with early-onset prostate cancer.",10364525_0,0,224,0
225,Prostate cancer,0,2,1,16,"
Prostate cancer clusters in some families, and an estimated 5% -10% of all cases are estimated to result from inheritance of prostate cancer-susceptibility genes.",10364525_1,0,225,0
226,prostate cancer,27,29,142,157,We previously reported evidence of linkage to the 1q24-25 region (HPC1) in 91 North American and Swedish families each with multiple cases of prostate cancer (Smith et al. 1996).,10364525_2,0,226,0
228,prostate cancer,17,19,97,112,"These results are consistent with the hypothesis of linkage to HPC1 in a subset of families with prostate cancer, particularly those with an early age at diagnosis.",10364525_12,0,228,0
231,tumors,17,18,130,136,"
The chromosome 22q11 region is susceptible to rearrangements that are associated with congenital anomaly disorders and malignant tumors.",10369860_1,0,231,0
241,neuropathy,24,25,190,200,"Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.",10369870_3,0,241,0
246,neuronal damage,25,27,167,182,"All published mutations affect the signal peptide or the neurophysin-II carrier protein and are presumed to interfere with processing of the preprohormone, leading to neuronal damage.",10369876_2,0,246,0
258,prostate cancer,11,13,63,78,Common mutations in BRCA1 and BRCA2 do not contribute to early prostate cancer in Jewish men.,10398279_0,0,258,0
259,breast cancer,9,11,58,71,"
BACKGROUND  Families with a high incidence of hereditary breast cancer, and subsequently shown to have terminating mutations in BRCA1 or BRCA2, appear to have a higher incidence of prostate cancer among male relatives.",10398279_1,0,259,0
260,prostate cancer,31,33,182,197,"
BACKGROUND  Families with a high incidence of hereditary breast cancer, and subsequently shown to have terminating mutations in BRCA1 or BRCA2, appear to have a higher incidence of prostate cancer among male relatives.",10398279_1,0,260,0
261,prostate cancer,20,22,122,137,We aimed to determine whether the common germline mutations of BRCA1 or BRCA2 in Ashkenazi Jewish men predisposed them to prostate cancer.,10398279_2,0,261,0
262,prostate cancer,22,24,106,121,"METHODS  We examined genomic DNA from 83 (for BRCA1 185delAG) or 82 (for BRCA2 6174delT) Ashkenazi Jewish prostate cancer patients, most of whom were treated at a relatively young age, for the most common germline mutation in each gene seen in the Ashkenazi population.",10398279_3,0,262,0
264,prostate cancer,12,14,70,85,CONCLUSIONS  The incidence of each of the germline mutations in these prostate cancer patients closely matched their incidence (about 1%) in the general Ashkenazi Jewish population.,10398279_7,0,264,0
265,cancers,9,10,54,61,"This suggests that unlike cases of breast and ovarian cancers, mutations in BRCA1 or BRCA2 do not significantly predispose men to prostate cancer",10398279_8,0,265,0
268,tumor,5,6,36,41,"
Hepatoblastoma is a rare malignant tumor of the liver that occurs in children at an average age of 2 to 3 years.",10398436_1,0,268,0
269,tumor,9,10,64,69,Epidemiologic studies have shown an increased frequency of this tumor type in families affected by adenomatous polyposis coli.,10398436_2,0,269,0
271,tumor,16,17,102,107,"In addition to the epidemiologic data, molecular genetic studies suggest that inactivation of the APC tumor suppressor may be involved in hepatoblastoma tumorigenesis.",10398436_3,0,271,0
273,tumor,12,13,88,93,"In an ongoing immunohistochemical study of beta-catenin expression in sporadic cases of tumor types that are associated with adenomatous polyposis coli, we observed increased beta-catenin levels in the cytoplasm and in the nuclei of three investigated hepatoblastomas.",10398436_5,0,273,0
275,tumor,19,20,101,106,Sequencing of exon 3 of the beta-catenin gene (CTNNB1) revealed an activating mutation in one of the tumor samples.,10398436_6,0,275,0
278,Cancer,2,3,18,24,"Genes Chromosomes Cancer 25  399-402, 1999..",10398436_8,0,278,0
279,dystonia,16,17,112,120,Decrease in GTP cyclohydrolase I gene expression caused by inactivation of one allele in hereditary progressive dystonia with marked diurnal fluctuation.,10403837_0,0,279,0
280,dystonia,2,3,24,32,"
Hereditary progressive dystonia with marked diurnal fluctuation (HPD; dopa-responsive dystonia, DRD) have been recently found to be caused by a genetic defect in the GTP cyclohydrolase I (GCH1) gene.",10403837_1,0,280,0
281,dystonia,11,12,87,95,"
Hereditary progressive dystonia with marked diurnal fluctuation (HPD; dopa-responsive dystonia, DRD) have been recently found to be caused by a genetic defect in the GTP cyclohydrolase I (GCH1) gene.",10403837_1,0,281,0
301,tumor,27,28,159,164,"
To investigate the nature of somatic von Hippel-Lindau (VHL) mutations, we analyzed 173 primary sporadic human renal cell carcinomas for mutations of the VHL tumor suppressor gene, using polymerase chain reaction (PCR) and single-strand conformational polymorphism analysis (SSCP) of DNA.",10408776_1,0,301,0
302,carcinoma,10,11,61,70,"VHL mutations were found only in the nonpapillary renal cell carcinoma (RCC) subtype, as previously reported.",10408776_5,0,302,0
325,tumor,3,4,17,22,"
BRCA1 encodes a tumor suppressor that is mutated in familial breast and ovarian cancers.",10426999_1,0,325,0
326,cancers,13,14,81,88,"
BRCA1 encodes a tumor suppressor that is mutated in familial breast and ovarian cancers.",10426999_1,0,326,0
327,breast cancer,19,21,118,131,"Formation of irradiation-induced foci positive for BRCA1, hRad50, hMre11, or p95 was dramatically reduced in HCC/1937 breast cancer cells carrying a homozygous mutation in BRCA1 but was restored by transfection of wild-type BRCA1.",10426999_4,0,327,0
345,toxicity,12,13,61,69,"Mutations in the ATP7B gene lead to Wilson disease, a copper toxicity disorder characterized by dramatic build-up of intracellular hepatic copper with subsequent hepatic and neuro-logical abnormalities.",10441329_2,0,345,0
347,cirrhosis,3,4,39,48,Morphological abnormalities resembling cirrhosis developed in the majority of the livers from homozygous mutants older than 7 months of age.,10441329_6,0,347,0
348,liver disease,14,16,79,92,"In summary, inactivation of the murine ATP7B gene produces a form of cirrhotic liver disease that resembles Wilson disease in humans and the toxic milk phenotype in the mouse..",10441329_9,0,348,0
356,cataract,32,33,194,202,"
The PAX6 gene is involved in ocular morphogenesis, and PAX6 mutations have been detected in various types of ocular anomalies, including aniridia, Peters anomaly, corneal dystrophy, congenital cataract, and foveal hypoplasia.",10441571_1,0,356,0
358,cataract,14,15,91,99,"We ascertained a novel missense mutation in four pedigrees with Peters anomaly, congenital cataract, Axenfeldt anomaly, and/or foveal hypoplasia, which, to our knowledge, is the first mutation identified in the splice-variant region.",10441571_7,0,358,0
359,breast cancer,9,11,59,72,Penetrances of BRCA1 1675delA and 1135insA with respect to breast cancer and ovarian cancer.,10441573_0,0,359,0
360,ovarian cancer,12,14,77,91,Penetrances of BRCA1 1675delA and 1135insA with respect to breast cancer and ovarian cancer.,10441573_0,0,360,0
361,cancer,11,12,89,95,"
For genetic counseling and predictive testing in families with inherited breast-ovarian cancer, penetrances and expressions of the underlying mutations should be known.",10441573_1,0,361,0
362,cancers,18,19,105,112,Index cases for the present study were found two different ways  through a series of consecutive ovarian cancers (n = 16) and through our family cancer clinic (n = 14).,10441573_3,0,362,0
363,cancer,28,29,145,151,Index cases for the present study were found two different ways  through a series of consecutive ovarian cancers (n = 16) and through our family cancer clinic (n = 14).,10441573_3,0,363,0
364,ovarian cancer,25,27,153,167,"Altogether, 20 of the patients had BRCA1 1675delA, and 10 had 1135insA. Their relatives were described with respect to absence/presence of breast and/or ovarian cancer.",10441573_4,0,364,0
366,ovarian cancer,29,31,162,176,The overall findings were that disease started to occur at age 30 years and that by age 50 years 48% of the mutation-carrying women had experienced breast and/or ovarian cancer.,10441573_7,0,366,0
368,cancers,5,6,33,40,More ovarian cancers than breast cancers were recorded.,10441573_8,0,368,0
369,breast cancer,5,7,32,45,Both penetrance and expression (breast cancer vs. ovarian cancer) were different from those in reports of the Ashkenazi founder mutations.,10441573_9,0,369,0
370,ovarian cancer,8,10,50,64,Both penetrance and expression (breast cancer vs. ovarian cancer) were different from those in reports of the Ashkenazi founder mutations.,10441573_9,0,370,0
374,tumors,5,6,49,55,"Finally, COLIA1/PDGFB-expressing cells generated tumors after s. c c. injection into nude mice, and tumor growth was reduced by treatment with CGP57148B.",10446987_7,0,374,0
376,tumor,11,12,77,82,We conclude that the COLIA1/PDGFB fusion associated with DFSP contributes to tumor development through ectopic production of PDGF-BB and the formation of an autocrine loop.,10446987_8,0,376,0
391,thrombocytopenia,12,13,91,107,"
Wiskott-Aldrich syndrome (WAS) is an X-linked recessive immunodeficiency characterized by thrombocytopenia, eczema, and recurrent infections, and caused by mutations in the WAS protein (WASP) gene.",10447259_1,0,391,0
393,infections,18,19,131,141,"
Wiskott-Aldrich syndrome (WAS) is an X-linked recessive immunodeficiency characterized by thrombocytopenia, eczema, and recurrent infections, and caused by mutations in the WAS protein (WASP) gene.",10447259_1,0,393,0
395,cancer,18,19,128,134,"
Ataxia-telangiectasia (A-T) is characterized by a markedly increased sensitivity to ionizing radiation, increased incidence of cancer, and neurodegeneration, especially of the cerebellar Purkinje cells.",10449794_1,0,395,0
404,tumor,10,11,44,49,"
APC is often cited as a prime example of a tumor suppressor gene.",10470088_1,0,404,0
405,tumors,15,16,84,90,"Truncating germline and somatic mutations (or, infrequently, allelic loss) occur in tumors in FAP (familial adenomatous polyposis).",10470088_2,0,405,0
406,cancers,3,4,25,32,Most sporadic colorectal cancers also have two APC mutations.,10470088_3,0,406,0
408,tumor,8,9,35,40,"APC is not, therefore, a classical tumor suppressor.",10470088_9,0,408,0
410,tumors,20,21,115,121,"Our findings also indicate a new mechanism for disease severity  if a broader spectrum of mutations is selected in tumors, the somatic mutation rate is effectively higher and more tumors grow..",10470088_10,0,410,0
411,tumors,31,32,180,186,"Our findings also indicate a new mechanism for disease severity  if a broader spectrum of mutations is selected in tumors, the somatic mutation rate is effectively higher and more tumors grow..",10470088_10,0,411,0
412,tumor,14,15,86,91,"
Mxi1 is thought to negatively regulate Myc function and may therefore be a potential tumor suppressor gene.",10470286_1,0,412,0
413,tumors,15,16,87,93,Little effort has yet been made to find alterations involving this gene in human solid tumors.,10470286_2,0,413,0
414,cancers,5,6,29,36,"We screened 31 human gastric cancers, 7 esophageal cancers, 85 bone and soft tissue tumors of various types, including 4 neurofibrosarcomas.",10470286_3,0,414,0
417,tumor,5,6,26,31,"We also examined 29 human tumor cell lines consisting of 12 esophageal cancers, 7 glioma/glioblastomas and 10 others for Mxi1 mutations in exons 1, 2, 4 (HLH domain), 5 and 6.",10470286_4,0,417,0
428,fibrosis,13,14,75,83,"Eleven of the 16 homozygous subjects underwent liver biopsy; 3 had hepatic fibrosis, and 1, who had a history of excessive alcohol consumption, had cirrhosis and mild microvesicular steatosis.",10471457_12,0,428,0
431,hepatomegaly,21,22,136,148,"Eight of the 16 homozygous subjects had clinical findings that were consistent with the presence of hereditary hemochromatosis, such as hepatomegaly, skin pigmentation, and arthritis.",10471457_13,0,431,0
432,arthritis,27,28,173,182,"Eight of the 16 homozygous subjects had clinical findings that were consistent with the presence of hereditary hemochromatosis, such as hepatomegaly, skin pigmentation, and arthritis.",10471457_13,0,432,0
437,death,44,45,288,293,"These results confirmed the diagnosis of X-linked Emery-Dreifuss muscular dystrophy (EDMD), and reinforce the necessity of molecular genetic diagnosis of the membrane protein emerin in younger patients with possible EDMD before appearance of the typical symptoms, to avoid sudden cardiac death..",10480214_4,0,437,0
459,cancer,14,15,98,104,"
Li-Fraumeni syndrome is an autosomal dominant disorder that is characterized by various types of cancer in childhood and adult cases.",10484981_1,0,459,0
460,cancers,10,11,66,73,"Although hereditary TP53 mutation is very rare in different human cancers, it has been frequently reported in Li-Fraumeni syndrome.",10484981_2,0,460,0
462,cancer,30,31,153,159,"On the other hand, hereditary mutations of TP57KIP2, P15INK4B, and P16INK4A, which affect the cell cycle similar to TP53, were observed in some types of cancer.",10484981_3,0,462,0
466,Tumor,0,1,0,5,Tumor tissue obtained from the propositus with the seminoma revealed loss of heterozygosity in the TP53 gene.,10484981_6,0,466,0
468,tumor,4,5,19,24,"In the analyses of tumor tissues from the propositus and his daughter, a P16INK4A codon 94 missense point mutation (GCG-- > GAG; Ala-- > Glu) was observed with the hereditary TP53 mutation.",10484981_7,0,468,0
471,tumor,12,13,63,68,The gene alterations in TP53 and P16INK4A genes may be used as tumor markers in our family..,10484981_11,0,471,0
481,ataxia,35,36,202,208,"
Friedreich ataxia (FRDA), the most common of the inherited ataxias, is an autosomal recessive degenerative disorder, characterized clinically by onset before the age of 25 of progressive gait and limb ataxia, absence of deep tendon reflexes, extensor plantar responses, and loss of position and vibration sense in the lower limbs.",10500204_1,0,481,0
498,arthritis,15,16,87,96,"None had chronic or prolonged manifestations of FMF, for example, amyloidosis, chronic arthritis, or protracted myalgia, P < 0. 001.",10528243_9,0,498,0
509,infections,3,4,21,31,"Recurrent middle ear infections, a high pain threshold, and a great skill with jigsaw puzzles were reported.",10528860_9,0,509,0
510,pain,7,8,40,44,"Recurrent middle ear infections, a high pain threshold, and a great skill with jigsaw puzzles were reported.",10528860_9,0,510,0
515,cardiomyopathy,13,14,80,94,"There was no significant correlation between the size of the smaller allele and cardiomyopathy, diabetes mellitus, loss of proprioception, or bladder symptoms.",10533031_6,0,515,0
518,diabetes,13,14,78,86,"The duration of disease is correlated with wheelchair use and the presence of diabetes, scoliosis, bladder symptoms and impaired proprioception, and vibration sense but no other complications studied..",10533031_8,0,518,0
527,ataxia,10,11,55,61,"
Friedreich ataxia (FRDA) is the most common inherited ataxia.",10543403_1,0,527,0
