,entities,text,pmid,label
823,) hyperalgesia,We have examined the effect of systemic administration of ketamine and lidocaine on brush-evoked (dynamic) pain and punctate-evoked (static) hyperalgesia induced by capsaicin.,10743446_1,1
834,hyperalgesia,"The following were measured: spontaneous pain, pain evoked by punctate and brush stimuli (VAS), and areas of brush-evoked and punctate-evoked hyperalgesia.",10743446_6,1
836,hyperalgesia,Ketamine reduced both the area of brush-evoked and punctate-evoked hyperalgesia significantly and it tended to reduce brush-evoked pain.,10743446_7,1
837,hyperalgesia,Lidocaine reduced the area of punctate-evoked hyperalgesia significantly.,10743446_8,1
842,hyperalgesia,The differential effects of ketamine and lidocaine on static and dynamic hyperalgesia suggest that the two types of hyperalgesia are mediated by separate mechanisms and have a distinct pharmacology.,10743446_10,1
844,cyclosporine,Treatment of tacrolimus-related adverse effects by conversion to cyclosporine in liver transplant recipients.,10743694_0,0
846,tacrolimus,"When tacrolimus side effects persist despite dose reduction, conversion to cyclosporine-based immunosuppression (CyA) is necessary.",10743694_1,0
850,tacrolimus,"We characterized tacrolimus side effects that warranted discontinuation of the drug, and outcomes after conversion.",10743694_2,0
853,tacrolimus,"Of 388 liver recipients who received tacrolimus as primary immunosuppression, 70 required conversion to CyA. We recorded indication for conversion, whether conversion was early or late after transplantation, tacrolimus dose and trough blood level at conversion, and incidence of rejection after conversion.",10743694_3,0
856,tacrolimus,"Of 388 liver recipients who received tacrolimus as primary immunosuppression, 70 required conversion to CyA. We recorded indication for conversion, whether conversion was early or late after transplantation, tacrolimus dose and trough blood level at conversion, and incidence of rejection after conversion.",10743694_3,0
858,neurotoxicity,"Indications for early conversion were neurotoxicity (20), (insulin-dependent) diabetes mellitus (IDDM) (5), nephrotoxicity (3), gastrointestinal (GI) toxicity (6), and cardiomyopathy (1), and for late conversion were neurotoxicity (15), IDDM (12), nephrotoxicity (3), GI toxicity (5), hepatotoxicity (6), post-transplant lmphoproliferate disease (PTLD) (2), cardiomyopathy (1), hemolytic anemia (1), and pruritus (1).",10743694_5,1
861,nephrotoxicity,"Indications for early conversion were neurotoxicity (20), (insulin-dependent) diabetes mellitus (IDDM) (5), nephrotoxicity (3), gastrointestinal (GI) toxicity (6), and cardiomyopathy (1), and for late conversion were neurotoxicity (15), IDDM (12), nephrotoxicity (3), GI toxicity (5), hepatotoxicity (6), post-transplant lmphoproliferate disease (PTLD) (2), cardiomyopathy (1), hemolytic anemia (1), and pruritus (1).",10743694_5,1
862,neurotoxicity,"Indications for early conversion were neurotoxicity (20), (insulin-dependent) diabetes mellitus (IDDM) (5), nephrotoxicity (3), gastrointestinal (GI) toxicity (6), and cardiomyopathy (1), and for late conversion were neurotoxicity (15), IDDM (12), nephrotoxicity (3), GI toxicity (5), hepatotoxicity (6), post-transplant lmphoproliferate disease (PTLD) (2), cardiomyopathy (1), hemolytic anemia (1), and pruritus (1).",10743694_5,1
863,nephrotoxicity,"Indications for early conversion were neurotoxicity (20), (insulin-dependent) diabetes mellitus (IDDM) (5), nephrotoxicity (3), gastrointestinal (GI) toxicity (6), and cardiomyopathy (1), and for late conversion were neurotoxicity (15), IDDM (12), nephrotoxicity (3), GI toxicity (5), hepatotoxicity (6), post-transplant lmphoproliferate disease (PTLD) (2), cardiomyopathy (1), hemolytic anemia (1), and pruritus (1).",10743694_5,1
864,hepatotoxicity,"Indications for early conversion were neurotoxicity (20), (insulin-dependent) diabetes mellitus (IDDM) (5), nephrotoxicity (3), gastrointestinal (GI) toxicity (6), and cardiomyopathy (1), and for late conversion were neurotoxicity (15), IDDM (12), nephrotoxicity (3), GI toxicity (5), hepatotoxicity (6), post-transplant lmphoproliferate disease (PTLD) (2), cardiomyopathy (1), hemolytic anemia (1), and pruritus (1).",10743694_5,1
867,hemolytic anemia,"Indications for early conversion were neurotoxicity (20), (insulin-dependent) diabetes mellitus (IDDM) (5), nephrotoxicity (3), gastrointestinal (GI) toxicity (6), and cardiomyopathy (1), and for late conversion were neurotoxicity (15), IDDM (12), nephrotoxicity (3), GI toxicity (5), hepatotoxicity (6), post-transplant lmphoproliferate disease (PTLD) (2), cardiomyopathy (1), hemolytic anemia (1), and pruritus (1).",10743694_5,1
875,tacrolimus,"When tacrolimus side effects are unresponsive to dose reduction, conversion to CyA can be accomplished safely, with no increased risk of rejection and excellent long-term outcome.",10743694_10,0
878,aggressive behavior,Development of apomorphine-induced aggressive behavior: comparison of adult male and female Wistar rats.,10791295_0,1
881,aggressive behavior,The development of apomorphine-induced (1.0 mg/kg s.c. once daily) aggressive behavior of adult male and female Wistar rats obtained from the same breeder was studied in two consecutive sets.,10791295_1,1
884,aggressive behavior,"In male animals, repeated apomorphine treatment induced a gradual development of aggressive behavior as evidenced by the increased intensity of aggressiveness and shortened latency before the first attack toward the opponent.",10791295_2,1
885,aggressive behavior,"In conclusion, the present study demonstrates gender differences in the development of the apomorphine-induced aggressive behavior and indicates that the female rats do not fill the validation criteria for use in this method.",10791295_4,1
888,rheumatoid arthritis,Ocular manifestations of juvenile rheumatoid arthritis.,1079693_0,1
889,rheumatoid arthritis,We followed 210 cases of juvenile rheumatoid arthritis closely for eleven years.,1079693_1,1
923,nimodipine,Effect of intravenous nimodipine on blood pressure and outcome after acute stroke.,10835440_0,0
925,Nimodipine,BACKGROUND AND PURPOSE: The Intravenous Nimodipine West European Stroke Trial (INWEST) found a correlation between nimodipine-induced reduction in blood pressure (BP) and an unfavorable outcome in acute stroke.,10835440_1,0
933,ischemic stroke,"METHODS: Patients with a clinical diagnosis of ischemic stroke (within 24 hours) were consecutively allocated to receive placebo (n=100), 1 mg/h (low-dose) nimodipine (n=101), or 2 mg/h (high-dose) nimodipine (n=94).",10835440_3,1
935,nimodipine,"METHODS: Patients with a clinical diagnosis of ischemic stroke (within 24 hours) were consecutively allocated to receive placebo (n=100), 1 mg/h (low-dose) nimodipine (n=101), or 2 mg/h (high-dose) nimodipine (n=94).",10835440_3,0
937,nimodipine,"METHODS: Patients with a clinical diagnosis of ischemic stroke (within 24 hours) were consecutively allocated to receive placebo (n=100), 1 mg/h (low-dose) nimodipine (n=101), or 2 mg/h (high-dose) nimodipine (n=94).",10835440_3,0
941,Nimodipine,Nimodipine treatment resulted in a statistically significant reduction in systolic BP (SBP) and diastolic BP (DBP) from baseline compared with placebo during the first few days.,10835440_6,0
965,nimodipine,"CONCLUSIONS: DBP, but not SBP, reduction was associated with neurological worsening after the intravenous administration of high-dose nimodipine after acute stroke.",10835440_10,0
967,nimodipine,"For low-dose nimodipine, the results were not conclusive.",10835440_11,0
969,nimodipine,These results do not confirm or exclude a neuroprotective property of nimodipine.,10835440_12,0
975,Cyclophosphamide,"Cyclophosphamide (CP), an antitumoral agent known to produce toxic effects on the bladder wall through its main toxic metabolite acrolein, was used to induce cystitis.",10840460_2,0
1102,Cyclosporine,Cyclosporine and tacrolimus-associated thrombotic microangiopathy.,11007689_0,0
1103,thrombotic microangiopathy,Cyclosporine and tacrolimus-associated thrombotic microangiopathy.,11007689_0,1
1107,cyclosporine,The development of thrombotic microangiopathy (TMA) associated with the use of cyclosporine has been well documented.,11007689_1,0
1108,cyclosporine,"Treatments have included discontinuation or reduction of cyclosporine dose with or without concurrent plasma exchange, plasma infusion, anticoagulation, and intravenous immunoglobulin G infusion.",11007689_2,0
1115,tacrolimus,The last decade has seen the emergence of tacrolimus as a potent immunosuppressive agent with mechanisms of action virtually identical to those of cyclosporine.,11007689_4,0
1117,cyclosporine,The last decade has seen the emergence of tacrolimus as a potent immunosuppressive agent with mechanisms of action virtually identical to those of cyclosporine.,11007689_4,0
1118,tacrolimus,"As a result, switching to tacrolimus has been reported to be a viable therapeutic option in the setting of cyclosporine-induced TMA.",11007689_5,0
1120,tacrolimus,"With the more widespread application of tacrolimus in organ transplantation, tacrolimus-associated TMA has also been recognized.",11007689_6,0
1124,cyclosporine,"However, literature regarding the incidence of the recurrence of TMA in patients exposed sequentially to cyclosporine and tacrolimus is limited.",11007689_7,0
1125,tacrolimus,"However, literature regarding the incidence of the recurrence of TMA in patients exposed sequentially to cyclosporine and tacrolimus is limited.",11007689_7,0
1127,cyclosporine,We report a case of a living donor renal transplant recipient who developed cyclosporine-induced TMA that responded to the withdrawal of cyclosporine in conjunction with plasmapheresis and fresh frozen plasma replacement therapy.,11007689_8,0
1129,tacrolimus,Introduction of tacrolimus as an alternative immunosuppressive agent resulted in the recurrence of TMA and the subsequent loss of the renal allograft.,11007689_9,0
1133,cyclosporine,Patients who are switched from cyclosporine to tacrolimus or vice versa should be closely monitored for the signs and symptoms of recurrent TMA.,11007689_10,0
1134,tacrolimus,Patients who are switched from cyclosporine to tacrolimus or vice versa should be closely monitored for the signs and symptoms of recurrent TMA.,11007689_10,0
1229,neuropathic pain,"Animal and clinical studies have suggested that N-methyl-D-aspartate (NMDA) antagonists, such as ketamine, may be effective in improving opioid analgesia in difficult pain syndromes, such as neuropathic pain.",11027905_2,1
1236,dry mouth,"Pain intensity on a 0 to 10 numerical scale; nausea and vomiting, drowsiness, confusion, and dry mouth, using a scale from 0 to 3 (not at all, slight, a lot, awful); Mini-Mental State Examination (MMSE) (0-30); and arterial pressure were recorded before administration of drugs (T0) and after 30 minutes (T30), 60 minutes (T60), 120 minutes (T120), and 180 minutes (T180).",11027905_4,1
1251,methylprednisolone,High-dose methylprednisolone may do more harm for spinal cord injury.,11058428_0,0
1256,methylprednisolone,"Because of the National Acute Spinal Cord Injury Studies (NASCIS), high-dose methylprednisolone became the standard of care for the acute spinal cord injury.",11058428_1,0
1262,methylprednisolone,"In the NASCIS, there was no mention regarding the possibility of acute corticosteroid myopathy that high-dose methylprednisolone may cause.",11058428_2,0
1263,methylprednisolone,The dosage of methylprednisolone recommended by the NASCIS 3 is the highest dose of steroids ever being used during a 2-day period for any clinical condition.,11058428_3,0
1272,methylprednisolone,"Further, steroid myopathy recovers naturally and the neurological improvement shown in the NASCIS may be just a recording of this natural motor recovery from the steroid myopathy, instead of any protection that methylprednisolone offers to the spinal cord injury.",11058428_5,0
1274,methylprednisolone,"To our knowledge, this is the first discussion considering the possibility that the methylprednisolone recommended by NASCIS may cause acute corticosteroid myopathy.",11058428_6,0
1277,rapamycin,Conversion to rapamycin immunosuppression in renal transplant recipients: report of an initial experience.,11063349_0,0
1280,cyclosporine,BACKGROUND: The aim of this study is to evaluate the effects of RAPA conversion in patients undergoing cyclosporine (CsA) or tacrolimus (Tac) toxicity.,11063349_1,0
1282,tacrolimus,BACKGROUND: The aim of this study is to evaluate the effects of RAPA conversion in patients undergoing cyclosporine (CsA) or tacrolimus (Tac) toxicity.,11063349_1,0
1285,rapamycin,METHODS: Twenty renal transplant recipients were switched to fixed dose rapamycin (RAPA) (5 mg/day) 0 to 204 months posttransplant.,11063349_2,0
1295,hepatotoxicity,"The indications for switch were chronic CsA or Tac nephrotoxicity (12), acute CsA or Tac toxicity (3), severe facial dysmorphism (2), posttransplant lymphoproliferative disorder (PTLD) in remission (2), and hepatotoxicity in 1.",11063349_4,1
1297,creatinine,RESULTS: In the 12 patients switched because of chronic nephrotoxicity there was a significant decrease in serum creatinine [233+/-34 to 210+/-56 micromol/liter (P<0.05) at 6 months].,11063349_6,0
1320,vigabatrin,PURPOSE: Symptomatic visual field constriction thought to be associated with vigabatrin has been reported.,11077455_1,0
1324,vigabatrin,Six of the patients were no longer receiving vigabatrin.,11077455_3,0
1345,vigabatrin,CONCLUSION: Marked visual field constriction appears to be associated with vigabatrin therapy.,11077455_11,0
1348,vigabatrin,The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn.,11077455_12,0
1350,dobutamine,Myocardial ischemia due to coronary artery spasm during dobutamine stress echocardiography.,11078231_0,0
1352,Dobutamine,Dobutamine stress echocardiography (DSE) is a useful and safe provocation test for myocardial ischemia.,11078231_1,0
1360,coronary spasm,The aim of the present study is to examine whether myocardial ischemia due to coronary spasm is induced by dobutamine.,11078231_3,1
1361,dobutamine,The aim of the present study is to examine whether myocardial ischemia due to coronary spasm is induced by dobutamine.,11078231_3,0
1366,variant angina,All patients had anginal attacks at rest with ST elevation on the electrocardiogram (variant angina).,11078231_5,1
1367,Coronary spasm,"Coronary spasm was induced by intracoronary injection of acetylcholine, and no fixed coronary artery stenosis was documented on angiograms in all patients.",11078231_6,1
1370,dobutamine,"DSE was performed with intravenous dobutamine infusion with an incremental doses of 5, 10, 20, 30, and 40 microg/kg/min every 5 minutes.",11078231_7,0
1377,dobutamine,These findings indicate that dobutamine can provoke coronary spasm in some patients with coronary spastic angina.,11078231_10,0
1378,coronary spasm,These findings indicate that dobutamine can provoke coronary spasm in some patients with coronary spastic angina.,11078231_10,1
1384,dobutamine,"STUDY OBJECTIVE: To determine the effect of metoprolol on dobutamine stress testing with technetium-99m sestamibi single-photon emission computed tomography imaging and ST-segment monitoring, and to assess the impact of intravenous glucagon on metoprolol's effects.",11079278_1,0
1392,dobutamine,INTERVENTION: Patients underwent dobutamine stress tests per standard protocol.,11079278_5,0
1395,dobutamine,"Before dobutamine was begun, no therapy was given during the first visit, and patients were randomized on subsequent visits to receive metoprolol or metoprolol plus glucagon 1 mg.",11079278_6,0
1405,dobutamine,"CONCLUSION: During dobutamine stress testing, metoprolol attenuates or eliminates evidence of myocardial ischemia.",11079278_12,0
1414,parkinsonian,The objective of this study was to explore the functional anatomy of the globus pallidus internus (GPi) by studying the effects of unilateral pallidotomy on parkinsonian 'off' signs and levodopa-induced dyskinesias (LID).,11099450_1,1
1422,parkinsonian,"We also found a highly significant correlation (P: < 0.0001, r = 0.8) between the volume of the ventral lesion in the GPi and the improvement in LID in the contralateral limbs, whereas there was no correlation between the ventral volume and the improvement in parkinsonian 'off' signs.",11099450_3,1
1424,parkinsonian,The volumes of the total lesion cylinder and the dorsal lesion did not correlate with the outcome of either dyskinesias or parkinsonian 'off' signs.,11099450_4,1
1426,parkinsonian,The differential predictive value of levodopa responsiveness for the outcome of parkinsonian 'off' signs and LID and the different correlations of ventral lesion volume with dyskinesias and parkinsonian 'off' signs indicate that different anatomical or pathophysiological substrates may be responsible for the generation of parkinsonian 'off' signs and dyskinesias.,11099450_5,1
1428,parkinsonian,The differential predictive value of levodopa responsiveness for the outcome of parkinsonian 'off' signs and LID and the different correlations of ventral lesion volume with dyskinesias and parkinsonian 'off' signs indicate that different anatomical or pathophysiological substrates may be responsible for the generation of parkinsonian 'off' signs and dyskinesias.,11099450_5,1
1430,parkinsonian,The differential predictive value of levodopa responsiveness for the outcome of parkinsonian 'off' signs and LID and the different correlations of ventral lesion volume with dyskinesias and parkinsonian 'off' signs indicate that different anatomical or pathophysiological substrates may be responsible for the generation of parkinsonian 'off' signs and dyskinesias.,11099450_5,1
1439,Paclitaxel,"Paclitaxel, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic nonsmall cell lung carcinoma.",11135224_0,0
1440,cisplatin,"Paclitaxel, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic nonsmall cell lung carcinoma.",11135224_0,0
1441,gemcitabine,"Paclitaxel, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic nonsmall cell lung carcinoma.",11135224_0,0
1451,paclitaxel,"METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a paclitaxel, cisplatin, and gemcitabine combination to treat metastatic NSCLC.",11135224_3,0
1452,cisplatin,"METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a paclitaxel, cisplatin, and gemcitabine combination to treat metastatic NSCLC.",11135224_3,0
1453,gemcitabine,"METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a paclitaxel, cisplatin, and gemcitabine combination to treat metastatic NSCLC.",11135224_3,0
