,entities,text,pmid,label
77,expression,We demonstrate here that local expression of transgenic mIL-12 at the E6 DNA vaccination site potentiated E6-specific CTL responses and increased vaccine-induced antitumor therapeutic efficacy.,10419051_5,1
80,DNA,We demonstrate here that local expression of transgenic mIL-12 at the E6 DNA vaccination site potentiated E6-specific CTL responses and increased vaccine-induced antitumor therapeutic efficacy.,10419051_5,1
82,increased,We demonstrate here that local expression of transgenic mIL-12 at the E6 DNA vaccination site potentiated E6-specific CTL responses and increased vaccine-induced antitumor therapeutic efficacy.,10419051_5,0
89,Activation,Activation of the transcription factor nuclear factor-kappaB (NFkappaB) is impaired in T cells from patients with renal cell carcinomas (RCCs).,10491412_0,2
91,NFkappaB,Activation of the transcription factor nuclear factor-kappaB (NFkappaB) is impaired in T cells from patients with renal cell carcinomas (RCCs).,10491412_0,1
92,cells,Activation of the transcription factor nuclear factor-kappaB (NFkappaB) is impaired in T cells from patients with renal cell carcinomas (RCCs).,10491412_0,2
95,cells,"In circulating T cells from a subset of patients with RCCs, the suppression of NFkappaB binding activity is downstream from the stimulus-induced degradation of the cytoplasmic factor IkappaBalpha.",10491412_1,2
96,subset,"In circulating T cells from a subset of patients with RCCs, the suppression of NFkappaB binding activity is downstream from the stimulus-induced degradation of the cytoplasmic factor IkappaBalpha.",10491412_1,2
104,cells,"Tumor-derived soluble products from cultured RCC explants inhibit NFkappaB activity in T cells from healthy volunteers, despite a normal level of stimulus-induced IkappaBalpha degradation in these cells.",10491412_2,2
117,cells,"Gangliosides prepared from RCC supernatants, as well as the purified bovine gangliosides G(m1) and G(d1a), suppressed NFkappaB binding activity in T cells and reduced expression of the cytokines IL-2 and IFN-gamma.",10491412_5,2
120,IFN-gamma,"Gangliosides prepared from RCC supernatants, as well as the purified bovine gangliosides G(m1) and G(d1a), suppressed NFkappaB binding activity in T cells and reduced expression of the cytokines IL-2 and IFN-gamma.",10491412_5,0
126,immune responses,"Vaccine-induced immune responses to the HPV early antigens E6 and E7, which contribute to cell transformation and are thus expressed in these cervical cancers, could potentially eradicate malignant cells.",10772987_1,0
133,cells,"Vaccine-induced immune responses to the HPV early antigens E6 and E7, which contribute to cell transformation and are thus expressed in these cervical cancers, could potentially eradicate malignant cells.",10772987_1,2
154,cells,"Thymoma is known to contain CD4+CD8+ T cells, indicating that neoplastic epithelial cells of thymoma have a function as thymic cortical epithelium.",10886240_0,2
164,expression,"However, it has been shown that there is an impairment of CD4+ T cell development in thymoma and that IFN-gamma-induced HLA-DR expression on cultured thymic epithelial cells (TEC) derived from thymoma is decreased when compared with the normal thymus.",10886240_1,1
167,decreased,"However, it has been shown that there is an impairment of CD4+ T cell development in thymoma and that IFN-gamma-induced HLA-DR expression on cultured thymic epithelial cells (TEC) derived from thymoma is decreased when compared with the normal thymus.",10886240_1,1
171,transactivator,MHC class II transactivator (CIITA) is known to play a critical role in IFN-gamma-induced MHC II expression.,10886240_2,1
176,expression,MHC class II transactivator (CIITA) is known to play a critical role in IFN-gamma-induced MHC II expression.,10886240_2,1
182,IFN-gamma,"In this study, we attempted to elucidate whether CIITA is responsible for the impaired up-regulation of MHC II molecules in response to IFN-gamma in thymoma TEC.",10886240_3,0
199,translocation,"A gel mobility shift assay however, revealed translocation of STAT1 to the nucleus in thymoma as well as normal TEC.",10886240_7,1
200,STAT1,"A gel mobility shift assay however, revealed translocation of STAT1 to the nucleus in thymoma as well as normal TEC.",10886240_7,1
203,Intercellular adhesion molecule-1,Intercellular adhesion molecule-1 was up-regulated in the thymoma TEC to a level similar to normal TEC in response to IFN-gamma.,10886240_8,2
206,IFN-gamma,Intercellular adhesion molecule-1 was up-regulated in the thymoma TEC to a level similar to normal TEC in response to IFN-gamma.,10886240_8,0
210,IFN-gamma,"These results indicate that impaired up-regulation of HLA-DR in response to IFN-gamma results from insufficient induction of CIITA, but not from the signal from IFN-gamma receptor to the nucleus.",10886240_9,0
216,expression,The abnormal regulation of HLA-DR expression caused by impaired induction of CIITA may affect CD4+ T cell development in thymoma.,10886240_10,1
238,one,"In a cross-sectional study at the end of follow-up prior to biopsy, 8 of 20 patients with a persistent HPV 16 infection had specific mCTLp against at least one of the two oncoproteins.",10962445_3,1
257,interferon regulatory factor,PURPOSE: Mice experiments have established an important role for interferon regulatory factor (IRF) family members in hematopoiesis.,11013272_0,1
258,IRF,PURPOSE: Mice experiments have established an important role for interferon regulatory factor (IRF) family members in hematopoiesis.,11013272_0,1
261,interferon regulatory factor 4,"We wanted to study the expression of interferon regulatory factor 4 (IRF4) in various hematologic disorders, especially chronic myeloid leukemia (CML), and its association with response to interferon alfa (IFN-alpha) treatment in CML.MATERIALS AND METHODS: Blood samples from various hematopoietic cell lines, different leukemia patients (70 CML, 29 acute myeloid leukemia [AML], 10 chronic myelomonocytic leukemia [CMMoL], 10 acute lymphoblastic leukemia, and 10 chronic lymphoid leukemia patients), and 33 healthy volunteers were monitored for IRF4 expression by reverse transcriptase polymerase chain reaction.",11013272_1,1
262,IRF4,"We wanted to study the expression of interferon regulatory factor 4 (IRF4) in various hematologic disorders, especially chronic myeloid leukemia (CML), and its association with response to interferon alfa (IFN-alpha) treatment in CML.MATERIALS AND METHODS: Blood samples from various hematopoietic cell lines, different leukemia patients (70 CML, 29 acute myeloid leukemia [AML], 10 chronic myelomonocytic leukemia [CMMoL], 10 acute lymphoblastic leukemia, and 10 chronic lymphoid leukemia patients), and 33 healthy volunteers were monitored for IRF4 expression by reverse transcriptase polymerase chain reaction.",11013272_1,1
271,chronic,"We wanted to study the expression of interferon regulatory factor 4 (IRF4) in various hematologic disorders, especially chronic myeloid leukemia (CML), and its association with response to interferon alfa (IFN-alpha) treatment in CML.MATERIALS AND METHODS: Blood samples from various hematopoietic cell lines, different leukemia patients (70 CML, 29 acute myeloid leukemia [AML], 10 chronic myelomonocytic leukemia [CMMoL], 10 acute lymphoblastic leukemia, and 10 chronic lymphoid leukemia patients), and 33 healthy volunteers were monitored for IRF4 expression by reverse transcriptase polymerase chain reaction.",11013272_1,1
280,cells,"Then, with a focus on CML, the IRF4 level was determined in sorted cell subpopulations from CML patients and healthy volunteers and in in vitro-stimulated CML cells.",11013272_2,2
294,IRF4,The downregulation of IRF4 in CML samples was predominantly found in T cells.,11013272_6,1
297,cells,The downregulation of IRF4 in CML samples was predominantly found in T cells.,11013272_6,2
299,IRF4,"In CML patients during IFN-alpha therapy, a significant increase in IRF4 levels was detected, and this was also observed in sorted T cells from CML patients.",11013272_7,1
301,cells,"In CML patients during IFN-alpha therapy, a significant increase in IRF4 levels was detected, and this was also observed in sorted T cells from CML patients.",11013272_7,2
312,cells,"CONCLUSION: IRF4 expression is downregulated in T cells of CML patients, and its increase is associated with a good response to IFN-alpha therapy.",11013272_10,2
328,CD40,"Investigations in our laboratory have focused on CD40, a critical regulator of B cell survival and differentiation, and its ligand, CD154 (CD40L).",11042507_1,2
329,regulator,"Investigations in our laboratory have focused on CD40, a critical regulator of B cell survival and differentiation, and its ligand, CD154 (CD40L).",11042507_1,1
332,CD154,"Investigations in our laboratory have focused on CD40, a critical regulator of B cell survival and differentiation, and its ligand, CD154 (CD40L).",11042507_1,2
333,CD40L,"Investigations in our laboratory have focused on CD40, a critical regulator of B cell survival and differentiation, and its ligand, CD154 (CD40L).",11042507_1,2
337,cells,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,2
338,CD40,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,2
339,CD154,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,2
347,cells,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,2
349,autoimmune,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,1
356,cells,"Here, we include an update on our studies regarding CD154 expression in CLL, a review of the data regarding the consequences of CD40 engagement in CLL B cells, and a discussion of these findings in the context of the complex and potentially opposite outcomes that have been reported for CD40-mediated signals in CLL.",11042507_3,2
364,therapy,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,0
365,interaction,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,1
367,CD154,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,2
369,NF-kappa B,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,1
374,lymphocytes,Human T cell leukemia virus type 1 (HTLV-1) transforms cytokine-dependent T lymphocytes and causes adult T cell leukemia.,11046040_0,2
380,cells,"Janus tyrosine kinase (Jak)3 and transcription factors Stat5a and Stat5b are essential for the proliferation of normal T cells and are constitutively hyperactivated in both HTLV-1-transformed human T cell lines and lymphocytes isolated from HTLV-1-infected patients; therefore, a critical role for the Jak3-Stat5 pathway in the progression of this disease has been postulated.",11046040_1,2
384,lymphocytes,"Janus tyrosine kinase (Jak)3 and transcription factors Stat5a and Stat5b are essential for the proliferation of normal T cells and are constitutively hyperactivated in both HTLV-1-transformed human T cell lines and lymphocytes isolated from HTLV-1-infected patients; therefore, a critical role for the Jak3-Stat5 pathway in the progression of this disease has been postulated.",11046040_1,2
397,lymphocytes,"Here we demonstrate that disruption of Jak3/Stat5a/b signaling with AG-490 (50 microM) blocked the proliferation of primary human T lymphocytes, but paradoxically failed to inhibit the proliferation of HTLV-1-transformed human T cell lines, HuT-102 and MT-2.",11046040_3,2
404,cells,"Structural homologues of AG-490 also inhibited the proliferation of primary human T cells, but not HTLV-1-infected cells.",11046040_4,2
405,cells,"Structural homologues of AG-490 also inhibited the proliferation of primary human T cells, but not HTLV-1-infected cells.",11046040_4,2
406,activation,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,2
407,inhibition,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,1
409,Stat5a,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,1
410,Stat5b,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,1
411,serine,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,1
412,Stat5a,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,1
414,DNA binding,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,1
417,DNA binding,"In contrast, AG-490 had no effect on DNA binding by p50/p65 components of NF-kappaB, a transcription factor activated by the HTLV-1-encoded phosphoprotein, Tax.",11046040_6,1
419,NF-kappaB,"In contrast, AG-490 had no effect on DNA binding by p50/p65 components of NF-kappaB, a transcription factor activated by the HTLV-1-encoded phosphoprotein, Tax.",11046040_6,1
426,cells,"Collectively, these data suggest that the Jak3-Stat5 pathway in HTLV-1-transformed T cells has become functionally redundant for proliferation.",11046040_7,2
435,type,Experimental evidence suggests that a type 1 T cell response may result in optimal tumor rejection in vivo.,11086033_0,2
443,expression,"In transplantable tumor models such as P1.HTR, tumors grow progressively despite expression of defined tumor Ags.",11086033_2,1
447,type,"We hypothesized that this failure to reject may be due to poor generation of a type 1 phenotype, through a dominant influence of the type 2-promoting cytokines IL-4 and/or IL-13.",11086033_3,2
453,IL-13,"We hypothesized that this failure to reject may be due to poor generation of a type 1 phenotype, through a dominant influence of the type 2-promoting cytokines IL-4 and/or IL-13.",11086033_3,0
457,Stat6,This hypothesis was tested by implanting P1.HTR tumors into mice deficient in Stat6.,11086033_4,1
473,CD40 ligand,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,2
474,CD40L,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,2
475,interaction,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,1
478,immune responses,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,0
479,cytokines,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,0
493,CD40L,"Tumor-transplanted animals showed enhanced expression of CD40L on natural killer (NK) and T cells, when compared to cells from normal animals.",11129327_4,2
496,cells,"Tumor-transplanted animals showed enhanced expression of CD40L on natural killer (NK) and T cells, when compared to cells from normal animals.",11129327_4,2
497,cells,"Tumor-transplanted animals showed enhanced expression of CD40L on natural killer (NK) and T cells, when compared to cells from normal animals.",11129327_4,2
501,transplantation,CD40 expression on AK-5 tumor cells was also induced after s.c. transplantation.,11129327_5,2
510,CD40L,"Administration of anti-(interleukin-12) (anti-IL-12) and anti-(interferon gamma) (anti-IFNgamma) antibodies in tumor-bearing animals showed down-regulation of the expression of CD40L on NK and T cells with simultaneous inhibition of cytotoxic acitivity of NK cells, cytokine release and the production of antitumor antibody.",11129327_6,2
512,cells,"Administration of anti-(interleukin-12) (anti-IL-12) and anti-(interferon gamma) (anti-IFNgamma) antibodies in tumor-bearing animals showed down-regulation of the expression of CD40L on NK and T cells with simultaneous inhibition of cytotoxic acitivity of NK cells, cytokine release and the production of antitumor antibody.",11129327_6,2
513,inhibition,"Administration of anti-(interleukin-12) (anti-IL-12) and anti-(interferon gamma) (anti-IFNgamma) antibodies in tumor-bearing animals showed down-regulation of the expression of CD40L on NK and T cells with simultaneous inhibition of cytotoxic acitivity of NK cells, cytokine release and the production of antitumor antibody.",11129327_6,1
520,cells,"Naive NK cells, when co-cultured with fixed AK-5 cells, were induced to express CD40L.",11129327_7,2
521,CD40L,"Naive NK cells, when co-cultured with fixed AK-5 cells, were induced to express CD40L.",11129327_7,2
526,nuclear factor,"CD40L expression modulated the immune response exerted by NK cells, in part by the activation of nuclear factor kB (NF-kB).",11129327_8,1
527,NF-kB,"CD40L expression modulated the immune response exerted by NK cells, in part by the activation of nuclear factor kB (NF-kB).",11129327_8,1
531,activation,"Furthermore, the signaling via CD40L through the use of anti-CD40L antibody promoted the in vitro activation of cytotoxic as well as NF-kappaB binding activity in NK cells from tumor-transplanted animals.",11129327_9,2
538,CD40L,"These observations demonstrate that the expression of CD40L by the effector cells is regulated by IL-12 and IFNgamma, and could effectively modulate the NK-cell-mediated immune response during the regression of AK-5 tumor.",11129327_10,2
540,IL-12,"These observations demonstrate that the expression of CD40L by the effector cells is regulated by IL-12 and IFNgamma, and could effectively modulate the NK-cell-mediated immune response during the regression of AK-5 tumor.",11129327_10,0
554,cells,"In this study, we demonstrated that IL-15Ralpha, the IL-15-specific binding receptor, mRNA and protein levels were also elevated in HTLV-I-infected cells.",11160322_1,2
576,aberrant,"Furthermore, using promoter deletion constructs and gel shift analysis, we defined a functional NF-kappaB-binding motif in the human IL-15Ralpha promoter, suggesting that Tax activation of IL-15Ralpha is due, in part, to the induction of NF-kappaB. These data indicate that IL-15Ralpha is transcriptionally regulated by the HTLV-I Tax protein through the action of NF-kappaB. These findings suggest a role for IL-15Ralpha in aberrant T cell proliferation observed in HTLV-I-associated diseases.",11160322_4,1
583,cells,"In early CD4(-)CD8(-) pro-thymocytes, signaling through the pre-TCR is crucial for survival and differentiation into CD4(+)CD8(+) cells.",11290785_0,2
585,stage,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,1
586,interactions,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,1
591,positive,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,1
593,negative,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,1
598,thymocytes,"Intrinsic differences must therefore exist between pre-TCR signals in CD4(-)CD8(-) thymocytes and alphabetaTCR signals in CD4(+)CD8(+) cells, since only the latter can mediate a death signal.",11290785_2,2
601,cells,"Intrinsic differences must therefore exist between pre-TCR signals in CD4(-)CD8(-) thymocytes and alphabetaTCR signals in CD4(+)CD8(+) cells, since only the latter can mediate a death signal.",11290785_2,2
609,apoptosis,"In this work, we directly compared the capability of pre-TCR and alphabetaTCR to induce apoptosis in a CD4(-)CD8(-) thymoma cell line following receptor cross-linking with mAbs.",11290785_3,1
616,signal,"Cross-linking of alphabetaTCR triggered high levels of programmed cell death, mimicking the negative selection signal usually induced in CD4(+)CD8(+) thymocytes.",11290785_4,1
618,thymocytes,"Cross-linking of alphabetaTCR triggered high levels of programmed cell death, mimicking the negative selection signal usually induced in CD4(+)CD8(+) thymocytes.",11290785_4,2
622,apoptosis,"Importantly, inefficient apoptosis induction by the pre-TCR did not result from its weak association with TCRzeta chain, since TCRs containing alpha-pTalpha chimeric chains, binding weakly to TCRzeta, were still able to induce apoptosis.",11290785_6,1
627,binding,"Importantly, inefficient apoptosis induction by the pre-TCR did not result from its weak association with TCRzeta chain, since TCRs containing alpha-pTalpha chimeric chains, binding weakly to TCRzeta, were still able to induce apoptosis.",11290785_6,1
629,apoptosis,"Importantly, inefficient apoptosis induction by the pre-TCR did not result from its weak association with TCRzeta chain, since TCRs containing alpha-pTalpha chimeric chains, binding weakly to TCRzeta, were still able to induce apoptosis.",11290785_6,1
646,activating,"Together, these results support the view that the structure of the pre-TCR and alphabetaTCR directly influences their apoptosis-inducing capabilities by activating distinct signaling pathways.",11290785_9,1
649,binding protein,"Mice deficient in the interferon consensus sequence binding protein (ICSBP) develop a disease resembling chronic myeloid leukemia (CML), which in humans is caused by the BCR/ABL oncoprotein.",11369642_0,1
650,ICSBP,"Mice deficient in the interferon consensus sequence binding protein (ICSBP) develop a disease resembling chronic myeloid leukemia (CML), which in humans is caused by the BCR/ABL oncoprotein.",11369642_0,1
660,ICSBP,This study examined whether enforced expression of ICSBP might antagonize BCR/ABL-induced leukemia; results demonstrated that ICSBP-modified cells generated a protective CD8(+) cytotoxic T-cell response against BCR/ABL-transformed BaF3 cells in a murine leukemia model.,11369642_2,1
666,cells,This study examined whether enforced expression of ICSBP might antagonize BCR/ABL-induced leukemia; results demonstrated that ICSBP-modified cells generated a protective CD8(+) cytotoxic T-cell response against BCR/ABL-transformed BaF3 cells in a murine leukemia model.,11369642_2,2
672,potential,ICSBP expression represents a novel means of stimulating a host immune response to BCR/ABL(+) leukemia cells and a potential strategy for immunotherapy of CML.,11369642_3,1
673,immunotherapy,ICSBP expression represents a novel means of stimulating a host immune response to BCR/ABL(+) leukemia cells and a potential strategy for immunotherapy of CML.,11369642_3,0
676,essential,"PTEN, a tumor suppressor gene, is essential for embryogenesis.",11371355_0,1
686,cells,"Pten(flox/-) mice exhibit elevated levels of B cells and CD4+ T cells in the periphery, spontaneous activation of CD4+ T cells, autoantibody production, and hypergammaglobulinemia.",11371355_4,2
687,CD4+,"Pten(flox/-) mice exhibit elevated levels of B cells and CD4+ T cells in the periphery, spontaneous activation of CD4+ T cells, autoantibody production, and hypergammaglobulinemia.",11371355_4,2
688,cells,"Pten(flox/-) mice exhibit elevated levels of B cells and CD4+ T cells in the periphery, spontaneous activation of CD4+ T cells, autoantibody production, and hypergammaglobulinemia.",11371355_4,2
690,activation,"Pten(flox/-) mice exhibit elevated levels of B cells and CD4+ T cells in the periphery, spontaneous activation of CD4+ T cells, autoantibody production, and hypergammaglobulinemia.",11371355_4,2
691,CD4+,"Pten(flox/-) mice exhibit elevated levels of B cells and CD4+ T cells in the periphery, spontaneous activation of CD4+ T cells, autoantibody production, and hypergammaglobulinemia.",11371355_4,2
692,cells,"Pten(flox/-) mice exhibit elevated levels of B cells and CD4+ T cells in the periphery, spontaneous activation of CD4+ T cells, autoantibody production, and hypergammaglobulinemia.",11371355_4,2
694,cells,"Pten(flox/-) T cells hyperproliferate, are autoreactive, secrete increased levels of Th1/Th2 cytokines, resist apoptosis, and show increased phosphorylation of PKB/Akt and ERK.",11371355_5,2
696,increased,"Pten(flox/-) T cells hyperproliferate, are autoreactive, secrete increased levels of Th1/Th2 cytokines, resist apoptosis, and show increased phosphorylation of PKB/Akt and ERK.",11371355_5,0
697,cytokines,"Pten(flox/-) T cells hyperproliferate, are autoreactive, secrete increased levels of Th1/Th2 cytokines, resist apoptosis, and show increased phosphorylation of PKB/Akt and ERK.",11371355_5,0
698,apoptosis,"Pten(flox/-) T cells hyperproliferate, are autoreactive, secrete increased levels of Th1/Th2 cytokines, resist apoptosis, and show increased phosphorylation of PKB/Akt and ERK.",11371355_5,1
699,increased,"Pten(flox/-) T cells hyperproliferate, are autoreactive, secrete increased levels of Th1/Th2 cytokines, resist apoptosis, and show increased phosphorylation of PKB/Akt and ERK.",11371355_5,0
701,Peripheral,Peripheral tolerance to SEB is also impaired in Pten(flox/-) mice.,11371355_6,2
703,regulator,PTEN is thus an important regulator of T cell homeostasis and self-tolerance.,11371355_7,1
707,TGFbeta,"IL-2 responses are susceptible to suppression by TGFbeta, a cytokine widely implicated in suppression of inflammatory responses and secreted by many different tumor cell types.",11418694_0,0
708,cytokine,"IL-2 responses are susceptible to suppression by TGFbeta, a cytokine widely implicated in suppression of inflammatory responses and secreted by many different tumor cell types.",11418694_0,0
711,secreted,"IL-2 responses are susceptible to suppression by TGFbeta, a cytokine widely implicated in suppression of inflammatory responses and secreted by many different tumor cell types.",11418694_0,0
714,inhibition,There have been conflicting reports regarding inhibition of IL-2-induced STAT3 and STAT5 phosphorylation by TGFbeta and subsequent suppression of immune responses.,11418694_1,1
716,STAT5,There have been conflicting reports regarding inhibition of IL-2-induced STAT3 and STAT5 phosphorylation by TGFbeta and subsequent suppression of immune responses.,11418694_1,1
717,TGFbeta,There have been conflicting reports regarding inhibition of IL-2-induced STAT3 and STAT5 phosphorylation by TGFbeta and subsequent suppression of immune responses.,11418694_1,0
719,immune responses,There have been conflicting reports regarding inhibition of IL-2-induced STAT3 and STAT5 phosphorylation by TGFbeta and subsequent suppression of immune responses.,11418694_1,0
724,STAT3,Using TGFbeta-producing multiple myeloma tumor cells we demonstrate that tumor-derived TGFbeta can block IL-2-induced proliferation and STAT3 and STAT5 phosphorylation in T cells.,11418694_2,1
725,STAT5,Using TGFbeta-producing multiple myeloma tumor cells we demonstrate that tumor-derived TGFbeta can block IL-2-induced proliferation and STAT3 and STAT5 phosphorylation in T cells.,11418694_2,1
726,cells,Using TGFbeta-producing multiple myeloma tumor cells we demonstrate that tumor-derived TGFbeta can block IL-2-induced proliferation and STAT3 and STAT5 phosphorylation in T cells.,11418694_2,2
