,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_transcription_factor_distsv,lf_t_lymphocyte_distsv,label
332,CD154,23,24,132,137,"Investigations in our laboratory have focused on CD40, a critical regulator of B cell survival and differentiation, and its ligand, CD154 (CD40L).",11042507_1,-1,-1,2,2
333,CD40L,25,26,139,144,"Investigations in our laboratory have focused on CD40, a critical regulator of B cell survival and differentiation, and its ligand, CD154 (CD40L).",11042507_1,-1,-1,2,2
337,cells,11,12,60,65,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,-1,-1,2,2
338,CD40,14,15,79,83,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,-1,-1,2,2
339,CD154,16,17,88,93,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,-1,-1,2,2
347,cells,42,43,235,240,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,-1,-1,2,2
349,autoimmune,49,50,268,278,"We have established that in some cases of CLL the malignant cells express both CD40 and CD154, and on the basis of those observations, proposed a model for CLL tumor growth due to CD40-CD154 interactions within and among the malignant cells, and for the occurrence of autoimmune syndromes in some cases of CLL.",11042507_2,-1,1,-1,1
356,cells,29,30,153,158,"Here, we include an update on our studies regarding CD154 expression in CLL, a review of the data regarding the consequences of CD40 engagement in CLL B cells, and a discussion of these findings in the context of the complex and potentially opposite outcomes that have been reported for CD40-mediated signals in CLL.",11042507_3,-1,-1,2,2
364,therapy,3,4,21,28,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,0,-1,-1,0
365,interaction,11,12,65,76,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,-1,1,-1,1
367,CD154,15,16,95,100,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,-1,-1,2,2
369,NF-kappa B,22,24,132,142,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,-1,1,-1,1
374,lymphocytes,13,14,76,87,Human T cell leukemia virus type 1 (HTLV-1) transforms cytokine-dependent T lymphocytes and causes adult T cell leukemia.,11046040_0,-1,-1,2,2
380,cells,18,19,121,126,"Janus tyrosine kinase (Jak)3 and transcription factors Stat5a and Stat5b are essential for the proliferation of normal T cells and are constitutively hyperactivated in both HTLV-1-transformed human T cell lines and lymphocytes isolated from HTLV-1-infected patients; therefore, a critical role for the Jak3-Stat5 pathway in the progression of this disease has been postulated.",11046040_1,-1,-1,2,2
384,lymphocytes,31,32,215,226,"Janus tyrosine kinase (Jak)3 and transcription factors Stat5a and Stat5b are essential for the proliferation of normal T cells and are constitutively hyperactivated in both HTLV-1-transformed human T cell lines and lymphocytes isolated from HTLV-1-infected patients; therefore, a critical role for the Jak3-Stat5 pathway in the progression of this disease has been postulated.",11046040_1,-1,-1,2,2
397,lymphocytes,21,22,132,143,"Here we demonstrate that disruption of Jak3/Stat5a/b signaling with AG-490 (50 microM) blocked the proliferation of primary human T lymphocytes, but paradoxically failed to inhibit the proliferation of HTLV-1-transformed human T cell lines, HuT-102 and MT-2.",11046040_3,-1,-1,2,2
404,cells,12,13,84,89,"Structural homologues of AG-490 also inhibited the proliferation of primary human T cells, but not HTLV-1-infected cells.",11046040_4,-1,-1,2,2
405,cells,17,18,115,120,"Structural homologues of AG-490 also inhibited the proliferation of primary human T cells, but not HTLV-1-infected cells.",11046040_4,-1,-1,2,2
406,activation,4,5,38,48,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,-1,-1,2,2
407,inhibition,10,11,79,89,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,-1,1,-1,1
409,Stat5a,19,20,130,136,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,-1,1,-1,1
410,Stat5b,26,27,153,159,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,-1,1,-1,1
411,serine,34,35,175,181,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,-1,1,-1,1
412,Stat5a,37,38,201,207,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,-1,1,-1,1
414,DNA binding,54,56,280,291,"Disruption of constitutive Jak3/Stat5 activation by AG-490 was demonstrated by inhibition of 1) tyrosine phosphorylation of Jak3, Stat5a (Tyr(694)), and Stat5b (Tyr(699)); 2) serine phosphorylation of Stat5a (Ser(726)) as determined by a novel phosphospecific Ab; and 3) Stat5a/b DNA binding to the Stat5-responsive beta-casein promoter.",11046040_5,-1,1,-1,1
417,DNA binding,8,10,37,48,"In contrast, AG-490 had no effect on DNA binding by p50/p65 components of NF-kappaB, a transcription factor activated by the HTLV-1-encoded phosphoprotein, Tax.",11046040_6,-1,1,-1,1
419,NF-kappaB,14,15,74,83,"In contrast, AG-490 had no effect on DNA binding by p50/p65 components of NF-kappaB, a transcription factor activated by the HTLV-1-encoded phosphoprotein, Tax.",11046040_6,-1,1,-1,1
426,cells,12,13,85,90,"Collectively, these data suggest that the Jak3-Stat5 pathway in HTLV-1-transformed T cells has become functionally redundant for proliferation.",11046040_7,-1,-1,2,2
435,type,5,6,38,42,Experimental evidence suggests that a type 1 T cell response may result in optimal tumor rejection in vivo.,11086033_0,-1,-1,2,2
443,expression,12,13,81,91,"In transplantable tumor models such as P1.HTR, tumors grow progressively despite expression of defined tumor Ags.",11086033_2,-1,1,-1,1
447,type,15,16,79,83,"We hypothesized that this failure to reject may be due to poor generation of a type 1 phenotype, through a dominant influence of the type 2-promoting cytokines IL-4 and/or IL-13.",11086033_3,-1,-1,2,2
453,IL-13,30,31,172,177,"We hypothesized that this failure to reject may be due to poor generation of a type 1 phenotype, through a dominant influence of the type 2-promoting cytokines IL-4 and/or IL-13.",11086033_3,0,-1,-1,0
457,Stat6,12,13,78,83,This hypothesis was tested by implanting P1.HTR tumors into mice deficient in Stat6.,11086033_4,-1,1,-1,1
473,CD40 ligand,3,5,13,24,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,-1,-1,2,2
474,CD40L,6,7,26,31,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,-1,-1,2,2
475,interaction,8,9,33,44,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,-1,1,-1,1
478,immune responses,20,22,122,138,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,0,-1,-1,0
479,cytokines,24,25,146,155,"The CD40 and CD40 ligand (CD40L) interaction has been implicated in the generation of effective cell-mediated and humoral immune responses, where cytokines have been shown to play a significant role in the expression of these molecules.",11129327_1,0,-1,-1,0
493,CD40L,6,7,57,62,"Tumor-transplanted animals showed enhanced expression of CD40L on natural killer (NK) and T cells, when compared to cells from normal animals.",11129327_4,-1,-1,2,2
496,cells,15,16,92,97,"Tumor-transplanted animals showed enhanced expression of CD40L on natural killer (NK) and T cells, when compared to cells from normal animals.",11129327_4,-1,-1,2,2
497,cells,20,21,116,121,"Tumor-transplanted animals showed enhanced expression of CD40L on natural killer (NK) and T cells, when compared to cells from normal animals.",11129327_4,-1,-1,2,2
501,transplantation,12,13,64,79,CD40 expression on AK-5 tumor cells was also induced after s.c. transplantation.,11129327_5,-1,-1,2,2
510,CD40L,24,25,177,182,"Administration of anti-(interleukin-12) (anti-IL-12) and anti-(interferon gamma) (anti-IFNgamma) antibodies in tumor-bearing animals showed down-regulation of the expression of CD40L on NK and T cells with simultaneous inhibition of cytotoxic acitivity of NK cells, cytokine release and the production of antitumor antibody.",11129327_6,-1,-1,2,2
512,cells,29,30,195,200,"Administration of anti-(interleukin-12) (anti-IL-12) and anti-(interferon gamma) (anti-IFNgamma) antibodies in tumor-bearing animals showed down-regulation of the expression of CD40L on NK and T cells with simultaneous inhibition of cytotoxic acitivity of NK cells, cytokine release and the production of antitumor antibody.",11129327_6,-1,-1,2,2
513,inhibition,32,33,219,229,"Administration of anti-(interleukin-12) (anti-IL-12) and anti-(interferon gamma) (anti-IFNgamma) antibodies in tumor-bearing animals showed down-regulation of the expression of CD40L on NK and T cells with simultaneous inhibition of cytotoxic acitivity of NK cells, cytokine release and the production of antitumor antibody.",11129327_6,-1,1,-1,1
520,cells,9,10,49,54,"Naive NK cells, when co-cultured with fixed AK-5 cells, were induced to express CD40L.",11129327_7,-1,-1,2,2
521,CD40L,15,16,80,85,"Naive NK cells, when co-cultured with fixed AK-5 cells, were induced to express CD40L.",11129327_7,-1,-1,2,2
526,nuclear factor,17,19,97,111,"CD40L expression modulated the immune response exerted by NK cells, in part by the activation of nuclear factor kB (NF-kB).",11129327_8,-1,1,-1,1
527,NF-kB,21,22,116,121,"CD40L expression modulated the immune response exerted by NK cells, in part by the activation of nuclear factor kB (NF-kB).",11129327_8,-1,1,-1,1
531,activation,16,17,98,108,"Furthermore, the signaling via CD40L through the use of anti-CD40L antibody promoted the in vitro activation of cytotoxic as well as NF-kappaB binding activity in NK cells from tumor-transplanted animals.",11129327_9,-1,-1,2,2
538,CD40L,7,8,54,59,"These observations demonstrate that the expression of CD40L by the effector cells is regulated by IL-12 and IFNgamma, and could effectively modulate the NK-cell-mediated immune response during the regression of AK-5 tumor.",11129327_10,-1,-1,2,2
540,IL-12,15,16,98,103,"These observations demonstrate that the expression of CD40L by the effector cells is regulated by IL-12 and IFNgamma, and could effectively modulate the NK-cell-mediated immune response during the regression of AK-5 tumor.",11129327_10,0,-1,-1,0
554,cells,23,24,148,153,"In this study, we demonstrated that IL-15Ralpha, the IL-15-specific binding receptor, mRNA and protein levels were also elevated in HTLV-I-infected cells.",11160322_1,-1,-1,2,2
576,aberrant,66,67,425,433,"Furthermore, using promoter deletion constructs and gel shift analysis, we defined a functional NF-kappaB-binding motif in the human IL-15Ralpha promoter, suggesting that Tax activation of IL-15Ralpha is due, in part, to the induction of NF-kappaB. These data indicate that IL-15Ralpha is transcriptionally regulated by the HTLV-I Tax protein through the action of NF-kappaB. These findings suggest a role for IL-15Ralpha in aberrant T cell proliferation observed in HTLV-I-associated diseases.",11160322_4,-1,1,-1,1
583,cells,19,20,130,135,"In early CD4(-)CD8(-) pro-thymocytes, signaling through the pre-TCR is crucial for survival and differentiation into CD4(+)CD8(+) cells.",11290785_0,-1,-1,2,2
585,stage,4,5,20,25,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,-1,1,-1,1
586,interactions,6,7,27,39,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,-1,1,-1,1
591,positive,22,23,145,153,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,-1,1,-1,1
593,negative,30,31,183,191,"At this more mature stage, interactions between alphabetaTCR and self-Ag/MHC complexes in turn lead either to cell survival and differentiation (positive selection) or to cell death (negative selection).",11290785_1,-1,1,-1,1
598,thymocytes,11,12,83,93,"Intrinsic differences must therefore exist between pre-TCR signals in CD4(-)CD8(-) thymocytes and alphabetaTCR signals in CD4(+)CD8(+) cells, since only the latter can mediate a death signal.",11290785_2,-1,-1,2,2
601,cells,18,19,135,140,"Intrinsic differences must therefore exist between pre-TCR signals in CD4(-)CD8(-) thymocytes and alphabetaTCR signals in CD4(+)CD8(+) cells, since only the latter can mediate a death signal.",11290785_2,-1,-1,2,2
609,apoptosis,15,16,88,97,"In this work, we directly compared the capability of pre-TCR and alphabetaTCR to induce apoptosis in a CD4(-)CD8(-) thymoma cell line following receptor cross-linking with mAbs.",11290785_3,-1,1,-1,1
616,signal,15,16,111,117,"Cross-linking of alphabetaTCR triggered high levels of programmed cell death, mimicking the negative selection signal usually induced in CD4(+)CD8(+) thymocytes.",11290785_4,-1,1,-1,1
618,thymocytes,21,22,150,160,"Cross-linking of alphabetaTCR triggered high levels of programmed cell death, mimicking the negative selection signal usually induced in CD4(+)CD8(+) thymocytes.",11290785_4,-1,-1,2,2
622,apoptosis,3,4,25,34,"Importantly, inefficient apoptosis induction by the pre-TCR did not result from its weak association with TCRzeta chain, since TCRs containing alpha-pTalpha chimeric chains, binding weakly to TCRzeta, were still able to induce apoptosis.",11290785_6,-1,1,-1,1
627,binding,26,27,174,181,"Importantly, inefficient apoptosis induction by the pre-TCR did not result from its weak association with TCRzeta chain, since TCRs containing alpha-pTalpha chimeric chains, binding weakly to TCRzeta, were still able to induce apoptosis.",11290785_6,-1,1,-1,1
629,apoptosis,36,37,227,236,"Importantly, inefficient apoptosis induction by the pre-TCR did not result from its weak association with TCRzeta chain, since TCRs containing alpha-pTalpha chimeric chains, binding weakly to TCRzeta, were still able to induce apoptosis.",11290785_6,-1,1,-1,1
646,activating,21,22,153,163,"Together, these results support the view that the structure of the pre-TCR and alphabetaTCR directly influences their apoptosis-inducing capabilities by activating distinct signaling pathways.",11290785_9,-1,1,-1,1
649,binding protein,7,9,52,67,"Mice deficient in the interferon consensus sequence binding protein (ICSBP) develop a disease resembling chronic myeloid leukemia (CML), which in humans is caused by the BCR/ABL oncoprotein.",11369642_0,-1,1,-1,1
650,ICSBP,10,11,69,74,"Mice deficient in the interferon consensus sequence binding protein (ICSBP) develop a disease resembling chronic myeloid leukemia (CML), which in humans is caused by the BCR/ABL oncoprotein.",11369642_0,-1,1,-1,1
660,ICSBP,7,8,51,56,This study examined whether enforced expression of ICSBP might antagonize BCR/ABL-induced leukemia; results demonstrated that ICSBP-modified cells generated a protective CD8(+) cytotoxic T-cell response against BCR/ABL-transformed BaF3 cells in a murine leukemia model.,11369642_2,-1,1,-1,1
666,cells,29,30,236,241,This study examined whether enforced expression of ICSBP might antagonize BCR/ABL-induced leukemia; results demonstrated that ICSBP-modified cells generated a protective CD8(+) cytotoxic T-cell response against BCR/ABL-transformed BaF3 cells in a murine leukemia model.,11369642_2,-1,-1,2,2
