Mature Lymphocyte	UMLS:C1513026
Chromaffin cells	UMLS:C0376604
Autologous CD123CAR-CD28-CD3zeta-EGFRt-expressing T Lymphocytes	UMLS:C3896982
Autologous CAR-T Cells KD-025	UMLS:C5552872
EGFR CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes	UMLS:C3830333
KITE-718	UMLS:C4525866
Autologous FasTCAR-enabled CD19-targeted CAR T-cells GC019F	UMLS:C5555146
granular leukocyte	UMLS:C0018183
anti-CD20-CAR-CD3zeta-4-1BB-expressing autologous T lymphocytes	UMLS:C3641685
mesothelial cell	UMLS:C0225335
Derived Placental Blood Cell	UMLS:C4524525
Liver cells	UMLS:C0227525
Autologous CAR-GPC3 T Cells BOXR1030	UMLS:C5666975
GPC3-targeted CAR autologous T cells	UMLS:C4055459
IOV2001	UMLS:C5238365
T Helper 17 Cell	UMLS:C2936411
Autologous Muc1/CD33/CD38/CD56/CD123-specific Gene-engineered CAR-T Cells	UMLS:C4726578
IL-12 Plus anti-ESO-1 TCR PBL	UMLS:C3827113
Anti-CD19/Anti-CD79b 4SCAR T-cells	UMLS:C5708221
LYL-797	UMLS:C5706365
Phagocytic Cells	UMLS:C0031307
Autologous Anti-CD7 CAR T Cells PA3-17	UMLS:C5667075
Neural crest cells	UMLS:C0815004
CT7/MAGE-A3/WT1 mRNA-electroporated LCs	UMLS:C3827138
Autologous Bi-epitope BCMA-targeted CAR T-cells JNJ-68284528	UMLS:C5575123
Plasma cells with abnormal marker pattern	UMLS:C5142688
Type 2 Helper T Cells	UMLS:C0242633
KTEX19	UMLS:C5392346
autologous HBV-specific TCR-redirected T lymphocytes	UMLS:C4289951
Mucosal T Lymphocyte	UMLS:C1512944
Follicular ovarian cell	UMLS:C1182635
LentiGlobin Drug Product for Transfusion Dependent beta-Thalassemia	UMLS:C4086010
Autologous Anti-BCMA-CAR-4-1BB-CD3zeta-expressing CD4+/CD8+ T-lymphocytes JCARH125	UMLS:C5700405
Autologous Anti-EGFR/IL13Ra2 CAR-T Cells	UMLS:C5669986
RAPA201	UMLS:C5418087
Autologous Redirected RNA Meso-CIR T cells	UMLS:C3273206
CD4+ CD25+ Regulatory T Cells	UMLS:C1267822
Allogeneic Cells	UMLS:C3485979
autologous anti-CTLA-4/PD-1 expressing EGFR-CAR-T cells	UMLS:C4725929
Unspecified cells &#x7C; Body fluid &#x7C; Hematology and Cell counts	UMLS:C5184417
Antigen-presenting dendritic cell	UMLS:C0003315
Skeletal Myocytes	UMLS:C1704336
Mouse Plasmacyte	UMLS:C1522117
autologous anti-HLA-A2/NY-ESO1 TCR-transduced T lymphocytes	UMLS:C4055458
Reed Sternberg Cells	UMLS:C0085133
Autologous Anti-MG7 CAR-T Cells	UMLS:C4329367
Cytotoxic T-Lymphocytes	UMLS:C0039195
Anti-CD22 CAR-T Cells 4SCAR22	UMLS:C4725100
CD19-CD8CD28zCAR-specific-mbIL15-HER1t T lymphocytes	UMLS:C4726059
autologous anti-MART-1 F5 T-cell receptor gene-engineered peripheral blood lymphocytes	UMLS:C1510929
Autologous CART22-65s T-cells	UMLS:C4744687
KD025	UMLS:C5552872
Anti-K-RAS G12D mTCR-transduced Autologous Peripheral Blood Lymphocytes	UMLS:C4723730
IL-12/anti-NY-ESO-1 TCR-expressing autologous peripheral blood lymphocytes	UMLS:C3827113
Cells, B-Lymphoid Precursor	UMLS:C1512631
gp100-Reactive Autologous PBL	UMLS:C1515626
Genetically-modified Cultured T Lymphocytes, Autologous	UMLS:C4522890
Autologous CD8 Positive PBL Sensitized to Drosophila Cell-Presented Melanoma Peptides	UMLS:C2987368
Autologous Anti-MG7-CAR T Lymphocytes	UMLS:C4329367
PC-3 (Human Prostatic Carcinoma) Cell Line	UMLS:C3890720
mast cells	UMLS:C0024880
Lymphoblasts	UMLS:C0229613
Autologous PD-1 Antibody-expressing Mesothelin-specific CAR T-cells	UMLS:C4724836
CD13+ Lymphoblast	UMLS:C1267871
Pheochromocytoma 12 Cell Line	UMLS:C0085262
Erythroid Cells	UMLS:C1257751
CD19R:CD28:lentiviral/EGFRt+ T Cells	UMLS:C3642265
HER2-AdVST	UMLS:C5203928
Leukocytes &#x7C; Stool &#x7C; Hematology and Cell counts	UMLS:C5170940
DeTIL-0255	UMLS:C5666969
Germ cell	UMLS:C0017471
Autologous CAR-CLD18.2 T Cells	UMLS:C4727694
Pericyte of Rouget	UMLS:C0598800
Autologous Anti-CD7-CAR/28zeta T-cells	UMLS:C5575457
CD7 cells	UMLS:C0882920
autologous anti-CD19 CAR-T cells 4SCAR19	UMLS:C4724856
Autologous Anti-CD19 CAR-4-1BB-CD3zeta-expressing T-cells CNCT19	UMLS:C5446546
CBM.CD20 CAR T C-CAR066	UMLS:C5447428
basophil	UMLS:C0004827
Cells, Epidermic	UMLS:C3496194
GT202	UMLS:C5667111
Effector Memory T Cell	UMLS:C4289596
Autologous Anti-PD-1 Antibody-activated Tumor-infiltrating Lymphocytes	UMLS:C5419508
AUTO 4	UMLS:C5237046
ICT-121	UMLS:C4086505
Endocrine Cell	UMLS:C0229525
Cells, Circulating Neoplastic	UMLS:C0027625
Variant lymphocytes	UMLS:C2924459
IMA101 T-cell Product	UMLS:C4329802
CYAD 02	UMLS:C5418020
tumor cell lines	UMLS:C0085983
Cell, Endocrine	UMLS:C0229525
Autologous CD123CAR-CD28-CD3zeta-EGFRt-expressing T Lymphocytes MB-102	UMLS:C5575170
Cell of the Epidermis	UMLS:C3496194
Autologous HER2-specific/EGFRt-expressing CD4/CD8-positive CAR T-cells	UMLS:C4733685
Effector T-Lymphocyte	UMLS:C3641722
autologous CTLA-4 and PD-1 antibodies expressing EGFR-CAR-T cells	UMLS:C4725929
Autologous CD19/CD22 Chimeric Antigen Receptor T Cells	UMLS:C4684850
Antineoplastic Immune Cell	UMLS:C4329351
cell bone marrow	UMLS:C0005955
Autologous Dendritic Cells Loaded With Autologous Tumor Associated Antigens	UMLS:C4727558
MAGEA3/A6-targeted TCR-transduced T cells KITE-718	UMLS:C4525866
polymorphonuclear neutrophil	UMLS:C0027950
Set of tubal air cells	UMLS:C1183210
Blood Cell, Red	UMLS:C0014792
autologous ROR2-targeted CAR-T cells CCT301-59	UMLS:C4727550
Eosinophilic Granulocyte	UMLS:C0014467
Acinous Cell	UMLS:C0596030
HSCs	UMLS:C0018956
Autologous CAR T-cells Targeting ROR2 CCT301-59	UMLS:C4727550
T Lymphocyte, Cytotoxic	UMLS:C0039195
A549 Cells	UMLS:C4277577
Autologous Anti-MSLN TCR Fusion Construct/PD-1:CD28 Switch Receptor-expressing T-cells TC-510	UMLS:C5706514
Sternberg-Reed Cells	UMLS:C0085133
autologous anti-CD19 CAR-CD3zeta-4-1BB-expressing T cells PZ01	UMLS:C4727036
Autologous CD4-specific CAR T Cells LB1901	UMLS:C5557204
Embryonal Carcinoma Cell	UMLS:C0013485
ECT204 Transgene-transduced Autologous T Cells ECT204	UMLS:C5556547
CCT303-406	UMLS:C5554965
CD107B+ lymphocyte	UMLS:C1267994
Helper-Inducer T-Lymphocytes	UMLS:C0018894
AUTO4	UMLS:C5237046
CYIG MU+ lymphocyte	UMLS:C1267801
brain cells	UMLS:C0596208
JWCAR-029	UMLS:C4733633
Type 2 Helper T Cell	UMLS:C0242633
autologous anti-BCMA-CAR-expressing stem memory T cells P-BCMA-101	UMLS:C4684874
CD19 FasT CAR-T Cells GC007F	UMLS:C5417841
Autologous Anti-CD19 CAR-T Cells SJCAR19	UMLS:C4684890
Autologous Anti-CD33 CAR-T Cells	UMLS:C4725105
AXICABTAGENE CILOLEUCEL	UMLS:C3896829
Acinar cell	UMLS:C0596030
autologous PBLs retrovirally-transduced with TCRs targeting neoantigens	UMLS:C4687585
NY-ESO-1-redirected Autologous T Cells with CRISPR Edited Endogenous TCR and PD-1	UMLS:C4727561
oncocyte	UMLS:C0949666
Oxyphil cell	UMLS:C0949666
Autologous CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes	UMLS:C4733635
CAR-T Cell	UMLS:C4527316
ET190L1-ARTEMIS (TM) T Cells	UMLS:C4688337
B-Cell, Lymphocyte	UMLS:C0004561
Antibody Producing Cell	UMLS:C0003273
TC210	UMLS:C5700416
Autologous CD30-targeting CAR T-cells HSP-CAR30	UMLS:C5555574
SCRICAR22v2	UMLS:C5448063
Antigen Processing Cell	UMLS:C0003315
therapeutic iNK T cells	UMLS:C4723769
PG13/LNc8 Retroviral Transduced Cloned T-Cells	UMLS:C1518789
Peripheral Blood Cell	UMLS:C0005773
anti-GPC3-CAR autologous T lymphocytes	UMLS:C4055459
Cone Cell	UMLS:C0206428
APRIL CAR T Cells (AUTO2) Targeting BCMA and TACI	UMLS:C4725789
Allogeneic NK-like Cells GAIA-102	UMLS:C5667007
autologous anti-BCMA centyrin-based chimeric antigen receptor-expressing Tscm	UMLS:C5700402
cd4 lymphocytes	UMLS:C0039215
Autologous Mesothelin-specific TCR T-cells FH-TCR TMSLN	UMLS:C5446661
LYL132	UMLS:C5706544
Autologous CAR-T Cells RD14-01	UMLS:C5706526
HLA-B27 cells	UMLS:C2708698
MUC1-peptide-DC-CTL	UMLS:C4086006
MDG 1011	UMLS:C4733675
T Lymphocytes, Helper Inducer	UMLS:C0018894
Autologous Anti-CD19 CAR T-cells AUTO1	UMLS:C5700423
Autologous NY-ESO-1 Transgenic TCR-expressing Endogenous TCR-PD-1 Gene-edited T-cells	UMLS:C4727561
CD19R(EQ)28zeta/EGFRt+ Naive and Memory T Cells	UMLS:C4522300
Prolymphocytes &#x7C; Body fluid &#x7C; Hematology and Cell counts	UMLS:C5178285
BB 21217	UMLS:C4682857
Autologous Tumor Infiltrating Lymphocytes MDA-TIL	UMLS:C4727163
MAGE-A3 TCR-transduced autologous T cells	UMLS:C3273204
Rouget Cell	UMLS:C0598800
Muscle Cell	UMLS:C0596981
Pre-B-Cells	UMLS:C0312738
T-Lymphocytes	UMLS:C0039194
CD8 Enriched Young Autologous TILs	UMLS:C5555768
DSG3 CAART	UMLS:C5667586
Anti-NY-ESO-1 TCR Retroviral Vector Transduced Autologous PBL	UMLS:C2983758
MB CART2019.1	UMLS:C5557607
PD1CD28 CSR T cells	UMLS:C4329372
Autologous Anti-CD19-CAR T Cells	UMLS:C4086000
CC 98633	UMLS:C5418015
Autologous Cytokine-induced Killer Cells	UMLS:C4329369
Precursor, T-Cell	UMLS:C1955941
TNF Gene Transduced TIL	UMLS:C1515168
B-Lymphocyte	UMLS:C0004561
Autologous Syndecan-1-specific CAR T-lymphocytes	UMLS:C5206589
FasTCAR-19	UMLS:C5417841
Autologous NY-ESO-1/MAGE-A4/PRAME/Survivin/SSX2-specific Cytotoxic T Lymphocytes	UMLS:C4724803
Autologous CD62L+-derived T Lymphocytes Transduced With NY-ESO-1-specific TCR	UMLS:C3831512
Aminergic cells in reticular formation	UMLS:C1183176
Cell, Acinic	UMLS:C0596030
ATLCAR.κ.28 Cells	UMLS:C5446527
AMG553	UMLS:C5417906
cell cloning	UMLS:C0009013
Autologous Anti-GPC3 CAR T Cells BOXR1030	UMLS:C5666975
clone cells	UMLS:C0009013
Lymphocytes.kappa	UMLS:C1115672
Autologous CD123CAR-CD28-CD3zeta/EGFRt+ T Cells MB-102	UMLS:C5575170
Type 1 Regulatory T Lymphocyte	UMLS:C4284002
Autologous Tcm Cells	UMLS:C4727553
Autologous Activated Cytotoxic T Lymphocytes/Natural Killer Cells	UMLS:C3827167
Lymphoid Progenitors, Common	UMLS:C1955940
CD120A+ lymphocyte	UMLS:C1267998
EBV-specific cytotoxic T lymphocytes	UMLS:C0393073
Autologous huMNC2-CAR44 T-lymphocytes	UMLS:C4764235
Neural Crest Cells	UMLS:C0815004
Ad5F35-LMP1/LMP2-transduced autologous dendritic cells	UMLS:C2347347
Cytomegalovirus-specific CD8 cells	UMLS:C5380998
HBV Antigen Peptides/HepG2 Cell Protein Lysate-activated DCs	UMLS:C4725078
gd T Cells	UMLS:C4086901
oxyphil cell	UMLS:C0949666
T Helper 1 Cells	UMLS:C0242632
UCB-derived expanded allogeneic NK cells	UMLS:C4725769
MAGE-A4 SPEAR T-cells	UMLS:C4528709
MAGE-A3/12-specific T cell receptor gene-transduced autologous peripheral blood lymphocytes	UMLS:C3898559
autologous NKR 2 T cells	UMLS:C4055424
Pre-B Lymphocytes	UMLS:C0312738
Cells, APUD	UMLS:C0003649
zoosperm	UMLS:C0037868
TAA-05	UMLS:C5666913
Common Lymphoid Progenitor Cell	UMLS:C1955939
eosinophilic granulocyte	UMLS:C0014467
Labyrinth Supporting Cell	UMLS:C0022891
CART33 TCR zeta:CD137 Cells	UMLS:C3831168
t lymphocytes helper	UMLS:C0018894
Autologous Anti-CD123 CAR T Cells	UMLS:C5419025
Tr1 Cell	UMLS:C1563925
Autologous MAGE A10c796 T-Cells	UMLS:C4287655
GC-019F	UMLS:C5555146
Autologous GPRC5D-targeted CAR T Cells MCARH109	UMLS:C5447112
Cell Type	UMLS:C0007634
Autologous Anti-NY-ESO-1 Murine TCR Retroviral Vector Transduced Peripheral Blood Lymphocytes	UMLS:C4763599
T Lymphocyte, Intraepithelial	UMLS:C1512944
spores	UMLS:C0038027
HER2-CAR-modified Autologous AdVSTs	UMLS:C5203928
CD19R(EQ)28zeta/truncated human EGFR+ central memory T cells	UMLS:C4524369
Autologous Anti-GFRa4 CAR-CD3zeta-4-1BB-transduced T-lymphocytes	UMLS:C5556555
nongrandular leukocyte	UMLS:C0023517
Ex Vivo-activated Autologous Lymph Node Lymphocytes	UMLS:C3896582
EpCAM-specific CAR-expressing autologous T lymphocytes	UMLS:C4289582
Tumor Cells, Cultured	UMLS:C0041362
Descartes11	UMLS:C5417981
cells plasma	UMLS:C0032112
SC-DARIC33	UMLS:C5666935
Autologous Genetically-modified Melanoma Antigen A4 T Cells	UMLS:C4528709
UF KURE19	UMLS:C5706469
Anti-CD22-CAR m971-BBz Lentiviral Vector-transduced Autologous T Lymphocytes	UMLS:C3900029
4ab T1E28z Positive T-cells	UMLS:C3827871
autologous cMET redirected CAR-T cells	UMLS:C4724864
Suppressor-Effector T-Lymphocyte	UMLS:C2355611
Autologous CD19-targeted CAR-T Cells GC007F	UMLS:C5417841
autologous CISH-inactivated TIL	UMLS:C4726557
Autologous 4-1BB Selected Tumor Infiltrating Lymphocytes	UMLS:C3900007
Autologous Anti-CD123 Chimeric Antigen Receptor T Cells	UMLS:C5419025
PBL (peripheral blood lymphocyte)	UMLS:C0599819
Type 17 Helper T Cells	UMLS:C2936411
Autologous CD5.CAR/28zeta CAR T Cells	UMLS:C4725073
Autologous Anti-mesothelin TRuC T-cells TC-210	UMLS:C5700416
Autologous Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ CM T-lymphocytes JCAR014	UMLS:C4287750
HT29 Cells	UMLS:C0282639
Histaminocyte	UMLS:C0024880
Autologous PD-1-targeted Chimeric Switch Receptor-modified T Lymphocytes	UMLS:C4329372
Leukocyte, Mononuclear	UMLS:C0023517
CDA Cells	UMLS:C1440376
Autologous MG7-CART	UMLS:C4724730
Autologous T-lymphocytes Targeting Patient-specific MDS Stem Cell Neoantigens	UMLS:C4725001
B lymphocyte	UMLS:C0004561
CD97+ lymphocyte	UMLS:C1267984
Photoreceptors, Cone	UMLS:C0206428
B-Lymphocyte, Precursor	UMLS:C0312738
cells kidneys	UMLS:C0553257
Autologous PRGN-3005 UltraCAR-T Cells	UMLS:C4764271
B lymphoblast	UMLS:C1516097
Polymorphonuclear Leukocytes	UMLS:C0027950
ATLCAR.CD19	UMLS:C4553719
Total Tumor mRNA-pulsed Tumor-specific Ex vivo-expanded Autologous Lymphocyte Transfer Cells	UMLS:C4733660
Olitresgene Autoleucel	UMLS:C5707892
Anti-CD19-CAR Genetically Engineered Autologous T Lymphocytes JCAR017	UMLS:C5400052
CHO Cell	UMLS:C0085080
Immunoglobulin-Producing Cells	UMLS:C0003273
TRuC-T Cell-targeting CD19 TC-110	UMLS:C5417911
Central Memory T Cell	UMLS:C4289823
THP-1 Cell Lines	UMLS:C4505192
Activated Mature Cytotoxic T-Lymphocyte	UMLS:C1515880
AUTO1	UMLS:C5700423
NCI-60 Cell Line	UMLS:C4528422
Pheochromocytoma Cell Line	UMLS:C0085262
Activated Marrow Infiltrating Lymphocytes	UMLS:C3827031
CD53+ lymphocyte	UMLS:C1267945
autologous MAGE-A4 C1032 TCR-modified T cells	UMLS:C4528709
neutrophil	UMLS:C0027950
Leukocytes &#x7C; Blood &#x7C; Hematology and Cell counts	UMLS:C5170917
B-Cell	UMLS:C0004561
WZTL002	UMLS:C5417828
MAGE-A1-specific TCR-transduced Autologous T-cells	UMLS:C5420606
CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T lymphocytes	UMLS:C4522300
JCARH-125	UMLS:C5700405
Anti-FL(FITC-E2) CAR T Cells	UMLS:C4764048
CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T lymphocytes	UMLS:C4524369
Seattle Children's DARIC33 Autologous CAR T Cells SC-DARIC33	UMLS:C5666935
nucleated red cells	UMLS:C0014762
Autologous TCRm-expressing T-cells ET140203	UMLS:C5446421
L Cells (Cell Line)	UMLS:C0022827
Autologous Anti-CD19/20 Bispecific CAR-CD28-BBz-EGFRt+-expressing Tn/mem Cells	UMLS:C5205544
Cytoplasmic Ig mu cells &#x7C; Blood &#x7C; Cell markers	UMLS:C5161804
autologous anti-CTLA-4/PD-1 antibodies-expressing mesothelin-targeted CAR-T cells	UMLS:C4724730
TC2 Cell	UMLS:C0949432
Anti-FL(FITCE2) CAR Expressing T Cells	UMLS:C4764048
CD8 Cells	UMLS:C4316924
Renal Tumor-Reactive Autologous Peripheral Blood Lymphocytes (PBL)	UMLS:C1709903
cells killer t	UMLS:C0039195
LLC-PK1 Cell	UMLS:C0242598
Autologous BAFFR-targeting CAR T Cells	UMLS:C5554913
T-Lymphocytes, CD4-Positive	UMLS:C0039215
Anti-p53 T-Cell Receptor Retroviral Vector-Transduced Peripheral Blood Lymphocytes	UMLS:C5552636
Lymphocytes.CD3+CD26+	UMLS:C1267819
ARI-0002h	UMLS:C5447425
HeLa S3	UMLS:C1512336
Subset, T-Cell	UMLS:C0080202
Villous lymphocytes	UMLS:C1519986
HL60 Cell	UMLS:C0282549
Cells, Leydig	UMLS:C0023602
Autologous CART-TnMUC1 Cells	UMLS:C5237176
mesothelial cells	UMLS:C0225335
Cells, Plant	UMLS:C3178867
autologous lymphocytes cotransduced with genes encoding IL-12 and anti-NY-ESO-1 TCR	UMLS:C3827113
Autologous Tumor Infiltrating Lymphocytes LM103	UMLS:C5706428
Epidermic Cell	UMLS:C3496194
autologous TILs LN-145	UMLS:C4525956
Fibers, Skeletal Muscle	UMLS:C1704336
Tumor-Infiltrating Th17 Cell	UMLS:C5448071
NK Cells	UMLS:C5400722
Anti-GD2/Anti-PSMA/Anti-CD276 4SCAR T Cells	UMLS:C5555558
Bone Marrow Stem Cell	UMLS:C1511246
