Disease, Biliary Tract	UMLS:C0005424
communication impairment	UMLS:C0009460
central nervous system disorders	UMLS:C0007682
Disease, Cardiovascular	UMLS:C0007222
degenerative motor system disease	UMLS:C0085084
disease central nervous system	UMLS:C0007682
Adrenal glands--Diseases	UMLS:C0001621
urogenital diseases	UMLS:C0080276
Besnier Boeck Disease	UMLS:C0036202
parulis	UMLS:C0149892
immunopathology	UMLS:C1609432
Disorders of parathyroid gland	UMLS:C0030517
inherited disease	UMLS:C0019247
diseases integumentary	UMLS:C0037274
Disease, Paranasal Sinus	UMLS:C0030469
motor neuron disease	UMLS:C0085084
adrenal disorders	UMLS:C0001621
Portosystemic Encephalopathies	UMLS:C0019151
degenerative disorders neurologic	UMLS:C0524851
diseases system urinary	UMLS:C0042075
Hodgkin's Paragranuloma	UMLS:C0019829
disease pancreatic	UMLS:C0030286
Sarcomas, Germinoblastic	UMLS:C0024299
disorders of the nervous system	UMLS:C0027765
morbus cordis	UMLS:C0018799
odontogenic tumor	UMLS:C0028880
RENAL DISEASE, NOS	UMLS:C0022658
behavior disorders	UMLS:C0004930
EAR DISORDER (NOS)	UMLS:C0013447
abuse alcohol alcoholism	UMLS:C0001973
Retention Disorder, Cognitive	UMLS:C0025261
Tumors, Trophoblastic	UMLS:C0041182
Unspecified condition originating in the perinatal period	UMLS:C0270075
Pancreas (endocrine only)	UMLS:C0271633
Disease, Hodgkins	UMLS:C0019829
Swollen Gland	UMLS:C0497156
viral infection nos	UMLS:C0042769
leukemia myeloid	UMLS:C0023470
Eyelid Disorders	UMLS:C0015423
calcium disorder	UMLS:C0302590
bronchial disorders	UMLS:C0006261
Epithelial Neoplasms, NOS	UMLS:C1368683
Cell Tumors, Giant	UMLS:C0017525
disease earrings	UMLS:C0013447
Disorders, Sleep	UMLS:C0851578
rays	UMLS:C0851346
ENDOCRINE PROBLEM	UMLS:C0014130
ENDOCRINE DISORDER (NOS)	UMLS:C0014130
disorders musculoskeletal	UMLS:C0026857
Genitourinary System Disorder	UMLS:C0080276
Digestive System Diseases	UMLS:C0012242
Hepatic coma	UMLS:C0019147
Disease, Breast	UMLS:C0006145
disease urinary system	UMLS:C0042075
rectal disorder	UMLS:C0034882
Chronic Diseases	UMLS:C0008679
lymphoma	UMLS:C0024299
Diseases, Viral	UMLS:C0042769
Motor Neuron Disease, Upper	UMLS:C0521659
Metabolism--Disorders	UMLS:C0025517
germ cell tumour	UMLS:C0205851
Vascular Disorder, Intracranial	UMLS:C0007820
behavioral disorders	UMLS:C0004930
Calcium--Metabolism--Disorders	UMLS:C0006705
adaptive behaviour	UMLS:C0085880
Cancer- and cancer treatment-related conditions	UMLS:C0280950
NEOPLASMS	UMLS:C0027651
Tumors of the Nerve Sheath	UMLS:C0206727
renal disease	UMLS:C0022658
Disease, Immune	UMLS:C0021053
Unspecified disease of respiratory system	UMLS:C0035204
disease endocrine	UMLS:C0014130
Hepatocellular Damage	UMLS:C0151763
Cardiovascular Disorder	UMLS:C0007222
Hernia	UMLS:C0019270
Myomatous Neoplasm	UMLS:C0282606
Radiation-Induced Abnormality	UMLS:C1527225
Cerebrovascular Disorders	UMLS:C0007820
Renal disease	UMLS:C0022658
hodgkin lymphomas	UMLS:C0019829
lymphoma lymphoblastic	UMLS:C0079748
Temporomandibular joint disorders, unspecified	UMLS:C0039494
Rotor's syndrome	UMLS:C0220991
Myeloid Leukemias	UMLS:C0023470
Alcohol dependency	UMLS:C0001973
Trophoblast Neoplasms	UMLS:C0041182
Genital Disorders	UMLS:C0178829
NEPHROPATHY, OBSTRUCTIVE	UMLS:C0149939
Sleep disorders	UMLS:C0851578
Neuroepithelial Neoplasms	UMLS:C0206715
bone neoplasm	UMLS:C0005967
Disorders, Pituitary	UMLS:C0032002
ophthalmic disorders	UMLS:C0015397
Leucocythemia	UMLS:C0023418
Portal-Systemic Encephalopathy	UMLS:C0019151
Gastrointestinal diseases	UMLS:C0017178
neurological disease	UMLS:C0027765
Diseases of Immune System	UMLS:C0021053
epithelial tumors	UMLS:C1368683
LEUKEMIA MYELOID	UMLS:C0023470
diseases pancrea	UMLS:C0030286
Coagulation Disorder, Blood	UMLS:C0005779
nephrologic disease	UMLS:C0022658
urinary tract disease	UMLS:C0042075
GASTROINTESTINAL DISORDERS	UMLS:C0017178
eye diseases	UMLS:C0015397
malignant neoplasms	UMLS:C0006826
Paranasal Sinus Disorder	UMLS:C0030469
connective tissue disorder	UMLS:C0009782
Diseases, Kidney	UMLS:C0022658
Neoplasm of the Mast Cells	UMLS:C0334664
Mediastinum--Diseases	UMLS:C0025061
myelodysplastic syndrome	UMLS:C3463824
disease of scrotum	UMLS:C0268919
Spleen Diseases	UMLS:C0037997
platelet disorder	UMLS:C0005818
Teeth--Diseases	UMLS:C0040435
clotting disorders	UMLS:C0005779
Hypophyseal Disorder	UMLS:C0032002
Tumors, Nerve Sheath	UMLS:C0206727
cerebrovascular disorder	UMLS:C0007820
tumors	UMLS:C0027651
lymphatic disorders	UMLS:C0024228
Glial Cell Tumor	UMLS:C0017638
kidney/urinary disease (non-specific)	UMLS:C0042075
Tryptophan Metabolism Alterations	UMLS:C0041254
cardiopathy	UMLS:C0018799
Dyspituitarism	UMLS:C0032002
cell giant tumors	UMLS:C0017525
encephalopathy portosystemic	UMLS:C0019151
Diseases, Hematological	UMLS:C0018939
endocrine system disease	UMLS:C0014130
ethnologic	UMLS:C0015033
hematologic disease	UMLS:C0018939
poisoning by	UMLS:C0032343
Connective Tissue Disorders	UMLS:C0009782
diseases systems urinary	UMLS:C0042075
Neoplasm of Lymphatic Vessel	UMLS:C0206619
pancreas disorder	UMLS:C0030286
Diagnosis	UMLS:C0011900
blood diseases	UMLS:C0018939
Mast Cell Neoplasm	UMLS:C0334664
Wound	UMLS:C3263723
acid amino disorders metabolism	UMLS:C0002514
Mast cell tumor NOS	UMLS:C0334664
RESPIRATORY SYSTEM DISORDER OF	UMLS:C0035204
Unspecified disease of the jaws	UMLS:C0022362
Diseases, Lip	UMLS:C0023760
ENDOCRINE PROBLEM, NOS	UMLS:C0014130
Arteriopathic disease	UMLS:C0852949
Hodgkin's disease NOS	UMLS:C0019829
disease of bone	UMLS:C0005940
blood disease	UMLS:C0018939
Pathological Processes	UMLS:C0030660
Syndromes, Premenstrual	UMLS:C0033046
Disorders of phosphorus metabolism	UMLS:C0031707
artery disorder	UMLS:C0852949
hyperaminoacidurias	UMLS:C0002514
NAIL DISORDER	UMLS:C0027339
Amino Acidopathy, Congenital	UMLS:C0002514
disease nail	UMLS:C0027339
Unspecified disorder of adrenal glands	UMLS:C0001621
beryllioses	UMLS:C0005138
Cardiomyopathy	UMLS:C0878544
Communication Disorders	UMLS:C0009460
Joint Diseases, Temporomandibular	UMLS:C0039494
Pituitary Gland Disease	UMLS:C0032002
dumping syndrome	UMLS:C0013288
pathology	UMLS:C0677042
Blood-vessels--Tumors	UMLS:C4722524
disorders temporomandibular	UMLS:C0039494
DIABETES INSIPIDUS	UMLS:C0011848
disease	UMLS:C0012634
diseases nutrition	UMLS:C3714509
valvular heart disease	UMLS:C0018824
disease of breast	UMLS:C0006145
Disorders, Nervous System	UMLS:C0027765
Neoplasm, Fibroepithelial	UMLS:C0206649
acid amino disorder	UMLS:C0002514
disturbance endocrine	UMLS:C0014130
Disease, Plant	UMLS:C0032080
Sarcoid, Boeck's	UMLS:C0036202
Not Applicable	UMLS:C1272460
hepatic cytolysis	UMLS:C0151763
myocardial diseases	UMLS:C0878544
leukemia lymphoblastic	UMLS:C0023448
Inherited Disease	UMLS:C0019247
resulting	UMLS:C0678226
malignant tumor	UMLS:C0006826
Sleeping problems	UMLS:C0851578
Leukemia of unspecified cell type	UMLS:C0023418
boil gums	UMLS:C0149892
premenstrual syndrome	UMLS:C0033046
Diseases, Pituitary	UMLS:C0032002
BRAIN TUMOR, MENINGIOMA	UMLS:C0025286
Germ Cell Tumors	UMLS:C0205851
Immunologic Diseases	UMLS:C0021053
Ear--Diseases	UMLS:C0013447
Brain Vascular Disorders	UMLS:C0007820
Disease of spleen, unspecified	UMLS:C0037997
csp	UMLS:C1140093
Disease, Lymphatic	UMLS:C0024228
Diseases, Cerebrovascular	UMLS:C0007820
circulatory disorder	UMLS:C0728936
Cardiac Disorders	UMLS:C0018799
disorder of vein	UMLS:C0235522
arthropathy nos	UMLS:C0022408
Bone Disease	UMLS:C0005940
Diseases, Pharynx	UMLS:C0031345
disorder of lymphatic system	UMLS:C0024228
Orbital Diseases	UMLS:C0029182
Hepatic Coma	UMLS:C0019147
Diseases of the respiratory system	UMLS:C0035204
Tumors, Lymphatic Vessel	UMLS:C0206619
hepatic damage	UMLS:C0151763
Disorders, Hypophyseal	UMLS:C0032002
disease hearts	UMLS:C0018799
Hepatic encephalopathy	UMLS:C0019151
Crystalline Arthropathies	UMLS:C0152087
disease motor neurone	UMLS:C0085084
Tumor, Germ Cell	UMLS:C0205851
Gastrointestinal Diseases	UMLS:C0017178
respiratory disorder	UMLS:C0035242
disorders tract urinary	UMLS:C0042075
preventive medicine specialty	UMLS:C0033110
Tumor of the Neuroepithelium	UMLS:C0206715
disorders tongue	UMLS:C0040409
Intestinal Diseases	UMLS:C0021831
Disease, Lip	UMLS:C0023760
Disease, Splenic	UMLS:C0037997
Unspecified breast disorder	UMLS:C0006145
Tongue Diseases	UMLS:C0040409
Adnexal Tumor of Skin	UMLS:C0345988
Diseases, Hereditary	UMLS:C0019247
Breast Disease	UMLS:C0006145
CONNECTIVE TISSUE DISEASE	UMLS:C0009782
disorders eyelid	UMLS:C0015423
recovery from disease	UMLS:C2004454
disease nutrition	UMLS:C3714509
Crystal Arthropathy	UMLS:C0152087
Diseases, Periodontal	UMLS:C0031090
Disease of the heart muscle	UMLS:C0878544
diagnosis (DX)	UMLS:C0011900
inborn aminoacid metabolism disorder	UMLS:C0002514
disorders of amino acid metabolism	UMLS:C0002514
Chronic Myeloproliferative Neoplasm	UMLS:C1292778
Poisonings	UMLS:C0032343
POLYP	UMLS:C0032584
resulting from	UMLS:C0678226
heart muscle disorder	UMLS:C0878544
syndrome rotor	UMLS:C0220991
cycle disorders urea	UMLS:C0154246
diseases types	UMLS:C0457464
disorder of spine	UMLS:C0037933
disease pituitary	UMLS:C0032002
inactive disease	UMLS:C0544452
gum abscess	UMLS:C0149892
CA	UMLS:C0006826
cardiac valvulopathy	UMLS:C0018824
METABOLIC DISORDERS	UMLS:C0025517
Disease, Vascular	UMLS:C0042373
Lymph Vessel Neoplasm	UMLS:C0206619
Viral Infections	UMLS:C0042769
vulnerability to disease	UMLS:C0012655
Genetic knowledge reference [Type]	UMLS:C3263357
Germinoblastoma	UMLS:C0024299
dependence alcoholism alcohol	UMLS:C0001973
diseases endocrine gland	UMLS:C0014130
Epidermoid Cell Tumor	UMLS:C0206720
Cardiac Diseases	UMLS:C0018799
digestive tract disease	UMLS:C0017178
phosphorus metabolism disorder	UMLS:C0031707
Viral Infection	UMLS:C0042769
Joint Diseases	UMLS:C0022408
Copper Disorders	UMLS:C0012714
uropathy	UMLS:C0042075
skin disorder	UMLS:C0037274
remissions	UMLS:C0544452
disease cardiac	UMLS:C0018799
diseases of pancreas	UMLS:C0030286
alcoholism/alcohol abuse	UMLS:C0001973
Tumor of Nerve Sheath	UMLS:C0206727
psychology qualifier	UMLS:C1524060
Lymphocytic Leukemia	UMLS:C0023448
parathyroid dysfunction	UMLS:C0030517
Gen knwldge ref Type	UMLS:C3263357
disorders nutrition	UMLS:C3714509
Unspecified disorder of peritoneum	UMLS:C0031142
Feeling Anesthesia	UMLS:C0237471
neurodegenerative diseases	UMLS:C0524851
Tuberculous arthritis	UMLS:C0022415
Not applicable.	UMLS:C1272460
Trophoblast Tumors	UMLS:C0041182
diseases nail	UMLS:C0027339
voice disturbance	UMLS:C0042940
behavior disorder	UMLS:C0004930
enteropathy	UMLS:C0021831
Boeck Disease	UMLS:C0036202
TESTIS DISORDER	UMLS:C0039584
HODGKINS DISEASE SYSTEMIC	UMLS:C0019829
tongue diseases	UMLS:C0040409
immune system disorder	UMLS:C0021053
Disorder, Congenital	UMLS:C0242354
PARATHYROID DISORDER	UMLS:C0030517
Blood Dyscrasia	UMLS:C0018939
Genital Disease, Female	UMLS:C0017411
disorders gland pituitary	UMLS:C0032002
Neuroglial Tumor	UMLS:C0017638
Diseases, Intestinal	UMLS:C0021831
Unspecified condition of the tongue	UMLS:C0040409
HYPERBILIRUBINEMIA, ROTOR TYPE	UMLS:C0220991
Unspecified disorder of bladder	UMLS:C0005686
blood cells disorder red	UMLS:C0221016
manifestations of immunopathology	UMLS:C1609432
Urethral Disorders	UMLS:C0041969
LEUKEMIA LYMPHATIC	UMLS:C0023448
herniations	UMLS:C0019270
diseases of the bladder	UMLS:C0005686
Cluster, Symptom	UMLS:C0039082
Urethral Disorder	UMLS:C0041969
Temporomandibular joint disorders	UMLS:C0039494
Reticulolymphosarcoma	UMLS:C0024299
genetics	UMLS:C0017399
dermatological diseases	UMLS:C0037274
abscessed gums	UMLS:C0149892
disorders tonsils	UMLS:C0272380
Neoplasms, Plasma Cell	UMLS:C1959632
Severity	UMLS:C0439793
Disorder of amniotic cavity AND/OR membrane	UMLS:C0405034
disorder of calcium metabolism	UMLS:C0006705
Disease, Testicular	UMLS:C0039584
Anomaly of aorta, unspecified	UMLS:C0302467
mental disorders	UMLS:C0004936
Vascular Disorder	UMLS:C0042373
Disorder of eye	UMLS:C0015397
Disease, Pleural	UMLS:C0032226
Leukemias, Lymphoid	UMLS:C0023448
digestive diseases	UMLS:C0012242
DISORDER ADRENAL (NOS)	UMLS:C0001621
Bone neoplasms	UMLS:C0005967
mental dysfunction	UMLS:C0004936
Disorder, Genetic	UMLS:C0019247
hepatic coma/encephalopathy	UMLS:C0019151
heart disease disorder	UMLS:C0018799
testicular disorder	UMLS:C0039584
Neoplasm of Bone	UMLS:C0005967
mammary disorder	UMLS:C0006145
Diseases of the digestive system	UMLS:C0012242
Nutritional Disorder	UMLS:C3714509
Lifestyle-Related Disorder	UMLS:C0004930
coma hepatic	UMLS:C0019147
Besnier-Boeck Disease	UMLS:C0036202
Unspecified disorder of eyelid	UMLS:C0015423
Tumor of the Skin Appendage	UMLS:C0345988
disorders testicles	UMLS:C0039584
Endocrine System Disease	UMLS:C0014130
Cardiomyopathies	UMLS:C0878544
LEUKAEMIA	UMLS:C0023418
nervous system disorders	UMLS:C0027765
Urogenital Disease	UMLS:C0080276
upper motor neuron disease	UMLS:C0521659
Bone Neoplasm	UMLS:C0005967
Vocal Cord Disorder	UMLS:C0264309
Mental Disorders	UMLS:C0004936
INBORN ERROR OF AMINO ACID METABOLISM	UMLS:C0002514
disease intestinal	UMLS:C0021831
Neoplasms, Mesothelial	UMLS:C3714739
alcoholisms	UMLS:C0001973
Disorders of mineral metabolism	UMLS:C0154260
Neoplasms, Trophoblastic	UMLS:C0041182
HEMATOLOGIC PROBLEM, NOS	UMLS:C0018939
Breast--Diseases	UMLS:C0006145
chronic myeloproliferative disease	UMLS:C1292778
disease rate	UMLS:C0026538
Cell Neoplasm, Basal	UMLS:C0206710
Congenital Disorder	UMLS:C0242354
Tumor of Neuroglia	UMLS:C0017638
Preventive Medicine	UMLS:C0033110
Meningioma	UMLS:C0025286
Anorectal Disorder	UMLS:C0687707
disorders heart valve	UMLS:C0018824
Congenital anomaly of aorta, unspecified	UMLS:C0302467
Arteriopathy	UMLS:C0852949
endocrinopathies	UMLS:C0014130
dermatologic diseases	UMLS:C0037274
immunologic disorder	UMLS:C0021053
GINGIVA, ABSCESS	UMLS:C0149892
alcoholism disorders	UMLS:C0001973
Nerve Diseases	UMLS:C0027765
communication disorder diagnosis	UMLS:C0009460
Traumatic injury	UMLS:C3263723
endocrinopathy	UMLS:C0014130
heart disorder	UMLS:C0018799
diseases mental	UMLS:C0004936
morbidity	UMLS:C0026538
female genital diseases	UMLS:C0017411
DAMAGE LIVER	UMLS:C0151763
VASCULAR PROBLEM	UMLS:C0042373
Boeck's Sarcoid	UMLS:C0036202
genitourinary diseases	UMLS:C0080276
Myeloid leukaemia	UMLS:C0023470
Testicular Disease	UMLS:C0039584
Hernias	UMLS:C0019270
bone tumours	UMLS:C0005967
germ cell tumors	UMLS:C0205851
Crystal arthropathies	UMLS:C0152087
diseases of the lips	UMLS:C0023760
Unspecified circulatory system disorder	UMLS:C0728936
arthropathies	UMLS:C0022408
DEFECT COAGULATION (NOS)	UMLS:C0005779
Vascular Disorders, Intracranial	UMLS:C0007820
Spleen Disorders	UMLS:C0037997
Tumor of the Lymph Vessel	UMLS:C0206619
Disorders, Calcium Metabolism	UMLS:C0006705
Rectal Disorder	UMLS:C0034882
Senile dermatosis NOS	UMLS:C0011166
Chronic Disease	UMLS:C0008679
HD	UMLS:C0019829
Neurologic Disorders, Degenerative	UMLS:C0524851
Diseases, Duodenal	UMLS:C0013289
diabetes insipidus	UMLS:C0011848
muscles tumors	UMLS:C0282606
blood coagulation disorder	UMLS:C0005779
peritoneal disease	UMLS:C0031142
bladder disorders	UMLS:C0005686
Plasma Cell Neoplasms	UMLS:C1959632
Blood coagulation disorder	UMLS:C0005779
Valve Disease, Heart	UMLS:C0018824
neoplasias	UMLS:C0027651
Unspecified disorder of metabolism	UMLS:C0025517
Heart valve disorders	UMLS:C0018824
Cardiomyopathy NOS	UMLS:C0878544
ligament disorder	UMLS:C0263976
Malignant Granulomas	UMLS:C0019829
cardiomyopathies	UMLS:C0878544
illness	UMLS:C0221423
Diseases of Pharynx	UMLS:C0031345
Cutaneous Disorders	UMLS:C0037274
disorders lips	UMLS:C0023760
diseases of the ear	UMLS:C0013447
hodgkins lymphoma	UMLS:C0019829
gynecological disease	UMLS:C0017411
BREAST DISORDERS	UMLS:C0006145
Respiratory disease NOS	UMLS:C0035204
ENCEPHALOPATHY, PORTAL-SYSTEMIC	UMLS:C0019151
adrenal gland diseases	UMLS:C0001621
joint diseases	UMLS:C0022408
PMS	UMLS:C0033046
Vascular Disorders	UMLS:C0042373
DISORDER RECTAL	UMLS:C0034882
Diseases, Endocrine System	UMLS:C0014130
urologic disease	UMLS:C0042075
Valvular Heart Disorder	UMLS:C0018824
Potassium Disorders	UMLS:C0268014
pituitary diseases	UMLS:C0032002
GASTROINTESTINAL DISORDER	UMLS:C0017178
Viral infection	UMLS:C0042769
Tonsillar Disorder	UMLS:C0272380
Congenital Disorders	UMLS:C0242354
chronic alcoholism	UMLS:C0001973
Cardiac Disease	UMLS:C0018799
HEPATIC COMA	UMLS:C0019147
Lacrimal apparatus--Diseases	UMLS:C0022904
Hodgkins Granuloma	UMLS:C0019829
Neoplasm, Trophoblastic	UMLS:C0041182
joint disorders	UMLS:C0022408
UROPATHY	UMLS:C0042075
blood disorder diagnosis	UMLS:C0018939
Urologic Diseases	UMLS:C0042075
Encephalopathy, Portal Systemic	UMLS:C0019151
Disorders of fluid, electrolyte, and acid-base balance	UMLS:C0267994
Neurologic Diseases, Degenerative	UMLS:C0524851
Cell Neoplasms, Epithelial	UMLS:C1368683
amino acid metabolism disorder	UMLS:C0002514
(Breast disorders NOS) or (galactocoele)	UMLS:C2945563
Neuron Disease, Motor	UMLS:C0085084
Disease, Gingival	UMLS:C0017563
disorders	UMLS:C0012634
Encephalopathies, Hepatocerebral	UMLS:C0019151
radiation exposure disorder	UMLS:C1527225
Nutrition disorders	UMLS:C3714509
hereditary disorder	UMLS:C0019247
Pituitary disorders	UMLS:C0032002
Disease, Myocardial	UMLS:C0878544
Diseases, Connective Tissue	UMLS:C0009782
disorder parathyroid gland	UMLS:C0030517
Mental-retardation	UMLS:C0025362
Disease, Temporomandibular Joint	UMLS:C0039494
ray (radiation)	UMLS:C0851346
Parathyroid Gland Disease	UMLS:C0030517
disorder by cause	UMLS:C1314792
Neuron Diseases, Motor	UMLS:C0085084
glioma	UMLS:C0017638
Myeloproliferative Disease	UMLS:C1292778
granulocytic leukemia	UMLS:C0023470
Cognitive Retention Disorders	UMLS:C0025261
jaw disorder	UMLS:C0022362
behavioural disorders	UMLS:C0004930
parathyroid disease	UMLS:C0030517
Malignancy	UMLS:C0006826
Glomerulopathy	UMLS:C0268731
adrenal disordered	UMLS:C0001621
Valvular Disease, Heart	UMLS:C0018824
peritoneal diseases	UMLS:C0031142
disorders gynecological	UMLS:C0017411
Disorders of the globe	UMLS:C0015397
Myelocytic Leukemias	UMLS:C0023470
IMMUNE SYSTEM DISORDER	UMLS:C0021053
Neoplasm of Mast Cells	UMLS:C0334664
Disorder of ruminant stomach	UMLS:C0267212
metabolic disorders	UMLS:C0025517
System Disorders, Digestive	UMLS:C0012242
Blood--Diseases	UMLS:C0018939
Parodontosis	UMLS:C0031090
disease of gastrointestinal tract	UMLS:C0017178
adrenal gland disorder	UMLS:C0001621
ADRENAL DISORDER	UMLS:C0001621
Calcium Metabolism Disorder	UMLS:C0006705
Spleen--Diseases	UMLS:C0037997
birth disorders	UMLS:C0242354
vocal cord disease	UMLS:C0264309
diseases duodenum	UMLS:C0013289
Malignancy, unspecified site	UMLS:C0006826
PERINATAL DISORDER	UMLS:C0270075
Miscellaneous Neoplasm	UMLS:C3540828
thrombocytopathies	UMLS:C0005818
Schaumann Syndrome	UMLS:C0036202
testis disorder	UMLS:C0039584
thrombocytopathy	UMLS:C0005818
CEREBROVASCULAR DISORDER	UMLS:C0007820
BIRTH DISORDER (NOS)	UMLS:C0242354
Disorder of magnesium metabolism	UMLS:C0012716
giant cell tumours	UMLS:C0017525
Trophoblastic tumors	UMLS:C0041182
coagulation disorder	UMLS:C0005779
CDISC Glossary Terminology	UMLS:C4553192
Boecks Sarcoid	UMLS:C0036202
genitourinary disorder	UMLS:C0080276
gastrointestinal tract disorders	UMLS:C0017178
Endocrine disturbance NOS	UMLS:C0014130
Does Not Apply	UMLS:C1272460
Degenerative Neurologic Disease	UMLS:C0524851
Blood vessel tumor	UMLS:C4722524
disorders pediatric	UMLS:C0679381
disease vein	UMLS:C0235522
DISEASES OF THE RESPIRATORY SYSTEM	UMLS:C0035204
coagulopathies	UMLS:C0005779
genetic syndromes	UMLS:C0019247
ear condition	UMLS:C0013447
voice disorders	UMLS:C0042940
liver damage	UMLS:C0151763
diseases of appendix	UMLS:C0267613
Clotting disorders	UMLS:C0005779
Neoplasm, Plasma Cell	UMLS:C1959632
Disorders, Blood Platelet	UMLS:C0005818
CDISC-GLOSSARY	UMLS:C4553192
arthrosis	UMLS:C0022408
Heart Disease	UMLS:C0018799
Metabolic Diseases	UMLS:C0025517
disorder endocrine gland	UMLS:C0014130
DISORDER PERINATAL	UMLS:C0270075
Myocardial Diseases	UMLS:C0878544
DISORDER BEHAVIOR	UMLS:C0004930
Communication disorder	UMLS:C0009460
Alcohol dependence syndrome	UMLS:C0001973
temporomandibular joint diseases	UMLS:C0039494
diseases rectal	UMLS:C0034882
Adnexal Neoplasm of Skin	UMLS:C0345988
Not Stated	UMLS:C1706613
Crystal Arthropathies	UMLS:C0152087
Causality	UMLS:C1314792
Hodgkin's Granuloma	UMLS:C0019829
Severities	UMLS:C0439793
Genetic disorders	UMLS:C0019247
Hepatocellular Liver Injury	UMLS:C0151763
DISORDER TOOTH	UMLS:C0040435
Amino Acidopathies, Inborn	UMLS:C0002514
ADENOPATHY	UMLS:C0497156
venous disease	UMLS:C0235522
Nutritional Disorders	UMLS:C3714509
Neoplasms	UMLS:C0027651
Neurodegenerative Disorder	UMLS:C0524851
Complex epithelial neoplasm	UMLS:C0334391
Neoplasm, Nerve Sheath	UMLS:C0206727
disorders of copper metabolism	UMLS:C0012714
Well-being	UMLS:C0018684
vein disease	UMLS:C0235522
Mesonephric Adenoma	UMLS:C1520159
Neurodegenerative disease	UMLS:C0524851
endocrine disease	UMLS:C0014130
Squamous Cell Tumor	UMLS:C0206720
pulp disorder	UMLS:C0011405
Symptoms	UMLS:C1457887
Coagulation Disorder	UMLS:C0005779
DISORDER ENDOCRINE	UMLS:C0014130
lymphoma (Hodgkin and non-Hodgkin)	UMLS:C0024299
Skin Appendage Tumor	UMLS:C0345988
Diseases, Splenic	UMLS:C0037997
sinus disorder	UMLS:C0030469
types of diseases	UMLS:C0457464
LEUKAEMIA GRANULOCYTIC	UMLS:C0023470
Syndrome, Besnier-Boeck-Schaumann	UMLS:C0036202
nutritional disorders	UMLS:C3714509
Lipomatous tumor	UMLS:C0206631
COMMUNICATION IMPAIRMENT	UMLS:C0009460
nail disorders	UMLS:C0027339
temporomandibular joint disorder	UMLS:C0039494
Gastrointestinal System Disease	UMLS:C0017178
causality	UMLS:C0015127
preventive medicine	UMLS:C0033110
Psychological Disorders	UMLS:C0004936
symptom	UMLS:C1457887
Illness (finding)	UMLS:C0221423
