Therapeutic	therapeutic	O	O
0.01	0.01	O	O
)	)	O	O
.	.	O	O

The	the	O	O
pharmacokinetics	pharmacokinetics	O	O
parameters	parameters	O	O
were	were	O	O
:	:	O	O
Ke	ke	O	O
,	,	O	O
(	(	O	O
0.15+/-0.03/h	0.15+/-0.03/h	O	O
in	in	O	O
OD	od	O	O
vs.	vs.	O	O
0.24+/-0.06/h	0.24+/-0.06/h	O	O
in	in	O	O
TD	td	O	O
)	)	O	O
,	,	O	O
t1/2	t1/2	O	O
,	,	O	O
(	(	O	O
4.95+/-1.41	4.95+/-1.41	O	O
h	h	O	O
in	in	O	O
OD	od	O	O
vs.	vs.	O	O
3.07+/-0.71	3.07+/-0.71	O	O
h	h	O	O
in	in	O	O
TD	td	O	O
)	)	O	O
,	,	O	O
Vd	vd	O	O
(	(	O	O
0.35+/-0.11	0.35+/-0.11	O	O
l/kg	l/kg	O	O
in	in	O	O
OD	od	O	O
vs.	vs.	O	O
0.33+/-0.09	0.33+/-0.09	O	O
l/kg	l/kg	O	O
in	in	O	O
TD	td	O	O
)	)	O	O
,	,	O	O
Cl	cl	O	O
(	(	O	O
0.86+/-0.29	0.86+/-0.29	O	O
ml/min/kg	ml/min/kg	O	O
in	in	O	O
OD	od	O	O
vs.	vs.	O	O
1.28+/-0.33	1.28+/-0.33	O	O
ml/min/kg	ml/min/kg	O	O
in	in	O	O
TD	td	O	O
)	)	O	O
.	.	O	O

Increased	increased	O	O
serum	serum	O	O
creatinine	creatinine	S_chemicals	O
was	was	O	O
observed	observed	O	O
in	in	O	O
73	73	O	O
%	%	O	O
of	of	O	O
patients	patients	O	O
in	in	O	O
OD	od	O	O
versus	versus	O	O
57	57	O	O
%	%	O	O
of	of	O	O
patients	patients	O	O
in	in	O	O
TD	td	O	O
,	,	O	O
without	without	O	O
evidence	evidence	O	O
of	of	O	O
nephrotoxicity	nephrotoxicity	O	O
.	.	O	O

In	in	O	O
TD	td	O	O
group	group	O	O
,	,	O	O
three	three	O	O
patients	patients	O	O
developed	developed	O	O
decreased	decreased	O	O
auditory	auditory	O	O
function	function	O	O
,	,	O	O
of	of	O	O
which	which	O	O
one	one	O	O
presented	presented	O	O
with	with	O	O
an	an	O	O
auditory	auditory	O	O
loss	loss	O	B_disease
of	of	O	I_disease
-30	-30	O	O
dB	db	O	O
,	,	O	O
whereas	whereas	O	O
in	in	O	O
the	the	O	O
OD	od	O	O
group	group	O	O
only	only	O	O
one	one	O	O
patient	patient	O	O
presented	presented	O	O
decreased	decreased	O	O
auditory	auditory	O	O
function	function	O	O
.	.	O	O

CONCLUSION	conclusion	O	O
:	:	O	O
This	this	O	O
small	small	O	O
study	study	O	O
suggests	suggests	O	O
that	that	O	O
a	a	O	O
once-daily	once-daily	O	O
dosing	dosing	O	O
regimen	regimen	O	O
of	of	O	O
tobramycin	tobramycin	S_chemicals	O
is	is	O	O
at	at	O	O
least	least	O	O
as	as	O	O
effective	effective	O	O
as	as	O	O
and	and	O	O
is	is	O	O
no	no	O	O
more	more	O	O
and	and	O	O
possibly	possibly	O	O
less	less	O	O
toxic	toxic	O	O
than	than	O	O
the	the	O	O
twice-daily	twice-daily	O	O
regimen	regimen	O	O
.	.	O	O

Using	using	O	O
a	a	O	O
single-dose	single-dose	O	O
therapy	therapy	O	O
,	,	O	O
peak	peak	O	O
concentration	concentration	O	O
determination	determination	O	O
is	is	O	O
not	not	O	O
necessary	necessary	O	O
,	,	O	O
only	only	O	O
trough	trough	O	O
samples	samples	O	O
should	should	O	O
be	be	O	O
monitored	monitored	O	O
to	to	O	O
ensure	ensure	O	O
levels	levels	O	O
below	below	O	O
2	2	O	O
microg/ml	microg/ml	O	O
.	.	O	O

